Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Moussa Diaby,fr FRA,"FW,MF",de Leverkusen,20,1999,4,4,329,3.7,1,2,1,0,0,1,0,0.27,0.55,0.82,0.27,0.82,1.0,1.0,1.1,2.2,0.28,0.31,0.59,0.28,0.59,9,3,33.3,2.46,0.82,0.11,0.33,18.4,0,0.11,0.0,0.0,96,126,76.2,1509,330,52,63,82.5,35,42,83.3,6,15,40.0,+0.9,5,2,7,2,7,121,5,1,18,3,10,1,0,0,0,93,18,15,82,38,0,4,0,0,3,3,7,15,4.10,9,1,1,0,0,4,1.09,2,0,0,2,0,0,1,1,1,0,0,1,33.3,2,10,25.6,5,23,11,0,3,2,0,0,164,0,17,10,50.0,6,1,133,7,7,8,182,132,72.5,32,82,73.1,82,2,0,,0,2.25,8,4,+4,+1.09,+0.35,5.0,3.9,+1.0,+0.28,-1.05,0,7,0,0,0,20,2,2,50.0,Europa-League,19,2019-2020
Raphael Dias Belloli,br BRA,"MF,FW",fr Rennes,22,1996,4,3,274,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.1,1.3,0.06,0.36,0.42,0.06,0.42,4,2,50.0,1.31,0.66,0.00,0.00,22.5,0,0.05,-0.2,-0.2,88,121,72.7,1554,550,44,52,84.6,31,41,75.6,12,20,60.0,-1.1,12,10,4,0,13,105,16,0,23,4,11,8,2,2,4,69,27,25,90,14,6,7,2,0,1,5,5,21,6.90,17,3,1,0,0,0,0.00,0,0,0,0,0,0,3,1,1,2,0,2,22.2,7,13,22.8,14,25,18,0,6,7,1,0,162,2,13,10,50.0,6,1,114,7,8,6,152,111,73.0,27,69,50.7,86,2,1,15,0,0.25,1,3,-2,-0.66,-0.32,3.7,3.1,+0.6,+0.19,-0.48,0,6,0,0,0,19,2,1,66.7,Europa-League,19,2019-2020
Rúben Dias,pt POR,DF,pt Benfica,22,1997,2,2,180,2.0,1,0,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,0.4,0.4,0.1,0.5,0.19,0.06,0.25,0.19,0.25,2,1,50.0,1.00,0.50,0.50,1.00,8.0,0,0.19,+0.6,+0.6,114,127,89.8,2493,735,32,34,94.1,56,60,93.3,25,29,86.2,-0.1,1,16,1,1,15,123,4,0,10,4,3,0,0,0,0,92,14,21,12,103,6,2,1,0,2,1,2,2,1.00,2,0,0,0,0,0,0.00,0,0,0,0,0,0,5,2,4,0,1,3,100.0,0,7,46.7,8,6,1,0,1,6,5,0,142,7,4,2,100.0,2,0,90,0,0,1,109,109,100.0,3,90,100.0,90,2,0,,0,0.50,4,5,-1,-0.50,,2.1,1.9,+0.3,+0.13,,0,0,0,0,1,17,5,1,83.3,Europa-League,19,2019-2020
Krepin Diatta,sn SEN,MF,be Club Brugge,20,1999,1,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,1,0,0.0,3.00,0.00,0.00,,22.6,0,0.01,0.0,0.0,3,3,100.0,38,10,2,2,100.0,1,1,100.0,0,0,,0.0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,2,6.00,1,0,0,0,1,0,0.00,0,0,0,0,0,0,1,1,1,0,0,0,,0,1,11.1,3,4,2,0,1,2,0,0,9,0,1,0,,0,0,7,1,1,1,9,5,55.6,0,30,16.7,,0,1,30,0,0.00,0,2,-2,-6.00,-4.20,0.1,1.6,-1.5,-4.44,-3.24,0,0,0,0,0,1,0,0,,Europa-League,19,2019-2020
Amadou Diawara,gn GUI,MF,it Roma,22,1997,6,5,448,5.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.02,0.01,0.03,0.02,0.03,1,0,0.0,0.20,0.00,0.00,,7.0,0,0.12,-0.1,-0.1,284,320,88.8,5577,1281,97,105,92.4,149,163,91.4,36,47,76.6,0.0,1,12,3,0,18,307,13,1,58,10,0,0,0,0,0,255,31,34,28,277,11,0,4,0,3,1,3,6,1.21,6,0,0,0,0,1,0.20,1,0,0,0,0,0,12,7,7,4,1,2,33.3,4,25,27.2,29,57,6,0,4,17,2,0,352,13,2,4,100.0,4,0,247,0,3,0,263,257,97.7,3,75,55.3,83,4,1,32,0,1.33,11,6,+5,+1.00,+1.00,10.8,3.8,+7.0,+1.40,+2.02,0,7,0,0,0,53,0,1,0.0,Europa-League,19,2019-2020
Dénes Dibusz,hu HUN,GK,hu Ferencváros,28,1990,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,153,209,73.2,4741,2678,19,19,100.0,71,71,100.0,63,119,52.9,0.0,0,0,0,0,0,134,75,0,17,7,0,0,0,0,0,111,12,86,23,163,0,0,21,0,4,1,0,1,0.17,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,230,205,0,0,,0,0,102,0,0,0,99,98,99.0,0,90,100.0,90,6,0,,0,1.38,5,7,-2,-0.33,,8.5,9.2,-0.7,-0.11,,0,0,0,0,0,29,0,0,,Europa-League,19,2019-2020
Lois Diony,fr FRA,FW,fr Saint-Étienne,26,1992,1,1,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.17,0.03,0.20,0.17,0.20,2,1,50.0,2.50,1.25,0.00,0.00,11.0,0,0.07,-0.1,-0.1,5,7,71.4,126,8,2,3,66.7,1,1,100.0,2,3,66.7,0.0,1,0,0,0,0,7,0,0,3,1,1,0,0,0,0,5,0,2,1,5,0,0,0,0,0,1,0,2,2.50,2,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,33.3,0,3,6,0,0,0,0,0,13,0,5,0,,0,0,9,0,2,1,36,10,27.8,8,72,13.3,72,0,0,,1,1.00,0,0,0,0.00,+0.38,0.4,0.2,+0.2,+0.24,+0.24,0,2,0,0,0,2,2,2,50.0,Europa-League,19,2019-2020
Assane Dioussé,sn SEN,MF,fr Saint-Étienne,21,1997,1,1,76,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.15,0.15,0.00,0.15,0,0,,0.00,0.00,,,,0,,0.0,0.0,41,49,83.7,897,188,14,17,82.4,14,15,93.3,11,14,78.6,-0.1,1,2,2,2,2,49,0,0,9,5,3,0,0,0,0,32,9,8,38,8,2,0,1,0,1,1,0,1,1.18,1,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,1,0,0,1,50.0,1,5,22.7,9,12,1,0,3,2,3,1,60,4,1,0,,0,0,36,0,0,0,39,36,92.3,0,76,14.1,76,0,0,,1,0.00,0,1,-1,-1.18,-0.99,0.4,1.3,-0.9,-1.04,-1.24,0,0,0,0,0,13,0,2,0.0,Europa-League,19,2019-2020
Igor Diveev,ru RUS,DF,ru CSKA Moscow,19,1999,6,6,495,5.5,1,0,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,0.6,0.6,0.0,0.6,0.10,0.00,0.10,0.10,0.10,7,1,14.3,1.27,0.18,0.14,1.00,19.2,1,0.08,+0.4,+0.4,219,256,85.5,5322,1502,51,58,87.9,113,123,91.9,54,71,76.1,0.0,0,6,1,0,13,244,12,1,25,14,0,0,0,0,0,169,41,46,43,186,16,4,1,0,8,2,3,1,0.18,1,0,0,0,0,0,0.00,0,0,0,0,0,0,6,4,3,3,0,4,80.0,1,16,34.0,29,18,0,0,4,12,34,0,316,35,4,0,,0,0,167,0,0,0,190,184,96.8,4,83,91.7,83,5,0,,0,0.83,3,7,-4,-0.73,+3.27,7.9,7.6,+0.2,+0.04,+2.40,0,6,0,0,0,56,13,5,72.2,Europa-League,19,2019-2020
Djené,tg TOG,DF,es Getafe,27,1991,7,7,630,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,1,0,0.0,0.14,0.00,0.00,,9.0,0,0.07,-0.1,-0.1,166,212,78.3,3966,1170,37,45,82.2,81,93,87.1,47,73,64.4,0.0,1,16,1,0,14,207,5,0,44,2,0,0,0,0,0,143,20,49,41,152,16,1,1,1,4,1,0,1,0.14,1,0,0,0,0,0,0.00,0,0,0,0,0,0,8,4,5,3,0,1,16.7,5,21,35.6,30,26,3,0,6,20,46,1,292,31,2,2,50.0,1,0,150,0,1,0,127,125,98.4,1,90,77.8,90,7,0,,1,1.71,8,5,+3,+0.43,+0.43,8.9,4.3,+4.6,+0.66,+0.45,0,3,0,0,0,83,11,8,57.9,Europa-League,19,2019-2020
Ritsu Doan,jp JPN,"MF,FW",nl PSV Eindhoven,21,1998,4,3,230,2.6,0,2,0,0,0,0,0,0.00,0.78,0.78,0.00,0.78,0.1,0.1,0.9,1.1,0.05,0.37,0.42,0.05,0.42,3,2,66.7,1.17,0.78,0.00,0.00,23.0,1,0.04,-0.1,-0.1,49,66,74.2,717,248,27,32,84.4,14,20,70.0,2,6,33.3,+1.1,5,3,3,0,6,64,2,2,18,2,1,0,0,0,0,45,15,6,47,12,5,1,1,1,2,2,1,7,2.74,6,0,0,1,0,2,0.78,2,0,0,0,0,0,5,5,3,2,0,2,40.0,3,20,31.7,25,31,7,0,7,11,0,0,102,2,5,4,50.0,2,0,71,3,6,6,90,59,65.6,11,58,42.6,72,0,1,13,0,1.75,5,4,+1,+0.39,+1.55,3.9,3.7,+0.3,+0.10,+0.82,0,4,0,0,0,22,0,1,0.0,Europa-League,19,2019-2020
