Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,PKwon,PKcon,OG,League Name,League ID,Season
it Napoli,17,27,57.5,2,22,180,2.0,3,2,3,0,0,,,1.5,1.0,2.5,1.5,2.5,23,11,47.8,11.5,5.5,0.13,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,6,0,8,1.5,3,3,0,0.0,0,19,0,0,0,Europa-League,19,2017-2018
fr Nice,28,25,59.1,8,88,720,8.0,14,10,12,2,2,,,1.75,1.25,3.0,1.5,2.75,109,39,35.8,13.62,4.87,0.11,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,23,0,33,1.13,14,11,3,0.37,0,75,1,1,1,Europa-League,19,2017-2018
se Östersund,20,26,45.9,8,88,720,8.0,9,8,8,1,3,,,1.13,1.0,2.12,1.0,2.0,88,41,46.6,11.0,5.12,0.09,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,21,0,35,1.75,10,8,2,0.25,0,86,2,0,1,Europa-League,19,2017-2018
rs Partizan,23,27,45.3,8,88,720,8.0,9,6,8,1,1,,,1.13,0.75,1.87,1.0,1.75,81,34,42.0,10.13,4.25,0.1,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,38,1.13,9,12,-3,-0.37,1,132,1,3,0,Europa-League,19,2017-2018
de RB Leipzig,17,22,52.8,6,66,540,6.0,9,9,9,0,1,,,1.5,1.5,3.0,1.5,3.0,68,21,30.9,11.33,3.5,0.13,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,24,1.67,9,10,-1,-0.17,0,57,1,0,1,Europa-League,19,2017-2018
at RB Salzburg,24,24,50.4,14,154,1290,14.3,19,15,16,3,3,,,1.33,1.05,2.37,1.12,2.16,184,59,32.1,12.84,4.12,0.09,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,92,100,,,37,0,59,1.86,21,12,9,0.63,1,244,3,0,0,Europa-League,19,2017-2018
es Real Sociedad,24,25,67.0,8,88,720,8.0,18,14,18,0,0,,,2.25,1.75,4.0,2.25,4.0,162,61,37.7,20.25,7.62,0.11,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,24,0,32,1.63,19,10,9,1.13,1,67,0,1,1,Europa-League,19,2017-2018
rs Red Star,21,26,43.4,8,88,720,8.0,3,3,3,0,0,,,0.37,0.37,0.75,0.37,0.75,100,23,23.0,12.5,2.87,0.03,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,23,0,33,1.25,3,3,0,0.0,1,89,0,0,0,Europa-League,19,2017-2018
hr Rijeka,20,25,42.2,6,66,540,6.0,11,7,10,1,1,,,1.83,1.17,3.0,1.67,2.83,50,20,40.0,8.33,3.33,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,24,1.17,11,12,-1,-0.17,0,102,1,0,0,Europa-League,19,2017-2018
no Rosenborg,20,25,42.2,6,66,540,6.0,6,3,3,3,3,,,1.0,0.5,1.5,0.5,1.0,50,22,44.0,8.33,3.67,0.06,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,23,0.83,6,11,-5,-0.83,0,75,3,0,1,Europa-League,19,2017-2018
