Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Manolo Reina,es ESP,GK,Mallorca,34,1985,36,36,3240,36.0,60,1.67,164,117,71.3,9,5,22,5,13.9,14,13,1,0,7.1,2,7,1,58.1,0.28,-0.9,-0.02,255,689,37.0,886,180,56.4,43.4,308,61.4,50.4,362,36,9.9,24,0.67,13.8,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,94.7,90,36,0,,2,0.89,38,60,-22,-0.61,+0.89,38.0,57.8,-19.8,-0.55,+0.27,0,0,7,0,0,0,0,0,0,203,0,0,,La-Liga,12,2019-2020
Álex Remiro,es ESP,GK,Real Sociedad,24,1995,25,25,2250,25.0,32,1.28,87,62,71.3,11,4,10,6,24.0,8,7,1,0,12.5,2,3,0,28.4,0.25,-3.6,-0.14,171,388,44.1,767,80,37.4,36.3,143,70.6,54.2,189,11,5.8,22,0.88,17.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.01,0.00,0.01,90,65.8,90,25,0,,13,1.48,38,32,+6,+0.24,+0.09,32.4,27.7,+4.7,+0.19,+0.09,0,0,5,0,0,0,0,0,0,109,0,0,,La-Liga,12,2019-2020
Roberto,es ESP,GK,Alavés,33,1986,9,8,790,8.8,19,2.16,51,35,68.6,2,1,5,2,25.0,3,3,0,0,0.0,0,1,0,20.9,0.36,+1.9,+0.21,87,201,43.3,169,9,81.1,58.2,69,92.8,67.9,75,4,5.3,6,0.68,16.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,88,23.1,90,8,1,70,5,0.78,4,19,-15,-1.71,-1.37,7.1,15.1,-8.0,-0.91,-0.64,0,0,2,0,0,0,1,0,0,35,0,0,,La-Liga,12,2019-2020
Joel Robles,es ESP,GK,Betis,29,1990,33,33,2887,32.1,48,1.50,118,80,68.6,9,11,13,5,15.2,11,11,0,0,0.0,1,3,1,44.8,0.31,-2.2,-0.07,171,464,36.9,907,134,39.4,36.6,245,43.7,39.6,296,21,7.1,27,0.84,15.5,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,87,84.4,87,32,0,,4,1.15,41,48,-7,-0.22,+0.63,41.5,43.3,-1.8,-0.06,+0.02,0,1,1,0,0,0,0,0,0,166,0,0,,La-Liga,12,2019-2020
Rubén,es ESP,GK,Osasuna,35,1984,19,18,1583,17.6,24,1.36,51,29,58.8,5,9,4,5,27.8,3,3,0,0,0.0,1,1,0,19.3,0.34,-4.7,-0.27,150,404,37.1,382,60,73.6,52.7,143,86.0,61.9,167,12,7.2,7,0.40,13.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,83,46.3,86,17,1,35,7,1.26,22,24,-2,-0.11,+0.18,24.5,19.1,+5.4,+0.31,+0.65,0,0,2,0,0,0,0,0,0,100,0,0,,La-Liga,12,2019-2020
Rui Silva,pt POR,GK,Granada,25,1994,35,35,3150,35.0,42,1.20,136,97,72.1,15,8,12,12,34.3,5,4,1,0,20.0,1,5,0,42.3,0.28,+0.3,+0.01,348,898,38.8,978,115,66.6,49.2,301,82.1,60.4,332,38,11.4,41,1.17,15.9,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.01,0.01,0.00,0.01,90,92.1,90,35,0,,1,1.51,49,42,+7,+0.20,+0.20,38.0,37.6,+0.4,+0.01,+0.20,0,0,4,0,0,0,0,0,0,223,0,0,,La-Liga,12,2019-2020
Unai Simón,es ESP,GK,Athletic Club,22,1997,34,34,2991,33.2,29,0.87,103,78,76.7,13,9,12,12,35.3,7,5,0,2,0.0,1,3,2,36.8,0.32,+9.8,+0.29,319,761,41.9,839,140,61.7,47.2,268,90.7,66.4,343,23,6.7,18,0.54,14.3,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,88,87.5,88,33,0,,1,1.41,38,29,+9,+0.27,+1.53,32.5,42.4,-9.9,-0.30,-0.77,0,2,2,0,0,0,0,0,0,161,0,0,,La-Liga,12,2019-2020
Antonio Sivera,es ESP,GK,Alavés,22,1996,3,3,270,3.0,3,1.00,4,2,50.0,1,1,1,1,33.3,1,1,0,0,0.0,0,0,0,2.4,0.36,-0.6,-0.19,24,64,37.5,56,9,71.4,52.4,27,88.9,63.4,27,1,3.7,0,0.00,12.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,7.9,90,3,0,,16,1.33,4,3,+1,+0.33,+1.08,3.7,2.5,+1.2,+0.38,+0.88,0,1,0,0,0,0,0,0,1,16,0,0,,La-Liga,12,2019-2020
David Soria,es ESP,GK,Getafe,26,1993,38,38,3420,38.0,37,0.97,102,70,68.6,14,12,12,15,39.5,6,5,1,0,16.7,0,2,1,38.1,0.33,+2.1,+0.05,369,987,37.4,871,41,86.3,58.8,259,90.7,61.4,262,30,11.5,49,1.29,17.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,38,0,,0,1.42,43,37,+6,+0.16,,37.9,39.0,-1.1,-0.03,,0,2,0,0,0,0,0,0,1,252,0,0,,La-Liga,12,2019-2020
Juan Soriano,es ESP,GK,Leganés,21,1997,11,11,990,11.0,18,1.64,34,22,61.8,1,3,7,1,9.1,5,5,0,0,0.0,1,0,1,15.6,0.33,-1.4,-0.12,49,175,28.0,222,59,52.3,45.8,75,78.7,63.1,70,7,10.0,7,0.64,18.3,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03,90,28.9,90,11,0,,27,0.55,5,18,-13,-1.18,-0.89,9.7,12.7,-2.9,-0.27,-0.31,0,1,1,0,0,0,0,0,1,54,0,0,,La-Liga,12,2019-2020
Marc-André ter Stegen,de GER,GK,Barcelona,27,1992,36,36,3240,36.0,36,1.00,110,78,72.7,24,6,6,14,38.9,7,6,1,0,14.3,2,1,0,34.8,0.27,-1.2,-0.03,205,338,60.7,1200,177,22.8,28.8,219,29.7,31.0,266,13,4.9,27,0.75,15.1,0,2,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.7,0.7,0.00,0.02,0.02,0.00,0.02,90,94.7,90,36,0,,1,2.17,79,36,+43,+1.19,-1.31,61.5,35.2,+26.3,+0.73,-1.22,0,0,2,0,0,0,0,0,0,180,0,0,,La-Liga,12,2019-2020
Tomáš Vaclík,cz CZE,GK,Sevilla,30,1989,33,33,2925,32.5,31,0.95,96,68,69.8,15,12,6,14,42.4,3,2,1,0,33.3,3,3,1,25.5,0.25,-4.5,-0.14,178,417,42.7,686,155,40.1,37.3,235,60.4,48.1,260,20,7.7,16,0.49,14.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,89,85.5,89,32,0,,0,1.73,44,31,+13,+0.40,-0.87,39.7,29.7,+10.0,+0.31,-0.34,0,0,3,0,0,0,0,0,0,158,0,0,,La-Liga,12,2019-2020
Koke Vegas,es ESP,GK,Levante,23,1995,2,2,180,2.0,2,1.00,10,8,80.0,2,0,0,1,50.0,1,0,0,1,,0,1,0,1.7,0.17,-0.3,-0.13,7,26,26.9,43,16,46.5,40.6,20,30.0,30.6,30,2,6.7,2,1.00,15.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,5.3,90,2,0,,14,3.00,4,2,+2,+1.00,+1.22,3.1,3.4,-0.2,-0.12,+0.40,0,0,2,0,0,0,0,0,0,10,0,0,,La-Liga,12,2019-2020
Iván Villar,es ESP,GK,Celta Vigo,22,1997,4,3,280,3.1,5,1.61,11,6,54.5,0,1,2,1,33.3,0,0,0,0,,0,0,0,4.7,0.42,-0.3,-0.11,15,43,34.9,61,6,39.3,35.5,28,67.9,55.3,34,3,8.8,3,0.96,16.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,70,8.2,90,3,1,10,10,0.50,3,5,-2,-0.64,-0.36,3.1,2.9,+0.2,+0.06,+0.19,0,0,0,0,0,0,0,0,0,15,0,0,,La-Liga,12,2019-2020
Yoel,es ESP,GK,Eibar,30,1988,4,4,270,3.0,5,1.67,14,9,64.3,2,0,1,1,25.0,1,0,1,0,100.0,0,0,0,3.8,0.21,-1.2,-0.39,38,80,47.5,69,6,82.6,59.1,24,95.8,72.4,29,1,3.4,3,1.00,13.3,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,7.9,90,3,0,,34,1.50,7,7,0,0.00,+0.49,5.4,4.7,+0.6,+0.21,+0.51,0,1,0,0,0,0,0,0,1,17,0,0,,La-Liga,12,2019-2020
