Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ajaccio,27,26,51.4,21,231,1890,21.0,9,5,6,3,4,45,4,0.43,0.24,0.67,0.29,0.52,154,54,35.1,7.33,2.57,0.04,0.11,,90,100,83,149,80,20,66,1.95,10,21,-11,-0.52,0,291,320,43,342,274,181,,,0,Ligue-2,60,2021-2022
Amiens,29,26,48.8,22,242,1980,22.0,21,15,20,1,1,47,3,0.95,0.68,1.64,0.91,1.59,253,74,29.2,11.5,3.36,0.08,0.27,,90,100,84,161,78,18,74,1.14,21,26,-5,-0.23,1,316,252,31,435,262,206,,,0,Ligue-2,60,2021-2022
Auxerre,22,26,42.7,20,220,1800,20.0,23,15,22,1,1,28,2,1.15,0.75,1.9,1.1,1.85,211,72,34.1,10.55,3.6,0.1,0.31,,90,100,83,139,79,19,61,1.8,23,33,-10,-0.5,1,211,243,68,310,271,198,,,2,Ligue-2,60,2021-2022
Bastia,23,26,50.8,22,242,1980,22.0,19,11,15,4,6,40,1,0.86,0.5,1.36,0.68,1.18,222,72,32.4,10.09,3.27,0.07,0.21,,90,100,82,157,84,22,68,1.09,21,20,1,0.05,0,271,273,34,361,256,195,,,0,Ligue-2,60,2021-2022
Caen,29,26,52.3,21,231,1890,21.0,22,17,21,1,1,44,4,1.05,0.81,1.86,1.0,1.81,233,87,37.3,11.1,4.14,0.09,0.24,,90,100,83,142,85,18,61,1.19,24,26,-2,-0.1,2,278,284,48,344,256,212,,,1,Ligue-2,60,2021-2022
Dijon,28,26,48.5,22,242,1980,22.0,27,14,24,3,3,52,3,1.23,0.64,1.86,1.09,1.73,245,88,35.9,11.14,4.0,0.1,0.27,,90,100,83,156,83,19,69,1.32,29,28,1,0.05,3,343,296,44,368,257,219,,,0,Ligue-2,60,2021-2022
Dunkerque,27,26,54.2,20,220,1800,20.0,25,20,24,1,1,32,2,1.25,1.0,2.25,1.2,2.2,236,94,39.8,11.8,4.7,0.1,0.26,,90,100,85,149,69,15,69,0.85,26,15,11,0.55,1,341,281,55,375,201,151,,,0,Ligue-2,60,2021-2022
Grenoble,30,26,50.6,21,231,1890,21.0,26,17,24,2,2,39,2,1.24,0.81,2.05,1.14,1.95,259,89,34.4,12.33,4.24,0.09,0.27,,90,100,84,150,79,17,66,1.05,27,17,10,0.48,2,273,249,42,357,242,196,,,0,Ligue-2,60,2021-2022
Guingamp,31,26,47.1,22,242,1980,22.0,31,25,27,4,5,43,2,1.41,1.14,2.55,1.23,2.36,215,74,34.4,9.77,3.36,0.13,0.36,,90,100,83,156,84,21,70,1.18,31,24,7,0.32,0,322,311,42,386,263,259,,,1,Ligue-2,60,2021-2022
Le Havre,29,26,54.4,22,242,1980,22.0,16,12,14,2,2,45,2,0.73,0.55,1.27,0.64,1.18,217,76,35.0,9.86,3.45,0.06,0.18,,90,100,84,160,80,18,72,1.55,16,22,-6,-0.27,2,319,249,67,418,267,245,,,1,Ligue-2,60,2021-2022
