Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Tim Krul,nl NED,GK,Norwich City,33,1988,10,10,900,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,288,424,67.9,9214,5335,38,38,100.0,118,120,98.3,130,263,49.4,0.0,0,1,0,0,0,298,126,0,35,9,0,0,0,0,0,204,19,201,268,82,0,0,57,0,10,2,1,3,0.30,2,1,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,4,0,0,0,0,0,0,1,456,391,0,0,,0,0,203,0,0,0,214,213,99.5,0,90,100.0,90,10,0,,0,0.20,3,25,-22,-2.20,,7.9,19.1,-11.2,-1.12,,0,0,0,0,1,55,0,0,,Premier-League,9,2021-2022
Juraj Kucka,sk SVK,MF,Watford,34,1987,9,9,761,8.5,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,1.0,1.0,0.1,1.2,0.12,0.02,0.14,0.12,0.14,18,4,22.2,2.13,0.47,0.06,0.25,21.3,1,0.06,0.0,0.0,184,254,72.4,3500,921,79,106,74.5,76,90,84.4,25,47,53.2,-0.1,5,19,3,0,24,246,8,0,43,8,3,1,0,1,0,156,39,59,43,175,19,2,0,0,7,15,8,16,1.89,12,0,2,2,0,1,0.12,0,0,0,0,1,0,27,17,15,10,2,12,48.0,13,52,32.9,57,78,23,1,6,42,20,1,377,33,8,11,54.5,7,3,181,0,10,10,244,201,82.4,7,85,84.6,85,7,0,,0,1.11,11,14,-3,-0.35,+1.59,10.0,15.2,-5.3,-0.62,+0.90,0,21,0,0,0,86,21,19,52.5,Premier-League,9,2021-2022
Alexandre Lacazette,fr FRA,"MF,FW",Arsenal,30,1991,5,2,199,2.2,1,0,1,0,0,0,0,0.45,0.00,0.45,0.45,0.45,0.5,0.5,0.2,0.7,0.22,0.10,0.32,0.22,0.32,3,2,66.7,1.36,0.90,0.33,0.50,12.5,0,0.16,+0.5,+0.5,57,81,70.4,706,125,33,43,76.7,17,25,68.0,1,6,16.7,-0.2,4,3,5,0,6,78,3,0,17,1,1,0,0,0,0,53,11,17,9,63,3,0,2,0,2,5,1,11,4.97,7,0,2,2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,13,28.3,11,21,14,0,2,3,0,0,107,0,12,6,66.7,4,0,57,0,9,4,110,81,73.6,15,40,22.1,62,0,3,25,3,1.60,6,2,+4,+1.81,+2.45,4.3,3.8,+0.6,+0.26,+0.77,0,5,1,0,0,16,4,7,36.4,Premier-League,9,2021-2022
Adam Lallana,eng ENG,MF,Brighton,33,1988,10,9,798,8.9,0,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,0.5,0.5,0.3,0.8,0.06,0.03,0.09,0.06,0.09,9,2,22.2,1.02,0.23,0.00,0.00,17.9,0,0.06,-0.5,-0.5,421,495,85.1,6746,1335,218,244,89.3,168,186,90.3,24,43,55.8,+0.7,3,24,8,0,27,492,3,1,96,5,8,0,0,0,0,381,60,54,145,328,15,0,1,0,10,17,11,11,1.24,10,0,0,1,0,2,0.23,2,0,0,0,0,0,23,12,9,11,3,7,30.4,16,53,30.5,70,77,27,0,11,39,10,0,580,24,19,10,70.0,8,0,386,3,11,7,446,412,92.4,28,80,88.7,84,6,1,45,0,1.60,11,10,+1,+0.11,+1.00,10.0,12.3,-2.3,-0.26,+0.46,0,9,0,0,0,91,6,7,46.2,Premier-League,9,2021-2022
Tariq Lamptey,eng ENG,"DF,FW",Brighton,21,2000,3,0,91,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,1,0,0.0,0.99,0.00,0.00,,13.6,0,0.04,0.0,0.0,41,55,74.5,663,176,24,26,92.3,10,17,58.8,6,8,75.0,0.0,0,3,1,0,6,45,10,0,5,1,4,0,0,0,0,33,13,9,9,35,0,10,0,2,0,0,2,2,1.98,0,0,1,0,1,0,0.00,0,0,0,0,0,0,2,1,1,1,0,0,0.0,1,2,16.7,2,7,3,0,2,4,0,0,69,1,6,7,57.1,4,0,53,3,3,1,55,41,74.5,4,30,10.1,,0,3,30,3,0.67,1,1,0,0.00,0.00,1.7,1.6,0.0,+0.03,+0.39,0,2,0,0,0,11,1,2,33.3,Premier-League,9,2021-2022
Manuel Lanzini,ar ARG,"MF,FW",West Ham,28,1993,5,0,52,0.6,0,1,0,0,0,0,0,0.00,1.73,1.73,0.00,1.73,0.1,0.1,0.8,0.9,0.13,1.47,1.59,0.13,1.59,1,0,0.0,1.73,0.00,0.00,,26.1,1,0.07,-0.1,-0.1,44,45,97.8,617,120,29,29,100.0,11,12,91.7,3,3,100.0,+0.2,1,1,0,0,2,44,1,0,3,1,1,0,0,0,0,37,6,2,4,38,2,0,1,0,0,0,0,3,5.19,2,0,0,1,0,1,1.73,1,0,0,0,0,0,3,1,2,1,0,1,25.0,3,7,38.9,5,11,2,0,3,4,0,0,58,1,2,2,50.0,1,0,46,1,2,1,46,44,95.7,5,10,5.8,,0,5,10,5,2.00,2,1,+1,+1.73,+0.88,2.5,0.6,+1.9,+3.33,+2.84,0,0,0,0,0,4,0,1,0.0,Premier-League,9,2021-2022
Aymeric Laporte,es ESP,DF,Manchester City,27,1994,8,8,655,7.3,1,0,1,0,0,3,1,0.14,0.00,0.14,0.14,0.14,1.1,1.1,0.1,1.2,0.15,0.01,0.16,0.15,0.16,11,1,9.1,1.51,0.14,0.09,1.00,9.9,0,0.10,-0.1,-0.1,583,614,95.0,12846,3959,153,160,95.6,311,321,96.9,112,125,89.6,-0.1,3,70,2,0,40,597,17,1,41,16,2,0,0,0,0,507,39,68,425,152,25,7,1,0,5,3,1,10,1.37,10,0,0,0,0,1,0.14,1,0,0,0,0,0,2,0,2,0,0,1,50.0,1,12,36.4,22,10,1,0,1,11,24,1,660,63,14,2,50.0,1,0,475,1,0,0,536,527,98.3,1,82,72.8,82,6,0,,1,2.38,20,4,+16,+2.20,+2.93,18.7,5.0,+13.7,+1.88,+1.58,0,5,0,0,0,62,12,6,66.7,Premier-League,9,2021-2022
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,27,1993,7,7,630,7.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.05,0.00,0.05,0.05,0.05,7,1,14.3,1.00,0.14,0.00,0.00,8.6,0,0.05,-0.3,-0.3,152,186,81.7,3643,1054,27,37,73.0,87,93,93.5,34,51,66.7,0.0,1,6,1,0,4,181,5,0,30,9,0,0,0,0,0,114,17,55,18,138,13,0,0,0,2,3,0,5,0.71,5,0,0,0,0,1,0.14,1,0,0,0,0,0,3,2,2,1,0,1,25.0,3,11,27.5,24,14,2,0,8,13,39,0,267,79,14,1,100.0,1,0,108,0,0,0,151,145,96.0,2,90,70.0,90,7,0,,1,0.43,7,16,-9,-1.29,-0.29,5.1,14.5,-9.4,-1.34,-1.45,0,8,0,2,0,36,30,8,78.9,Premier-League,9,2021-2022
Pierre Lees-Melou,fr FRA,MF,Norwich City,28,1993,8,8,646,7.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,1.0,0.05,0.10,0.15,0.05,0.15,9,2,22.2,1.25,0.28,0.00,0.00,23.4,0,0.04,-0.3,-0.3,232,296,78.4,4312,1177,106,121,87.6,86,100,86.0,33,57,57.9,-0.7,8,21,9,2,33,290,6,1,60,10,10,1,1,0,0,179,57,60,40,235,17,1,1,0,1,13,9,17,2.37,15,1,0,1,0,1,0.14,0,0,0,0,1,0,20,12,10,9,1,6,28.6,15,46,21.9,80,106,24,1,18,31,4,0,371,21,11,14,50.0,10,0,231,1,6,1,273,247,90.5,10,81,71.8,81,5,0,,2,0.25,1,15,-14,-1.95,+0.88,5.3,13.9,-8.7,-1.21,-0.30,0,12,1,0,0,58,3,8,27.3,Premier-League,9,2021-2022
Aaron Lennon,eng ENG,MF,Burnley,34,1987,4,1,106,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.13,0.00,0.13,0.13,0.13,2,0,0.0,1.70,0.00,0.00,,31.9,0,0.08,-0.2,-0.2,19,27,70.4,265,54,12,13,92.3,7,8,87.5,0,3,0.0,0.0,0,0,0,0,1,27,0,0,5,2,4,0,0,0,0,19,4,4,3,24,0,0,0,0,1,1,2,1,0.85,0,0,0,1,0,0,0.00,0,0,0,0,0,0,3,2,1,2,0,1,16.7,5,12,46.2,7,14,5,0,3,4,1,0,44,1,4,3,33.3,1,0,24,0,1,1,37,26,70.3,0,27,11.8,59,0,3,16,4,0.75,0,1,-1,-0.85,-0.28,1.1,1.4,-0.3,-0.25,+0.18,0,2,0,0,0,8,0,3,0.0,Premier-League,9,2021-2022
