Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Maxime Dupé,fr FRA,GK,Toulouse,28,1993,15,15,1350,15.0,13,0.87,41,30,73.2,8,6,1,8,53.3,2,2,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90,100.0,90,15,0,,0,2.0,32,13,19,1.27,,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Nathan Trott,eng ENG,GK,Nancy,22,1998,12,12,1080,12.0,20,1.67,59,39,66.1,2,4,6,2,16.7,1,0,0,1,,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,90,80.0,90,12,0,,2,0.83,9,20,-11,-0.92,-0.58,0,1,2,0,0,1,0,,,0,Ligue-2,60,2021-2022
Nicolas Lemaître,fr FRA,GK,Quevilly-Rouen,24,1997,15,15,1350,15.0,19,1.27,61,43,70.5,4,5,6,3,20.0,1,1,0,0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,90,100.0,90,15,0,,0,1.13,13,19,-6,-0.4,,0,1,4,0,0,0,1,,,0,Ligue-2,60,2021-2022
Per Kristian Bråtveit,no NOR,GK,Nîmes,25,1996,12,12,1035,11.5,11,0.96,37,26,70.3,4,5,3,5,41.7,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,86,76.7,86,11,0,,1,1.42,13,11,2,0.17,1.32,0,0,1,0,0,0,0,,,0,Ligue-2,60,2021-2022
Quentin Braat,fr FRA,GK,Niort,24,1997,15,15,1350,15.0,16,1.07,53,37,71.7,6,3,6,6,40.0,2,1,0,1,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,90,100.0,90,15,0,,0,1.4,16,16,0,0.0,,0,1,2,0,0,0,0,,,0,Ligue-2,60,2021-2022
Régis Gurtner,fr FRA,GK,Amiens,34,1986,15,15,1350,15.0,16,1.07,54,39,72.2,2,8,5,7,46.7,1,1,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90,100.0,90,15,0,,0,0.93,14,16,-2,-0.13,,0,0,5,0,0,0,0,,,0,Ligue-2,60,2021-2022
Rémy Riou,fr FRA,GK,Caen,34,1987,15,15,1350,15.0,16,1.07,62,47,75.8,4,5,6,5,33.3,1,1,0,0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,90,100.0,90,15,0,,0,1.13,16,16,0,0.0,,0,1,5,0,0,0,0,,,0,Ligue-2,60,2021-2022
Saturnin Allagbé,bj BEN,GK,Valenciennes,27,1993,7,7,630,7.0,11,1.57,25,15,56.0,1,2,4,2,28.6,1,0,1,0,100.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90,46.7,90,7,0,,2,0.71,4,11,-7,-1.0,-0.63,0,0,0,0,0,0,2,,,0,Ligue-2,60,2021-2022
Thomas Vincensini,fr FRA,GK,Bastia,28,1993,15,15,1350,15.0,16,1.07,47,34,72.3,3,6,6,4,26.7,3,3,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90,100.0,90,15,0,,0,1.0,12,16,-4,-0.27,,0,0,2,0,0,0,0,,,0,Ligue-2,60,2021-2022
Vincent Demarconnay,fr FRA,GK,Paris FC,38,1983,13,13,1170,13.0,13,1.0,34,22,64.7,6,3,4,4,30.8,1,1,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90,86.7,90,13,0,,1,1.62,17,13,4,0.31,0.81,0,0,8,0,0,0,0,,,0,Ligue-2,60,2021-2022
Yahia Fofana,fr FRA,GK,Le Havre,21,2000,15,15,1350,15.0,8,0.53,51,44,86.3,6,7,2,9,60.0,1,1,0,0,0.0,0,1,0,0,1,0,0.0,0.07,0.07,0.0,0.07,90,100.0,90,15,0,,0,1.67,14,8,6,0.4,,0,1,9,0,0,1,0,,,0,Ligue-2,60,2021-2022
