Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Aleksandr Golovin,ru RUS,"FW,MF",fr Monaco,22,1996,3,3,228,2.5,0,1,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,0.2,0.2,0.3,0.5,0.06,0.12,0.18,0.06,0.18,2,2,100.0,0.79,0.79,0.00,0.00,15.2,0,0.08,-0.2,-0.2,96,116,82.8,1508,261,54,61,88.5,27,32,84.4,11,16,68.8,+0.7,4,5,4,1,7,115,1,1,16,2,3,0,0,0,0,96,13,7,16,95,4,0,1,1,2,3,3,9,3.55,8,0,0,1,0,1,0.39,1,0,0,0,0,0,6,3,3,3,0,1,100.0,0,15,21.1,15,41,15,0,6,8,0,0,141,2,5,7,85.7,6,0,114,1,2,3,134,108,80.6,14,76,42.2,76,1,0,,0,0.33,1,5,-4,-1.58,+0.73,1.4,4.7,-3.3,-1.30,-0.58,0,7,0,0,0,17,0,2,0.0,Champions-League,8,2018-2019
Joe Gomez,eng ENG,DF,eng Liverpool,21,1997,9,5,527,5.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.01,0.02,0.01,0.02,2,0,0.0,0.34,0.00,0.00,,18.7,0,0.04,-0.1,-0.1,367,449,81.7,7299,2398,120,136,88.2,195,228,85.5,52,81,64.2,0.0,1,25,5,0,32,401,48,0,77,7,1,0,0,0,0,311,47,91,35,338,29,38,0,0,6,7,8,10,1.71,6,2,0,1,1,1,0.17,1,0,0,0,0,0,8,7,3,3,2,2,25.0,6,19,32.8,25,26,7,0,0,15,16,0,496,17,3,6,100.0,6,0,346,2,3,4,332,322,97.0,6,59,45.0,90,5,4,19,1,1.67,10,9,+1,+0.17,-1.37,11.7,7.8,+3.9,+0.67,-0.22,0,6,0,0,0,92,11,3,78.6,Champions-League,8,2018-2019
Sergio Gómez,es ESP,MF,de Dortmund,17,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,3,3,100.0,31,8,3,3,100.0,0,0,,0,0,,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,1,0,0,0,0,0,0,3,0,0,0,,0,0,2,0,0,0,3,3,100.0,1,1,0.1,,0,1,1,0,3.00,0,0,0,0.00,-0.50,0.0,0.0,0.0,0.00,-0.66,0,1,0,0,0,0,0,0,,Champions-League,8,2018-2019
Leon Goretzka,de GER,MF,de Bayern Munich,23,1995,6,3,328,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.13,0.09,0.22,0.13,0.22,7,3,42.9,1.92,0.82,0.00,0.00,18.8,0,0.07,-0.5,-0.5,156,177,88.1,2761,433,67,77,87.0,70,77,90.9,14,16,87.5,-0.3,2,17,0,0,8,174,3,0,18,4,3,0,0,0,0,134,24,19,7,154,11,0,1,0,2,1,2,7,1.92,3,0,0,2,2,0,0.00,0,0,0,0,0,0,13,9,5,7,1,3,33.3,6,24,32.4,19,47,8,0,7,17,1,0,221,8,7,2,0.0,0,0,159,2,4,2,168,158,94.0,12,55,45.6,89,2,3,20,1,2.17,10,4,+6,+1.65,+1.19,8.2,3.9,+4.3,+1.18,+1.52,0,7,0,0,0,31,4,2,66.7,Champions-League,8,2018-2019
Mathieu Gorgelin,fr FRA,GK,fr Lyon,27,1990,1,0,57,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,16,19,84.2,469,238,2,2,100.0,7,7,100.0,7,10,70.0,0.0,0,0,0,0,0,15,4,0,2,2,0,0,0,0,0,11,2,6,13,3,0,0,2,0,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,1,0,0,0,0,0,0,0,20,18,0,0,,0,0,10,0,0,0,12,12,100.0,0,57,7.9,,0,1,57,7,0.00,1,3,-2,-3.16,-3.02,0.3,2.5,-2.2,-3.54,-3.18,0,0,0,0,0,1,0,0,,Champions-League,8,2018-2019
Mario Götze,de GER,"MF,FW",de Dortmund,26,1992,6,5,437,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.07,0.04,0.12,0.07,0.12,6,2,33.3,1.24,0.41,0.00,0.00,19.6,0,0.06,-0.4,-0.4,225,269,83.6,2902,668,158,174,90.8,49,61,80.3,10,20,50.0,-0.2,4,14,5,0,16,256,13,1,34,5,4,3,0,0,0,216,33,20,23,232,8,4,1,2,1,5,4,12,2.47,10,0,1,0,0,1,0.21,1,0,0,0,0,0,14,6,3,6,5,2,40.0,3,37,22.0,22,97,49,0,7,18,3,0,329,4,21,10,70.0,7,0,263,6,12,8,319,257,80.6,43,73,60.7,84,4,1,16,1,1.50,6,5,+1,+0.21,-0.75,6.8,4.2,+2.6,+0.53,-0.31,0,7,0,0,0,28,1,6,14.3,Champions-League,8,2018-2019
Gobe Gouano,fr FRA,FW,fr Monaco,17,2000,1,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.09,0.00,0.09,0.09,0.09,2,0,0.0,6.00,0.00,0.00,,23.0,0,0.02,0.0,0.0,2,5,40.0,26,0,1,2,50.0,1,2,50.0,0,0,,0.0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,4,0,1,1,3,0,0,0,0,0,0,2,1,3.00,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,33.3,0,6,3,0,0,0,0,0,8,0,3,1,100.0,1,0,7,1,1,0,12,8,66.7,7,30,5.6,,0,1,30,2,0.00,0,1,-1,-3.00,-1.06,0.1,0.2,-0.1,-0.37,+0.63,0,0,0,0,0,0,2,0,100.0,Champions-League,8,2018-2019
Samuel Grandsir,fr FRA,"FW,MF",fr Monaco,21,1996,3,2,187,2.1,1,0,1,0,0,0,0,0.48,0.00,0.48,0.48,0.48,0.6,0.6,0.1,0.7,0.27,0.04,0.31,0.27,0.31,2,1,50.0,0.96,0.48,0.50,1.00,7.3,0,0.28,+0.4,+0.4,48,72,66.7,796,210,27,34,79.4,15,23,65.2,5,11,45.5,-0.1,2,5,4,2,3,67,5,0,16,4,10,2,0,0,0,43,14,15,12,58,1,1,0,0,4,0,4,3,1.44,3,0,0,0,0,0,0.00,0,0,0,0,0,0,5,1,4,1,0,1,33.3,2,3,8.8,12,18,4,0,6,8,0,0,99,4,9,8,62.5,5,0,78,2,4,4,88,68,77.3,22,62,34.6,83,1,1,21,1,0.00,1,6,-5,-2.41,-0.62,2.0,3.1,-1.1,-0.52,+0.68,0,2,0,0,0,13,1,0,100.0,Champions-League,8,2018-2019
Mason Greenwood,eng ENG,MF,eng Manchester Utd,16,2001,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,0,2,0.0,0,0,0,1,0.0,0,0,,0,0,,0.0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,1,0,0,0,0,0,0,2,0,0,0,,0,0,0,0,0,0,6,1,16.7,0,4,0.4,,0,1,4,1,3.00,1,0,+1,+22.50,+22.70,0.8,0.0,+0.8,+17.25,+17.39,0,1,0,0,0,1,1,0,100.0,Champions-League,8,2018-2019
Antoine Griezmann,fr FRA,FW,es Atlético Madrid,27,1991,8,8,720,8.0,4,3,4,0,0,2,0,0.50,0.37,0.87,0.50,0.87,2.2,2.2,1.6,3.8,0.28,0.20,0.48,0.28,0.48,23,12,52.2,2.87,1.50,0.17,0.33,17.5,2,0.10,+1.8,+1.8,248,349,71.1,4153,1028,141,180,78.3,83,106,78.3,21,50,42.0,+1.4,14,14,18,2,30,311,38,1,53,17,18,15,0,0,0,230,52,67,279,43,21,2,0,2,4,5,18,25,3.12,21,2,0,1,0,3,0.37,3,0,0,0,0,0,11,9,4,6,1,3,33.3,6,36,21.7,21,77,68,0,3,12,5,0,423,7,38,16,43.8,10,2,289,4,9,9,402,310,77.1,84,90,100.0,90,8,0,,0,2.00,11,9,+2,+0.25,,7.7,7.9,-0.2,-0.02,,0,7,0,0,0,50,5,10,33.3,Champions-League,8,2018-2019
