Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Caen,29,26,52.3,21,231.0,1890,21.0,22.0,17.0,21.0,1.0,1.0,44.0,4.0,1.05,0.81,1.86,1.0,1.81,233.0,87.0,37.3,11.1,4.14,0.09,0.24,,90,100,83.0,142.0,85.0,18.0,61,1.19,24,26,-2,-0.1,2.0,278.0,284.0,48.0,344.0,256.0,212.0,,,1.0,Ligue-2,60,2021-2022
Caen,32,26,52.4,38,418.0,3420,38.0,48.0,32.0,41.0,7.0,8.0,74.0,3.0,1.26,0.84,2.11,1.08,1.92,428.0,163.0,38.1,11.26,4.29,0.1,0.25,,90,100,84.0,274.0,144.0,18.0,120,1.08,49,34,15,0.39,1.0,509.0,582.0,93.0,714.0,481.0,357.0,,,1.0,Ligue-2,60,2020-2021
Caen,33,26,50.4,28,,2520,28.0,,,,,,,,,,,,,,,,,,,,,90,100,,,,,119,1.21,34,33,1,0.04,,,,,,,,,,,Ligue-2,60,2019-2020
Chambly Oise,30,26,56.2,28,,2520,28.0,,,,,,,,,,,,,,,,,,,,,90,100,,,,,118,1.25,32,26,6,0.21,,,,,,,,,,,Ligue-2,60,2019-2020
Chambly Oise,34,26,57.6,38,418.0,3420,38.0,63.0,40.0,57.0,6.0,7.0,82.0,5.0,1.66,1.05,2.71,1.5,2.55,453.0,177.0,39.1,11.92,4.66,0.13,0.32,,90,100,82.0,259.0,157.0,20.0,107,1.0,64,41,23,0.61,1.0,618.0,579.0,83.0,746.0,407.0,380.0,,,1.0,Ligue-2,60,2020-2021
Châteauroux,25,26,54.2,38,418.0,3420,38.0,50.0,38.0,47.0,3.0,4.0,49.0,2.0,1.32,1.0,2.32,1.24,2.24,0.0,0.0,,0.0,0.0,,,,90,100,85.0,,108.0,17.0,156,1.58,50,50,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ligue-2,60,2017-2018
Châteauroux,30,26,51.4,38,418.0,3420,38.0,42.0,26.0,37.0,5.0,7.0,55.0,5.0,1.11,0.68,1.79,0.97,1.66,,,,,,,,,90,100,84.0,,108.0,22.0,158,1.26,42,37,5,0.13,1.0,,,,,,,,,0.0,Ligue-2,60,2018-2019
Châteauroux,31,26,52.0,28,,2520,28.0,,,,,,,,,,,,,,,,,,,,,90,100,,,,,115,1.21,38,22,16,0.57,,,,,,,,,,,Ligue-2,60,2019-2020
Châteauroux,35,26,48.8,38,418.0,3420,38.0,56.0,39.0,50.0,6.0,7.0,57.0,3.0,1.47,1.03,2.5,1.32,2.34,465.0,175.0,37.6,12.24,4.61,0.11,0.29,,90,100,83.0,267.0,149.0,20.0,116,0.61,58,32,26,0.68,1.0,609.0,585.0,80.0,720.0,482.0,408.0,,,1.0,Ligue-2,60,2020-2021
Clermont Foot,21,26,43.1,38,418.0,3420,38.0,23.0,9.0,16.0,7.0,9.0,64.0,7.0,0.61,0.24,0.84,0.42,0.66,339.0,114.0,33.6,8.92,3.0,0.05,0.14,,90,100,82.0,259.0,155.0,21.0,110,1.89,25,61,-36,-0.95,2.0,501.0,429.0,40.0,642.0,554.0,433.0,,,1.0,Ligue-2,60,2020-2021
Clermont Foot,24,26,48.1,38,418.0,3420,38.0,36.0,23.0,31.0,5.0,7.0,66.0,6.0,0.95,0.61,1.55,0.82,1.42,0.0,0.0,,0.0,0.0,,,,90,100,85.0,,105.0,21.0,154,1.66,36,54,-18,-0.47,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Ligue-2,60,2017-2018
