Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Caen,32,25,47.6,38,418,3420,38.0,33,18,26,7,10,86.0,7.0,0.87,0.47,1.34,0.68,1.16,387.0,138.0,35.7,10.18,3.63,0.07,0.19,,90,100,81.0,242.0,169,21,96,1.08,34,49,-15,-0.39,4,615.0,475.0,52.0,672.0,452.0,354.0,,,1,Ligue-2,60,2020-2021
Caen,33,26,49.6,28,308,2520,28.0,30,14,22,8,9,56.0,4.0,1.07,0.5,1.57,0.79,1.29,270.0,99.0,36.7,9.64,3.54,0.08,0.22,,90,100,84.0,,77,20,119,1.21,33,34,-1,-0.04,1,433.0,361.0,46.0,525.0,308.0,303.0,,,1,Ligue-2,60,2019-2020
Chambly Oise,30,28,43.8,28,308,2520,28.0,26,12,22,4,4,62.0,3.0,0.93,0.43,1.36,0.79,1.21,263.0,84.0,31.9,9.39,3.0,0.08,0.26,,90,100,84.0,,79,21,117,1.25,26,32,-6,-0.21,2,386.0,382.0,72.0,465.0,289.0,327.0,,,1,Ligue-2,60,2019-2020
Chambly Oise,34,28,42.4,38,418,3420,38.0,40,23,33,7,8,71.0,12.0,1.05,0.61,1.66,0.87,1.47,334.0,115.0,34.4,8.79,3.03,0.1,0.29,,90,100,81.0,251.0,156,21,108,1.0,41,64,-23,-0.61,4,602.0,596.0,85.0,549.0,504.0,421.0,,,1,Ligue-2,60,2020-2021
Châteauroux,25,25,45.8,38,418,3420,38.0,49,39,45,4,4,,,1.29,1.03,2.32,1.18,2.21,0.0,165.0,,0.0,4.34,,0.27,,90,100,,,111,0,155,1.58,50,50,0,0.0,2,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Ligue-2,60,2017-2018
Châteauroux,30,26,48.6,38,418,3420,38.0,37,25,31,6,6,71.0,8.0,0.97,0.66,1.63,0.82,1.47,,,,,,,,,90,100,83.0,,112,23,140,1.26,37,42,-5,-0.13,1,,,,,,,,,0,Ligue-2,60,2018-2019
Châteauroux,31,25,48.0,28,308,2520,28.0,22,18,21,1,1,59.0,7.0,0.79,0.64,1.43,0.75,1.39,348.0,123.0,35.3,12.43,4.39,0.06,0.17,,90,100,83.0,,79,24,109,1.21,22,38,-16,-0.57,3,383.0,315.0,40.0,590.0,279.0,248.0,,,0,Ligue-2,60,2019-2020
Châteauroux,35,25,51.2,38,418,3420,38.0,31,18,29,2,2,82.0,8.0,0.82,0.47,1.29,0.76,1.24,436.0,130.0,29.8,11.47,3.42,0.07,0.22,,90,100,82.0,271.0,143,21,123,0.61,32,58,-26,-0.68,4,617.0,572.0,69.0,729.0,486.0,328.0,,,2,Ligue-2,60,2020-2021
Clermont Foot,21,26,56.9,38,418,3420,38.0,60,40,58,2,4,49.0,3.0,1.58,1.05,2.63,1.53,2.58,541.0,200.0,37.0,14.24,5.26,0.11,0.29,,90,100,83.0,257.0,159,17,107,1.89,61,25,36,0.95,0,458.0,476.0,88.0,705.0,555.0,353.0,,,2,Ligue-2,60,2020-2021
Clermont Foot,24,24,51.9,38,418,3420,38.0,52,33,48,4,6,,,1.37,0.87,2.24,1.26,2.13,0.0,162.0,,0.0,4.26,,0.3,,90,100,,,107,0,141,1.66,54,36,18,0.47,3,471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Ligue-2,60,2017-2018
Clermont Foot,24,26,56.6,28,308,2520,28.0,34,24,30,4,4,51.0,4.0,1.21,0.86,2.07,1.07,1.93,336.0,115.0,34.2,12.0,4.11,0.09,0.26,,90,100,86.0,,77,16,119,1.79,35,25,10,0.36,1,348.0,393.0,62.0,495.0,293.0,228.0,,,1,Ligue-2,60,2019-2020
Clermont Foot,25,25,56.1,38,418,3420,38.0,43,34,40,3,4,55.0,5.0,1.13,0.89,2.03,1.05,1.95,,,,,,,,,90,100,85.0,,106,17,159,1.26,44,37,7,0.18,1,,,,,,,,,0,Ligue-2,60,2018-2019
Dijon,28,27,51.5,22,242,1980,22.0,28,18,27,1,1,49.0,2.0,1.27,0.82,2.09,1.23,2.05,289.0,95.0,32.9,13.14,4.32,0.09,0.28,,90,100,82.0,164.0,76,24,77,1.32,28,29,-1,-0.05,0,319.0,330.0,33.0,448.0,236.0,239.0,,,2,Ligue-2,60,2021-2022
Dunkerque,25,27,46.6,38,418,3420,38.0,34,21,29,5,5,68.0,2.0,0.89,0.55,1.45,0.76,1.32,360.0,114.0,31.7,9.47,3.0,0.08,0.25,,90,100,82.0,260.0,157,20,110,1.08,34,47,-13,-0.34,1,574.0,574.0,65.0,664.0,429.0,360.0,,,1,Ligue-2,60,2020-2021
Dunkerque,27,28,45.8,20,220,1800,20.0,15,10,14,1,1,46.0,2.0,0.75,0.5,1.25,0.7,1.2,165.0,52.0,31.5,8.25,2.6,0.08,0.27,,90,100,83.0,141.0,78,20,61,0.85,15,26,-11,-0.55,1,302.0,325.0,35.0,338.0,237.0,199.0,,,1,Ligue-2,60,2021-2022
Gazélec Ajaccio,24,27,47.9,38,418,3420,38.0,30,20,27,3,6,89.0,11.0,0.79,0.53,1.32,0.71,1.24,,,,,,,,,90,100,85.0,,97,20,160,1.03,30,54,-24,-0.63,5,,,,,,,,,4,Ligue-2,60,2018-2019
Gazélec Ajaccio,31,28,44.7,38,418,3420,38.0,34,26,30,4,4,,,0.89,0.68,1.58,0.79,1.47,0.0,127.0,,0.0,3.34,,0.24,,90,100,,,97,0,150,1.08,35,60,-25,-0.66,1,586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Ligue-2,60,2017-2018
Grenoble,24,27,49.6,28,308,2520,28.0,25,18,22,3,4,45.0,2.0,0.89,0.64,1.54,0.79,1.43,308.0,105.0,34.1,11.0,3.75,0.07,0.21,,90,100,85.0,,80,17,116,1.25,27,29,-2,-0.07,1,398.0,369.0,58.0,543.0,288.0,284.0,,,1,Ligue-2,60,2019-2020
Grenoble,27,26,50.9,38,418,3420,38.0,49,35,41,8,9,76.0,4.0,1.29,0.92,2.21,1.08,2.0,426.0,141.0,33.1,11.21,3.71,0.1,0.29,,90,100,82.0,247.0,168,20,97,1.71,51,35,16,0.42,2,544.0,510.0,83.0,679.0,534.0,331.0,,,0,Ligue-2,60,2020-2021
