Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Alberto Paloschi,it ITA,FW,SPAL,28,1990,23,8,863,9.6,2,0,2,0,0,3,0,0.21,0.00,0.21,0.21,0.21,2.6,2.6,0.5,3.1,0.27,0.05,0.32,0.27,0.32,10,4,40.0,1.04,0.42,0.20,0.50,9.2,0,0.26,-0.6,-0.6,122,162,75.3,1696,237,67,89,75.3,42,50,84.0,6,10,60.0,-0.5,6,7,1,0,8,143,19,2,40,2,3,0,0,0,0,107,34,21,23,114,15,0,6,0,2,5,4,10,1.04,10,0,0,0,0,1,0.10,1,0,0,0,0,0,13,6,5,4,4,3,50.0,3,49,22.6,18,104,95,0,4,15,0,0,253,2,35,10,20.0,2,0,162,1,32,13,371,179,48.2,63,38,25.2,84,5,15,13,14,0.70,10,15,-5,-0.52,-0.28,10.6,15.8,-5.2,-0.55,-0.48,0,17,0,0,0,29,6,17,26.1,Serie-A,11,2018-2019
Goran Pandev,mk MKD,"FW,MF",Genoa,35,1983,26,12,1122,12.5,4,2,4,0,0,6,0,0.32,0.16,0.48,0.32,0.48,2.8,2.8,1.7,4.6,0.23,0.14,0.37,0.23,0.37,28,10,35.7,2.25,0.80,0.14,0.40,14.8,0,0.10,+1.2,+1.2,277,367,75.5,5146,1226,128,157,81.5,105,133,78.9,41,65,63.1,+0.3,18,27,22,4,41,338,29,2,80,13,16,0,0,0,0,245,59,63,275,68,13,4,4,3,8,9,18,49,3.93,29,0,4,12,2,3,0.24,2,0,0,0,0,1,18,10,0,13,5,3,23.1,10,48,24.6,21,106,68,0,6,20,3,0,557,6,62,38,63.2,26,4,461,8,28,37,582,412,70.8,142,43,32.8,69,3,14,21,10,1.04,18,18,0,0.00,+0.70,16.5,18.1,-1.6,-0.13,+0.21,0,17,0,0,0,69,4,25,13.8,Serie-A,11,2018-2019
Lucas Paquetá,br BRA,MF,Milan,20,1997,13,12,842,9.4,1,1,1,0,0,5,1,0.11,0.11,0.21,0.11,0.21,1.2,1.2,0.7,1.9,0.13,0.07,0.20,0.13,0.20,13,6,46.2,1.39,0.64,0.08,0.17,17.8,0,0.09,-0.2,-0.2,278,371,74.9,4410,1441,154,179,86.0,106,133,79.7,15,37,40.5,+0.3,10,30,11,1,40,367,4,2,111,2,8,0,0,0,0,260,60,51,303,41,12,1,1,1,7,9,15,22,2.35,17,0,2,2,0,5,0.53,2,0,1,1,1,0,18,11,10,5,3,1,4.5,21,50,19.8,81,132,39,0,12,22,11,0,507,17,23,30,66.7,20,3,388,2,16,26,462,379,82.0,63,65,24.6,69,2,1,20,1,1.85,16,6,+10,+1.07,+0.75,9.3,10.6,-1.4,-0.15,-0.48,0,18,0,0,0,69,14,16,46.7,Serie-A,11,2018-2019
Vittorio Parigini,it ITA,"MF,FW",Torino,22,1996,17,2,377,4.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,1.0,2.0,0.25,0.24,0.49,0.25,0.49,9,4,44.4,2.15,0.95,0.00,0.00,17.5,0,0.12,-1.0,-1.0,93,145,64.1,1511,557,42,56,75.0,38,56,67.9,7,19,36.8,-1.0,7,7,4,4,10,119,26,0,25,4,16,3,0,0,0,85,28,32,32,89,2,18,1,1,4,5,17,16,3.82,10,1,2,2,0,0,0.00,0,0,0,0,0,0,13,10,4,7,2,5,50.0,5,31,34.1,25,33,33,0,5,16,2,0,231,2,13,24,37.5,9,2,167,5,17,12,174,132,75.9,29,22,11.0,72,0,15,16,14,1.35,3,5,-2,-0.48,-0.98,5.3,6.8,-1.5,-0.35,-0.43,0,9,0,0,0,46,3,6,33.3,Serie-A,11,2018-2019
Marco Parolo,it ITA,MF,Lazio,33,1985,34,28,2563,28.5,4,3,4,0,0,7,0,0.14,0.11,0.25,0.14,0.25,5.1,5.1,2.3,7.4,0.18,0.08,0.26,0.18,0.26,61,17,27.9,2.14,0.60,0.07,0.24,14.8,0,0.08,-1.1,-1.1,829,1101,75.3,14616,4446,367,437,84.0,356,452,78.8,84,140,60.0,+0.7,28,71,29,7,106,1036,65,0,205,25,41,1,0,0,0,681,164,256,277,660,88,32,4,3,19,17,46,62,2.18,51,0,4,0,0,4,0.14,3,0,0,1,0,0,69,42,25,33,11,24,28.9,59,144,22.6,190,321,127,0,45,88,50,0,1420,63,108,16,43.8,8,0,796,7,24,18,1065,874,82.1,151,75,74.9,87,24,6,22,2,1.53,44,36,+8,+0.28,+0.07,43.8,33.8,+10.0,+0.35,-0.04,0,52,0,0,0,252,58,41,58.6,Serie-A,11,2018-2019
Mario Pašalić,hr CRO,"MF,FW",Atalanta,23,1995,33,17,1618,18.0,5,3,5,0,0,1,0,0.28,0.17,0.44,0.28,0.44,3.8,3.8,1.7,5.4,0.21,0.09,0.30,0.21,0.30,36,9,25.0,2.00,0.50,0.14,0.56,12.8,0,0.11,+1.2,+1.2,830,992,83.7,16189,3058,302,361,83.7,390,447,87.2,124,151,82.1,+1.3,21,64,14,1,63,977,15,2,194,37,9,0,0,0,0,759,126,107,259,669,40,6,1,0,10,21,25,45,2.50,39,0,1,1,1,6,0.33,5,0,1,0,0,0,38,27,9,18,11,12,32.4,25,98,25.2,75,225,89,0,23,49,21,2,1211,21,66,44,54.5,27,2,936,6,34,31,1075,920,85.6,105,49,47.3,75,7,16,22,5,1.97,34,22,+12,+0.67,-0.28,27.1,17.5,+9.7,+0.54,-0.26,0,21,0,0,0,163,28,39,41.8,Serie-A,11,2018-2019
Manuel Pasqual,it ITA,"DF,MF",Empoli,36,1982,22,13,1342,14.9,1,2,0,1,1,2,0,0.07,0.13,0.20,0.00,0.13,1.1,0.3,1.9,2.3,0.07,0.13,0.20,0.02,0.15,7,0,0.0,0.47,0.00,0.00,,24.6,2,0.05,-0.1,-0.3,705,1045,67.5,14188,6691,279,324,86.1,306,395,77.5,113,292,38.7,+0.1,21,89,29,18,95,840,205,1,155,39,92,41,3,5,2,482,200,363,797,89,25,133,1,6,19,22,39,33,2.21,23,7,0,1,1,2,0.13,1,1,0,0,0,0,26,15,13,10,3,16,39.0,25,58,23.5,113,101,33,0,20,35,31,0,1161,45,17,10,50.0,5,1,741,0,3,8,803,742,92.4,36,61,39.2,82,7,9,30,10,1.00,20,30,-10,-0.67,-0.28,18.9,22.7,-3.8,-0.25,-0.03,0,15,0,0,0,108,2,13,13.3,Serie-A,11,2018-2019
Javier Pastore,ar ARG,MF,Roma,29,1989,14,7,597,6.6,3,0,3,0,0,0,0,0.45,0.00,0.45,0.45,0.45,2.1,2.1,1.2,3.3,0.32,0.19,0.50,0.32,0.50,19,5,26.3,2.86,0.75,0.16,0.60,12.0,0,0.11,+0.9,+0.9,327,390,83.8,5595,1663,168,191,88.0,119,137,86.9,37,52,71.2,-1.2,17,36,13,2,50,373,17,2,70,6,9,9,0,0,0,309,38,43,33,346,7,3,0,3,7,11,10,38,5.73,25,5,3,1,2,0,0.00,0,0,0,0,0,0,6,3,3,2,1,2,13.3,13,36,31.0,22,52,42,0,5,12,5,0,458,7,34,25,68.0,17,1,377,3,8,9,419,366,87.4,74,43,17.5,65,1,7,21,14,1.57,10,10,0,0.00,-0.57,12.8,10.2,+2.6,+0.39,+0.15,0,11,0,0,0,42,1,4,20.0,Serie-A,11,2018-2019
Patric,es ESP,"DF,MF",Lazio,25,1993,15,12,1085,12.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.6,1.4,0.06,0.05,0.12,0.06,0.12,14,2,14.3,1.16,0.17,0.00,0.00,19.3,0,0.06,-0.8,-0.8,580,711,81.6,12200,3646,178,205,86.8,287,332,86.4,109,159,68.6,-0.6,6,41,13,1,66,656,55,0,89,22,30,1,0,0,0,497,102,112,93,554,17,43,1,4,15,11,13,20,1.66,18,1,0,0,1,3,0.25,3,0,0,0,0,0,16,8,9,4,3,8,40.0,12,55,30.6,66,78,36,0,19,28,34,1,838,50,27,6,50.0,3,0,563,5,9,7,611,581,95.1,43,72,31.7,86,9,3,20,16,1.53,22,12,+10,+0.83,+0.83,20.9,10.0,+10.9,+0.91,+0.80,0,13,0,1,0,105,7,9,43.8,Serie-A,11,2018-2019
Leonardo Pavoletti,it ITA,FW,Cagliari,29,1988,32,31,2734,30.4,16,1,16,0,0,6,0,0.53,0.03,0.56,0.53,0.56,10.2,10.2,1.1,11.3,0.34,0.04,0.37,0.34,0.37,86,33,38.4,2.83,1.09,0.19,0.48,11.8,0,0.12,+5.8,+5.8,623,876,71.1,8322,1147,401,510,78.6,158,247,64.0,33,60,55.0,-0.1,20,35,10,0,34,865,11,0,298,7,8,0,0,0,0,402,250,224,85,479,94,1,62,2,17,12,26,55,1.81,41,0,2,2,2,4,0.13,2,0,1,1,0,0,30,19,7,11,12,11,50.0,11,141,23.9,47,247,297,0,14,44,19,0,1199,21,155,34,64.7,23,0,669,6,80,39,1588,943,59.4,353,85,79.9,87,26,1,29,2,1.16,30,40,-10,-0.33,+0.72,30.8,42.1,-11.4,-0.37,+0.68,0,77,0,0,0,145,198,112,63.9,Serie-A,11,2018-2019
Nehuén Paz,ar ARG,DF,Bologna,25,1993,2,1,114,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,34,47,72.3,781,214,8,10,80.0,20,22,90.9,6,14,42.9,0.0,0,1,0,0,0,46,1,0,8,1,0,0,0,0,0,31,7,9,37,8,2,0,0,0,0,2,2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,0,2,0,0,1,50.0,1,0,0.0,6,1,0,0,1,4,1,0,52,4,0,1,100.0,1,0,36,0,0,0,38,38,100.0,0,57,3.3,90,1,1,24,28,0.00,0,2,-2,-1.58,-1.42,0.6,1.2,-0.7,-0.53,-0.57,0,2,0,0,0,6,0,2,0.0,Serie-A,11,2018-2019
João Pedro,br BRA,"FW,MF",Cagliari,26,1992,34,30,2555,28.4,7,2,5,2,2,5,1,0.25,0.07,0.32,0.18,0.25,7.9,6.4,3.3,9.7,0.28,0.12,0.40,0.23,0.34,60,17,28.3,2.11,0.60,0.08,0.29,16.4,5,0.11,-0.9,-1.4,589,817,72.1,9695,1979,317,380,83.4,198,263,75.3,63,116,54.3,-1.3,33,24,20,5,43,723,94,2,189,32,29,35,1,1,1,473,172,172,80,605,62,5,27,2,20,17,47,75,2.64,44,12,2,7,1,6,0.21,2,1,0,1,2,0,19,13,2,10,7,3,16.7,15,77,21.6,47,144,165,0,22,24,14,0,1136,25,132,64,42.2,30,2,743,11,63,44,1382,809,58.5,281,75,74.7,80,11,4,38,0,1.09,27,44,-17,-0.60,-0.49,29.9,44.6,-14.7,-0.52,-0.03,1,54,1,0,0,146,53,77,40.8,Serie-A,11,2018-2019
