Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Toni Kroos,de GER,MF,Real Madrid,29,1990,35,31,2652,29.5,4,5,4,0,0,2,0,0.14,0.17,0.31,0.14,0.31,2.8,2.8,4.0,6.8,0.09,0.14,0.23,0.09,0.23,57,18,31.6,1.93,0.61,0.07,0.22,22.4,2,0.05,+1.2,+1.2,2233,2512,88.9,44639,11749,996,1040,95.8,774,830,93.3,423,586,72.2,+1.0,63,254,37,7,185,2239,273,5,290,203,49,140,36,45,9,1836,230,446,407,2062,23,6,5,13,30,23,15,105,3.56,60,32,2,3,3,7,0.24,4,3,0,0,0,0,57,41,18,29,10,18,25.4,53,153,25.8,113,376,105,0,34,69,13,0,2736,34,44,27,81.5,23,0,1892,7,15,14,2259,2132,94.4,71,76,77.5,83,22,4,20,2,2.31,45,17,+28,+0.95,-1.04,45.9,20.1,+25.8,+0.88,-0.20,0,28,0,0,0,208,11,10,52.4,La-Liga,12,2019-2020
Takefusa Kubo,jp JPN,"MF,FW",Mallorca,18,2001,35,23,2312,25.7,4,4,4,0,0,4,0,0.16,0.16,0.31,0.16,0.31,2.8,2.8,2.9,5.7,0.11,0.11,0.22,0.11,0.22,54,25,46.3,2.10,0.97,0.07,0.16,19.7,6,0.05,+1.2,+1.2,539,764,70.5,8493,2565,284,349,81.4,207,272,76.1,34,84,40.5,+1.1,34,40,33,8,77,723,41,1,206,24,57,25,9,8,1,522,131,111,596,128,19,3,9,2,22,21,50,91,3.54,58,4,12,12,2,18,0.70,12,0,2,1,3,0,35,25,16,14,5,16,32.0,34,126,25.6,130,236,126,0,31,54,11,0,1161,15,103,120,60.0,81,2,951,43,61,75,1060,841,79.3,151,66,67.6,84,14,12,31,1,0.83,28,49,-21,-0.82,-0.49,26.2,46.4,-20.2,-0.78,-0.68,0,35,2,0,0,148,9,25,26.5,La-Liga,12,2019-2020
Víctor Laguardia,es ESP,DF,Alavés,29,1989,31,31,2654,29.5,1,2,1,0,0,9,1,0.03,0.07,0.10,0.03,0.10,0.8,0.8,0.9,1.7,0.03,0.03,0.06,0.03,0.06,8,1,12.5,0.27,0.03,0.13,1.00,14.8,0,0.10,+0.2,+0.2,774,1026,75.4,20218,8928,159,183,86.9,375,430,87.2,231,398,58.0,+1.1,7,71,7,1,56,966,60,1,159,46,4,0,0,0,0,508,113,405,65,811,115,0,1,3,41,7,6,16,0.54,15,0,0,0,1,3,0.10,3,0,0,0,0,0,25,17,17,8,0,13,39.4,20,55,25.7,131,81,2,0,29,42,182,1,1316,168,16,5,60.0,3,0,630,0,2,3,692,675,97.5,12,86,77.6,86,27,0,,2,1.00,27,44,-17,-0.58,+0.36,30.0,42.2,-12.2,-0.41,+0.06,0,36,0,0,0,298,60,27,69.0,La-Liga,12,2019-2020
Diego Lainez,mx MEX,"MF,FW",Betis,19,2000,15,2,348,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.04,0.01,0.05,0.04,0.05,6,2,33.3,1.55,0.52,0.00,0.00,23.4,0,0.03,-0.2,-0.2,89,119,74.8,1176,308,61,72,84.7,21,30,70.0,3,6,50.0,0.0,2,1,5,2,8,111,8,1,29,3,14,1,1,0,0,86,13,20,82,23,5,4,2,2,3,0,7,4,1.03,4,0,0,0,0,0,0.00,0,0,0,0,0,0,7,5,2,4,1,3,30.0,7,15,22.7,16,38,12,0,9,7,1,0,182,1,18,27,66.7,19,0,153,8,10,12,182,139,76.4,25,23,10.2,64,0,13,17,14,1.07,10,8,+2,+0.52,+0.93,4.7,4.3,+0.4,+0.10,+0.18,0,8,0,0,0,15,3,12,20.0,La-Liga,12,2019-2020
Larra,es ESP,"FW,MF",Athletic Club,21,1997,10,2,250,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.03,0.05,0.02,0.05,3,1,33.3,1.08,0.36,0.00,0.00,20.5,0,0.02,-0.1,-0.1,45,77,58.4,657,126,25,33,75.8,15,26,57.7,3,13,23.1,-0.1,1,1,1,1,0,70,7,0,18,4,9,6,2,2,2,40,21,16,8,57,5,1,2,0,1,2,5,4,1.44,0,1,0,2,0,1,0.36,0,0,0,0,1,0,2,1,0,2,0,1,100.0,0,9,20.9,5,23,15,0,5,2,1,0,112,0,4,7,42.9,4,0,72,1,7,6,145,85,58.6,22,25,7.3,72,0,8,13,21,0.90,3,3,0,0.00,-0.09,3.2,2.8,+0.4,+0.16,+0.39,0,6,1,0,0,8,5,8,38.5,La-Liga,12,2019-2020
Toni Lato,es ESP,"DF,MF",Osasuna,21,1997,8,6,470,5.2,1,0,1,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.3,0.3,0.3,0.6,0.07,0.05,0.12,0.07,0.12,4,2,50.0,0.77,0.38,0.25,0.50,13.7,0,0.09,+0.7,+0.7,168,256,65.6,2874,1175,77,92,83.7,73,104,70.2,14,44,31.8,-0.3,4,10,3,2,12,189,67,0,28,8,12,0,0,0,0,94,85,77,141,19,26,62,0,1,10,3,15,7,1.34,7,0,0,0,0,1,0.19,1,0,0,0,0,0,20,12,10,9,1,5,71.4,2,32,28.8,36,56,19,0,13,24,16,2,326,19,6,11,90.9,10,0,153,1,2,4,158,137,86.7,12,59,13.7,76,2,2,6,4,1.63,8,8,0,0.00,+0.24,5.8,6.7,-0.9,-0.17,-0.14,0,13,0,0,0,61,9,21,30.0,La-Liga,12,2019-2020
Robin Le Normand,fr FRA,DF,Real Sociedad,22,1996,31,25,2394,26.6,1,0,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,0.9,0.9,0.3,1.2,0.03,0.01,0.04,0.03,0.04,12,2,16.7,0.45,0.08,0.08,0.50,10.4,0,0.08,+0.1,+0.1,1516,1695,89.4,31910,8059,411,448,91.7,875,930,94.1,219,287,76.3,-0.3,5,69,3,0,83,1630,65,0,178,26,2,0,0,0,0,1359,97,239,168,1356,115,5,2,2,25,4,12,11,0.41,10,0,0,0,1,1,0.04,1,0,0,0,0,0,46,27,29,17,0,22,61.1,14,83,43.9,119,67,3,0,15,60,151,1,1944,242,23,0,,0,0,1288,0,5,2,1396,1369,98.1,18,77,70.0,88,24,6,32,5,1.68,37,30,+7,+0.26,+0.18,30.3,25.5,+4.9,+0.18,+0.09,0,28,0,3,0,272,91,50,64.5,La-Liga,12,2019-2020
Wu Lei,cn CHN,"FW,MF",Espanyol,27,1991,33,21,1719,19.1,4,0,4,0,0,3,0,0.21,0.00,0.21,0.21,0.21,5.5,5.5,1.7,7.2,0.29,0.09,0.38,0.29,0.38,45,15,33.3,2.36,0.79,0.09,0.27,13.3,0,0.12,-1.5,-1.5,208,317,65.6,3156,695,114,151,75.5,74,114,64.9,12,24,50.0,-1.7,13,13,6,3,14,305,12,0,75,4,24,0,0,0,0,147,95,75,46,214,30,1,3,1,3,7,17,24,1.26,16,0,4,1,0,1,0.05,0,0,0,1,0,0,18,9,11,4,3,8,18.2,36,69,23.3,70,146,80,0,33,28,18,1,516,17,93,32,53.1,17,0,290,18,32,13,615,326,53.0,132,52,50.3,71,4,12,19,5,0.36,14,27,-13,-0.68,+0.27,17.6,22.3,-4.7,-0.24,+0.11,0,17,0,0,0,91,31,42,42.5,La-Liga,12,2019-2020
Iñigo Lekue,es ESP,"FW,DF",Athletic Club,26,1993,14,6,623,6.9,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,0.8,1.0,0.02,0.12,0.14,0.02,0.14,3,0,0.0,0.43,0.00,0.00,,18.0,0,0.05,-0.2,-0.2,195,283,68.9,3283,1060,100,118,84.7,73,97,75.3,18,55,32.7,+0.2,9,10,6,4,11,236,47,1,53,9,25,7,2,4,0,155,52,76,41,178,21,36,1,2,8,8,8,14,2.02,8,1,4,0,0,2,0.29,1,0,1,0,0,0,23,15,13,6,4,13,59.1,9,38,32.2,33,54,31,0,12,24,12,0,388,19,9,37,29.7,14,4,252,3,15,13,304,241,79.3,23,45,18.2,83,4,8,16,17,1.29,8,13,-5,-0.72,-0.98,5.2,12.6,-7.3,-1.06,-1.05,0,13,0,1,0,48,9,10,47.4,La-Liga,12,2019-2020
Thomas Lemar,fr FRA,MF,Atlético Madrid,23,1995,22,10,925,10.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,1.0,0.05,0.04,0.09,0.05,0.09,11,3,27.3,1.07,0.29,0.00,0.00,22.7,3,0.05,-0.5,-0.5,319,405,78.8,5903,1759,147,170,86.5,122,143,85.3,42,70,60.0,-0.4,6,29,10,2,47,369,36,1,72,20,9,19,8,8,2,284,48,73,313,66,14,5,0,1,6,9,13,20,1.95,10,4,2,0,1,1,0.10,1,0,0,0,0,0,12,9,5,5,2,4,33.3,8,48,24.5,66,97,33,0,18,17,3,0,524,7,11,38,55.3,23,1,374,1,24,10,420,353,84.0,47,42,27.0,66,1,12,22,8,1.77,9,8,+1,+0.10,-0.73,12.4,5.8,+6.6,+0.65,+0.10,0,7,0,0,0,77,9,8,52.9,La-Liga,12,2019-2020
Clément Lenglet,fr FRA,DF,Barcelona,24,1995,28,28,2424,26.9,2,1,2,0,0,11,2,0.07,0.04,0.11,0.07,0.11,0.9,0.9,0.5,1.4,0.03,0.02,0.05,0.03,0.05,10,3,30.0,0.37,0.11,0.20,0.67,13.9,0,0.09,+1.1,+1.1,1989,2147,92.6,41975,13188,603,631,95.6,1033,1082,95.5,332,398,83.4,+0.5,5,165,2,0,104,2085,62,3,220,59,0,0,0,0,0,1768,182,197,1756,280,67,7,7,4,15,15,13,14,0.52,14,0,0,0,0,3,0.11,3,0,0,0,0,0,50,38,32,16,2,12,41.4,17,122,43.3,145,128,9,1,25,65,112,1,2375,325,12,9,55.6,5,0,1771,0,0,6,1858,1834,98.7,7,87,70.9,87,24,0,,6,2.14,61,28,+33,+1.23,-0.13,49.3,25.3,+24.0,+0.89,+0.33,2,32,0,1,0,256,65,32,67.0,La-Liga,12,2019-2020
Pedro León,es ESP,"MF,FW",Eibar,32,1986,31,23,1896,21.1,1,2,1,0,0,4,0,0.05,0.09,0.14,0.05,0.14,3.0,3.0,4.2,7.2,0.14,0.20,0.34,0.14,0.34,38,14,36.8,1.80,0.66,0.03,0.07,20.0,6,0.08,-2.0,-2.0,416,717,58.0,7518,2784,209,271,77.1,129,203,63.5,64,195,32.8,-2.2,43,26,23,15,39,594,123,0,174,57,90,81,35,31,10,278,128,311,83,532,56,12,2,3,20,5,41,67,3.18,31,26,4,1,2,5,0.24,3,2,0,0,0,0,27,15,12,8,7,7,31.8,15,102,26.7,68,184,130,0,29,40,11,0,945,12,64,38,52.6,26,2,534,9,43,34,859,588,68.5,140,61,55.4,77,5,8,15,6,1.10,22,29,-7,-0.33,+0.26,23.4,26.8,-3.3,-0.16,+0.22,0,21,0,0,0,128,38,46,45.2,La-Liga,12,2019-2020
Sergio León,es ESP,FW,Levante,30,1989,22,6,672,7.5,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,2.4,2.4,0.1,2.5,0.32,0.01,0.33,0.32,0.33,22,5,22.7,2.95,0.67,0.05,0.20,18.9,0,0.11,-1.4,-1.4,63,108,58.3,1098,150,32,45,71.1,19,35,54.3,8,14,57.1,-0.1,2,4,2,0,6,97,11,0,30,3,5,0,0,0,0,51,27,30,13,74,9,0,3,2,4,3,8,8,1.07,3,0,0,1,1,1,0.13,0,0,0,1,0,0,6,4,0,4,2,2,28.6,5,25,23.1,6,51,51,0,6,8,2,0,190,2,31,10,20.0,3,0,118,6,20,8,268,132,49.3,61,31,19.6,70,0,16,16,12,1.23,7,10,-3,-0.40,-0.30,7.2,16.6,-9.4,-1.25,-0.94,0,12,0,0,0,25,11,15,42.3,La-Liga,12,2019-2020
Lillo,es ESP,DF,Osasuna,30,1989,4,2,195,2.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.02,0.06,0.08,0.02,0.08,1,0,0.0,0.46,0.00,0.00,,20.0,0,0.04,0.0,0.0,100,124,80.6,2164,871,34,40,85.0,52,57,91.2,14,25,56.0,-0.1,1,10,3,1,13,95,29,0,20,6,6,0,0,0,0,58,24,42,9,86,2,23,1,0,1,3,5,3,1.38,3,0,0,0,0,0,0.00,0,0,0,0,0,0,5,2,3,2,0,4,100.0,0,4,21.1,7,11,1,0,2,6,9,0,146,7,1,1,100.0,1,0,89,1,0,3,91,82,90.1,1,49,5.7,90,2,2,8,1,1.50,2,4,-2,-0.92,-0.76,1.6,2.2,-0.6,-0.28,-0.25,0,3,0,0,0,18,4,1,80.0,La-Liga,12,2019-2020
Diego Llorente,es ESP,DF,Real Sociedad,25,1993,29,27,2327,25.9,1,1,1,0,0,7,1,0.04,0.04,0.08,0.04,0.08,1.0,1.0,0.2,1.2,0.04,0.01,0.05,0.04,0.05,10,4,40.0,0.39,0.15,0.10,0.25,13.0,0,0.10,0.0,0.0,1410,1598,88.2,31683,7679,311,332,93.7,838,895,93.6,253,349,72.5,+0.8,4,74,2,0,57,1560,38,2,224,41,1,1,0,0,0,1202,147,249,296,1178,88,4,2,5,35,6,13,14,0.54,13,0,0,1,0,2,0.08,1,0,0,0,1,0,32,21,22,9,1,16,55.2,13,76,37.1,127,74,4,0,21,51,139,2,1842,261,16,8,75.0,6,0,1249,0,5,4,1291,1275,98.8,15,80,68.0,84,22,2,23,2,1.28,37,32,+5,+0.19,-0.05,30.8,25.1,+5.7,+0.22,+0.20,1,21,1,2,0,301,63,47,57.3,La-Liga,12,2019-2020
Marcos Llorente,es ESP,"MF,FW",Atlético Madrid,24,1995,29,16,1368,15.2,3,3,3,0,0,4,0,0.20,0.20,0.39,0.20,0.39,1.9,1.9,3.0,4.8,0.12,0.20,0.32,0.12,0.32,14,5,35.7,0.92,0.33,0.21,0.60,17.2,0,0.13,+1.1,+1.1,395,507,77.9,6233,1632,203,241,84.2,143,171,83.6,31,50,62.0,0.0,15,27,10,2,34,501,6,1,116,8,18,0,0,0,0,393,60,54,48,416,29,0,4,2,10,10,27,27,1.78,21,0,4,2,0,7,0.46,3,0,2,0,2,0,33,22,8,19,6,8,30.8,18,98,31.7,58,167,84,0,25,39,15,0,676,22,51,33,75.8,27,1,497,17,19,31,534,446,83.5,96,47,40.0,70,5,13,19,8,1.97,23,18,+5,+0.33,-0.50,21.4,15.2,+6.2,+0.41,-0.27,0,24,1,0,0,125,15,21,41.7,La-Liga,12,2019-2020
