Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Gianluigi Donnarumma,it ITA,GK,fr Paris S-G,22,1999,3,3,270,3.0,3,1.00,16,14,87.5,2,1,0,1,33.3,2,1,0,1,0.0,0,0,0,4.5,0.19,+1.5,+0.50,9,26,34.6,82,19,20.7,27.5,25,36.0,29.4,33,3,9.1,4,1.33,15.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,50.0,90,3,0,,3,2.33,8,3,+5,+1.67,+1.67,5.9,5.7,+0.2,+0.07,-0.23,0,0,0,0,0,0,0,0,0,14,0,0,,Champions-League,8,2021-2022
Ederson,br BRA,GK,eng Manchester City,28,1993,5,5,450,5.0,8,1.60,13,6,38.5,4,0,1,0,0.0,0,0,0,0,,0,0,1,5.0,0.39,-2.0,-0.40,15,25,60.0,106,12,19.8,28.5,21,19.0,23.9,15,0,0.0,3,0.60,15.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,83.3,90,5,0,,1,2.40,17,8,+9,+1.80,+2.80,13.8,3.9,+9.9,+1.99,+2.33,0,0,1,0,0,0,0,0,0,16,0,0,,Champions-League,8,2021-2022
Guillaume Faivre,ch SUI,GK,ch Young Boys,34,1987,3,3,270,3.0,6,2.00,17,11,64.7,0,2,1,0,0.0,0,0,0,0,,1,2,0,5.7,0.35,-0.3,-0.10,29,56,51.8,120,10,45.0,35.2,12,16.7,26.1,15,1,6.7,1,0.33,20.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,50.0,90,3,0,,2,1.60,4,6,-2,-0.67,+0.33,3.7,3.9,-0.2,-0.07,+0.09,0,0,0,0,0,0,0,0,0,5,0,0,,Champions-League,8,2021-2022
David de Gea,es ESP,GK,eng Manchester Utd,31,1990,5,5,450,5.0,7,1.40,25,18,72.0,3,1,1,1,20.0,0,0,0,0,,0,1,0,6.2,0.25,-0.8,-0.15,29,64,45.3,78,11,52.6,42.0,41,56.1,42.6,31,1,3.2,1,0.20,13.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,83.3,90,5,0,,0,2.00,10,7,+3,+0.60,+0.60,7.4,6.5,+0.9,+0.19,+0.52,0,0,0,0,0,0,0,0,0,7,0,0,,Champions-League,8,2021-2022
Ivo Grbić,hr CRO,GK,fr Lille,26,1996,6,6,540,6.0,4,0.67,15,13,86.7,3,2,1,3,50.0,2,2,0,0,0.0,0,0,0,4.3,0.18,+0.3,+0.05,31,110,28.2,129,28,57.4,43.3,45,80.0,55.8,57,3,5.3,1,0.17,11.6,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,6,0,,0,1.83,7,4,+3,+0.50,,7.3,5.1,+2.2,+0.37,,0,0,4,0,0,0,0,0,0,27,0,0,,Champions-League,8,2021-2022
Péter Gulácsi,hu HUN,GK,de RB Leipzig,31,1990,5,5,450,5.0,14,2.80,23,10,47.8,1,1,3,0,0.0,3,2,0,1,0.0,0,4,1,10.9,0.40,-2.1,-0.42,30,61,49.2,162,22,36.4,33.4,18,11.1,19.5,27,2,7.4,5,1.00,15.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,83.3,90,5,0,,0,0.80,10,14,-4,-0.80,-5.80,8.0,10.9,-2.8,-0.56,-3.05,0,0,2,0,0,0,0,0,0,24,0,0,,Champions-League,8,2021-2022
Mert Günok,tr TUR,GK,tr Beşiktaş,32,1989,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,0,0,0,2.4,0.40,+0.4,+0.38,14,27,51.9,31,5,61.3,44.3,12,66.7,47.8,11,1,9.1,1,1.00,14.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,16.7,90,1,0,,4,0.00,1,2,-1,-1.00,+2.00,1.7,3.0,-1.3,-1.25,+1.08,0,0,0,0,0,0,0,0,0,5,0,0,,Champions-League,8,2021-2022
Samir Handanović,si SVN,GK,it Inter,37,1984,6,6,540,6.0,5,0.83,15,10,66.7,3,1,2,2,33.3,0,0,0,0,,1,0,0,3.1,0.21,-1.9,-0.31,22,39,56.4,164,31,21.3,27.8,24,16.7,28.1,30,1,3.3,4,0.67,13.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,6,0,,0,1.67,8,5,+3,+0.50,,12.4,4.6,+7.8,+1.31,,0,0,2,0,0,0,0,0,0,26,0,0,,Champions-League,8,2021-2022
Tom Heaton,eng ENG,GK,eng Manchester Utd,35,1986,1,0,23,0.3,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0.0,,0.0,0.00,2,6,33.3,6,1,50.0,34.7,5,60.0,41.0,4,1,25.0,0,0.00,10.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,23,4.3,,0,1,23,3,1.00,0,0,0,0.00,-0.52,0.0,0.3,-0.3,-1.27,-1.44,0,0,0,0,0,0,0,0,0,2,0,0,,Champions-League,8,2021-2022
Dean Henderson,eng ENG,GK,eng Manchester Utd,24,1997,1,1,67,0.7,1,1.34,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,0,1,0,1.2,0.29,+0.2,+0.24,1,12,8.3,24,8,41.7,40.8,6,33.3,42.5,11,2,18.2,2,2.69,18.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,67,12.4,67,0,0,,4,1.00,1,1,0,0.00,-0.57,0.9,0.9,0.0,0.00,-0.12,0,0,0,0,0,0,0,0,0,5,0,0,,Champions-League,8,2021-2022
