Round,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,League Name,League ID,Season
Second qualifying round,Wed,2020-08-26,20:15,Young Boys ch,,3–1,,fo KÍ,,Stade de Suisse Wankdorf Bern,Athanasios Tzilos,Match Report,,Champions-League,8,2020-2021
Second qualifying round,Wed,2020-08-26,19:45,Celtic sct,1.5,1–2,0.3,hu Ferencváros,,Celtic Park,Allard Lindhout,Match Report,,Champions-League,8,2020-2021
Third qualifying round,Tue,2020-09-15,20:00,Dynamo Kyiv ua,,2–0,,nl AZ Alkmaar,,NSK Olimpijs'kyj,Orel Grinfeeld,Match Report,,Champions-League,8,2020-2021
Third qualifying round,Tue,2020-09-15,21:00,PAOK gr,,2–1,,pt Benfica,,Stadio Toumbas,Felix Brych,Match Report,,Champions-League,8,2020-2021
Third qualifying round,Tue,2020-09-15,20:30,Gent be,,2–1,,at Rapid Wien,,GHELAMCO-arena,Andreas Ekberg,Match Report,,Champions-League,8,2020-2021
Third qualifying round,Wed,2020-09-16,18:00,AC Omonia cy,,(4) 1–1 (2),,rs Red Star,,Stadio GSP (1902),Chris Kavanagh,Match Report,AC Omonia won on penalty kicks following extra time,Champions-League,8,2020-2021
Third qualifying round,Wed,2020-09-16,19:00,Ferencváros hu,,2–1,,hr Dinamo Zagreb,,Groupama Arena,Tobias Stieler,Match Report,,Champions-League,8,2020-2021
Third qualifying round,Wed,2020-09-16,20:00,Maccabi Tel Aviv il,,1–0,,by FC Dinamo Brest,,Bloomfield Stadium,Davide Massa,Match Report,,Champions-League,8,2020-2021
Third qualifying round,Wed,2020-09-16,21:00,Qarabağ Ağdam az,,(5) 0–0 (6),,no Molde,,AEK Arena - George Karapatakis,SrÄan JovanoviÄ,Match Report,Molde won on penalty kicks following extra time,Champions-League,8,2020-2021
Third qualifying round,Wed,2020-09-16,20:30,Midtjylland dk,,3–0,,ch Young Boys,,MCH Arena,Georgi Kabakov,Match Report,,Champions-League,8,2020-2021
Play-off round,Tue,2020-09-22,21:00,Slavia Prague cz,,0–0,,dk Midtjylland,,Sinobo Stadium,CÃ¼neyt ÃakÎ¹r,Match Report,Leg 1 of 2,Champions-League,8,2020-2021
Play-off round,Tue,2020-09-22,22:00,Maccabi Tel Aviv il,,1–2,,at RB Salzburg,,Bloomfield Stadium,Michael Oliver,Match Report,Leg 1 of 2,Champions-League,8,2020-2021
Play-off round,Tue,2020-09-22,22:00,Krasnodar ru,,2–1,,gr PAOK,,Krasnodar Stadium,ClÃ©ment Turpin,Match Report,Leg 1 of 2,Champions-League,8,2020-2021
Play-off round,Wed,2020-09-23,21:00,Molde no,,3–3,,hu Ferencváros,,Aker Stadion,Carlos del Cerro,Match Report,Leg 1 of 2,Champions-League,8,2020-2021
Play-off round,Wed,2020-09-23,21:00,Gent be,,1–2,,ua Dynamo Kyiv,,GHELAMCO-arena,Ovidiu HaÈegan,Match Report,Leg 1 of 2,Champions-League,8,2020-2021
Play-off round,Wed,2020-09-23,22:00,Olympiacos gr,,2–0,,cy AC Omonia,,Stadio Georgios KaraiskÃ¡ki,Danny Makkelie,Match Report,Leg 1 of 2,Champions-League,8,2020-2021
Play-off round,Tue,2020-09-29,21:00,Ferencváros hu,,0–0,,no Molde,,Groupama Arena,BjÃ¶rn Kuipers,Match Report,Leg 2 of 2; FerencvÃ¡ros won,Champions-League,8,2020-2021
Play-off round,Tue,2020-09-29,22:00,Dynamo Kyiv ua,,3–0,,be Gent,,NSK Olimpijs'kyj,Szymon Marciniak,Match Report,Leg 2 of 2; Dynamo Kyiv won,Champions-League,8,2020-2021
Play-off round,Tue,2020-09-29,22:00,AC Omonia cy,,0–0,,gr Olympiacos,,Neo GSP,Antonio MatÃ©u Lahoz,Match Report,Leg 2 of 2; Olympiacos won,Champions-League,8,2020-2021
Play-off round,Wed,2020-09-30,21:00,RB Salzburg at,,3–1,,il Maccabi Tel Aviv,,Red Bull Arena,Felix Brych,Match Report,Leg 2 of 2; RB Salzburg won,Champions-League,8,2020-2021
Play-off round,Wed,2020-09-30,21:00,Midtjylland dk,,4–1,,cz Slavia Prague,,MCH Arena,Damir Skomina,Match Report,Leg 2 of 2; Midtjylland won,Champions-League,8,2020-2021
Play-off round,Wed,2020-09-30,22:00,PAOK gr,,1–2,,ru Krasnodar,,Stadio Toumbas,Daniele Orsato,Match Report,Leg 2 of 2; Krasnodar won,Champions-League,8,2020-2021
