Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Abdel Abdallah,km COM,DF,Grenoble,21,1997,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,3,0.1,,0,1,2,15,3.00,0,0,0,0.00,+0.07,0,0,0,0,0,0,0,,,0,Ligue-2,60,2019-2020
Oussama Abdeldjelil,dz ALG,FW,Paris FC,26,1993,14,6,627,7.0,0,0,0,0,1,2,0,0.00,0.00,0.00,0.00,0.00,15,5,33.3,2.15,0.72,0.00,0.00,,45,24.9,84,4,8,15,3,0.71,3,12,-9,-1.29,-0.86,0,14,7,4,10,1,5,,,0,Ligue-2,60,2019-2020
Himad Abdelli,fr FRA,"MF,FW",Le Havre,19,1999,13,3,423,4.7,0,1,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,3,0,0.0,0.64,0.00,0.00,,,33,16.8,85,0,10,17,4,1.38,7,1,+6,+1.28,+0.98,0,11,17,2,9,2,9,,,0,Ligue-2,60,2019-2020
Ali Abdi,tn TUN,DF,Paris FC,25,1993,14,11,965,10.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,3,0,0.0,0.28,0.00,0.00,,,69,38.3,85,10,3,10,5,1.50,8,15,-7,-0.65,-0.02,0,17,8,0,17,22,16,,,0,Ligue-2,60,2019-2020
Salis Abdul Samed,gh GHA,MF,Clermont Foot,19,2000,6,0,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2,0,0.0,2.69,0.00,0.00,,,11,2.7,,0,6,10,10,1.67,0,3,-3,-4.03,-4.51,0,1,4,0,0,1,1,,,0,Ligue-2,60,2019-2020
Aly Abeid,mr MTN,"MF,DF",Valenciennes,21,1997,5,4,305,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.30,0.00,0.00,,,61,12.1,69,1,1,30,2,1.60,5,3,+2,+0.59,+0.51,0,8,5,0,5,3,3,,,0,Ligue-2,60,2019-2020
Laurent Abergel,fr FRA,"MF,DF",Lorient,26,1993,25,25,2204,24.5,2,1,2,0,0,6,0,0.08,0.04,0.12,0.08,0.12,15,4,26.7,0.61,0.16,0.13,0.50,,88,87.5,88,21,0,,0,1.80,40,22,+18,+0.74,+0.17,0,37,32,0,38,42,48,,,0,Ligue-2,60,2019-2020
Jordan Adéoti,bj BEN,MF,Auxerre,30,1989,6,3,267,3.0,0,1,0,0,0,1,0,0.00,0.34,0.34,0.00,0.34,2,0,0.0,0.67,0.00,0.00,,,45,10.6,73,1,3,16,13,1.83,5,3,+2,+0.67,+0.71,0,9,1,0,1,2,3,,,0,Ligue-2,60,2019-2020
Bryan Adinany,km COM,FW,Châteauroux,19,2000,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,8,0.3,,0,1,7,1,1.00,0,0,0,0.00,+0.57,0,0,0,0,0,0,0,,,0,Ligue-2,60,2019-2020
Ogou Akichi,ci CIV,MF,Nancy,29,1990,22,22,1814,20.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,8,1,12.5,0.40,0.05,0.00,0.00,,82,72.0,82,18,0,,0,1.14,15,16,-1,-0.05,-0.30,0,21,28,0,4,19,16,,,0,Ligue-2,60,2019-2020
Josué Albert,gf GUF,DF,Clermont Foot,27,1992,10,8,734,8.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,73,29.1,84,7,2,33,12,2.00,12,8,+4,+0.49,+0.19,0,1,8,0,1,11,3,,,0,Ligue-2,60,2019-2020
Bryan Alceus,ht HAI,"FW,MF",Paris FC,23,1996,4,0,53,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,13,2.1,,0,4,12,2,0.25,0,2,-2,-3.40,-2.81,0,2,1,0,0,0,0,,,0,Ligue-2,60,2019-2020
Alexis Alegue,fr FRA,MF,Rodez Aveyron,22,1996,1,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,1,100.0,1.29,1.29,0.00,0.00,,70,2.8,70,0,0,,2,3.00,1,0,+1,+1.29,+1.43,0,0,2,0,0,2,0,,,0,Ligue-2,60,2019-2020
Chaker Alhadhur,km COM,DF,Châteauroux,27,1991,21,20,1747,19.4,1,0,1,0,0,1,1,0.05,0.00,0.05,0.05,0.05,18,4,22.2,0.93,0.21,0.06,0.25,,83,69.3,87,18,1,10,5,1.29,15,22,-7,-0.36,+0.69,0,9,26,3,27,42,24,,,0,Ligue-2,60,2019-2020
Saturnin Allagbé,bj BEN,GK,Niort,25,1993,13,13,1146,12.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,88,45.5,88,12,0,,0,1.15,12,12,0,0.00,+0.72,0,0,1,0,0,0,0,,,0,Ligue-2,60,2019-2020
Jim Allevinah,ga GAB,MF,Clermont Foot,24,1995,22,14,1291,14.3,2,1,2,0,0,2,1,0.14,0.07,0.21,0.14,0.21,27,5,18.5,1.88,0.35,0.07,0.40,,59,51.2,78,5,8,26,0,1.91,20,11,+9,+0.63,+0.55,0,12,40,5,38,10,16,,,0,Ligue-2,60,2019-2020
Steve Ambri,gw GNB,"MF,DF",Valenciennes,21,1997,15,10,738,8.2,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,9,3,33.3,1.10,0.37,0.00,0.00,,49,29.3,67,3,5,13,9,1.47,5,7,-2,-0.24,-0.55,0,16,18,2,18,3,8,,,0,Ligue-2,60,2019-2020
Carlens Arcus,ht HAI,DF,Auxerre,23,1996,24,24,2086,23.2,0,2,0,0,0,2,1,0.00,0.09,0.09,0.00,0.09,16,0,0.0,0.69,0.00,0.00,,,87,82.8,87,21,0,,1,1.29,29,24,+5,+0.22,+1.05,0,39,21,2,55,37,61,,,1,Ligue-2,60,2019-2020
Romain Armand,fr FRA,"FW,MF",Paris FC,32,1987,22,19,1570,17.4,7,1,5,2,4,4,1,0.40,0.06,0.46,0.29,0.34,37,17,45.9,2.12,0.97,0.14,0.29,,71,62.3,80,6,3,15,0,0.82,16,24,-8,-0.46,+0.49,0,27,19,9,64,3,7,,,0,Ligue-2,60,2019-2020
Yoël Armougom,fr FRA,"DF,MF",Caen,21,1998,22,16,1523,16.9,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,16,5,31.3,0.95,0.30,0.00,0.00,,69,60.4,85,11,6,28,6,1.00,13,22,-9,-0.53,-1.25,0,18,14,5,107,18,10,,,0,Ligue-2,60,2019-2020
