Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Dejan Lovren,hr CRO,DF,Liverpool,29,1989,13,11,986,11.0,1,0,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,0.7,0.7,0.2,1.0,0.07,0.02,0.09,0.07,0.09,6,1,16.7,0.55,0.09,0.17,1.00,13.1,0,0.12,+0.3,+0.3,716,808,88.6,15125,4976,182,192,94.8,430,458,93.9,100,150,66.7,-0.2,1,32,2,1,27,788,20,1,76,15,3,0,0,0,0,623,47,138,171,554,54,3,2,2,8,2,7,5,0.46,4,0,0,1,0,1,0.09,0,0,0,0,1,0,17,10,12,4,1,5,38.5,8,27,33.8,51,27,2,0,9,28,70,3,938,76,10,0,,0,0,632,0,3,1,668,656,98.2,3,76,28.8,89,10,2,1,6,2.62,30,7,+23,+2.10,+0.47,20.4,8.6,+11.9,+1.08,-0.12,0,3,1,0,0,136,39,18,68.4,Premier-League,9,2018-2019
Chris Löwe,de GER,"DF,FW",Huddersfield,29,1989,29,23,2057,22.9,0,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,1.6,2.0,0.02,0.07,0.09,0.02,0.09,18,6,33.3,0.79,0.26,0.00,0.00,24.0,1,0.02,-0.4,-0.4,759,1086,69.9,14897,5016,314,372,84.4,311,401,77.6,124,259,47.9,+0.4,18,39,29,19,58,893,193,2,191,40,81,32,15,6,1,545,191,350,756,130,51,121,5,5,33,25,50,26,1.14,18,6,1,0,0,3,0.13,3,0,0,0,0,0,36,12,19,12,5,12,30.0,28,62,22.1,119,108,53,0,34,62,58,0,1309,56,21,21,57.1,12,2,724,5,16,15,884,743,84.0,46,71,60.1,83,17,6,23,4,0.24,13,55,-42,-1.84,-1.05,16.6,44.6,-28.0,-1.23,-0.79,0,14,0,1,0,204,27,28,49.1,Premier-League,9,2018-2019
Matthew Lowton,eng ENG,DF,Burnley,29,1989,21,19,1750,19.4,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.1,0.03,0.03,0.06,0.03,0.06,4,0,0.0,0.21,0.00,0.00,,24.3,0,0.12,-0.5,-0.5,628,909,69.1,13220,6212,238,280,85.0,273,370,73.8,112,236,47.5,-0.6,7,73,20,6,74,691,218,1,109,20,44,0,0,0,0,393,180,336,79,555,50,212,3,5,36,25,27,17,0.87,13,2,1,0,0,1,0.05,1,0,0,0,0,0,63,36,28,31,4,28,47.5,31,55,22.8,132,78,31,1,41,99,82,0,1133,103,5,23,60.9,15,1,522,0,6,11,513,470,91.6,16,83,51.2,90,19,2,19,14,0.90,23,41,-18,-0.93,-0.66,19.7,34.8,-15.1,-0.78,-0.39,0,27,0,0,0,208,20,13,60.6,Premier-League,9,2018-2019
David Luiz,br BRA,DF,Chelsea,31,1987,36,36,3238,36.0,3,2,3,0,0,3,0,0.08,0.06,0.14,0.08,0.14,2.0,2.0,2.0,3.9,0.05,0.05,0.11,0.05,0.11,34,8,23.5,0.95,0.22,0.09,0.38,18.3,9,0.06,+1.0,+1.0,2298,2619,87.7,53525,18238,582,626,93.0,1177,1264,93.1,519,695,74.7,0.0,14,237,19,1,204,2506,113,10,301,121,5,0,0,0,0,1896,283,440,553,1911,99,9,17,9,59,27,19,37,1.03,32,0,0,1,0,2,0.06,2,0,0,0,0,0,56,37,38,16,2,18,51.4,17,73,34.3,129,75,9,1,27,95,153,1,2958,299,33,8,87.5,7,0,2048,2,9,9,2194,2161,98.5,20,90,94.7,90,35,0,,2,1.92,60,36,+24,+0.67,+0.67,55.1,32.7,+22.4,+0.62,+0.09,0,37,0,0,0,371,77,48,61.6,Premier-League,9,2018-2019
Romelu Lukaku,be BEL,FW,Manchester Utd,25,1993,32,22,2136,23.7,12,0,12,0,0,4,0,0.51,0.00,0.51,0.51,0.51,11.3,11.3,2.4,13.8,0.48,0.10,0.58,0.48,0.58,57,33,57.9,2.40,1.39,0.21,0.36,11.7,0,0.20,+0.7,+0.7,377,583,64.7,5638,1272,226,288,78.5,102,195,52.3,31,60,51.7,-2.4,24,25,27,5,42,552,31,3,183,14,46,0,0,0,0,333,116,134,320,139,40,0,12,1,10,21,26,55,2.32,45,0,3,1,2,7,0.29,6,0,0,0,1,0,14,10,1,6,7,4,36.4,7,88,26.7,20,165,144,0,10,16,23,0,828,26,120,40,67.5,28,1,570,21,54,54,1235,653,52.9,254,67,62.5,88,18,10,21,1,1.66,38,38,0,0.00,-0.77,34.4,29.5,+4.9,+0.20,-0.25,0,21,1,0,0,69,81,69,54.0,Premier-League,9,2018-2019
James Maddison,eng ENG,"MF,FW",Leicester City,21,1996,36,35,2831,31.5,7,7,6,1,2,4,1,0.22,0.22,0.45,0.19,0.41,7.0,5.4,7.3,12.7,0.22,0.23,0.45,0.17,0.40,82,27,32.9,2.61,0.86,0.07,0.22,21.2,14,0.07,0.0,+0.6,1244,1620,76.8,23912,7458,569,642,88.6,445,542,82.1,212,383,55.4,-0.3,95,129,50,4,147,1367,253,10,267,117,51,162,30,40,12,1072,192,356,167,1401,33,1,7,12,21,42,34,164,5.21,75,50,9,19,2,12,0.38,8,2,1,0,1,0,58,34,24,27,7,14,23.3,46,171,22.8,157,371,221,0,28,70,5,0,1966,10,91,65,67.7,49,7,1468,15,49,44,1764,1398,79.3,201,79,82.8,80,15,1,17,1,1.33,42,44,-2,-0.06,-0.83,41.9,36.2,+5.7,+0.18,+0.26,1,27,2,0,0,203,12,33,26.7,Premier-League,9,2018-2019
Gary Madine,eng ENG,"FW,MF",Cardiff City,27,1990,5,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,8,11,72.7,115,36,5,6,83.3,3,5,60.0,0,0,,0.0,0,2,1,0,3,10,1,0,4,0,0,0,0,0,0,6,3,2,0,6,2,0,0,0,0,1,0,3,7.30,3,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,0,0,1,0,,0,3,50.0,0,2,4,0,0,1,0,0,15,0,3,1,100.0,1,0,8,0,1,2,26,12,46.2,3,7,1.1,,0,5,6,7,0.00,0,3,-3,-7.30,-6.45,0.5,1.5,-1.0,-2.46,-1.90,0,2,0,0,0,1,3,2,60.0,Premier-League,9,2018-2019
Harry Maguire,eng ENG,DF,Leicester City,25,1993,31,31,2596,28.8,3,0,3,0,0,6,1,0.10,0.00,0.10,0.10,0.10,1.9,1.9,0.5,2.4,0.07,0.02,0.08,0.07,0.08,31,12,38.7,1.07,0.42,0.10,0.25,13.2,0,0.06,+1.1,+1.1,1500,1735,86.5,35399,11761,388,434,89.4,742,807,91.9,358,464,77.2,-0.5,10,177,9,0,142,1667,68,3,253,78,5,0,0,0,0,1163,232,340,196,1342,136,5,7,1,37,20,17,39,1.35,31,1,2,1,1,2,0.07,1,0,0,1,0,0,31,18,22,8,1,8,53.3,7,62,33.2,114,64,9,0,29,69,159,1,2071,241,66,18,83.3,15,0,1313,1,13,11,1355,1310,96.7,50,84,75.9,84,28,0,,1,1.29,36,40,-4,-0.14,-0.90,36.9,35.2,+1.7,+0.06,-0.32,0,21,0,0,0,383,109,30,78.4,Premier-League,9,2018-2019
Riyad Mahrez,dz ALG,"FW,MF",Manchester City,27,1991,27,14,1343,14.9,7,4,7,0,1,0,0,0.47,0.27,0.74,0.47,0.74,5.7,5.0,4.2,9.2,0.38,0.28,0.67,0.33,0.62,53,24,45.3,3.55,1.61,0.13,0.29,17.4,1,0.09,+1.3,+2.0,716,886,80.8,13180,2778,316,359,88.0,291,341,85.3,98,154,63.6,-0.2,24,27,47,10,71,822,64,8,164,33,51,44,8,7,1,656,85,145,768,75,23,11,1,2,18,16,28,54,3.62,33,6,6,2,1,10,0.67,6,1,1,1,0,1,14,10,5,8,1,3,16.7,15,63,24.5,48,127,82,0,18,29,4,0,1071,5,100,59,54.2,36,1,878,40,21,27,949,833,87.8,106,50,39.3,81,5,13,16,10,2.52,36,9,+27,+1.81,-0.14,32.5,8.4,+24.1,+1.61,+0.20,0,13,0,0,0,108,13,20,39.4,Premier-League,9,2018-2019
Ainsley Maitland-Niles,eng ENG,DF,Arsenal,20,1997,16,11,987,11.0,1,1,1,0,0,2,1,0.09,0.09,0.18,0.09,0.18,1.0,1.0,1.2,2.2,0.09,0.11,0.20,0.09,0.20,6,3,50.0,0.55,0.27,0.17,0.33,18.3,0,0.17,0.0,0.0,458,577,79.4,8017,2790,218,251,86.9,196,231,84.8,40,71,56.3,-0.2,6,33,14,1,53,467,110,0,67,9,20,0,0,0,0,358,136,83,88,359,18,105,2,2,13,15,25,16,1.46,14,0,1,0,0,2,0.18,2,0,0,0,0,0,36,24,16,16,4,14,46.7,16,76,34.7,88,82,49,1,28,54,16,0,731,32,24,27,70.4,19,0,426,4,17,20,469,408,87.0,31,62,28.9,78,8,5,25,7,1.38,17,17,0,0.00,-0.81,13.9,19.2,-5.3,-0.48,-0.82,1,9,0,0,0,102,8,10,44.4,Premier-League,9,2018-2019
