Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,League Name,League ID,Season
Boy Waterman,nl NED,GK,cy APOEL FC,33,1984,3,3,225,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,41.7,,2,0,,0,1.56,0,6,-6,-2.40,+0.17,0,0,0,0,0,Champions-League,8,2017-2018
Julian Weigl,de GER,MF,de Dortmund,21,1995,5,3,325,3.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,2,0,0.0,0.55,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,60.2,,3,2,,0,0.40,3,6,-3,-0.83,+0.43,0,8,0,0,0,Champions-League,8,2017-2018
Pontus Wernbloom,se SWE,"MF,FW",ru CSKA Moscow,31,1986,5,5,450,5.0,1,0,1,0,0,3,0,0.20,0.00,0.20,0.20,0.20,8,2,25.0,1.60,0.40,0.13,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,83.3,,5,0,,0,2.33,7,8,-1,-0.20,+0.80,0,9,0,0,0,Champions-League,8,2017-2018
Timo Werner,de GER,FW,de RB Leipzig,21,1996,6,4,329,3.7,3,0,2,1,1,0,0,0.82,0.00,0.82,0.55,0.55,12,7,58.3,3.28,1.91,0.17,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,60.9,,2,2,,0,1.17,7,7,0,0.00,+0.43,0,1,0,0,0,Champions-League,8,2017-2018
Georginio Wijnaldum,nl NED,MF,eng Liverpool,26,1990,12,9,850,9.4,1,2,1,0,0,0,0,0.11,0.21,0.32,0.11,0.32,15,4,26.7,1.59,0.42,0.07,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,72.6,,7,3,,0,2.14,32,15,+17,+1.80,-0.45,0,11,0,0,0,Champions-League,8,2017-2018
Willian,br BRA,"MF,FW",eng Chelsea,28,1988,8,4,429,4.8,3,1,3,0,0,1,0,0.63,0.21,0.84,0.63,0.84,14,5,35.7,2.94,1.05,0.21,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,59.6,,4,4,,0,1.50,13,5,+8,+1.68,+2.61,0,7,2,0,0,Champions-League,8,2017-2018
Harry Winks,eng ENG,MF,eng Tottenham,21,1996,5,5,426,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.21,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,59.2,,4,0,,1,2.60,12,2,+10,+2.11,+2.11,0,5,0,0,0,Champions-League,8,2017-2018
Ricky van Wolfswinkel,nl NED,FW,ch Basel,28,1989,3,2,172,1.9,1,0,0,1,1,0,0,0.52,0.00,0.52,0.00,0.00,3,2,66.7,1.57,1.05,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,23.9,,1,1,,1,2.00,5,2,+3,+1.57,+1.57,0,3,0,0,0,Champions-League,8,2017-2018
Taulant Xhaka,al ALB,"MF,DF",ch Basel,26,1991,6,6,523,5.8,1,1,1,0,0,5,0,0.17,0.17,0.34,0.17,0.34,3,1,33.3,0.52,0.17,0.33,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,72.6,,5,0,,0,1.50,10,8,+2,+0.34,-0.11,0,8,0,0,0,Champions-League,8,2017-2018
Andriy Yarmolenko,ua UKR,"FW,MF",de Dortmund,27,1989,6,4,377,4.2,1,1,1,0,0,0,0,0.24,0.24,0.48,0.24,0.48,9,3,33.3,2.15,0.72,0.11,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,69.8,,3,2,,0,0.33,4,9,-5,-1.19,-0.64,0,3,0,0,0,Champions-League,8,2017-2018
Andrey Yeshchenko,ru RUS,"DF,MF",ru Spartak Moscow,33,1984,5,5,440,4.9,0,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,4,1,25.0,0.82,0.20,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,81.5,,4,0,,0,1.00,8,12,-4,-0.82,-0.82,0,3,0,0,0,Champions-League,8,2017-2018
