Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Arsenal,29,25,54.0,38,418,3420,38.0,56,35,53,3,3,88,5,1.47,0.92,2.39,1.39,2.32,49.2,46.9,29.9,76.9,1.3,0.79,2.08,1.24,2.02,401,144,35.9,10.55,3.79,0.13,0.37,15.9,19,0.12,6.8,6.1,16349,19802,82.6,321220,94865,6299,7029,89.6,7392,8306,89.0,2428,3776,64.3,5.1,285,1121,320,70,1240,17930,1872,36,3510,528,478,231,66,75,36,13732,2777,3293,6362,11512,608,753,286,63,321,258,512,632,16.63,436,57,50,36,17,86,2.26,57,4,4,9,4,8,601,373,325,199,77,202,33.9,394,1640,26.8,2245,2662,1220,2,461,845,978,14,24196,2929,931,711,60.2,455,34,16309,171,448,451,18851,16349,86.7,1484,90,100,83,,123,21,163,1.47,56,48,8,0.21,49.2,56.6,-7.3,-0.19,1,420,2,6,0,3085,499,573,46.5,Premier-League,9,2019-2020
Aston Villa,28,25,43.9,38,418,3420,38.0,40,32,39,1,3,70,1,1.05,0.84,1.89,1.03,1.87,40.1,37.7,30.4,68.1,1.05,0.8,1.85,0.99,1.79,453,146,32.2,11.92,3.84,0.09,0.27,16.9,17,0.08,-0.1,1.3,11530,15353,75.1,242867,87449,4292,4999,85.9,4958,5923,83.7,2084,3846,54.2,1.6,361,891,286,95,1034,13360,1993,20,2717,590,492,200,106,37,13,8757,2527,4069,5444,7695,697,788,253,60,379,218,402,761,20.03,548,80,36,54,16,67,1.76,45,7,5,4,4,2,606,388,339,194,73,192,31.3,421,1595,27.3,2133,2485,1219,4,512,860,983,29,19827,2772,781,584,63.0,404,25,11554,128,409,428,14087,11530,81.8,1345,90,100,84,,113,22,173,0.92,41,67,-26,-0.68,40.1,65.9,-25.8,-0.68,1,451,2,6,1,3321,668,753,47.0,Premier-League,9,2019-2020
Bournemouth,27,25,43.8,38,418,3420,38.0,38,24,34,4,4,78,3,1.0,0.63,1.63,0.89,1.53,42.7,39.7,27.4,67.0,1.12,0.72,1.84,1.04,1.76,384,116,30.2,10.11,3.05,0.09,0.29,16.4,21,0.1,-4.7,-5.7,11943,15973,74.8,234473,86377,4779,5647,84.6,5158,6227,82.8,1773,3382,52.4,-3.4,267,900,258,53,1069,14132,1841,47,3017,355,398,194,92,55,16,9058,2918,3997,4711,8799,888,791,253,54,363,241,496,567,14.92,393,66,32,40,7,57,1.5,32,4,5,9,7,0,559,349,279,220,60,184,31.6,398,1780,26.2,2224,2967,1599,3,527,847,1135,14,20686,2739,832,646,55.7,395,28,12186,124,521,439,14685,11943,81.3,1364,90,100,84,,108,23,176,0.89,40,65,-25,-0.66,42.7,57.5,-14.8,-0.39,2,369,2,5,0,3658,747,807,48.1,Premier-League,9,2019-2020
Brighton,25,26,52.2,38,418,3420,38.0,35,24,34,1,2,59,2,0.92,0.63,1.55,0.89,1.53,41.2,39.7,26.5,66.2,1.08,0.7,1.78,1.04,1.74,456,137,30.0,12.0,3.61,0.07,0.25,17.1,11,0.09,-6.2,-5.7,15696,19549,80.3,317859,103840,5976,6845,87.3,7011,8038,87.2,2509,4013,62.5,-2.5,327,1091,310,85,1301,17758,1791,29,3508,644,492,178,65,66,31,12239,3308,4002,3985,13135,792,849,339,66,372,308,507,702,18.47,510,69,42,32,14,58,1.53,37,8,5,2,5,1,663,409,339,237,87,214,33.2,430,1743,30.1,2018,2419,1357,5,469,962,934,16,24066,2881,879,599,60.3,380,21,15610,141,474,512,18478,15696,84.9,1570,90,100,84,,128,20,155,1.08,39,54,-15,-0.39,41.2,54.5,-13.3,-0.35,1,385,2,2,2,3557,659,563,53.9,Premier-League,9,2019-2020
Burnley,22,28,41.4,38,418,3420,38.0,41,30,38,3,3,67,0,1.08,0.79,1.87,1.0,1.79,43.9,41.6,27.2,68.8,1.15,0.72,1.87,1.09,1.81,384,124,32.3,10.11,3.26,0.1,0.31,15.7,17,0.11,-2.9,-3.6,9925,14227,69.8,203008,78549,4182,4902,85.3,3740,4775,78.3,1773,3907,45.4,2.8,263,778,208,78,814,12383,1844,28,2763,476,410,170,151,5,4,6869,2503,4855,4411,7168,847,861,255,79,394,179,412,568,14.95,391,66,26,35,14,64,1.68,42,8,3,5,2,4,583,340,264,239,80,204,33.3,408,1482,25.5,1782,2535,1485,3,523,835,1234,5,18703,2366,655,473,57.3,293,18,9851,61,406,355,12820,9925,77.4,1165,90,100,86,,74,20,206,1.42,43,50,-7,-0.18,43.9,48.3,-4.4,-0.12,0,412,1,5,1,3575,928,881,51.3,Premier-League,9,2019-2020
Chelsea,27,25,60.7,38,418,3420,38.0,69,46,62,7,7,60,0,1.82,1.21,3.03,1.63,2.84,66.6,61.7,46.2,107.9,1.75,1.22,2.97,1.62,2.84,619,210,33.9,16.29,5.53,0.1,0.3,16.2,27,0.1,2.4,0.3,20665,24532,84.2,404119,114240,8080,9028,89.5,9196,10285,89.4,3033,4405,68.9,-0.2,453,1482,429,105,1520,22698,1834,41,4316,740,567,248,85,87,22,17110,3396,4026,4351,17936,723,868,255,61,321,262,517,991,26.08,739,86,53,54,13,110,2.89,76,6,8,8,10,2,739,449,351,296,92,217,34.7,409,1916,30.9,1812,2841,1544,2,474,1007,930,9,29171,2489,1197,718,64.9,498,15,20509,244,475,479,23597,20665,87.6,1849,90,100,84,,117,20,166,1.74,69,54,15,0.39,66.6,37.9,28.6,0.75,0,386,6,2,3,3756,670,667,50.1,Premier-League,9,2019-2020
Crystal Palace,25,29,44.5,38,418,3420,38.0,29,20,26,3,3,62,2,0.76,0.53,1.29,0.68,1.21,34.0,31.9,23.6,55.5,0.9,0.62,1.52,0.84,1.46,372,116,31.2,9.79,3.05,0.07,0.22,16.5,15,0.09,-5.0,-5.9,12142,15940,76.2,235605,89747,5127,5936,86.4,4899,5840,83.9,1819,3435,53.0,-3.6,253,861,256,57,1040,13980,1960,16,3107,435,364,177,105,46,11,9554,2586,3800,3945,9627,677,873,279,49,337,279,463,530,13.95,340,64,51,41,12,50,1.32,33,4,5,2,6,0,733,430,393,264,76,260,38.3,418,1698,27.2,2430,2645,1177,3,522,1010,999,13,20796,2496,903,715,62.7,474,24,12388,167,509,556,14799,12142,82.0,1352,90,100,85,,98,20,185,1.13,31,50,-19,-0.5,34.0,51.3,-17.3,-0.46,0,424,2,1,2,3503,720,726,49.8,Premier-League,9,2019-2020
Everton,24,25,49.2,38,418,3420,38.0,42,32,41,1,1,76,3,1.11,0.84,1.95,1.08,1.92,49.3,48.5,30.9,79.4,1.3,0.81,2.11,1.28,2.09,465,155,33.3,12.24,4.08,0.09,0.26,15.7,20,0.11,-7.3,-7.5,13239,17176,77.1,281798,100680,4698,5554,84.6,5951,6984,85.2,2403,3983,60.3,1.1,316,1033,297,85,1259,15298,1878,42,2854,608,501,203,92,79,18,10253,2893,4030,4826,9869,775,842,266,48,377,260,540,703,18.5,457,82,46,43,21,63,1.66,43,4,5,8,2,1,739,423,369,267,103,245,33.3,491,1659,27.3,2068,2639,1360,1,458,1018,1037,10,21845,2703,889,635,61.7,429,31,13246,134,491,470,16042,13239,82.5,1611,90,100,83,,120,24,164,1.29,44,56,-12,-0.32,49.3,48.4,0.9,0.02,3,472,0,4,3,3600,837,820,50.5,Premier-League,9,2019-2020
Leicester City,24,26,57.6,38,418,3420,38.0,65,48,60,5,7,43,3,1.71,1.26,2.97,1.58,2.84,61.6,56.2,44.0,100.3,1.62,1.16,2.78,1.48,2.64,533,181,34.0,14.03,4.76,0.11,0.33,16.7,20,0.11,3.4,3.8,17329,21149,81.9,333434,103827,6970,7807,89.3,7766,8836,87.9,2322,3761,61.7,4.0,398,1237,323,84,1336,19239,1910,63,3443,566,475,221,55,106,21,14241,3153,3755,4775,14115,721,878,254,55,361,291,518,873,22.97,624,76,64,52,17,110,2.89,86,4,7,2,7,4,781,478,381,311,89,283,36.0,503,1984,31.0,2112,2895,1385,2,494,1090,1013,13,25867,2350,998,678,60.6,444,22,16888,203,468,477,20014,17329,86.6,1622,90,100,84,,112,21,172,1.63,67,41,26,0.68,61.6,44.5,17.1,0.45,1,418,6,10,2,3526,673,620,52.0,Premier-League,9,2019-2020
Liverpool,24,26,63.4,38,418,3420,38.0,83,69,78,5,5,38,1,2.18,1.82,4.0,2.05,3.87,71.5,67.7,51.8,119.5,1.88,1.36,3.25,1.78,3.15,585,222,37.9,15.39,5.84,0.13,0.35,16.1,18,0.12,11.5,10.3,20887,25110,83.2,425217,125713,7701,8605,89.5,9515,10702,88.9,3383,5042,67.1,17.2,436,1734,501,101,1816,23231,1879,92,3723,882,569,256,60,122,13,16785,3604,4721,5544,17096,885,877,270,48,390,303,541,911,23.97,672,72,73,39,18,136,3.58,93,10,14,8,9,2,606,375,225,258,123,212,34.9,395,1813,32.2,1496,2346,1796,2,406,852,863,10,29379,2183,1318,718,61.1,482,27,20118,208,477,427,24019,20887,87.0,2119,90,100,85,,127,17,157,2.61,85,33,52,1.37,71.5,40.0,31.5,0.83,0,331,4,1,1,3931,632,563,52.9,Premier-League,9,2019-2020
