Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,League Name,League ID,Season
First qualifying round,Tue,2017-06-27,20:00,Alashkert FC am,1–0,ad Santa Coloma,3300,Vazgen Sargsyan anvan Hanrapetakan Marza...,Stefan Apostolov,Champions-League,8,2017-2018
First qualifying round,Tue,2017-06-27,19:00,Víkingur Gøta fo,2–1,xk KF Trepça'89,841,Tórsvøllur,Juri Frischer,Champions-League,8,2017-2018
First qualifying round,Tue,2017-06-27,19:00,The New Saints wls,1–2,gi Europa FC,1148,Park Hall Stadium,Luca Barbeno,Champions-League,8,2017-2018
First qualifying round,Tue,2017-06-27,20:00,Hibernians FC mt,2–0,ee FC Infonet,1068,Hibernians Stadium,Fedayi San,Champions-League,8,2017-2018
First qualifying round,Wed,2017-06-28,19:45,Linfield FC nir,1–0,sm S.P. La Fiorita,2839,Windsor Park,Duje Strukan,Champions-League,8,2017-2018
First qualifying round,Tue,2017-07-04,18:00,KF Trepça'89 xk,1–4,fo Víkingur Gøta,12000,Stadiumi Olimpik Adem Jashari,Alexander Harkam,Champions-League,8,2017-2018
First qualifying round,Tue,2017-07-04,19:00,FC Infonet ee,0–1,mt Hibernians FC,995,A. Le Coq Arena,Alex Troleis,Champions-League,8,2017-2018
First qualifying round,Tue,2017-07-04,18:30,Europa FC gi,1–3,wls The New Saints,261,Estádio Do Algarve,Lawrence Visser,Champions-League,8,2017-2018
First qualifying round,Tue,2017-07-04,20:30,S.P. La Fiorita sm,0–0,nir Linfield FC,911,Stadio Olimpico di Serravalle,Fyodor Zammit,Champions-League,8,2017-2018
First qualifying round,Tue,2017-07-04,20:30,Santa Coloma ad,1–1,am Alashkert FC,850,Estadi Comunal d'Andorra la Vella,Sven Bindels,Champions-League,8,2017-2018
,,,,,,,,,,Champions-League,8,2017-2018
Second qualifying round,Tue,2017-07-11,21:00,Qarabağ FK az,5–0,ge FC Samtredia,21500,Tofiq Bəhramov adına Respublika stadionu,Mete Kalkavan,Champions-League,8,2017-2018
Second qualifying round,Tue,2017-07-11,20:30,Hibernians FC mt,0–3,at RB Salzburg,4450,Hibernians Stadium,Fran Jović,Champions-League,8,2017-2018
Second qualifying round,Tue,2017-07-11,20:45,Partizan rs,2–0,me Budućnost,20000,Stadion Partizana,Pol van Boekel,Champions-League,8,2017-2018
Second qualifying round,Tue,2017-07-11,20:45,Rijeka hr,2–0,wls The New Saints,5833,Nogometno igralište Rujevica,Kristo Tohver,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-12,19:00,Spartaks Jūrmala lv,0–1,kz FC Astana,1987,Slokas Stadionā,Neil Doyle,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-12,19:00,Zrinjski Mostar ba,1–2,si NK Maribor,7000,Stadion Bijeli Brijeg,Daniel Siebert,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-12,19:00,Malmö se,1–1,mk FK Vardar,20058,Swedbank Stadion,Þorvaldur Árnason,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-12,20:00,Sheriff Tiraspol md,1–0,al FK Kukësi,6000,Bolshaya Sportivnaya Arena,Christos Nikolaides,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-12,20:00,APOEL FC cy,1–0,lu F91 Dudelange,14000,Neo GSP,Alan Sant,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-12,20:00,Be'er Sheva il,2–1,hu Honvéd,15603,Turner Stadium,Andreas Ekberg,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-12,20:30,BATE Borisov by,1–1,am Alashkert FC,111902,Borisov Arena,Enea Jorgji,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-12,21:00,Žalgiris lt,2–1,bg Ludogorets,5000,Vilniaus LFF stadionas,Manuel Schüttengruber,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-12,21:00,IFK Mariehamn fi,0–3,pl Legia Warsaw,1637,Wiklöf Holding Arena,Andrew Dallas,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-12,20:15,MŠK Žilina sk,1–3,dk FC Copenhagen,10023,Štadión Pod Dubňom,Benoît Millot,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-12,19:45,Dundalk FC ie,1–1,no Rosenborg,3000,Oriel Park,Radu Petrescu,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-12,19:15,FH is,1–1,fo Víkingur Gøta,1523,Kaplakrikavöllur,Petr Ardeleánu,Champions-League,8,2017-2018
Second qualifying round,Fri,2017-07-14,17:00,Linfield FC nir,0–2,sct Celtic,6359,Windsor Park,Alejandro Hernández,Champions-League,8,2017-2018
Second qualifying round,Tue,2017-07-18,20:00,FC Astana kz,1–1,lv Spartaks Jūrmala,20500,Astana Arena,Charalambos Kalogeropoulos,Champions-League,8,2017-2018
Second qualifying round,Tue,2017-07-18,18:00,FK Vardar mk,3–1,se Malmö,2800,Stadion Mladost,Anatolii Zhabchenko,Champions-League,8,2017-2018
Second qualifying round,Tue,2017-07-18,20:00,Alashkert FC am,1–3,by BATE Borisov,10000,Vazgen Sargsyan anvan Hanrapetakan Marza...,Peter Kráľovič,Champions-League,8,2017-2018
Second qualifying round,Tue,2017-07-18,21:00,FC Samtredia ge,0–1,az Qarabağ FK,1835,Boris Paichadzis Erovnuli Stadioni,Srđan Jovanović,Champions-League,8,2017-2018
Second qualifying round,Tue,2017-07-18,19:00,Víkingur Gøta fo,0–2,is FH,3043,Tórsvøllur,Ville Nevalainen,Champions-League,8,2017-2018
Second qualifying round,Tue,2017-07-18,19:00,The New Saints wls,1–5,hr Rijeka,1150,Park Hall Stadium,Georgi Kabakov,Champions-League,8,2017-2018
Second qualifying round,Tue,2017-07-18,20:45,Budućnost me,0–0,rs Partizan,9153,Stadion Pod Goricom,Roi Reinshreiber,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-19,18:00,F91 Dudelange lu,0–1,cy APOEL FC,1458,Stade Jos Nosbaum,Nikola Dabanović,Champions-League,8,2017-2018
Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-19,19:15,Rosenborg no,2–1,ie Dundalk FC,14817,Lerkendal Stadion,Əliyar Ağayev,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-19,19:30,FC Copenhagen dk,1–2,sk MŠK Žilina,9140,Telia Parken,Jonathan Lardot,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-19,19:30,FK Kukësi al,2–1,md Sheriff Tiraspol,1417,Elbasan Arena,Irfan Peljto,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-19,21:00,Ludogorets bg,4–1,lt Žalgiris,4739,Ludogorets Arena,Mads-Kristoffer Kristoffersen,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-19,20:15,NK Maribor si,1–1,ba Zrinjski Mostar,9266,Ljudski vrt,Ola Nilsen,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-19,20:30,RB Salzburg at,3–0,mt Hibernians FC,5511,Red Bull Arena,Sergey Lapochkin,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-19,19:45,Celtic sct,4–0,nir Linfield FC,58075,Celtic Park,Stephan Klossner,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-19,20:45,Legia Warsaw pl,6–0,fi IFK Mariehamn,15843,Stadion Miejski Legii Warszawa im. Marsz...,Tiago Martins,Champions-League,8,2017-2018
Second qualifying round,Wed,2017-07-19,21:15,Honvéd hu,2–3,il Be'er Sheva,200,Bozsik Stadion,Davide Massa,Champions-League,8,2017-2018
Third qualifying round,Tue,2017-07-25,19:00,Slavia Prague cz,1–0,by BATE Borisov,18147,Sinobo Stadium,Bastian Dankert,Champions-League,8,2017-2018
Third qualifying round,Tue,2017-07-25,21:00,Qarabağ FK az,0–0,md Sheriff Tiraspol,20000,Tofiq Bəhramov adına Respublika stadionu,Sergey Tsinkevich,Champions-League,8,2017-2018
Third qualifying round,Tue,2017-07-25,20:30,FCSB ro,2–2,cz Viktoria Plzeň,33725,Arena Naţională,Əliyar Ağayev,Champions-League,8,2017-2018
Third qualifying round,Tue,2017-07-25,20:30,AEK Athens gr,0–2,ru CSKA Moscow,25083,Olympiako Stadio Spyros Louis,Marco Fritz,Champions-League,8,2017-2018
Third qualifying round,Tue,2017-07-25,20:00,FK Vardar mk,1–0,dk FC Copenhagen,12000,Telekom Arena,Daniel Siebert,Champions-League,8,2017-2018
Third qualifying round,Tue,2017-07-25,20:45,Partizan rs,1–3,gr Olympiacos,25069,Stadion Partizana,Davide Massa,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-07-26,20:00,FC Astana kz,3–1,pl Legia Warsaw,21000,Astana Arena,Tamás Bognár,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-07-26,19:30,Dynamo Kyiv ua,3–1,ch Young Boys,36210,NSK Olimpijs'kyj,Andreas Ekberg,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-07-26,18:45,RB Salzburg at,1–1,hr Rijeka,12714,Red Bull Arena,Daniel Stefański,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-07-26,20:00,Be'er Sheva il,2–0,bg Ludogorets,15000,Turner Stadium,Charalambos Kalogeropoulos,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-07-26,21:00,Viitorul ro,1–0,cy APOEL FC,4500,Stadionul Central,Paolo Valeri,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-07-26,20:20,NK Maribor si,1–0,is FH,2544,Ljudski vrt,Andris Treimanis,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-07-26,19:45,Celtic sct,0–0,no Rosenborg,49172,Celtic Park,Tiago Martins,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-07-26,20:45,Nice fr,1–1,nl Ajax,31342,Stade de Nice,Carlos del Cerro,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-07-26,21:00,Club Brugge be,3–3,tr Başakşehir,23127,Jan Breydelstadion,Paolo Mazzoleni,Champions-League,8,2017-2018
Third qualifying round,Tue,2017-08-01,20:00,Sheriff Tiraspol md,1–2,az Qarabağ FK,8405,Bolshaya Sportivnaya Arena,Roi Reinshreiber,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-08-02,20:00,CSKA Moscow ru,1–0,gr AEK Athens,12000,VEB Arena,Benoît Millot,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-08-02,20:00,APOEL FC cy,4–0,ro Viitorul,13647,Neo GSP,Aleksey Eskov,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-08-02,20:00,BATE Borisov by,2–1,cz Slavia Prague,12436,Borisov Arena,Pol van Boekel,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-08-02,20:45,Başakşehir tr,2–0,be Club Brugge,9168,Başakşehir Fatih Terim Stadium,István Kovács,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-08-02,20:00,FC Copenhagen dk,4–1,mk FK Vardar,15224,Telia Parken,John Beaton,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-08-02,20:15,Young Boys ch,2–0,ua Dynamo Kyiv,13303,Stade de Suisse Wankdorf Bern,Paweł Gil,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-08-02,20:15,Viktoria Plzeň cz,1–4,ro FCSB,10802,Doosan Arena,Alejandro Hernández,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-08-02,18:30,FH is,0–1,si NK Maribor,2563,Kaplakrikavöllur,Peter Kráľovič,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-08-02,21:30,Ludogorets bg,3–1,il Be'er Sheva,4000,Ludogorets Arena,Serdar Gözübüyük,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-08-02,20:45,Rosenborg no,0–1,sct Celtic,20974,Lerkendal Stadion,Jonathan Lardot,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-08-02,20:45,Ajax nl,2–2,fr Nice,51845,Johan Cruyff ArenA,Andre Marriner,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-08-02,20:45,Legia Warsaw pl,1–0,kz FC Astana,24937,Stadion Miejski Legii Warszawa im. Marsz...,Jakob Kehlet,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-08-02,20:45,Rijeka hr,0–0,at RB Salzburg,8085,Nogometno igralište Rujevica,Hüseyin Göçek,Champions-League,8,2017-2018
Third qualifying round,Wed,2017-08-02,21:45,Olympiacos gr,2–2,rs Partizan,23854,Stadio Georgios Karaiskáki,Javier Estrada,Champions-League,8,2017-2018
Play-off round,Tue,2017-08-15,20:00,Qarabağ FK az,1–0,dk FC Copenhagen,31250,Tofiq Bəhramov adına Respublika stadionu,Paolo Tagliavento,Champions-League,8,2017-2018
Play-off round,Tue,2017-08-15,19:45,Sporting CP pt,0–0,ro FCSB,46678,Estádio José Alvalade,Felix Brych,Champions-League,8,2017-2018
Play-off round,Tue,2017-08-15,20:45,Hoffenheim de,1–2,eng Liverpool,25568,PreZero Arena,Björn Kuipers,Champions-League,8,2017-2018
Play-off round,Tue,2017-08-15,20:45,Young Boys ch,0–1,ru CSKA Moscow,20003,Stade de Suisse Wankdorf Bern,David Fernández,Champions-League,8,2017-2018
Play-off round,Tue,2017-08-15,21:45,APOEL FC cy,2–0,cz Slavia Prague,13073,Neo GSP,Antonio Matéu Lahoz,Champions-League,8,2017-2018
Play-off round,Wed,2017-08-16,19:45,Celtic sct,5–0,kz FC Astana,54016,Celtic Park,Ovidiu Hațegan,Champions-League,8,2017-2018
Play-off round,Wed,2017-08-16,20:45,Napoli it,2–0,fr Nice,49324,Stadio San Paolo,Szymon Marciniak,Champions-League,8,2017-2018
Play-off round,Wed,2017-08-16,21:45,Be'er Sheva il,2–1,si NK Maribor,15265,Turner Stadium,Jonas Eriksson,Champions-League,8,2017-2018
Play-off round,Wed,2017-08-16,21:45,Olympiacos gr,2–1,hr Rijeka,21352,Stadio Georgios Karaiskáki,Felix Zwayer,Champions-League,8,2017-2018
Play-off round,Wed,2017-08-16,21:45,Başakşehir tr,1–2,es Sevilla,12894,Başakşehir Fatih Terim Stadium,Clément Turpin,Champions-League,8,2017-2018
Play-off round,Tue,2017-08-22,21:30,FC Astana kz,4–3,sct Celtic,19075,Astana Arena,Pavel Královec,Champions-League,8,2017-2018
Play-off round,Tue,2017-08-22,20:45,Nice fr,0–2,it Napoli,32103,Stade de Nice,Damir Skomina,Champions-League,8,2017-2018
Play-off round,Tue,2017-08-22,20:45,Rijeka hr,0–1,gr Olympiacos,8105,Nogometno igralište Rujevica,Danny Makkelie,Champions-League,8,2017-2018
Play-off round,Tue,2017-08-22,20:45,NK Maribor si,1–0,il Be'er Sheva,12066,Ljudski vrt,Gianluca Rocchi,Champions-League,8,2017-2018
Play-off round,Tue,2017-08-22,20:45,Sevilla es,2–2,tr Başakşehir,34278,Estadio Ramón Sánchez Pizjuán,William Collum,Champions-League,8,2017-2018
Play-off round,Wed,2017-08-23,19:45,Liverpool eng,4–2,de Hoffenheim,51808,Anfield,Daniele Orsato,Champions-League,8,2017-2018
Play-off round,Wed,2017-08-23,20:45,FC Copenhagen dk,2–1,az Qarabağ FK,21222,Telia Parken,Alberto Undiano,Champions-League,8,2017-2018
Play-off round,Wed,2017-08-23,20:45,Slavia Prague cz,0–0,cy APOEL FC,18844,Sinobo Stadium,Milorad Mažić,Champions-League,8,2017-2018
Play-off round,Wed,2017-08-23,21:45,FCSB ro,1–5,pt Sporting CP,49220,Arena Naţională,Cüneyt Çakιr,Champions-League,8,2017-2018
Play-off round,Wed,2017-08-23,21:45,CSKA Moscow ru,2–0,ch Young Boys,15560,VEB Arena,Tasos Sidiropoulos,Champions-League,8,2017-2018
