Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ajaccio,30,27,51.8,38,418,3420,38.0,33,20,25,8,10,68,4,0.87,0.53,1.39,0.66,1.18,391,135,34.5,10.29,3.55,0.06,0.19,,90,100,84,282,134,19,131,1.21,34,43,-9,-0.24,2,581,473,94,799,485,359,,,1,Ligue-2,60,2020-2021
Amiens,41,24,51.2,38,418,3420,38.0,33,22,27,6,7,77,6,0.87,0.58,1.45,0.71,1.29,369,134,36.3,9.71,3.53,0.07,0.2,,90,100,82,261,153,20,113,1.24,34,40,-6,-0.16,2,610,600,65,653,486,363,,,2,Ligue-2,60,2020-2021
Auxerre,24,27,55.9,38,418,3420,38.0,64,49,61,3,6,63,5,1.68,1.29,2.97,1.61,2.89,516,190,36.8,13.58,5.0,0.12,0.32,,90,100,85,298,117,17,149,1.63,64,43,21,0.55,2,501,418,91,817,489,386,,,2,Ligue-2,60,2020-2021
Caen,32,25,47.6,38,418,3420,38.0,33,18,26,7,10,86,7,0.87,0.47,1.34,0.68,1.16,387,138,35.7,10.18,3.63,0.07,0.19,,90,100,81,242,169,21,96,1.08,34,49,-15,-0.39,4,615,475,52,672,452,354,,,1,Ligue-2,60,2020-2021
Chambly Oise,34,28,42.4,38,418,3420,38.0,40,23,33,7,8,71,12,1.05,0.61,1.66,0.87,1.47,334,115,34.4,8.79,3.03,0.1,0.29,,90,100,81,251,156,21,108,1.0,41,64,-23,-0.61,4,602,596,85,549,504,421,,,1,Ligue-2,60,2020-2021
Châteauroux,35,25,51.2,38,418,3420,38.0,31,18,29,2,2,82,8,0.82,0.47,1.29,0.76,1.24,436,130,29.8,11.47,3.42,0.07,0.22,,90,100,82,271,143,21,123,0.61,32,58,-26,-0.68,4,617,572,69,729,486,328,,,2,Ligue-2,60,2020-2021
Clermont Foot,21,26,56.9,38,418,3420,38.0,60,40,58,2,4,49,3,1.58,1.05,2.63,1.53,2.58,541,200,37.0,14.24,5.26,0.11,0.29,,90,100,83,257,159,17,107,1.89,61,25,36,0.95,0,458,476,88,705,555,353,,,2,Ligue-2,60,2020-2021
Dunkerque,25,27,46.6,38,418,3420,38.0,34,21,29,5,5,68,2,0.89,0.55,1.45,0.76,1.32,360,114,31.7,9.47,3.0,0.08,0.25,,90,100,82,260,157,20,110,1.08,34,47,-13,-0.34,1,574,574,65,664,429,360,,,1,Ligue-2,60,2020-2021
Grenoble,27,26,50.9,38,418,3420,38.0,49,35,41,8,9,76,4,1.29,0.92,2.21,1.08,2.0,426,141,33.1,11.21,3.71,0.1,0.29,,90,100,82,247,168,20,97,1.71,51,35,16,0.42,2,544,510,83,679,534,331,,,0,Ligue-2,60,2020-2021
Guingamp,31,27,49.3,38,418,3420,38.0,40,29,38,2,3,65,1,1.05,0.76,1.82,1.0,1.76,394,139,35.3,10.37,3.66,0.1,0.27,,90,100,83,263,155,19,111,1.24,41,43,-2,-0.05,0,578,505,76,658,538,334,,,1,Ligue-2,60,2020-2021
Le Havre,36,26,47.6,38,418,3420,38.0,34,16,25,9,10,66,8,0.89,0.42,1.32,0.66,1.08,369,142,38.5,9.71,3.74,0.07,0.18,,90,100,83,289,122,23,142,1.24,38,48,-10,-0.26,4,475,575,65,595,402,341,,,0,Ligue-2,60,2020-2021
Nancy,28,25,48.3,38,418,3420,38.0,52,36,47,5,5,61,5,1.37,0.95,2.32,1.24,2.18,366,129,35.2,9.63,3.39,0.13,0.36,,90,100,82,254,160,19,104,1.24,53,53,0,0.0,1,621,566,84,644,462,374,,,7,Ligue-2,60,2020-2021
Niort,30,23,45.4,40,407,3330,37.0,33,22,30,3,7,74,10,0.89,0.59,1.49,0.81,1.41,395,116,29.4,10.68,3.14,0.08,0.26,,83,100,83,272,131,20,127,1.08,34,55,-21,-0.57,4,584,556,64,556,434,396,,,1,Ligue-2,60,2020-2021
Paris FC,31,27,53.1,38,418,3420,38.0,51,29,47,4,5,75,9,1.34,0.76,2.11,1.24,2.0,452,162,35.8,11.89,4.26,0.1,0.29,,90,100,82,259,153,20,112,1.68,53,37,16,0.42,3,580,554,59,749,491,372,,,1,Ligue-2,60,2020-2021
