Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ismael Aaneba,fr FRA,DF,Sochaux,22,1999,17,17,1529,17.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,2,0,0.0,0.12,0.00,0.00,,,90,99.9,90,16,0,,0,1.82,17,13,+4,+0.24,+0.24,0,9,10,0,3,39,15,,,0,Ligue-2,60,2021-2022
Abdel Abdallah,km COM,"DF,MF",Grenoble,24,1997,13,7,686,7.6,1,2,1,0,0,1,0,0.13,0.26,0.39,0.13,0.39,5,1,20.0,0.66,0.13,0.20,1.00,,53,44.8,86,4,6,14,3,1.08,8,10,-2,-0.26,+0.06,0,12,12,1,29,17,3,,,0,Ligue-2,60,2021-2022
Himad Abdelli,fr FRA,MF,Le Havre,22,1999,5,0,74,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,15,4.8,,0,5,15,4,1.60,1,2,-1,-1.22,-1.71,0,6,5,0,0,1,0,,,0,Ligue-2,60,2021-2022
Ali Abdi,tn TUN,"DF,MF",Caen,27,1993,13,13,1103,12.3,0,3,0,0,0,4,1,0.00,0.24,0.24,0.00,0.24,14,6,42.9,1.14,0.49,0.00,0.00,,85,72.1,85,9,0,,1,0.92,11,16,-5,-0.41,-1.25,1,18,12,2,34,29,15,,,1,Ligue-2,60,2021-2022
Aly Abeid,mr MTN,"DF,MF",Valenciennes,23,1997,9,7,555,6.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,2,0,0.0,0.32,0.00,0.00,,,62,36.3,76,4,2,11,4,1.44,6,8,-2,-0.32,+0.32,0,5,3,0,4,10,5,,,0,Ligue-2,60,2021-2022
Charles Abi,fr FRA,FW,Guingamp,21,2000,7,3,237,2.6,1,0,1,0,0,2,0,0.38,0.00,0.38,0.38,0.38,3,1,33.3,1.14,0.38,0.33,1.00,,34,15.5,60,0,4,14,1,1.00,4,4,0,0.00,+0.21,0,11,3,2,0,0,2,,,0,Ligue-2,60,2021-2022
Amine Adli,fr FRA,MF,Toulouse,21,2000,1,1,89,1.0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,2,0,0.0,2.02,0.00,0.00,,,89,6.2,89,0,0,,0,1.00,2,2,0,0.00,-1.47,0,2,4,0,4,0,0,,,0,Ligue-2,60,2021-2022
Matteo Ahlinvi,bj BEN,MF,Dijon,22,1999,11,6,528,5.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,6,1,16.7,1.02,0.17,0.00,0.00,,48,34.5,76,3,5,14,3,1.18,5,11,-6,-1.02,-1.02,0,9,8,1,5,4,5,,,0,Ligue-2,60,2021-2022
Ogou Akichi,ci CIV,"MF,DF",Nancy,31,1990,12,10,862,9.6,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,3,0,0.0,0.31,0.00,0.00,,,72,56.3,84,8,2,10,1,0.75,9,17,-8,-0.84,+0.11,0,11,13,0,0,10,9,,,0,Ligue-2,60,2021-2022
Chadrac Akolo,cd COD,"MF,FW",Amiens,26,1995,14,8,697,7.7,2,0,2,0,0,0,0,0.26,0.00,0.26,0.26,0.26,12,7,58.3,1.55,0.90,0.17,0.29,,50,45.6,73,1,6,20,0,1.00,10,10,0,0.00,-0.11,0,9,13,4,10,6,1,,,0,Ligue-2,60,2021-2022
