Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ismael Aaneba,fr FRA,DF,Sochaux,22,1999,15,15,1349,15.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.07,0.00,0.00,,,90,99.9,90,14,0,,0,1.87,14,8,+6,+0.40,+0.40,0,6,9,0,2,32,15,,,0,Ligue-2,60,2021-2022
Abdel Abdallah,km COM,"DF,MF",Grenoble,24,1997,11,7,663,7.4,1,2,1,0,0,1,0,0.14,0.27,0.41,0.14,0.41,5,1,20.0,0.68,0.14,0.20,1.00,,60,49.1,86,4,4,15,3,1.27,7,9,-2,-0.27,-0.14,0,11,12,1,26,17,3,,,0,Ligue-2,60,2021-2022
Himad Abdelli,fr FRA,MF,Le Havre,21,1999,3,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,13,2.8,,0,3,13,4,1.33,0,0,0,0.00,-0.41,0,3,4,0,0,1,0,,,0,Ligue-2,60,2021-2022
Ali Abdi,tn TUN,"DF,MF",Caen,27,1993,12,12,1013,11.3,0,3,0,0,0,4,1,0.00,0.27,0.27,0.00,0.27,11,6,54.5,0.98,0.53,0.00,0.00,,84,75.0,84,8,0,,1,0.92,9,14,-5,-0.44,-1.78,1,16,12,1,30,27,13,,,1,Ligue-2,60,2021-2022
Aly Abeid,mr MTN,"DF,MF",Valenciennes,23,1997,9,7,555,6.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,2,0,0.0,0.32,0.00,0.00,,,62,41.1,76,4,2,11,4,1.44,6,8,-2,-0.32,+0.58,0,5,3,0,4,10,5,,,0,Ligue-2,60,2021-2022
Charles Abi,fr FRA,FW,Guingamp,21,2000,6,3,222,2.5,1,0,1,0,0,2,0,0.41,0.00,0.41,0.41,0.41,3,1,33.3,1.22,0.41,0.33,1.00,,37,16.4,60,0,3,14,0,1.17,4,3,+1,+0.41,+0.64,0,11,3,2,0,0,2,,,0,Ligue-2,60,2021-2022
Amine Adli,fr FRA,MF,Toulouse,21,2000,1,1,89,1.0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,2,0,0.0,2.02,0.00,0.00,,,89,6.6,89,0,0,,0,1.00,2,2,0,0.00,-1.36,0,2,4,0,4,0,0,,,0,Ligue-2,60,2021-2022
Matteo Ahlinvi,bj BEN,MF,Dijon,22,1999,9,6,505,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,5,1,20.0,0.89,0.18,0.00,0.00,,56,37.4,76,3,3,16,3,1.11,5,10,-5,-0.89,-0.68,0,9,7,1,5,4,4,,,0,Ligue-2,60,2021-2022
Ogou Akichi,ci CIV,"MF,DF",Nancy,31,1990,10,8,739,8.2,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,1,0,0.0,0.12,0.00,0.00,,,74,54.7,90,8,2,10,1,0.90,8,13,-5,-0.61,+0.42,0,11,11,0,0,10,9,,,0,Ligue-2,60,2021-2022
Chadrac Akolo,cd COD,"MF,FW",Amiens,26,1995,13,8,683,7.6,1,0,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,11,6,54.5,1.45,0.79,0.09,0.17,,53,50.6,73,1,5,21,0,0.85,8,10,-2,-0.26,-0.26,0,8,12,3,10,6,1,,,0,Ligue-2,60,2021-2022
Migouel Alfarela,fr FRA,"FW,MF",Paris FC,23,1997,14,4,520,5.8,1,1,1,0,0,1,0,0.17,0.17,0.35,0.17,0.35,15,6,40.0,2.60,1.04,0.07,0.17,,37,38.5,68,0,10,25,1,1.50,6,6,0,0.00,-0.33,0,5,1,2,8,4,5,,,0,Ligue-2,60,2021-2022
Chaker Alhadhur,km COM,"DF,MF",Ajaccio,29,1991,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,4,0.3,,0,1,4,3,3.00,0,0,0,0.00,-0.60,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Nabil Alioui,fr FRA,"MF,FW",Le Havre,22,1999,13,7,626,7.0,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,11,1,9.1,1.58,0.14,0.00,0.00,,48,46.4,78,1,6,14,0,1.85,3,2,+1,+0.14,-0.48,0,8,18,1,29,4,3,,,0,Ligue-2,60,2021-2022
Saturnin Allagbé,bj BEN,GK,Valenciennes,27,1993,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,46.7,90,7,0,,2,0.71,4,11,-7,-1.00,-0.63,0,0,0,0,0,0,2,,,0,Ligue-2,60,2021-2022
Mickaël Alphonse,gp GLP,"DF,MF",Amiens,32,1989,15,15,1350,15.0,1,1,1,0,0,2,0,0.07,0.07,0.13,0.07,0.13,16,4,25.0,1.07,0.27,0.06,0.25,,90,100.0,90,15,0,,0,0.93,14,16,-2,-0.13,,0,15,18,2,49,38,21,,,0,Ligue-2,60,2021-2022
Steve Ambri,fr FRA,MF,Sochaux,24,1997,10,3,401,4.5,1,2,0,1,1,3,0,0.22,0.45,0.67,0.00,0.45,9,2,22.2,2.02,0.45,0.00,0.00,,40,29.7,76,1,7,25,0,1.90,6,3,+3,+0.67,+0.39,0,15,17,3,7,3,6,,,0,Ligue-2,60,2021-2022
Achille Anani,ci CIV,FW,Grenoble,26,1994,12,9,748,8.3,1,1,1,0,1,2,0,0.12,0.12,0.24,0.12,0.24,14,7,50.0,1.68,0.84,0.07,0.14,,62,55.4,75,4,3,25,0,1.17,5,13,-8,-0.96,-1.71,0,21,14,12,2,1,3,,,0,Ligue-2,60,2021-2022
Janis Antiste,fr FRA,FW,Toulouse,19,2002,3,1,129,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3,1,33.3,2.09,0.70,0.00,0.00,,43,9.6,79,0,2,25,0,2.33,3,2,+1,+0.70,-0.63,0,2,2,0,2,1,0,,,0,Ligue-2,60,2021-2022
Said Arab,fr FRA,FW,Paris FC,21,2000,2,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,3.75,0.00,0.00,,,12,1.8,,0,2,12,4,3.00,0,0,0,0.00,-0.20,0,2,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Taïryk Arconte,fr FRA,FW,Ajaccio,17,2003,8,0,116,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.78,0.00,0.00,,,15,8.6,,0,8,15,1,1.63,1,0,+1,+0.78,+0.19,0,7,3,3,4,0,2,,,0,Ligue-2,60,2021-2022
