Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Alexandre Mendy,gw GNB,FW,Caen,27,1994,14,14,1169,13.0,7,1,5,2,2,2,1,0.54,0.08,0.62,0.38,0.46,27,14,51.9,2.08,1.08,0.19,0.36,,84,81.2,84,8,0,,0,1.14,13,15,-2,-0.15,-0.49,0,26,17,12,6,1,3,,,0,Ligue-2,60,2021-2022
Formose Mendy,sn SEN,DF,Amiens,20,2001,12,11,984,10.9,1,0,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,5,1,20.0,0.46,0.09,0.20,1.00,,82,68.3,89,10,1,6,3,1.08,8,6,+2,+0.18,+0.97,0,6,16,0,2,22,16,,,0,Ligue-2,60,2021-2022
Umut Meraş,tr TUR,DF,Le Havre,25,1995,4,4,338,3.8,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,85,23.5,85,2,0,,0,1.75,5,3,+2,+0.53,+0.21,0,5,4,0,4,8,2,,,0,Ligue-2,60,2021-2022
Nicolas Mercier,fr FRA,FW,Auxerre,18,2003,3,0,34,0.4,0,1,0,0,0,0,0,0.00,2.65,2.65,0.00,2.65,1,0,0.0,2.65,0.00,0.00,,,11,2.4,,0,3,11,6,2.00,1,1,0,0.00,-0.51,0,1,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Yanis Merdji,dz ALG,"FW,MF",Niort,28,1993,14,5,530,5.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,9,5,55.6,1.53,0.85,0.00,0.00,,38,36.8,76,0,9,17,0,1.29,3,5,-2,-0.34,-0.34,0,7,8,6,11,4,3,,,0,Ligue-2,60,2021-2022
Mehdi Merghem,fr FRA,MF,Guingamp,24,1997,11,3,336,3.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,14,4,28.6,3.75,1.07,0.00,0.00,,31,23.3,70,0,8,16,0,1.09,6,8,-2,-0.54,-0.37,0,9,12,0,17,1,4,,,0,Ligue-2,60,2021-2022
Florian Michel,fr FRA,MF,Grenoble,29,1992,10,9,640,7.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,14,6,42.9,1.97,0.84,0.00,0.00,,64,44.4,69,0,1,16,0,1.70,11,4,+7,+0.98,+2.22,0,12,10,0,8,15,10,,,0,Ligue-2,60,2021-2022
Iyad Mohamed,km COM,MF,Auxerre,20,2001,3,1,112,1.2,1,0,1,0,0,0,0,0.80,0.00,0.80,0.80,0.80,1,1,100.0,0.80,0.80,1.00,1.00,,37,7.8,90,1,2,11,4,2.00,2,6,-4,-3.21,-4.03,0,0,1,0,0,0,2,,,0,Ligue-2,60,2021-2022
Jérôme Mombris,mg MAD,DF,Guingamp,34,1987,6,5,531,5.9,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,2,0,0.0,0.34,0.00,0.00,,,89,36.9,90,5,1,81,5,0.67,8,12,-4,-0.68,-0.68,0,6,6,0,18,9,3,,,0,Ligue-2,60,2021-2022
Jérôme Mombris,mg MAD,DF,Grenoble,34,1987,2,2,158,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,79,11.0,79,1,0,,1,0.00,0,6,-6,-3.42,-3.56,0,1,3,0,3,1,0,,,0,Ligue-2,60,2021-2022
Adrien Monfray,fr FRA,DF,Grenoble,30,1990,15,14,1308,14.5,1,0,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,9,1,11.1,0.62,0.07,0.11,1.00,,87,90.8,90,14,1,48,0,1.20,11,17,-6,-0.41,-1.78,0,6,13,0,0,20,23,,,0,Ligue-2,60,2021-2022
Nathan Monzango,fr FRA,DF,Amiens,20,2001,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.50,0.00,0.00,,,90,12.5,90,2,0,,3,0.00,2,6,-4,-2.00,-2.14,0,2,0,0,0,1,2,,,0,Ligue-2,60,2021-2022
Bevic Moussiti-Oko,cg CGO,FW,Ajaccio,26,1995,7,5,410,4.6,2,1,2,0,0,1,0,0.44,0.22,0.66,0.44,0.66,10,4,40.0,2.20,0.88,0.20,0.50,,59,28.5,72,1,2,25,0,2.00,9,5,+4,+0.88,+0.35,0,7,9,0,5,0,2,,,0,Ligue-2,60,2021-2022
Joris Moutachy,fr FRA,DF,Niort,24,1997,8,6,557,6.2,0,1,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,1,0,0.0,0.16,0.00,0.00,,,70,38.7,87,5,2,18,0,1.25,5,9,-4,-0.65,-0.85,0,4,14,0,14,10,10,,,0,Ligue-2,60,2021-2022
Lionel Mpasi,cd COD,GK,Rodez Aveyron,27,1994,16,16,1440,16.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,100.0,90,16,0,,0,1.38,18,16,+2,+0.12,,0,1,3,0,0,0,0,,,0,Ligue-2,60,2021-2022
Tristan Muyumba,cd COD,MF,Guingamp,24,1997,14,10,896,10.0,1,0,1,0,0,4,0,0.10,0.00,0.10,0.10,0.10,9,2,22.2,0.90,0.20,0.11,0.50,,64,62.2,85,4,4,12,1,1.07,12,15,-3,-0.30,-0.14,0,15,7,0,2,10,21,,,0,Ligue-2,60,2021-2022
Steve Mvoué,cm CMR,"MF,FW",Toulouse,19,2002,2,2,110,1.2,1,0,1,0,0,0,0,0.82,0.00,0.82,0.82,0.82,2,1,50.0,1.64,0.82,0.50,1.00,,55,7.6,55,0,0,,3,3.00,5,1,+4,+3.27,+2.05,0,2,0,0,2,2,0,,,0,Ligue-2,60,2021-2022
Alassane N'Diaye,fr FRA,"FW,MF",Ajaccio,30,1991,7,0,117,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3,1,33.3,2.31,0.77,0.00,0.00,,17,8.1,,0,7,17,3,2.29,2,0,+2,+1.54,+0.99,0,5,1,0,0,2,1,,,0,Ligue-2,60,2021-2022
Abdallah N'dour,sn SEN,DF,Sochaux,27,1993,16,16,1439,16.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,5,2,40.0,0.31,0.13,0.00,0.00,,90,99.9,90,15,0,,0,1.75,15,12,+3,+0.19,+0.19,0,11,15,4,71,9,15,,,0,Ligue-2,60,2021-2022
Nathan N'Goumou,fr FRA,"MF,FW",Toulouse,21,2000,15,9,990,11.0,4,3,4,0,0,1,0,0.36,0.27,0.64,0.36,0.64,18,9,50.0,1.64,0.82,0.22,0.44,,66,68.8,87,5,6,35,0,2.13,26,8,+18,+1.64,+0.84,0,10,12,4,41,5,4,,,0,Ligue-2,60,2021-2022
Kenny Nagera,fr FRA,FW,Bastia,19,2002,6,1,176,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2,1,50.0,1.02,0.51,0.00,0.00,,29,12.2,59,0,5,23,1,0.33,0,3,-3,-1.53,-1.61,0,3,2,0,1,0,1,,,0,Ligue-2,60,2021-2022
Zakaria Naidji,dz ALG,FW,Pau FC,26,1995,6,4,346,3.8,1,0,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,6,5,83.3,1.56,1.30,0.17,0.20,,58,24.0,70,0,2,34,0,1.50,3,2,+1,+0.26,+0.26,0,4,5,8,2,3,1,,,0,Ligue-2,60,2021-2022
Ilyes Najim,fr FRA,MF,Caen,19,2002,1,1,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2,0,0.0,12.00,0.00,0.00,,,15,1.0,15,0,0,,0,3.00,0,0,0,0.00,+0.06,0,0,1,0,0,0,0,,,0,Ligue-2,60,2021-2022
