Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Abdel Abdallah,km COM,DF,Grenoble,22,1997,27,12,1247,13.9,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,10,1,10.0,0.72,0.07,0.00,0.00,,46,36.5,90,,15,11,6,1.61,17,9,+8,+0.58,+0.25,0,11,12,0,41,37,10,,,0,Ligue-2,60,2020-2021
Himad Abdelli,fr FRA,"FW,MF",Le Havre,20,1999,25,17,1387,15.4,2,1,1,1,1,2,1,0.13,0.06,0.19,0.06,0.13,17,6,35.3,1.10,0.39,0.06,0.17,,55,40.6,73,,8,19,2,1.00,16,22,-6,-0.39,-0.21,1,32,40,4,12,11,15,,,0,Ligue-2,60,2020-2021
Ali Abdi,tn TUN,"DF,MF",Paris FC,26,1993,32,25,2277,25.3,9,2,9,0,0,8,2,0.36,0.08,0.43,0.36,0.43,55,17,30.9,2.17,0.67,0.16,0.53,,71,66.6,86,,7,17,1,1.64,36,21,+15,+0.59,+0.51,2,55,35,3,64,49,33,,,0,Ligue-2,60,2020-2021
Salis Abdul Samed,gh GHA,MF,Clermont Foot,20,2000,6,0,123,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,21,3.6,,,6,21,2,1.83,2,2,0,0.00,-0.98,0,5,1,0,0,3,3,,,0,Ligue-2,60,2020-2021
Aly Abeid,mr MTN,"DF,MF",Valenciennes,22,1997,25,23,1869,20.8,0,1,0,0,0,7,1,0.00,0.05,0.05,0.00,0.05,3,0,0.0,0.14,0.00,0.00,,,75,56.1,79,,2,26,4,1.32,26,26,0,0.00,+0.55,1,36,17,0,37,32,24,,,0,Ligue-2,60,2020-2021
Amine Adli,fr FRA,"FW,MF",Toulouse,20,2000,33,29,2507,27.9,8,7,8,0,0,5,1,0.29,0.25,0.54,0.29,0.54,54,21,38.9,1.94,0.75,0.15,0.38,,76,73.3,82,,4,30,0,1.82,51,27,+24,+0.86,+0.37,0,50,92,16,58,18,22,,,0,Ligue-2,60,2020-2021
Ogou Akichi,ci CIV,MF,Nancy,30,1990,31,24,2043,22.7,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,9,0,0.0,0.40,0.00,0.00,,,66,59.7,81,,7,16,0,1.00,25,29,-4,-0.18,-0.44,0,33,33,0,5,16,22,,,0,Ligue-2,60,2020-2021
Chadrac Akolo,cd COD,"MF,FW",Amiens,25,1995,13,8,739,8.2,2,0,2,0,0,1,0,0.24,0.00,0.24,0.24,0.24,10,6,60.0,1.22,0.73,0.20,0.33,,57,21.6,75,,5,27,2,1.31,9,10,-1,-0.12,+0.05,0,14,10,1,15,8,6,,,0,Ligue-2,60,2020-2021
Josué Albert,gf GUF,DF,Clermont Foot,28,1992,5,1,123,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.73,0.00,0.00,,,25,3.6,90,,4,8,28,2.40,4,0,+4,+2.93,+2.05,0,2,0,0,1,1,2,,,0,Ligue-2,60,2020-2021
Alexis Alegue,fr FRA,"FW,MF",Rodez Aveyron,23,1996,11,5,440,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,7,3,42.9,1.43,0.61,0.00,0.00,,40,12.9,71,,6,14,4,0.55,2,7,-5,-1.02,-0.99,0,7,14,3,14,3,3,,,0,Ligue-2,60,2020-2021
Chaker Alhadhur,km COM,DF,Châteauroux,28,1991,8,7,582,6.5,0,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,6,0,0.0,0.93,0.00,0.00,,,73,17.0,82,,1,10,0,0.88,5,8,-3,-0.46,+0.27,0,4,16,0,8,12,4,,,0,Ligue-2,60,2020-2021
Nabil Alioui,fr FRA,"MF,FW",Le Havre,21,1999,24,12,1236,13.7,3,2,3,0,0,3,0,0.22,0.15,0.36,0.22,0.36,32,9,28.1,2.33,0.66,0.09,0.33,,52,36.1,74,,12,29,4,1.13,14,17,-3,-0.22,+0.07,0,25,29,5,23,5,9,,,0,Ligue-2,60,2020-2021
Saturnin Allagbé,bj BEN,GK,Niort,26,1993,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,13.5,90,,0,,0,2.20,6,3,+3,+0.60,+1.44,0,0,2,0,0,0,0,,,0,Ligue-2,60,2020-2021
Jim Allevinah,ga GAB,MF,Clermont Foot,25,1995,38,31,2555,28.4,12,6,12,0,0,2,0,0.42,0.21,0.63,0.42,0.63,74,32,43.2,2.61,1.13,0.16,0.38,,67,74.7,75,,7,33,0,1.89,42,17,+25,+0.88,-0.26,0,30,77,12,66,18,16,,,0,Ligue-2,60,2020-2021
Mickaël Alphonse,gp GLP,"DF,MF",Amiens,31,1989,34,33,2967,33.0,3,3,3,0,0,6,1,0.09,0.09,0.18,0.09,0.18,41,11,26.8,1.24,0.33,0.07,0.27,,87,86.8,90,,1,13,0,1.26,29,33,-4,-0.12,+0.28,1,37,35,9,128,56,25,,,0,Ligue-2,60,2020-2021
Steve Ambri,gw GNB,MF,Sochaux,22,1997,28,18,1610,17.9,3,1,3,0,0,9,0,0.17,0.06,0.22,0.17,0.22,28,12,42.9,1.57,0.67,0.11,0.25,,58,47.1,76,,10,24,0,1.50,26,14,+12,+0.67,+0.87,0,55,60,6,26,11,23,,,0,Ligue-2,60,2020-2021
Kelvin Amian,fr FRA,DF,Toulouse,22,1998,33,33,2970,33.0,4,1,4,0,0,6,0,0.12,0.03,0.15,0.12,0.15,29,10,34.5,0.88,0.30,0.14,0.40,,90,86.8,90,,0,,1,1.94,63,34,+29,+0.88,+0.88,0,37,12,2,20,34,30,,,0,Ligue-2,60,2020-2021
Achille Anani,ci CIV,FW,Grenoble,25,1994,37,15,1519,16.9,7,4,7,0,0,4,1,0.41,0.24,0.65,0.41,0.65,52,19,36.5,3.08,1.13,0.13,0.37,,41,44.4,67,,22,23,0,1.67,27,17,+10,+0.59,+0.31,0,48,32,17,14,4,4,,,0,Ligue-2,60,2020-2021
Janis Antiste,fr FRA,FW,Toulouse,17,2002,30,12,1147,12.7,7,1,7,0,0,2,1,0.55,0.08,0.63,0.55,0.63,18,10,55.6,1.41,0.78,0.39,0.70,,38,33.5,70,,18,17,5,1.80,25,19,+6,+0.47,-0.44,0,19,11,11,21,4,4,,,0,Ligue-2,60,2020-2021
Said Arab,fr FRA,"MF,FW",Paris FC,20,2000,27,4,633,7.0,3,1,3,0,0,1,0,0.43,0.14,0.57,0.43,0.57,16,7,43.8,2.27,1.00,0.19,0.43,,23,18.5,67,,23,16,3,1.71,13,5,+8,+1.14,+0.88,0,22,8,2,36,4,10,,,0,Ligue-2,60,2020-2021
Taïryk Arconte,fr FRA,MF,Ajaccio,16,2003,4,1,105,1.2,1,0,1,0,0,0,0,0.86,0.00,0.86,0.86,0.86,3,1,33.3,2.57,0.86,0.33,1.00,,26,3.1,61,,3,15,2,1.25,1,1,0,0.00,+0.24,0,3,5,1,2,1,0,,,0,Ligue-2,60,2020-2021
Carlens Arcus,ht HAI,DF,Auxerre,24,1996,38,36,3238,36.0,0,5,0,0,0,6,0,0.00,0.14,0.14,0.00,0.14,10,1,10.0,0.28,0.03,0.00,0.00,,85,94.7,89,,2,15,0,1.63,63,39,+24,+0.67,+2.15,0,47,43,3,163,104,61,,,0,Ligue-2,60,2020-2021
Romain Armand,fr FRA,"FW,MF",Pau FC,33,1987,34,28,2493,27.7,7,4,7,0,0,4,0,0.25,0.14,0.40,0.25,0.40,46,16,34.8,1.66,0.58,0.15,0.44,,73,72.9,83,,6,26,0,1.09,31,42,-11,-0.40,-0.79,0,21,42,8,84,13,15,,,0,Ligue-2,60,2020-2021
Yoël Armougom,fr FRA,DF,Caen,22,1998,24,20,1825,20.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,13,3,23.1,0.64,0.15,0.00,0.00,,76,53.4,89,,4,9,2,1.17,20,28,-8,-0.39,0.00,0,27,18,1,91,20,14,,,0,Ligue-2,60,2020-2021
Ebenezer Assifuah,gh GHA,"MF,FW",Pau FC,27,1993,34,19,1838,20.4,6,2,6,0,0,5,0,0.29,0.10,0.39,0.29,0.39,57,20,35.1,2.79,0.98,0.11,0.30,,54,53.7,79,,15,23,2,1.00,21,29,-8,-0.39,-0.45,0,55,52,12,44,29,28,,,0,Ligue-2,60,2020-2021
Youssouf Assogba,bj BEN,"MF,DF",Amiens,18,2001,9,6,572,6.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,3,0,0.0,0.47,0.00,0.00,,,64,16.7,82,,3,27,5,1.22,8,7,+1,+0.16,+0.38,0,10,3,0,22,9,7,,,0,Ligue-2,60,2020-2021
Louis Autchanga,ga GAB,MF,Niort,23,1996,15,2,269,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,6,0,0.0,2.01,0.00,0.00,,,18,8.1,62,,13,11,10,1.13,4,9,-5,-1.67,-1.11,0,12,3,1,4,1,3,,,0,Ligue-2,60,2020-2021
Mathias Autret,fr FRA,MF,Auxerre,29,1991,34,34,2734,30.4,6,12,6,0,0,3,0,0.20,0.40,0.59,0.20,0.59,65,26,40.0,2.14,0.86,0.09,0.23,,80,79.9,80,,0,,0,1.62,55,30,+25,+0.82,+1.35,0,46,14,10,162,22,34,,,0,Ligue-2,60,2020-2021
Cédric Avinel,gp GLP,DF,Ajaccio,33,1986,32,31,2761,30.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,6,3,50.0,0.20,0.10,0.00,0.00,,86,80.7,89,,1,2,4,1.19,27,37,-10,-0.33,-0.46,0,31,10,0,2,42,20,,,0,Ligue-2,60,2020-2021
Karim Azamoum,fr FRA,MF,Troyes,30,1990,13,5,576,6.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,6,2,33.3,0.94,0.31,0.00,0.00,,44,16.8,69,,8,29,0,2.08,11,7,+4,+0.62,-0.01,0,24,8,0,9,6,11,,,0,Ligue-2,60,2020-2021
Abdoullah Ba,fr FRA,MF,Le Havre,17,2003,3,2,194,2.2,1,0,1,0,0,0,0,0.46,0.00,0.46,0.46,0.46,2,1,50.0,0.93,0.46,0.50,1.00,,65,5.7,85,,1,24,2,2.00,8,4,+4,+1.86,+2.25,0,0,2,0,1,2,0,,,0,Ligue-2,60,2020-2021
Alioune Ba,fr FRA,DF,Dunkerque,30,1989,25,24,2038,22.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,8,3,37.5,0.35,0.13,0.00,0.00,,82,59.6,84,,1,15,1,0.76,16,31,-15,-0.66,-0.79,0,22,32,1,1,33,32,,,0,Ligue-2,60,2020-2021
El-Hadji Ba,fr FRA,MF,Guingamp,27,1993,15,9,662,7.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,4,2,50.0,0.54,0.27,0.00,0.00,,44,19.4,63,,6,16,2,1.47,8,4,+4,+0.54,+0.74,0,18,6,0,1,10,21,,,0,Ligue-2,60,2020-2021
Moulaye Ba,fr FRA,FW,Pau FC,29,1990,16,2,341,3.8,0,1,0,0,0,0,0,0.00,0.26,0.26,0.00,0.26,2,0,0.0,0.53,0.00,0.00,,,21,10.0,68,,14,15,9,0.94,2,2,0,0.00,+0.20,0,23,10,4,1,1,1,,,0,Ligue-2,60,2020-2021
Melvin Bachelet,fr FRA,DF,Le Havre,17,2003,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,45,1.3,45,,0,,0,3.00,2,1,+1,+2.00,+2.29,0,1,0,0,0,1,2,,,0,Ligue-2,60,2020-2021
Aliou Badara Traore,ml MLI,MF,Caen,19,2001,19,6,672,7.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1,1,100.0,0.13,0.13,0.00,0.00,,35,19.6,78,,13,16,2,1.16,6,11,-5,-0.67,-0.34,0,19,6,1,10,2,13,,,0,Ligue-2,60,2020-2021
Bastian Badu,fr FRA,"FW,MF",Chambly Oise,20,2000,17,6,581,6.5,2,0,2,0,0,0,0,0.31,0.00,0.31,0.31,0.31,18,8,44.4,2.79,1.24,0.11,0.25,,34,17.0,69,,11,15,1,0.94,9,14,-5,-0.77,-0.20,0,8,10,6,4,5,9,,,0,Ligue-2,60,2020-2021
Axel Bamba,fr FRA,DF,Paris FC,21,1999,33,33,2861,31.8,1,0,1,0,0,2,2,0.03,0.00,0.03,0.03,0.03,15,4,26.7,0.47,0.13,0.07,0.25,,87,83.7,87,,0,,1,1.50,44,33,+11,+0.35,-0.46,0,28,15,1,4,44,17,,,0,Ligue-2,60,2020-2021
Yacine Bammou,ma MAR,"MF,FW",Caen,28,1991,17,14,1249,13.9,6,1,2,4,4,4,1,0.43,0.07,0.50,0.14,0.22,35,12,34.3,2.52,0.86,0.06,0.17,,73,36.5,83,,3,30,0,1.53,13,12,+1,+0.07,+0.74,1,25,13,7,20,12,7,,,0,Ligue-2,60,2020-2021
Rafael Bandeira,pt POR,"MF,DF",Amiens,19,2001,2,2,98,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,49,2.9,49,,0,,5,0.50,0,2,-2,-1.84,-1.73,0,2,0,0,1,1,0,,,0,Ligue-2,60,2020-2021
Fodé Bangaly Diakité,ci CIV,"MF,FW",Paris FC,35,1985,4,2,217,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,6,0,0.0,2.49,0.00,0.00,,,54,6.3,79,,2,30,0,1.00,5,4,+1,+0.41,-0.01,0,5,12,0,6,1,7,,,0,Ligue-2,60,2020-2021
Mamady Bangré,fr FRA,MF,Toulouse,19,2001,2,0,74,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,5,1,20.0,6.08,1.22,0.00,0.00,,37,2.2,,,2,37,3,2.00,3,1,+2,+2.43,+1.71,0,2,2,0,2,0,1,,,0,Ligue-2,60,2020-2021
Damon Bansais,fr FRA,"DF,MF",Pau FC,26,1994,7,6,538,6.0,1,0,1,0,0,4,0,0.17,0.00,0.17,0.17,0.17,3,2,66.7,0.50,0.33,0.33,0.50,,77,15.7,89,,1,7,9,0.43,2,7,-5,-0.84,-0.77,0,15,8,1,26,15,5,,,0,Ligue-2,60,2020-2021
Pierre Bardy,fr FRA,DF,Rodez Aveyron,27,1992,36,34,3069,34.1,3,0,3,0,0,2,0,0.09,0.00,0.09,0.09,0.09,18,5,27.8,0.53,0.15,0.17,0.60,,85,89.7,89,,2,27,1,1.17,36,40,-4,-0.12,+0.40,0,44,54,3,20,71,34,,,0,Ligue-2,60,2020-2021
Yanis Barka,fr FRA,"MF,FW",Nancy,22,1998,22,3,545,6.1,2,2,2,0,0,1,0,0.33,0.33,0.66,0.33,0.66,13,4,30.8,2.15,0.66,0.15,0.50,,25,15.9,68,,19,18,3,1.18,10,12,-2,-0.33,-0.39,0,20,14,8,19,5,7,,,0,Ligue-2,60,2020-2021
Imani Barker,fr FRA,DF,Le Havre,17,2002,1,1,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,45,1.3,45,,0,,0,3.00,2,1,+1,+2.00,+2.29,0,1,0,0,0,1,1,,,0,Ligue-2,60,2020-2021
Antoine Baroan,fr FRA,FW,Niort,20,2000,9,0,129,1.4,1,0,1,0,0,2,0,0.70,0.00,0.70,0.70,0.70,3,2,66.7,2.09,1.40,0.33,0.50,,14,3.9,,,9,14,3,1.56,3,4,-1,-0.70,-0.05,0,9,3,0,0,3,1,,,0,Ligue-2,60,2020-2021
Mickaël Barreto,fr FRA,MF,Ajaccio,29,1991,35,32,2766,30.7,5,6,4,1,1,5,0,0.16,0.20,0.36,0.13,0.33,63,22,34.9,2.05,0.72,0.06,0.18,,79,80.9,83,,3,35,0,1.23,32,34,-2,-0.07,+0.90,0,37,27,9,291,30,31,,,0,Ligue-2,60,2020-2021
Maxime Barthelmé,fr FRA,"MF,FW",Troyes,31,1988,29,17,1406,15.6,0,3,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,30,8,26.7,1.92,0.51,0.00,0.00,,48,41.1,67,,12,23,0,1.97,21,18,+3,+0.19,-0.75,0,35,29,6,157,13,18,,,0,Ligue-2,60,2020-2021
Enzo Basilio,fr FRA,GK,Guingamp,25,1994,32,32,2880,32.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,84.2,90,,0,,6,1.25,36,36,0,0.00,+0.33,0,0,2,0,0,3,0,,,0,Ligue-2,60,2020-2021
