Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Adrián,es ESP,GK,Liverpool,33,1987,3,3,270,3.0,9,3.00,19,10,52.6,1,1,1,1,33.3,0,0,0,0,,0,2,0,7.9,0.42,-1.1,-0.36,12,32,37.5,77,20,31.2,34.9,22,36.4,32.6,29,2,6.9,1,0.33,13.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,7.9,90,,0,,27,1.33,6,9,-3,-1.00,-1.83,6.8,5.8,+1.0,+0.33,-0.42,0,0,0,0,0,0,0,0,0,20,0,0,,Premier-League,9,2020-2021
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,1,0,16,0.2,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,,0,0,0,0.1,0.04,+0.1,+0.50,0,3,0.0,10,2,30.0,31.8,1,0.0,30.0,4,0,0.0,0,0.00,17.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,16,0.5,,,1,16,21,0.00,0,0,0,0.00,-0.42,0.1,0.5,-0.4,-2.03,-2.28,0,0,0,0,0,0,0,0,0,2,0,0,,Premier-League,9,2020-2021
Alisson,br BRA,GK,Liverpool,27,1992,33,33,2970,33.0,32,0.97,111,82,74.8,18,8,7,10,30.3,8,4,1,3,20.0,1,4,0,37.9,0.31,+5.9,+0.18,127,275,46.2,964,159,22.6,30.2,173,32.9,35.5,218,22,10.1,44,1.33,17.9,1,0,1,0,1,0,0.03,0.00,0.03,0.03,0.03,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,90,86.8,90,,0,,0,1.88,58,32,+26,+0.79,+0.79,63.9,37.9,+26.0,+0.79,+0.53,0,1,5,0,0,0,0,0,1,170,0,1,0.0,Premier-League,9,2020-2021
Alphonse Areola,fr FRA,GK,Fulham,27,1993,36,36,3240,36.0,48,1.33,156,114,73.1,5,13,18,9,25.0,6,6,0,0,0.0,0,4,1,54.6,0.32,+7.6,+0.21,171,431,39.7,752,158,38.2,34.0,249,57.8,43.1,325,32,9.8,20,0.56,13.9,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,94.7,90,,0,,2,0.78,27,48,-21,-0.58,+1.92,40.2,50.0,-9.8,-0.27,+0.66,0,0,5,0,0,0,1,0,0,150,0,0,,Premier-League,9,2020-2021
Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,7,6,585,6.5,8,1.23,22,15,68.2,2,2,2,2,33.3,1,1,0,0,0.0,0,0,0,7.4,0.31,-0.6,-0.09,38,78,48.7,198,39,29.8,30.8,45,42.2,35.0,40,5,12.5,6,0.92,18.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,84,17.1,90,,1,45,28,1.14,9,8,+1,+0.15,-0.51,10.8,9.2,+1.7,+0.26,-0.68,0,1,0,0,0,0,0,0,0,34,0,0,,Premier-League,9,2020-2021
Jack Butland,eng ENG,GK,Crystal Palace,27,1993,1,1,90,1.0,2,2.00,5,3,60.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0.8,0.17,-1.2,-1.17,3,18,16.7,13,2,76.9,55.2,8,100.0,77.1,10,1,10.0,2,2.00,23.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,90,,0,,30,3.00,3,2,+1,+1.00,+1.70,1.6,1.3,+0.2,+0.22,+0.90,0,0,0,0,0,0,0,0,0,4,0,0,,Premier-League,9,2020-2021
David Button,eng ENG,GK,West Brom,31,1989,1,1,90,1.0,2,2.00,7,5,71.4,1,0,0,0,0.0,0,0,0,0,,0,1,0,1.7,0.24,-0.3,-0.31,8,29,27.6,25,2,68.0,49.2,12,100.0,67.0,10,1,10.0,0,0.00,10.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,90,,0,,37,3.00,3,2,+1,+1.00,+2.14,2.3,2.2,0.0,+0.02,+0.94,0,0,0,0,0,0,0,0,0,2,0,0,,Premier-League,9,2020-2021
Willy Caballero,ar ARG,GK,Chelsea,38,1981,1,1,90,1.0,3,3.00,3,0,0.0,0,1,0,0,0.0,0,0,0,0,,0,1,0,1.5,0.49,-1.5,-1.54,1,3,33.3,20,2,15.0,24.6,6,0.0,19.7,8,0,0.0,2,2.00,22.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,90,,0,,6,1.00,3,3,0,0.00,-0.59,2.2,1.0,+1.3,+1.27,+0.46,0,0,0,0,0,0,0,0,0,4,0,0,,Premier-League,9,2020-2021
Scott Carson,eng ENG,GK,Manchester City,34,1985,1,1,90,1.0,3,3.00,3,1,33.3,1,0,0,0,0.0,2,1,1,0,50.0,0,1,0,2.4,0.21,-0.6,-0.58,0,1,0.0,14,6,0.0,21.4,2,50.0,47.0,7,0,0.0,0,0.00,14.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,90,,0,,3,3.00,4,3,+1,+1.00,-0.35,1.3,2.2,-0.9,-0.91,-2.07,0,0,0,0,0,0,0,0,0,5,0,0,,Premier-League,9,2020-2021
Kiko Casilla,es ESP,GK,Leeds United,33,1986,3,3,270,3.0,2,0.67,12,10,83.3,2,0,1,1,33.3,0,0,0,0,,0,0,0,4.3,0.36,+2.3,+0.77,16,26,61.5,63,21,20.6,26.0,31,41.9,34.0,18,3,16.7,1,0.33,14.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,7.9,90,,0,,31,2.00,5,2,+3,+1.00,+0.86,3.6,4.2,-0.6,-0.20,-0.06,0,0,0,0,0,0,0,0,0,14,0,0,,Premier-League,9,2020-2021
