Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
5.0,Fri,2021-09-17,20:30,Hertha BSC,1.1,2–1,1.3,Greuther Fürth,21372.0,Olympiastadion Berlin,Tobias Stieler,Bundesliga,20,2021-2022
5.0,Sat,2021-09-18,15:30,Arminia,1.1,0–0,1.5,Hoffenheim,13750.0,SchücoArena,Patrick Ittrich,Bundesliga,20,2021-2022
5.0,Sat,2021-09-18,15:30,Augsburg,0.4,1–0,0.7,M'Gladbach,12500.0,WWK Arena,Florian Badstübner,Bundesliga,20,2021-2022
5.0,Sat,2021-09-18,15:30,Mainz 05,0.8,0–0,0.7,Freiburg,13500.0,Opel Arena,Benjamin Brand,Bundesliga,20,2021-2022
5.0,Sat,2021-09-18,15:30,Bayern Munich,4.5,7–0,1.0,Bochum,25000.0,Allianz Arena,Tobias Welz,Bundesliga,20,2021-2022
5.0,Sat,2021-09-18,18:30,Köln,1.6,1–1,1.9,RB Leipzig,25000.0,RheinEnergieSTADION,Felix Brych,Bundesliga,20,2021-2022
5.0,Sun,2021-09-19,15:30,Stuttgart,1.1,1–3,1.5,Leverkusen,23450.0,Mercedes-Benz Arena,Benjamin Cortus,Bundesliga,20,2021-2022
5.0,Sun,2021-09-19,17:30,Dortmund,0.9,4–2,1.4,Union Berlin,25000.0,Signal Iduna Park,Sven Jablonski,Bundesliga,20,2021-2022
5.0,Sun,2021-09-19,19:30,Wolfsburg,1.7,1–1,0.3,Eint Frankfurt,9266.0,Volkswagen Arena,Felix Zwayer,Bundesliga,20,2021-2022
6.0,Fri,2021-09-24,20:30,Greuther Fürth,1.0,1–3,0.9,Bayern Munich,11740.0,Sportpark Ronhof Thomas Sommer,Robert Schröder,Bundesliga,20,2021-2022
6.0,Sat,2021-09-25,15:30,Hoffenheim,1.7,3–1,0.6,Wolfsburg,8523.0,PreZero Arena,Daniel Siebert,Bundesliga,20,2021-2022
6.0,Sat,2021-09-25,15:30,RB Leipzig,3.9,6–0,0.3,Hertha BSC,23500.0,Red Bull Arena,Sascha Stegemann,Bundesliga,20,2021-2022
6.0,Sat,2021-09-25,15:30,Leverkusen,1.6,1–0,1.0,Mainz 05,16624.0,BayArena,Bastian Dankert,Bundesliga,20,2021-2022
6.0,Sat,2021-09-25,15:30,Eint Frankfurt,1.2,1–1,1.0,Köln,24000.0,Commerzbank-Arena,Martin Petersen,Bundesliga,20,2021-2022
6.0,Sat,2021-09-25,15:30,Union Berlin,1.2,1–0,0.6,Arminia,11000.0,Stadion An der Alten Försterei,Marco Fritz,Bundesliga,20,2021-2022
6.0,Sat,2021-09-25,18:30,M'Gladbach,1.4,1–0,0.4,Dortmund,25000.0,Stadion im Borussia-Park,Deniz Aytekin,Bundesliga,20,2021-2022
6.0,Sun,2021-09-26,15:30,Bochum,0.7,0–0,0.2,Stuttgart,15300.0,Vonovia Ruhrstadion,Christian Dingert,Bundesliga,20,2021-2022
6.0,Sun,2021-09-26,17:30,Freiburg,3.0,3–0,0.2,Augsburg,14400.0,Schwarzwald-Stadion,Daniel Schlager,Bundesliga,20,2021-2022
7.0,Fri,2021-10-01,20:30,Köln,2.7,3–1,1.2,Greuther Fürth,40000.0,RheinEnergieSTADION,Matthias Jöllenbeck,Bundesliga,20,2021-2022
7.0,Sat,2021-10-02,15:30,Dortmund,3.0,2–1,0.8,Augsburg,41000.0,Signal Iduna Park,Tobias Welz,Bundesliga,20,2021-2022
7.0,Sat,2021-10-02,15:30,Hertha BSC,1.0,1–2,1.0,Freiburg,18376.0,Olympiastadion Berlin,Patrick Ittrich,Bundesliga,20,2021-2022
7.0,Sat,2021-10-02,15:30,Stuttgart,0.8,3–1,1.3,Hoffenheim,24211.0,Mercedes-Benz Arena,Harm Osmers,Bundesliga,20,2021-2022
7.0,Sat,2021-10-02,15:30,Wolfsburg,1.3,1–3,2.8,M'Gladbach,12845.0,Volkswagen Arena,Frank Willenborg,Bundesliga,20,2021-2022
7.0,Sat,2021-10-02,18:30,RB Leipzig,2.5,3–0,1.3,Bochum,25598.0,Red Bull Arena,Robert Hartmann,Bundesliga,20,2021-2022
7.0,Sun,2021-10-03,15:30,Mainz 05,1.1,1–2,1.3,Union Berlin,16000.0,Opel Arena,Tobias Stieler,Bundesliga,20,2021-2022
7.0,Sun,2021-10-03,17:30,Bayern Munich,2.7,1–2,0.7,Eint Frankfurt,25000.0,Allianz Arena,Florian Badstübner,Bundesliga,20,2021-2022
7.0,Sun,2021-10-03,19:30,Arminia,0.4,0–4,3.0,Leverkusen,16250.0,SchücoArena,Felix Zwayer,Bundesliga,20,2021-2022
8.0,Fri,2021-10-15,20:30,Hoffenheim,3.7,5–0,0.7,Köln,14309.0,PreZero Arena,Tobias Reichel,Bundesliga,20,2021-2022
8.0,Sat,2021-10-16,15:30,Freiburg,1.4,1–1,1.7,RB Leipzig,20000.0,Europa-Park Stadion,Daniel Siebert,Bundesliga,20,2021-2022
8.0,Sat,2021-10-16,15:30,Eint Frankfurt,1.5,1–2,1.8,Hertha BSC,32000.0,Commerzbank-Arena,Deniz Aytekin,Bundesliga,20,2021-2022
8.0,Sat,2021-10-16,15:30,Union Berlin,1.2,2–0,1.8,Wolfsburg,11000.0,Stadion An der Alten Försterei,Sascha Stegemann,Bundesliga,20,2021-2022
8.0,Sat,2021-10-16,15:30,Greuther Fürth,1.0,0–1,1.2,Bochum,10586.0,Sportpark Ronhof Thomas Sommer,Bastian Dankert,Bundesliga,20,2021-2022
8.0,Sat,2021-10-16,15:30,Dortmund,2.3,3–1,0.6,Mainz 05,63812.0,Signal Iduna Park,Daniel Schlager,Bundesliga,20,2021-2022
8.0,Sat,2021-10-16,18:30,M'Gladbach,2.6,1–1,0.5,Stuttgart,41608.0,Stadion im Borussia-Park,Felix Brych,Bundesliga,20,2021-2022
8.0,Sun,2021-10-17,15:30,Leverkusen,0.8,1–5,3.1,Bayern Munich,29542.0,BayArena,Sven Jablonski,Bundesliga,20,2021-2022
8.0,Sun,2021-10-17,17:30,Augsburg,0.8,1–1,0.4,Arminia,17500.0,WWK Arena,Robert Schröder,Bundesliga,20,2021-2022
9.0,Fri,2021-10-22,20:30,Mainz 05,3.6,4–1,0.8,Augsburg,19400.0,Opel Arena,Robert Hartmann,Bundesliga,20,2021-2022
9.0,Sat,2021-10-23,15:30,Wolfsburg,1.8,0–2,1.5,Freiburg,10251.0,Volkswagen Arena,Tobias Welz,Bundesliga,20,2021-2022
9.0,Sat,2021-10-23,15:30,Arminia,1.7,1–3,2.4,Dortmund,25000.0,SchücoArena,Benjamin Brand,Bundesliga,20,2021-2022
9.0,Sat,2021-10-23,15:30,RB Leipzig,2.5,4–1,1.5,Greuther Fürth,24758.0,Red Bull Arena,Christian Dingert,Bundesliga,20,2021-2022
9.0,Sat,2021-10-23,15:30,Bayern Munich,2.1,4–0,0.7,Hoffenheim,60000.0,Allianz Arena,Matthias Jöllenbeck,Bundesliga,20,2021-2022
9.0,Sat,2021-10-23,18:30,Hertha BSC,1.1,1–0,0.7,M'Gladbach,25000.0,Olympiastadion Berlin,Benjamin Cortus,Bundesliga,20,2021-2022
