Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
1.0,Fri,2017-08-04,20:45,Monaco,1.8,3–2,0.3,Toulouse,13572.0,Stade Louis II.,Clément Turpin,Ligue-1,13,2017-2018
1.0,Sat,2017-08-05,17:15,Paris S-G,2.2,2–0,0.1,Amiens,46898.0,Parc des Princes,Mikael Lesage,Ligue-1,13,2017-2018
1.0,Sat,2017-08-05,20:00,Troyes,1.5,1–1,2.3,Rennes,9968.0,Stade de l'Aube,Karim Abed,Ligue-1,13,2017-2018
1.0,Sat,2017-08-05,20:00,Lyon,2.2,4–0,0.3,Strasbourg,1979.0,Groupama Stadium,Ruddy Buquet,Ligue-1,13,2017-2018
1.0,Sat,2017-08-05,20:00,Montpellier,0.9,1–0,0.5,Caen,14725.0,Stade de la Mosson,Thomas Léonard,Ligue-1,13,2017-2018
1.0,Sat,2017-08-05,20:00,Saint-Étienne,0.8,1–0,0.4,Nice,25879.0,Stade Geoffroy-Guichard,François Letexier,Ligue-1,13,2017-2018
1.0,Sat,2017-08-05,20:00,Metz,1.1,1–3,1.7,Guingamp,14595.0,Stade Saint-Symphorien,Jérôme Miguelgorry,Ligue-1,13,2017-2018
1.0,Sun,2017-08-06,15:00,Lille,1.9,3–0,1.2,Nantes,30683.0,Stade Pierre-Mauroy,Benoît Millot,Ligue-1,13,2017-2018
1.0,Sun,2017-08-06,17:00,Angers,1.1,2–2,1.6,Bordeaux,11767.0,Stade Raymond Kopa,Sébastien Desiage,Ligue-1,13,2017-2018
1.0,Sun,2017-08-06,21:00,Marseille,3.1,3–0,0.7,Dijon,50904.0,Orange Vélodrome,Benoît Bastien,Ligue-1,13,2017-2018
,,,,,,,,,,,,Ligue-1,13,2017-2018
2.0,Fri,2017-08-11,19:00,Nice,2.3,1–2,0.9,Troyes,24260.0,Stade de Nice,Olivier Thual,Ligue-1,13,2017-2018
2.0,Fri,2017-08-11,20:45,Rennes,1.1,1–2,1.8,Lyon,24944.0,Roazhon Park,Nicolas Rainville,Ligue-1,13,2017-2018
2.0,Sat,2017-08-12,17:00,Nantes,1.3,0–1,1.8,Marseille,33654.0,Stade de la Beaujoire - Louis Fonteneau,Ruddy Buquet,Ligue-1,13,2017-2018
2.0,Sat,2017-08-12,20:00,Bordeaux,1.8,2–0,0.4,Metz,22095.0,Stade Matmut-Atlantique,Mikael Lesage,Ligue-1,13,2017-2018
2.0,Sat,2017-08-12,20:00,Amiens,0.7,0–2,1.8,Angers,7772.0,Stade de la Licorne,Hakim Ben El Hadj Salem,Ligue-1,13,2017-2018
2.0,Sat,2017-08-12,20:00,Toulouse,1.7,1–0,0.8,Montpellier,11876.0,Stadium Municipal,Ruddy Buquet,Ligue-1,13,2017-2018
2.0,Sat,2017-08-12,20:00,Caen,0.9,0–1,1.2,Saint-Étienne,17606.0,Stade Michel d'Ornano,Stéphane Jochem,Ligue-1,13,2017-2018
2.0,Sun,2017-08-13,15:00,Strasbourg,3.4,3–0,0.8,Lille,25591.0,Stade de la Meinau,Johan Hamel,Ligue-1,13,2017-2018
