Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,9,2,324,3.6,0,1,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,1.4,1.4,0.8,2.2,0.39,0.22,0.61,0.39,0.61,11,2,18.2,3.06,0.56,0.00,0.00,12.4,0,0.13,-1.4,-1.4,37,57,64.9,496,178,25,36,69.4,10,15,66.7,0,1,0.0,+0.2,4,2,4,0,7,54,3,1,17,0,2,0,0,0,0,36,12,9,12,31,8,0,0,0,1,4,4,9,2.50,6,0,0,1,1,2,0.56,1,0,0,1,0,0,12,6,2,6,4,1,33.3,2,21,25.6,12,35,35,0,2,15,2,0,122,3,18,11,36.4,5,1,67,3,15,8,156,75,48.1,25,36,40.0,88,1,7,21,0,0.11,3,12,-9,-2.50,-0.83,4.0,8.0,-4.0,-1.11,-0.44,0,7,0,0,0,18,11,22,33.3,Bundesliga,20,2021-2022
Ragnar Ache,de GER,"FW,MF",Eint Frankfurt,23,1998,3,0,26,0.3,0,1,0,0,0,0,0,0.00,3.46,3.46,0.00,3.46,0.2,0.2,0.0,0.2,0.76,0.00,0.76,0.76,0.76,3,0,0.0,10.38,0.00,0.00,,13.3,0,0.07,-0.2,-0.2,6,9,66.7,66,1,3,4,75.0,2,3,66.7,0,0,,+1.0,0,0,0,0,0,9,0,0,4,0,1,0,0,0,0,6,2,1,2,6,0,0,0,0,0,1,1,1,3.46,0,0,0,0,0,1,3.46,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,3,33.3,2,0,7,0,1,0,0,0,18,0,6,1,0.0,1,0,11,2,1,1,21,14,66.7,4,9,3.2,,0,3,9,2,0.67,0,1,-1,-3.46,-3.00,0.8,0.3,+0.5,+1.84,+2.24,0,1,0,0,0,1,1,0,100.0,Bundesliga,20,2021-2022
Tyler Adams,us USA,"MF,DF",RB Leipzig,22,1999,6,4,361,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.03,0.01,0.04,0.03,0.04,1,0,0.0,0.25,0.00,0.00,,9.8,0,0.14,-0.1,-0.1,196,237,82.7,3300,871,94,103,91.3,73,85,85.9,20,32,62.5,0.0,1,27,2,0,16,227,10,0,30,1,1,0,0,0,0,181,27,29,30,181,11,8,3,1,3,12,6,8,1.99,7,0,0,0,0,1,0.25,1,0,0,0,0,0,5,5,1,3,1,2,25.0,6,28,33.3,24,52,8,0,10,13,5,0,279,7,5,1,0.0,0,0,188,1,2,6,194,181,93.3,6,60,44.6,82,2,2,17,1,1.67,9,2,+7,+1.75,+0.94,9.3,5.5,+3.8,+0.95,+0.73,0,5,0,0,0,53,5,3,62.5,Bundesliga,20,2021-2022
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28,1993,7,2,276,3.1,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.4,0.4,0.4,0.7,0.11,0.13,0.24,0.11,0.24,2,2,100.0,0.65,0.65,0.50,0.50,16.8,0,0.18,+0.6,+0.6,54,77,70.1,900,270,24,29,82.8,26,35,74.3,4,7,57.1,-0.4,3,4,3,1,9,72,5,0,22,0,5,0,0,0,0,51,10,16,16,44,6,5,2,0,3,4,7,9,2.93,7,0,1,0,1,1,0.33,1,0,0,0,0,0,14,9,8,5,1,7,46.7,8,20,32.8,14,34,13,0,2,18,2,0,123,4,8,6,66.7,4,1,79,0,10,10,115,76,66.1,17,39,34.1,76,0,5,25,1,1.14,5,6,-1,-0.33,-0.83,5.4,4.8,+0.5,+0.16,-0.28,0,3,0,0,0,16,4,11,26.7,Bundesliga,20,2021-2022
Amine Adli,fr FRA,"FW,MF",Leverkusen,21,2000,7,1,241,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,0.9,0.18,0.17,0.35,0.18,0.35,6,3,50.0,2.24,1.12,0.00,0.00,18.4,0,0.08,-0.5,-0.5,87,112,77.7,1318,402,46,55,83.6,37,48,77.1,3,5,60.0,-0.5,4,6,5,1,12,109,3,1,19,1,2,1,0,0,0,95,10,7,92,13,1,2,2,1,1,9,6,12,4.48,10,0,0,1,1,2,0.75,2,0,0,0,0,0,5,3,2,2,1,2,50.0,2,11,26.8,12,17,12,0,5,10,2,0,159,2,10,9,44.4,5,0,119,4,7,8,157,118,75.2,15,34,29.8,90,1,6,25,0,1.86,5,4,+1,+0.37,-0.89,5.3,3.9,+1.4,+0.52,+0.66,0,6,0,0,0,19,3,6,33.3,Bundesliga,20,2021-2022
Manuel Akanji,ch SUI,DF,Dortmund,26,1995,9,9,810,9.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.09,0.00,0.09,0.09,0.09,6,1,16.7,0.67,0.11,0.00,0.00,10.7,1,0.14,-0.8,-0.8,716,779,91.9,16710,5572,175,186,94.1,371,385,96.4,169,201,84.1,0.0,1,53,1,0,54,760,19,0,63,30,0,0,0,0,0,644,48,87,168,580,18,1,1,1,12,9,4,2,0.22,1,1,0,0,0,0,0.00,0,0,0,0,0,0,16,15,10,5,1,8,80.0,2,40,51.9,47,27,3,0,8,28,33,0,853,94,7,4,100.0,4,0,605,0,0,0,684,676,98.8,0,90,100.0,90,9,0,,0,2.33,25,15,+10,+1.11,,19.3,11.8,+7.5,+0.84,,0,5,0,0,0,74,25,19,56.8,Bundesliga,20,2021-2022
Kevin Akpoguma,ng NGA,DF,Hoffenheim,26,1995,7,5,414,4.6,1,1,1,0,0,0,0,0.22,0.22,0.43,0.22,0.43,0.6,0.6,0.8,1.3,0.12,0.17,0.29,0.12,0.29,5,1,20.0,1.09,0.22,0.20,1.00,8.9,0,0.11,+0.4,+0.4,185,230,80.4,3422,1546,87,101,86.1,76,93,81.7,21,31,67.7,+0.2,4,15,1,0,26,180,50,0,44,7,8,0,0,0,0,124,67,39,22,151,7,46,0,2,2,8,8,11,2.39,5,0,3,1,0,2,0.43,1,0,0,1,0,0,8,4,2,4,2,3,60.0,2,15,25.4,28,21,10,0,12,19,6,1,285,7,16,11,72.7,8,0,147,4,4,3,169,150,88.8,3,59,51.1,74,3,2,23,1,1.43,12,8,+4,+0.87,+1.32,8.8,7.6,+1.2,+0.26,-0.19,0,7,0,0,0,34,6,11,35.3,Bundesliga,20,2021-2022
Lucas Alario,ar ARG,FW,Leverkusen,29,1992,5,0,55,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.46,0.12,0.58,0.46,0.58,1,1,100.0,1.64,1.64,0.00,0.00,11.7,0,0.28,-0.3,-0.3,9,14,64.3,123,25,6,8,75.0,3,5,60.0,0,1,0.0,-0.1,1,0,0,0,0,14,0,0,2,0,1,0,0,0,0,9,5,0,0,11,1,0,1,0,0,0,0,3,4.91,3,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,0,1,0,1,100.0,0,1,12.5,0,3,5,0,0,1,1,0,25,1,3,0,,0,0,16,0,4,4,35,22,62.9,12,11,6.8,,0,5,11,1,1.40,1,0,+1,+1.64,+0.68,1.7,0.6,+1.1,+1.83,+1.90,0,2,0,0,0,1,1,7,12.5,Bundesliga,20,2021-2022
Nadiem Amiri,de GER,"MF,FW",Leverkusen,25,1996,7,2,227,2.5,1,0,1,0,0,0,0,0.40,0.00,0.40,0.40,0.40,0.3,0.3,0.1,0.4,0.11,0.05,0.16,0.11,0.16,5,1,20.0,1.98,0.40,0.20,1.00,19.2,1,0.05,+0.7,+0.7,119,141,84.4,2140,350,54,59,91.5,47,54,87.0,15,20,75.0,-0.1,2,6,4,0,8,137,4,0,27,7,2,2,0,2,0,114,11,16,8,132,1,0,0,1,2,3,1,3,1.19,2,1,0,0,0,0,0.00,0,0,0,0,0,0,7,4,4,2,1,3,42.9,4,14,36.8,10,22,6,0,4,9,2,0,177,1,6,8,50.0,4,0,128,1,4,3,145,131,90.3,12,32,28.0,83,1,5,12,2,2.29,4,6,-2,-0.79,-2.49,3.2,4.4,-1.3,-0.50,-0.78,0,0,0,0,0,23,1,3,25.0,Bundesliga,20,2021-2022
Sebastian Andersson,se SWE,FW,Köln,30,1991,9,5,454,5.0,1,1,1,0,0,2,0,0.20,0.20,0.40,0.20,0.40,2.2,2.2,0.3,2.4,0.43,0.05,0.49,0.43,0.49,20,7,35.0,3.96,1.39,0.05,0.14,12.1,0,0.11,-1.2,-1.2,67,86,77.9,854,188,40,46,87.0,18,25,72.0,1,3,33.3,+0.7,2,2,4,1,5,83,3,0,35,1,4,0,0,0,0,41,30,15,10,52,6,1,9,0,1,2,4,8,1.59,5,0,0,1,1,1,0.20,1,0,0,0,0,0,3,3,1,0,2,1,100.0,0,18,31.0,0,15,43,0,3,4,4,0,165,4,35,7,42.9,3,0,100,2,20,11,249,131,52.6,43,50,56.0,76,1,4,19,0,1.44,5,7,-2,-0.40,-0.65,7.2,8.4,-1.2,-0.24,+0.01,0,10,0,0,0,11,16,27,37.2,Bundesliga,20,2021-2022
