Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
21.0,Sat,2021-01-30,16:15,Real Madrid,1.3,1–2,1.9,Levante,,Estadio Alfredo Di Stfano,David Medi,La-Liga,12,2020-2021
21.0,Sat,2021-01-30,18:30,Valencia,2.4,1–0,0.8,Elche,,Estadio de Mestalla,Pablo Gonzlez,La-Liga,12,2020-2021
21.0,Sat,2021-01-30,21:00,Villarreal,0.2,1–1,1.1,Real Sociedad,,Estadio de la Cermica,Isidro Daz de Mera,La-Liga,12,2020-2021
21.0,Sun,2021-01-31,14:00,Getafe,0.3,0–0,0.3,Alavs,,Coliseum Alfonso Prez,Santiago Jaime,La-Liga,12,2020-2021
21.0,Sun,2021-01-31,16:15,Cdiz,0.9,2–4,2.2,Atltico Madrid,,Estadio Nuevo Mirandilla,Jess Gil,La-Liga,12,2020-2021
21.0,Sun,2021-01-31,18:30,Granada,0.3,0–0,0.3,Celta Vigo,,Estadio Nuevo Los Crmenes,Carlos del Cerro,La-Liga,12,2020-2021
21.0,Sun,2021-01-31,21:00,Barcelona,1.9,2–1,0.3,Athletic Club,,Camp Nou,Antonio Matu Lahoz,La-Liga,12,2020-2021
21.0,Mon,2021-02-01,21:00,Betis,1.4,1–0,1.4,Osasuna,,Estadio Benito Villamarn,Alberola Rojas,La-Liga,12,2020-2021
22.0,Fri,2021-02-05,21:00,Alavs,1.5,1–0,0.1,Valladolid,,Estadio de Mendizorroza,Csar Soto,La-Liga,12,2020-2021
22.0,Sat,2021-02-06,14:00,Levante,1.9,2–2,1.1,Granada,,Estadio Ciudad de Valencia,Adrin Cordero,La-Liga,12,2020-2021
22.0,Sat,2021-02-06,16:15,Huesca,1.0,1–2,2.7,Real Madrid,,Estadio El Alcoraz,Javier Estrada,La-Liga,12,2020-2021
22.0,Sat,2021-02-06,18:30,Elche,1.2,2–2,1.8,Villarreal,,Estadio Manuel Martnez Valero,Mario Melero,La-Liga,12,2020-2021
22.0,Sat,2021-02-06,21:00,Sevilla,2.7,3–0,0.2,Getafe,,Estadio Ramn Snchez Pizjun,Juan Martnez,La-Liga,12,2020-2021
22.0,Sun,2021-02-07,14:00,Real Sociedad,4.3,4–1,0.5,Cdiz,,Estadio Municipal de Anoeta,Valentn Pizarro,La-Liga,12,2020-2021
22.0,Sun,2021-02-07,16:15,Athletic Club,1.3,1–1,0.9,Valencia,,San Mams,Jos Luis Munuera,La-Liga,12,2020-2021
22.0,Sun,2021-02-07,18:30,Osasuna,1.7,2–1,1.0,Eibar,,Estadio El Sadar,Jorge Figueroa,La-Liga,12,2020-2021
22.0,Sun,2021-02-07,21:00,Betis,1.6,2–3,1.1,Barcelona,,Estadio Benito Villamarn,Carlos del Cerro,La-Liga,12,2020-2021
22.0,Mon,2021-02-08,21:00,Atltico Madrid,0.8,2–2,1.5,Celta Vigo,,Estadio Wanda Metropolitano,Guillermo Cuadra,La-Liga,12,2020-2021
1.0,Tue,2021-02-09,21:00,Real Madrid,1.3,2–0,0.1,Getafe,,Estadio Alfredo Di Stfano,Alberola Rojas,La-Liga,12,2020-2021
23.0,Fri,2021-02-12,21:00,Celta Vigo,1.4,3–1,1.1,Elche,,Estadio de Balados,Ricardo de Burgos,La-Liga,12,2020-2021
23.0,Sat,2021-02-13,14:00,Granada,0.7,1–2,0.7,Atltico Madrid,,Estadio Nuevo Los Crmenes,Antonio Matu Lahoz,La-Liga,12,2020-2021
23.0,Sat,2021-02-13,16:15,Sevilla,1.2,1–0,0.9,Huesca,,Estadio Ramn Snchez Pizjun,David Medi,La-Liga,12,2020-2021
23.0,Sat,2021-02-13,18:30,Eibar,1.4,1–1,1.0,Valladolid,,Estadio Municipal de Ipura,Isidro Daz de Mera,La-Liga,12,2020-2021
23.0,Sat,2021-02-13,21:00,Barcelona,3.2,5–1,0.6,Alavs,,Camp Nou,Jorge Figueroa,La-Liga,12,2020-2021
23.0,Sun,2021-02-14,14:00,Getafe,0.2,0–1,1.0,Real Sociedad,,Coliseum Alfonso Prez,Pablo Gonzlez,La-Liga,12,2020-2021
23.0,Sun,2021-02-14,16:15,Real Madrid,0.9,2–0,0.1,Valencia,,Estadio Alfredo Di Stfano,Jos Snchez,La-Liga,12,2020-2021
23.0,Sun,2021-02-14,18:30,Levante,2.1,0–1,0.6,Osasuna,,Estadio Ciudad de Valencia,Santiago Jaime,La-Liga,12,2020-2021
23.0,Sun,2021-02-14,21:00,Villarreal,1.2,1–2,0.9,Betis,,Estadio de la Cermica,Jess Gil,La-Liga,12,2020-2021
23.0,Mon,2021-02-15,21:00,Cdiz,0.6,0–4,1.9,Athletic Club,,Estadio Nuevo Mirandilla,Alejandro Hernndez,La-Liga,12,2020-2021
2.0,Wed,2021-02-17,19:00,Levante,0.5,1–1,1.2,Atltico Madrid,,Estadio Ciudad de Valencia,Jos Luis Munuera,La-Liga,12,2020-2021
24.0,Fri,2021-02-19,21:00,Betis,2.4,1–0,0.3,Getafe,,Estadio Benito Villamarn,Javier Estrada,La-Liga,12,2020-2021
24.0,Sat,2021-02-20,14:00,Elche,0.5,1–0,1.3,Eibar,,Estadio Manuel Martnez Valero,Adrin Cordero,La-Liga,12,2020-2021
24.0,Sat,2021-02-20,16:15,Atltico Madrid,1.7,0–2,0.9,Levante,,Estadio Wanda Metropolitano,Mario Melero,La-Liga,12,2020-2021
24.0,Sat,2021-02-20,18:30,Valencia,1.3,2–0,0.5,Celta Vigo,,Estadio de Mestalla,Valentn Pizarro,La-Liga,12,2020-2021
24.0,Sat,2021-02-20,21:00,Valladolid,0.9,0–1,0.5,Real Madrid,,Estadio Municipal Jos Zorrilla,Guillermo Cuadra,La-Liga,12,2020-2021
24.0,Sun,2021-02-21,14:00,Barcelona,2.5,1–1,1.2,Cdiz,,Camp Nou,Juan Martnez,La-Liga,12,2020-2021
24.0,Sun,2021-02-21,16:15,Real Sociedad,2.1,4–0,0.5,Alavs,,Estadio Municipal de Anoeta,Jos Luis Munuera,La-Liga,12,2020-2021
24.0,Sun,2021-02-21,18:30,Huesca,2.1,3–2,0.9,Granada,,Estadio El Alcoraz,Csar Soto,La-Liga,12,2020-2021
24.0,Sun,2021-02-21,21:00,Athletic Club,2.0,1–1,0.1,Villarreal,,San Mams,Carlos del Cerro,La-Liga,12,2020-2021
24.0,Mon,2021-02-22,21:00,Osasuna,0.3,0–2,0.7,Sevilla,,Estadio El Sadar,Alberola Rojas,La-Liga,12,2020-2021
1.0,Wed,2021-02-24,19:00,Barcelona,2.5,3–0,0.6,Elche,,Camp Nou,Isidro Daz de Mera,La-Liga,12,2020-2021
25.0,Fri,2021-02-26,21:00,Levante,1.0,1–1,1.8,Athletic Club,,Estadio Ciudad de Valencia,Isidro Daz de Mera,La-Liga,12,2020-2021
25.0,Sat,2021-02-27,14:00,Eibar,1.7,1–1,0.5,Huesca,,Estadio Municipal de Ipura,Pablo Gonzlez,La-Liga,12,2020-2021
25.0,Sat,2021-02-27,16:15,Sevilla,0.1,0–2,2.0,Barcelona,,Estadio Ramn Snchez Pizjun,Alejandro Hernndez,La-Liga,12,2020-2021
25.0,Sat,2021-02-27,18:30,Alavs,0.3,0–1,1.0,Osasuna,,Estadio de Mendizorroza,Jos Snchez,La-Liga,12,2020-2021
25.0,Sat,2021-02-27,21:00,Getafe,1.3,3–0,0.2,Valencia,,Coliseum Alfonso Prez,Jorge Figueroa,La-Liga,12,2020-2021
