Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Yvon Mvogo,ch SUI,GK,de RB Leipzig,25,1994,1,0,27,0.3,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,,0,0,0,0.2,0.09,+0.2,+0.62,0,1,0.0,8,2,12.5,25.0,2,0.0,18.5,1,0,0.0,0,0.00,15.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,27,3.0,,0,1,27,9,1.00,2,0,+2,+6.67,+6.46,2.0,0.1,+1.9,+6.21,+5.89,0,0,0,0,0,0,0,0,0,1,0,0,,Champions-League,8,2019-2020
Keylor Navas,cr CRC,GK,fr Paris S-G,32,1986,9,9,798,8.9,6,0.68,28,22,78.6,6,1,2,5,55.6,1,0,1,0,100.0,0,0,0,8.1,0.26,+2.1,+0.24,42,120,35.0,202,42,43.1,36.9,71,46.5,37.6,71,3,4.2,3,0.34,11.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,89,80.6,89,8,0,,1,2.11,15,6,+9,+1.02,-3.67,15.5,9.5,+5.9,+0.67,-2.74,0,0,1,0,0,0,0,0,0,37,0,0,,Champions-League,8,2019-2020
Neto,br BRA,GK,es Barcelona,30,1989,1,1,90,1.0,1,1.00,7,6,85.7,1,0,0,0,0.0,0,0,0,0,,0,0,0,0.5,0.07,-0.5,-0.51,9,20,45.0,40,11,40.0,35.4,10,40.0,37.3,12,0,0.0,0,0.00,10.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,11.1,90,1,0,,8,3.00,2,1,+1,+1.00,+1.00,1.2,1.0,+0.2,+0.21,+0.39,0,0,0,0,0,0,0,0,0,7,0,0,,Champions-League,8,2019-2020
Manuel Neuer,de GER,GK,de Bayern Munich,33,1986,11,11,990,11.0,8,0.73,33,27,78.8,11,0,0,6,54.5,1,1,0,0,0.0,0,0,1,8.5,0.23,+1.5,+0.13,86,135,63.7,429,58,29.6,31.7,57,14.0,26.4,56,3,5.4,9,0.82,15.4,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,11,0,,0,3.00,43,8,+35,+3.18,,32.7,10.7,+21.9,+1.99,,0,0,1,0,0,0,0,0,0,57,0,0,,Champions-League,8,2019-2020
Jan Oblak,si SVN,GK,es Atlético Madrid,26,1993,9,9,840,9.3,9,0.96,30,22,70.0,5,1,3,4,44.4,0,0,0,0,,1,0,1,6.9,0.24,-1.1,-0.12,70,170,41.2,158,29,64.6,46.8,80,85.0,59.3,104,6,5.8,2,0.21,13.6,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,93,100.0,93,9,0,,0,1.78,13,9,+4,+0.43,,13.0,7.2,+5.8,+0.63,,0,0,2,0,0,0,0,0,0,36,0,1,0.0,Champions-League,8,2019-2020
André Onana,cm CMR,GK,nl Ajax,23,1996,6,6,540,6.0,6,1.00,28,24,85.7,3,1,2,3,50.0,3,2,0,1,0.0,0,1,0,10.5,0.32,+4.5,+0.75,38,109,34.9,174,26,47.1,40.0,49,55.1,44.9,43,6,14.0,4,0.67,15.7,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,6,0,,0,1.80,12,6,+6,+1.00,,6.7,11.2,-4.5,-0.74,,0,0,1,0,0,0,0,0,0,28,0,0,,Champions-League,8,2019-2020
David Ospina,co COL,GK,it Napoli,30,1988,2,2,180,2.0,4,2.00,4,1,25.0,0,1,1,0,0.0,1,1,0,0,0.0,0,1,0,3.3,0.59,-0.7,-0.33,7,14,50.0,50,5,22.0,28.3,11,27.3,18.2,10,0,0.0,1,0.50,8.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,25.0,90,2,0,,6,0.50,2,4,-2,-1.00,-2.17,2.7,2.2,+0.5,+0.25,-0.23,0,0,1,0,0,0,0,0,0,11,0,0,,Champions-League,8,2019-2020
Andriy Pyatov,ua UKR,GK,ua Shakhtar,35,1984,6,6,540,6.0,13,2.17,32,20,62.5,1,3,2,0,0.0,2,1,1,0,50.0,0,0,0,12.9,0.38,-0.1,-0.02,57,104,54.8,192,44,42.2,38.2,50,46.0,40.3,63,6,9.5,2,0.33,12.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,6,0,,0,1.00,8,13,-5,-0.83,,6.7,12.5,-5.8,-0.97,,0,1,3,0,0,0,0,1,1,31,0,0,,Champions-League,8,2019-2020
Sergio Rico,es ESP,GK,fr Paris S-G,25,1993,3,2,192,2.1,0,0.00,3,3,100.0,2,0,0,2,100.0,0,0,0,0,,0,0,0,0.1,0.04,+0.1,+0.05,3,11,27.3,45,10,17.8,24.9,13,23.1,25.8,16,0,0.0,0,0.00,8.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,64,19.4,90,2,1,12,8,3.00,10,0,+10,+4.69,+3.67,8.4,1.1,+7.3,+3.41,+2.74,0,0,0,0,0,0,0,0,0,5,0,0,,Champions-League,8,2019-2020
José Sá,pt POR,GK,gr Olympiacos,26,1993,6,6,540,6.0,14,2.33,34,21,61.8,1,1,4,1,16.7,2,1,0,1,0.0,0,3,0,12.8,0.36,-1.2,-0.20,24,116,20.7,168,38,49.4,41.7,45,73.3,58.6,58,8,13.8,1,0.17,14.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,6,0,,0,1.67,8,14,-6,-1.00,,7.7,10.8,-3.1,-0.52,,0,0,0,0,0,0,0,0,0,38,0,0,,Champions-League,8,2019-2020
Marco Sportiello,it ITA,GK,it Atalanta,27,1992,2,2,180,2.0,5,2.50,13,8,61.5,1,0,1,0,0.0,0,0,0,0,,0,0,0,4.4,0.34,-0.6,-0.29,12,38,31.6,36,8,55.6,43.0,19,94.7,62.9,15,0,0.0,1,0.50,13.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,22.2,90,2,0,,7,1.50,5,5,0,0.00,+0.14,3.1,4.7,-1.6,-0.81,-1.06,0,0,0,0,0,0,0,0,0,11,0,0,,Champions-League,8,2019-2020
Cican Stankovic,at AUT,GK,at RB Salzburg,26,1992,4,4,302,3.4,9,2.68,18,9,50.0,1,0,3,0,0.0,0,0,0,0,,0,0,0,5.6,0.31,-3.4,-1.02,11,38,28.9,56,9,44.6,36.2,30,43.3,43.1,25,2,8.0,3,0.89,14.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,76,55.9,76,3,0,,0,0.75,9,9,0,0.00,-1.13,7.0,6.7,+0.3,+0.08,-0.16,0,0,0,0,0,0,0,0,0,16,0,0,,Champions-League,8,2019-2020
Wojciech Szczęsny,pl POL,GK,it Juventus,29,1990,7,7,630,7.0,6,0.86,21,16,76.2,5,1,1,2,28.6,1,1,0,0,0.0,0,1,0,7.2,0.30,+1.2,+0.17,23,35,65.7,142,40,16.2,28.5,54,22.2,28.1,63,6,9.5,3,0.43,12.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,87.5,90,7,0,,1,2.29,12,6,+6,+0.86,-1.14,10.4,7.9,+2.5,+0.36,-0.01,0,0,0,0,0,0,0,0,0,42,0,0,,Champions-League,8,2019-2020
Marc-André ter Stegen,de GER,GK,es Barcelona,27,1992,8,8,720,8.0,13,1.62,36,23,66.7,4,3,1,2,25.0,2,1,1,0,50.0,0,1,0,14.9,0.39,+1.9,+0.23,28,68,41.2,220,42,25.5,30.1,57,21.1,27.8,49,3,6.1,4,0.50,12.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,88.9,90,8,0,,1,1.88,13,13,0,0.00,-1.00,12.1,13.5,-1.5,-0.18,-0.39,0,0,1,0,0,0,0,0,0,28,0,0,,Champions-League,8,2019-2020
Maarten Vandevoordt,be BEL,GK,be Genk,17,2002,1,1,90,1.0,4,4.00,3,1,33.3,0,0,1,0,0.0,2,2,0,0,0.0,0,0,0,3.4,0.53,-0.6,-0.58,8,16,50.0,23,2,56.5,41.3,6,50.0,41.0,7,1,14.3,0,0.00,8.7,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,16.7,90,1,0,,5,0.00,0,4,-4,-4.00,-1.80,1.7,3.2,-1.6,-1.56,-0.12,0,1,0,0,0,0,0,0,1,1,0,0,,Champions-League,8,2019-2020
Odisseas Vlachodimos,gr GRE,GK,pt Benfica,25,1994,6,6,540,6.0,11,1.83,27,18,63.0,2,1,3,1,16.7,1,1,0,0,0.0,0,1,1,8.6,0.28,-1.4,-0.24,21,55,38.2,126,38,24.6,31.5,57,42.1,38.5,62,3,4.8,5,0.83,15.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,6,0,,0,1.17,10,11,-1,-0.17,,7.5,8.8,-1.3,-0.21,,0,0,3,0,0,0,0,0,0,31,0,0,,Champions-League,8,2019-2020
Kyle Walker,eng ENG,DF,eng Manchester City,29,1990,1,0,3,4.9,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,0,0,0,0.2,0.22,+0.2,+0.04,0,2,0.0,2,0,100.0,73.5,0,,,0,0,,0,0.00,4.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,74,54.7,88,4,1,3,3,2.17,13,6,+7,+1.42,+0.20,13.5,5.2,+8.3,+1.69,-0.11,0,5,4,0,1,4,7,0,0,57,10,3,76.9,Champions-League,8,2019-2020
