Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Alassane N'Diaye,fr FRA,"FW,MF",Ajaccio,30,1991,7,0,117,1.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,1,33.3,2.31,0.77,0.0,0.0,,17,9.3,,0,7,17.0,2,2.29,2,0,2,1.54,1.07,0,5,1,0,0,2,1,,,0,Ligue-2,60,2021-2022
Aldo Kalulu,fr FRA,FW,Sochaux,25,1996,14,13,1135,12.6,4,0,4,0,0,2,0,0.32,0.0,0.32,0.32,0.32,20,7,35.0,1.59,0.56,0.2,0.57,,81,90.1,84.0,2,1,45.0,0,2.0,11,4,7,0.56,0.56,0,16,8,16,11,3,2,,,0,Ligue-2,60,2021-2022
Alec Georgen,fr FRA,DF,Auxerre,23,1998,6,5,421,4.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.43,0.0,0.0,,,70,33.4,83.0,4,1,7.0,8,1.83,3,9,-6,-1.28,-2.68,0,6,5,1,10,15,14,,,0,Ligue-2,60,2021-2022
Alex Gersbach,au AUS,"DF,MF",Grenoble,24,1997,7,7,630,7.0,0,1,0,0,0,1,0,0.0,0.14,0.14,0.0,0.14,1,1,100.0,0.14,0.14,0.0,0.0,,90,50.0,90.0,7,0,,1,2.0,11,5,6,0.86,2.29,0,8,3,0,24,12,9,,,0,Ligue-2,60,2021-2022
Alexandre Bonnet,fr FRA,MF,Le Havre,35,1986,14,4,442,4.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.61,0.0,0.0,,,32,35.1,69.0,0,10,17.0,0,1.71,2,3,-1,-0.2,-0.97,0,4,6,0,14,4,7,,,0,Ligue-2,60,2021-2022
Alexandre Coeff,fr FRA,"MF,DF",Auxerre,29,1992,9,8,714,7.9,0,1,0,0,0,1,0,0.0,0.13,0.13,0.0,0.13,3,0,0.0,0.38,0.0,0.0,,,79,56.7,87.0,6,1,22.0,1,2.0,13,5,8,1.01,1.17,0,6,7,2,14,15,9,,,0,Ligue-2,60,2021-2022
Alexandre Mendy,gw GNB,FW,Caen,27,1994,12,12,989,11.0,7,1,5,2,2,1,1,0.64,0.09,0.73,0.46,0.55,23,13,56.5,2.09,1.18,0.22,0.38,,82,78.5,82.0,6,0,,0,1.25,13,14,-1,-0.09,-0.42,0,20,14,11,5,1,2,,,0,Ligue-2,60,2021-2022
Alexandre Olliero,fr FRA,GK,Pau FC,25,1996,14,14,1260,14.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,90,100.0,90.0,14,0,,0,1.5,14,12,2,0.14,,0,1,2,0,0,0,0,,,0,Ligue-2,60,2021-2022
Alexandre Tegar,fr FRA,DF,Quevilly-Rouen,21,2000,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,90,28.6,90.0,4,0,,1,1.5,6,6,0,0.0,0.6,0,4,2,0,0,9,9,,,0,Ligue-2,60,2021-2022
Alexis Trouillet,fr FRA,MF,Auxerre,20,2000,4,2,140,1.6,0,1,0,0,0,0,0,0.0,0.64,0.64,0.0,0.64,4,3,75.0,2.57,1.93,0.0,0.0,,35,11.1,64.0,0,2,6.0,1,2.5,4,1,3,1.93,1.61,0,2,2,0,0,2,3,,,0,Ligue-2,60,2021-2022
Ali Abdi,tn TUN,"DF,MF",Caen,27,1993,11,11,923,10.3,0,3,0,0,0,3,1,0.0,0.29,0.29,0.0,0.29,11,6,54.5,1.07,0.59,0.0,0.0,,84,73.3,84.0,7,0,,1,0.91,9,14,-5,-0.49,-1.82,1,13,10,1,29,25,11,,,1,Ligue-2,60,2021-2022
Alimani Gory,ml MLI,"FW,MF",Paris FC,25,1996,1,0,13,0.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,13,1.0,,0,1,13.0,0,0.0,0,1,-1,-6.92,-7.14,0,1,2,0,0,0,0,,,0,Ligue-2,60,2021-2022
Aliou Badji,sn SEN,FW,Amiens,24,1997,6,6,392,4.4,1,0,1,0,0,2,0,0.23,0.0,0.23,0.23,0.23,12,4,33.3,2.76,0.92,0.08,0.25,,65,31.1,65.0,0,0,,0,1.17,4,4,0,0.0,0.21,0,8,3,1,0,1,1,,,0,Ligue-2,60,2021-2022
Alioune Ba,fr FRA,DF,Dunkerque,31,1989,7,7,494,5.5,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.36,0.0,0.0,,,71,39.2,71.0,5,0,,0,1.29,3,6,-3,-0.55,-0.55,0,7,13,1,0,2,2,,,0,Ligue-2,60,2021-2022
Allan Linguet,fr FRA,DF,Valenciennes,22,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,90,7.1,90.0,1,0,,3,0.0,0,1,-1,-1.0,-0.31,0,0,4,0,0,0,1,,,0,Ligue-2,60,2021-2022
Aloys Fouda,cm CMR,DF,Caen,21,2000,8,6,533,5.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.34,0.0,0.0,,,67,42.3,83.0,5,2,19.0,3,1.38,10,6,4,0.68,1.17,0,4,9,0,13,6,5,,,0,Ligue-2,60,2021-2022
Aly Abeid,mr MTN,"DF,MF",Valenciennes,23,1997,9,7,555,6.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.32,0.0,0.0,,,62,44.0,76.0,4,2,11.0,4,1.44,6,8,-2,-0.32,0.7,0,5,3,0,4,10,5,,,0,Ligue-2,60,2021-2022
Aly Ndom,fr FRA,MF,Auxerre,25,1996,10,2,266,3.0,1,0,1,0,0,1,0,0.34,0.0,0.34,0.34,0.34,2,1,50.0,0.68,0.34,0.5,1.0,,27,21.1,69.0,0,8,16.0,1,2.0,6,2,4,1.35,1.08,0,6,5,0,1,4,2,,,0,Ligue-2,60,2021-2022
Amadou Ciss,sn SEN,MF,Amiens,22,1999,6,2,250,2.8,0,1,0,0,0,0,0,0.0,0.36,0.36,0.0,0.36,0,0,,0.0,0.0,,,,42,19.8,76.0,0,4,25.0,0,0.83,2,3,-1,-0.36,-0.27,0,3,3,0,5,0,3,,,0,Ligue-2,60,2021-2022
Amine Adli,fr FRA,MF,Toulouse,21,2000,1,1,89,1.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2,0,0.0,2.02,0.0,0.0,,,89,7.1,89.0,0,0,,0,1.0,2,2,0,0.0,-1.46,0,2,4,0,4,0,0,,,0,Ligue-2,60,2021-2022
Amine Talal,ma MAR,MF,Bastia,25,1996,6,6,454,5.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9,4,44.4,1.78,0.79,0.0,0.0,,76,36.0,76.0,2,0,,0,0.83,4,5,-1,-0.2,0.25,0,8,18,0,9,2,4,,,0,Ligue-2,60,2021-2022
Amir Richardson,fr FRA,MF,Le Havre,19,2002,13,12,1071,11.9,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,7,1,14.3,0.59,0.08,0.0,0.0,,82,85.0,87.0,8,1,28.0,0,1.77,13,7,6,0.5,0.5,0,25,12,0,1,16,20,,,0,Ligue-2,60,2021-2022
Amiran Sanaia,ge GEO,DF,Rodez Aveyron,32,1989,2,2,148,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,74,11.7,74.0,0,0,,4,0.5,0,2,-2,-1.22,-1.46,0,0,1,0,0,3,0,,,0,Ligue-2,60,2021-2022
Andreas Hountondji,bj BEN,"MF,FW",Caen,19,2002,10,2,320,3.6,1,0,1,0,0,0,0,0.28,0.0,0.28,0.28,0.28,13,4,30.8,3.66,1.13,0.08,0.25,,32,25.4,59.0,0,8,25.0,1,0.9,6,5,1,0.28,0.38,0,3,4,1,11,3,1,,,0,Ligue-2,60,2021-2022
Andrew Jung,fr FRA,FW,Nancy,24,1997,12,7,662,7.4,2,0,1,1,1,2,0,0.27,0.0,0.27,0.14,0.14,21,5,23.8,2.85,0.68,0.05,0.2,,55,52.5,78.0,3,5,23.0,0,0.75,5,13,-8,-1.09,-0.18,0,22,9,8,1,3,2,,,0,Ligue-2,60,2021-2022
Anthony Belmonte,fr FRA,"MF,FW",Grenoble,26,1995,10,9,755,8.4,1,0,0,1,1,2,0,0.12,0.0,0.12,0.0,0.0,8,2,25.0,0.95,0.24,0.0,0.0,,76,59.9,80.0,4,1,33.0,0,0.8,4,16,-12,-1.43,-2.86,0,10,4,1,21,9,6,,,0,Ligue-2,60,2021-2022
Anthony Gonçalves,fr FRA,MF,Caen,35,1986,7,2,215,2.4,0,1,0,0,0,1,0,0.0,0.42,0.42,0.0,0.42,2,1,50.0,0.84,0.42,0.0,0.0,,31,17.1,62.0,0,5,18.0,7,1.29,3,1,2,0.84,1.01,0,10,1,0,21,4,5,,,0,Ligue-2,60,2021-2022
Anthony Roncaglia,fr FRA,DF,Bastia,22,1999,2,0,27,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,14,2.1,,0,2,14.0,5,1.0,0,1,-1,-3.33,-3.04,0,1,1,0,0,0,1,,,0,Ligue-2,60,2021-2022
Anthony Rouault,fr FRA,DF,Toulouse,20,2001,9,9,752,8.4,1,0,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,7,2,28.6,0.84,0.24,0.14,0.5,,84,59.7,84.0,7,0,,0,2.56,19,5,14,1.68,0.79,0,9,3,0,2,11,7,,,0,Ligue-2,60,2021-2022
Antoine Batisse,fr FRA,DF,Pau FC,26,1995,12,12,1061,11.8,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,6,1,16.7,0.51,0.08,0.0,0.0,,88,84.2,88.0,11,0,,0,1.5,12,9,3,0.25,0.71,1,17,6,4,3,21,10,,,0,Ligue-2,60,2021-2022
Antoine Valerio,fr FRA,MF,Nîmes,21,1999,11,4,384,4.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,1,25.0,0.94,0.23,0.0,0.0,,35,30.5,82.0,2,7,8.0,3,1.18,5,5,0,0.0,0.31,0,6,3,0,3,6,6,,,0,Ligue-2,60,2021-2022
Antony Robic,fr FRA,"FW,MF",Bastia,35,1986,12,6,599,6.7,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,14,5,35.7,2.1,0.75,0.0,0.0,,50,47.5,74.0,2,6,26.0,0,0.75,5,5,0,0.0,0.68,0,11,13,2,22,0,2,,,0,Ligue-2,60,2021-2022
Arnaud Lusamba,fr FRA,MF,Amiens,24,1997,13,13,1125,12.5,2,1,1,1,1,1,0,0.16,0.08,0.24,0.08,0.16,10,3,30.0,0.8,0.24,0.1,0.33,,87,89.3,87.0,10,0,,0,1.0,13,14,-1,-0.08,0.59,0,13,23,0,24,13,11,,,0,Ligue-2,60,2021-2022
Arnaud Tattevin,cf CTA,"MF,FW",Paris FC,21,2000,4,2,149,1.7,1,0,1,0,0,0,0,0.6,0.0,0.6,0.6,0.6,7,5,71.4,4.23,3.02,0.14,0.2,,37,11.8,59.0,0,2,16.0,2,0.75,2,1,1,0.6,0.52,0,2,2,0,1,0,2,,,0,Ligue-2,60,2021-2022
Arouna Sangante,sn SEN,DF,Le Havre,19,2002,13,6,574,6.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,1,100.0,0.16,0.16,0.0,0.0,,44,45.6,90.0,6,7,5.0,1,1.85,5,3,2,0.31,-0.21,0,9,5,0,0,8,3,,,0,Ligue-2,60,2021-2022
Aurélien Scheidler,fr FRA,FW,Dijon,23,1998,14,6,709,7.9,4,0,4,0,0,2,0,0.51,0.0,0.51,0.51,0.51,24,10,41.7,3.05,1.27,0.17,0.4,,51,56.3,78.0,3,8,30.0,0,1.14,8,12,-4,-0.51,-0.18,0,22,14,5,2,2,3,,,0,Ligue-2,60,2021-2022
Axel Guessand,fr FRA,DF,Nancy,16,2004,2,2,145,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,73,11.5,73.0,1,0,,2,0.5,0,2,-2,-1.24,-0.27,0,0,1,0,0,1,1,,,0,Ligue-2,60,2021-2022
Axel Maraval,fr FRA,GK,Dunkerque,28,1993,9,8,721,8.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,80,57.2,90.0,8,1,1.0,5,1.0,7,11,-4,-0.5,-0.67,0,0,1,0,0,0,0,,,0,Ligue-2,60,2021-2022
Aymen Boutoutaou,fr FRA,"FW,MF",Valenciennes,20,2001,6,5,344,3.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,2,25.0,2.09,0.52,0.0,0.0,,57,27.3,66.0,0,1,16.0,0,0.83,1,3,-2,-0.52,0.26,0,5,12,0,5,2,5,,,0,Ligue-2,60,2021-2022
Bafodé Diakité,fr FRA,DF,Toulouse,20,2001,5,5,450,5.0,1,0,1,0,0,1,0,0.2,0.0,0.2,0.2,0.2,3,1,33.3,0.6,0.2,0.33,1.0,,90,35.7,90.0,5,0,,2,1.2,12,7,5,1.0,-0.56,0,9,2,0,0,5,5,,,1,Ligue-2,60,2021-2022
Baptiste Guillaume,be BEL,FW,Valenciennes,26,1995,10,10,752,8.4,2,1,2,0,0,1,0,0.24,0.12,0.36,0.24,0.36,15,4,26.7,1.8,0.48,0.13,0.5,,75,59.7,75.0,7,0,,0,1.2,7,12,-5,-0.6,0.29,0,16,17,6,1,2,3,,,0,Ligue-2,60,2021-2022
Baptiste Reynet,fr FRA,GK,Dijon,31,1990,14,14,1260,14.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,90,100.0,90.0,14,0,,0,1.14,14,20,-6,-0.43,,0,0,2,0,0,2,0,,,0,Ligue-2,60,2021-2022
Baptiste Roux,fr FRA,"DF,MF",Guingamp,21,1999,13,11,1034,11.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,6,2,33.3,0.52,0.17,0.0,0.0,,80,82.1,88.0,10,2,31.0,1,1.15,13,15,-2,-0.17,-0.57,0,14,1,1,1,18,15,,,0,Ligue-2,60,2021-2022
Baptiste Valette,fr FRA,GK,Nancy,29,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,90,21.4,90.0,3,0,,11,0.67,3,4,-1,-0.33,0.85,0,0,2,0,0,0,0,,,0,Ligue-2,60,2021-2022
Bart Straalman,nl NED,DF,Grenoble,25,1996,1,1,42,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,42,3.3,42.0,0,0,,0,0.0,0,1,-1,-2.14,-1.92,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Benjamin Jeannot,fr FRA,"MF,FW",Caen,29,1992,8,3,253,2.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,1,33.3,1.07,0.36,0.0,0.0,,32,20.1,55.0,1,5,17.0,0,1.25,2,2,0,0.0,0.0,0,7,3,1,2,1,1,,,0,Ligue-2,60,2021-2022
Benjamin Leroy,fr FRA,GK,Ajaccio,32,1989,12,12,1080,12.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,90,85.7,90.0,12,0,,0,1.75,13,7,6,0.5,-0.5,0,1,1,0,0,1,0,,,0,Ligue-2,60,2021-2022
Benjamin Santelli,fr FRA,"FW,MF",Bastia,29,1991,13,12,985,10.9,4,1,3,1,1,2,0,0.37,0.09,0.46,0.27,0.37,20,8,40.0,1.83,0.73,0.15,0.38,,76,78.2,80.0,6,1,24.0,0,0.85,8,11,-3,-0.27,0.38,0,19,9,13,27,8,4,,,0,Ligue-2,60,2021-2022
Bevic Moussiti-Oko,cg CGO,FW,Ajaccio,26,1995,7,5,410,4.6,2,1,2,0,0,1,0,0.44,0.22,0.66,0.44,0.66,10,4,40.0,2.2,0.88,0.2,0.5,,59,32.5,72.0,1,2,25.0,0,2.0,9,5,4,0.88,0.45,0,7,9,0,5,0,2,,,0,Ligue-2,60,2021-2022
Bilal Boutobba,fr FRA,MF,Niort,23,1998,14,13,1149,12.8,3,5,3,0,0,1,0,0.23,0.39,0.63,0.23,0.63,18,10,55.6,1.41,0.78,0.17,0.3,,82,91.2,87.0,8,1,14.0,0,1.5,15,12,3,0.23,1.05,0,12,22,3,46,11,10,,,0,Ligue-2,60,2021-2022
Bilal Brahimi,fr FRA,"MF,DF",Dunkerque,21,2000,12,10,897,10.0,2,1,2,0,0,3,0,0.2,0.1,0.3,0.2,0.3,8,3,37.5,0.8,0.3,0.25,0.67,,75,71.2,85.0,7,2,22.0,1,1.08,9,11,-2,-0.2,0.05,0,9,20,0,31,8,9,,,0,Ligue-2,60,2021-2022
Billy Ketkeophomphone,fr FRA,FW,Dunkerque,31,1990,3,1,119,1.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9,2,22.2,6.81,1.51,0.0,0.0,,40,9.4,68.0,0,2,26.0,1,0.33,0,1,-1,-0.76,-0.6,0,1,3,1,8,0,0,,,0,Ligue-2,60,2021-2022
Birama Touré,ml MLI,MF,Auxerre,29,1992,12,12,1046,11.6,1,0,1,0,0,2,1,0.09,0.0,0.09,0.09,0.09,8,2,25.0,0.69,0.17,0.13,0.5,,87,83.0,87.0,11,0,,0,1.92,19,12,7,0.6,0.6,0,18,17,0,4,24,19,,,0,Ligue-2,60,2021-2022
Bohui Zabou,fr FRA,"FW,MF",Quevilly-Rouen,25,1996,12,4,527,5.9,0,1,0,0,0,1,0,0.0,0.17,0.17,0.0,0.17,11,4,36.4,1.88,0.68,0.0,0.0,,44,41.8,89.0,2,8,22.0,1,1.0,4,9,-5,-0.85,-0.73,0,11,11,4,9,6,8,,,0,Ligue-2,60,2021-2022
Bradley Danger,fr FRA,MF,Rodez Aveyron,23,1998,13,13,1136,12.6,1,0,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,8,4,50.0,0.63,0.32,0.13,0.25,,87,90.2,87.0,10,0,,0,1.46,15,11,4,0.32,2.49,0,19,23,0,6,18,20,,,0,Ligue-2,60,2021-2022
Bradley M'Bondo,fr FRA,"DF,MF",Niort,20,2001,9,8,701,7.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.39,0.0,0.0,,,78,55.6,82.0,6,1,49.0,2,1.89,9,2,7,0.9,1.7,0,6,5,0,3,9,11,,,0,Ligue-2,60,2021-2022
Brahim Traoré,fr FRA,MF,Caen,17,2004,3,1,74,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,25,5.9,45.0,0,2,15.0,8,0.33,2,2,0,0.0,0.0,0,0,2,0,0,2,0,,,0,Ligue-2,60,2021-2022
Brahima Doukansy,fr FRA,MF,Niort,22,1999,9,7,509,5.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.18,0.0,0.0,,,57,40.4,70.0,1,2,9.0,5,2.0,9,3,6,1.06,1.54,0,9,8,0,0,4,6,,,0,Ligue-2,60,2021-2022
Branco van den Boomen,nl NED,MF,Toulouse,26,1995,14,14,1232,13.7,4,8,1,3,3,3,0,0.29,0.58,0.88,0.07,0.66,17,8,47.1,1.24,0.58,0.06,0.13,,88,97.8,88.0,12,0,,0,2.07,31,12,19,1.39,1.39,0,18,10,0,117,10,20,,,0,Ligue-2,60,2021-2022
Brecht Dejaegere,be BEL,MF,Toulouse,30,1991,13,13,981,10.9,2,3,2,0,0,3,0,0.18,0.28,0.46,0.18,0.46,14,4,28.6,1.28,0.37,0.14,0.5,,75,77.9,75.0,4,0,,0,2.0,22,10,12,1.1,-1.16,0,24,23,2,18,14,8,,,0,Ligue-2,60,2021-2022
Brice Maubleu,fr FRA,GK,Grenoble,31,1989,14,14,1260,14.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,90,100.0,90.0,14,0,,0,1.29,14,18,-4,-0.29,,0,0,4,0,0,1,0,,,0,Ligue-2,60,2021-2022
Bridge Ndilu,fr FRA,FW,Quevilly-Rouen,21,2000,8,2,284,3.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7,1,14.3,2.22,0.32,0.0,0.0,,36,22.5,90.0,2,6,17.0,0,1.13,3,5,-2,-0.63,-0.26,0,7,3,5,10,0,1,,,0,Ligue-2,60,2021-2022
Bruno Ecuele Manga,ga GAB,DF,Dijon,33,1988,5,5,450,5.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,90,35.7,90.0,5,0,,2,1.8,6,6,0,0.0,0.67,0,3,6,1,0,3,6,,,0,Ligue-2,60,2021-2022
Bryan Passi,fr FRA,DF,Niort,24,1997,11,11,990,11.0,1,0,1,0,0,2,0,0.09,0.0,0.09,0.09,0.09,5,3,60.0,0.45,0.27,0.2,0.33,,90,78.6,90.0,11,0,,0,1.55,13,11,2,0.18,0.18,0,4,13,0,1,18,7,,,0,Ligue-2,60,2021-2022
Bryan Soumaré,fr FRA,MF,Dijon,22,1999,6,6,409,4.5,0,1,0,0,0,0,0,0.0,0.22,0.22,0.0,0.22,4,3,75.0,0.88,0.66,0.0,0.0,,68,32.5,68.0,1,0,,0,0.17,3,8,-5,-1.1,-0.99,0,1,9,0,20,1,2,,,0,Ligue-2,60,2021-2022
Caleb Zady Sery,ci CIV,MF,Caen,21,1999,12,11,977,10.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,18,3,16.7,1.66,0.28,0.0,0.0,,81,77.5,85.0,6,1,45.0,0,1.08,13,13,0,0.0,0.0,0,12,22,0,12,5,5,,,0,Ligue-2,60,2021-2022
Carlens Arcus,ht HAI,DF,Auxerre,25,1996,9,6,544,6.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.5,0.0,0.0,,,60,43.2,86.0,5,3,9.0,4,1.89,12,6,6,0.99,0.87,0,6,4,0,26,13,7,,,0,Ligue-2,60,2021-2022
Chadrac Akolo,cd COD,"MF,FW",Amiens,26,1995,12,8,664,7.4,1,0,1,0,0,0,0,0.14,0.0,0.14,0.14,0.14,11,6,54.5,1.49,0.81,0.09,0.17,,55,52.7,73.0,1,4,21.0,0,0.83,8,10,-2,-0.27,-0.27,0,8,11,2,9,6,1,,,0,Ligue-2,60,2021-2022
Chaker Alhadhur,km COM,"DF,MF",Ajaccio,29,1991,1,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,4,0.3,,0,1,4.0,2,3.0,0,0,0,0.0,-0.57,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Chaouki Ben Saada,tn TUN,"FW,MF",Bastia,37,1984,7,0,101,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.89,0.0,0.0,,,14,8.0,,0,7,14.0,2,0.71,1,3,-2,-1.78,-1.55,0,4,3,0,1,1,1,,,0,Ligue-2,60,2021-2022
Charbel Gomez,bj BEN,FW,Amiens,20,2001,5,0,112,1.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,4.02,0.0,0.0,,,22,8.9,,0,5,22.0,2,0.8,0,1,-1,-0.8,-0.73,0,1,0,0,7,1,3,,,0,Ligue-2,60,2021-2022
Charles Abi,fr FRA,FW,Guingamp,21,2000,5,3,207,2.3,1,0,1,0,0,1,0,0.43,0.0,0.43,0.43,0.43,2,1,50.0,0.87,0.43,0.5,1.0,,41,16.4,60.0,0,2,14.0,0,1.4,3,3,0,0.0,0.09,0,9,3,2,0,0,2,,,0,Ligue-2,60,2021-2022
Charles Pickel,ch SUI,MF,Grenoble,24,1997,3,3,270,3.0,1,0,1,0,0,1,0,0.33,0.0,0.33,0.33,0.33,2,1,50.0,0.67,0.33,0.5,1.0,,90,21.4,90.0,3,0,,0,1.33,2,1,1,0.33,0.79,0,5,2,0,0,2,2,,,0,Ligue-2,60,2021-2022
Cheick Traoré,ml MLI,"DF,MF",Dijon,26,1995,10,9,790,8.8,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.11,0.0,0.0,,,79,62.7,83.0,8,1,45.0,1,1.2,11,13,-2,-0.23,0.54,0,23,9,0,25,7,11,,,0,Ligue-2,60,2021-2022
Christophe Diedhiou,sn SEN,DF,Sochaux,33,1988,6,1,99,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,17,7.9,90.0,1,5,2.0,4,2.33,2,1,1,0.91,0.44,0,0,2,0,0,0,1,,,0,Ligue-2,60,2021-2022
Christophe Vincent,fr FRA,MF,Bastia,28,1992,14,13,1120,12.4,0,1,0,0,0,3,0,0.0,0.08,0.08,0.0,0.08,9,4,44.4,0.72,0.32,0.0,0.0,,80,88.9,84.0,9,1,23.0,0,0.86,7,13,-6,-0.48,-1.12,0,18,15,6,12,8,11,,,0,Ligue-2,60,2021-2022
Christopher Rocchia,fr FRA,"DF,MF",Dijon,23,1998,12,7,711,7.9,0,1,0,0,0,2,0,0.0,0.13,0.13,0.0,0.13,3,1,33.3,0.38,0.13,0.0,0.0,,59,56.4,86.0,6,5,22.0,0,1.33,9,14,-5,-0.63,-0.47,0,15,20,3,33,10,6,,,0,Ligue-2,60,2021-2022
Clément Depres,fr FRA,FW,Rodez Aveyron,26,1994,11,10,806,9.0,3,0,3,0,0,3,0,0.33,0.0,0.33,0.33,0.33,18,12,66.7,2.01,1.34,0.17,0.25,,73,64.0,78.0,4,1,27.0,0,1.18,11,12,-1,-0.11,-0.51,0,16,11,3,1,1,1,,,0,Ligue-2,60,2021-2022
Clément Vidal,fr FRA,DF,Ajaccio,21,2000,10,5,427,4.7,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,3,2,66.7,0.63,0.42,0.0,0.0,,43,33.9,79.0,4,5,6.0,2,1.5,5,2,3,0.63,0.09,1,5,3,0,5,6,5,,,0,Ligue-2,60,2021-2022
Cyril Mandouki,mq MTQ,MF,Paris FC,30,1991,9,9,735,8.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,3,50.0,0.73,0.37,0.0,0.0,,82,58.3,82.0,8,0,,0,1.78,10,7,3,0.37,0.54,0,14,7,1,4,13,7,,,0,Ligue-2,60,2021-2022
Cyrille Bayala,bf BFA,MF,Ajaccio,25,1996,6,6,383,4.3,0,2,0,0,0,0,0,0.0,0.47,0.47,0.0,0.47,7,2,28.6,1.64,0.47,0.0,0.0,,64,30.4,64.0,1,0,,0,1.83,6,2,4,0.94,0.53,0,11,1,2,9,2,3,,,0,Ligue-2,60,2021-2022
