Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Yassine Bahassa,ma MAR,"MF,FW",Quevilly-Rouen,29,1992,14,9,814,9.0,0,3,0,0,0,1,0,0.0,0.33,0.33,0.0,0.33,11,5,45.5,1.22,0.55,0.0,0.0,,58,64.6,76.0,3,5,26.0,0,1.14,8,11,-3,-0.33,0.27,0,13,9,0,49,7,4,,,0,Ligue-2,60,2021-2022
Yassine Benrahou,fr FRA,"MF,FW",Nîmes,22,1999,14,14,1181,13.1,4,5,3,1,1,0,0,0.3,0.38,0.69,0.23,0.61,28,14,50.0,2.13,1.07,0.11,0.21,,84,93.7,84.0,9,0,,0,1.0,15,16,-1,-0.08,2.2,0,14,13,1,89,6,9,,,0,Ligue-2,60,2021-2022
Yassine Benzia,dz ALG,"MF,FW",Dijon,27,1994,11,9,809,9.0,3,2,3,0,0,2,0,0.33,0.22,0.56,0.33,0.56,26,10,38.5,2.89,1.11,0.12,0.3,,74,64.2,85.0,6,2,21.0,0,1.45,9,10,-1,-0.11,0.89,0,13,19,1,89,5,8,,,0,Ligue-2,60,2021-2022
Yassine Haouari,fr FRA,FW,Valenciennes,18,2003,4,0,59,0.7,1,0,1,0,0,1,0,1.53,0.0,1.53,1.53,1.53,1,1,100.0,1.53,1.53,1.0,1.0,,15,4.7,,0,4,15.0,3,1.0,1,2,-1,-1.53,-0.85,0,2,0,0,3,0,0,,,0,Ligue-2,60,2021-2022
Yaya Soumaré,fr FRA,"MF,FW",Dijon,21,2000,5,3,294,3.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.61,0.0,0.0,,,59,23.3,79.0,0,2,29.0,5,0.2,5,8,-3,-0.92,-0.64,0,5,5,1,3,4,3,,,0,Ligue-2,60,2021-2022
Ylan Gomes,fr FRA,FW,Le Havre,19,2002,4,0,47,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,12,3.7,,0,4,12.0,3,1.25,0,0,0,0.0,-0.45,0,1,0,1,0,1,2,,,0,Ligue-2,60,2021-2022
Yoan Koré,fr FRA,FW,Paris FC,16,2004,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,1,0.1,,0,1,1.0,2,3.0,0,0,0,0.0,-0.14,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Yoann Cathline,fr FRA,MF,Guingamp,19,2002,4,0,34,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,2.65,0.0,0.0,,,9,2.7,,0,4,9.0,0,0.75,1,1,0,0.0,0.07,0,2,1,0,3,0,0,,,0,Ligue-2,60,2021-2022
Yoann Court,fr FRA,MF,Caen,31,1990,3,3,210,2.3,0,2,0,0,0,0,0,0.0,0.86,0.86,0.0,0.86,5,1,20.0,2.14,0.43,0.0,0.0,,70,16.7,70.0,1,0,,0,2.0,4,0,4,1.71,2.06,0,5,3,0,9,2,5,,,0,Ligue-2,60,2021-2022
Yohan Bilingi,fr FRA,DF,Guingamp,22,1999,7,7,616,6.8,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,2,1,50.0,0.29,0.15,0.0,0.0,,88,48.9,88.0,6,0,,0,1.43,5,5,0,0.0,0.14,1,9,2,0,13,16,5,,,0,Ligue-2,60,2021-2022
Yohan Bocognano,fr FRA,DF,Bastia,31,1990,13,10,920,10.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.39,0.0,0.0,,,71,73.0,89.0,9,3,11.0,1,0.85,7,10,-3,-0.29,0.24,0,9,9,2,2,22,4,,,0,Ligue-2,60,2021-2022
Yohan Cassubie,fr FRA,"DF,MF",Niort,21,2000,7,5,454,5.0,1,0,1,0,0,2,0,0.2,0.0,0.2,0.2,0.2,3,1,33.3,0.59,0.2,0.33,1.0,,65,36.0,81.0,3,2,24.0,0,1.14,4,5,-1,-0.2,-0.53,0,9,0,0,3,9,14,,,0,Ligue-2,60,2021-2022
Yohan Demoncy,fr FRA,MF,Paris FC,25,1996,7,5,467,5.2,0,1,0,0,0,0,0,0.0,0.19,0.19,0.0,0.19,4,3,75.0,0.77,0.58,0.0,0.0,,67,37.1,77.0,3,2,41.0,3,0.57,4,7,-3,-0.58,-1.15,0,6,8,0,19,4,10,,,0,Ligue-2,60,2021-2022
Yoric Ravet,fr FRA,"MF,FW",Grenoble,32,1989,12,11,891,9.9,4,3,3,1,2,0,0,0.4,0.3,0.71,0.3,0.61,26,5,19.2,2.63,0.51,0.12,0.6,,74,70.7,79.0,3,1,24.0,0,1.42,11,13,-2,-0.2,0.29,0,6,10,2,42,9,2,,,0,Ligue-2,60,2021-2022
Younès Kaabouni,fr FRA,MF,Sochaux,26,1995,8,3,282,3.1,0,1,0,0,0,1,0,0.0,0.32,0.32,0.0,0.32,4,0,0.0,1.28,0.0,0.0,,,35,22.4,75.0,0,5,12.0,2,1.75,5,3,2,0.64,0.18,0,2,1,0,1,2,4,,,0,Ligue-2,60,2021-2022
Youssouf M'Changama,km COM,MF,Guingamp,31,1990,12,12,1051,11.7,3,8,3,0,0,2,0,0.26,0.69,0.94,0.26,0.94,23,6,26.1,1.97,0.51,0.13,0.5,,88,83.4,88.0,10,0,,0,1.25,15,13,2,0.17,1.46,0,16,24,7,80,7,3,,,0,Ligue-2,60,2021-2022
Yoël Armougom,fr FRA,DF,Caen,23,1998,13,12,1084,12.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,1,20.0,0.42,0.08,0.0,0.0,,83,86.0,87.0,9,1,45.0,1,1.15,13,12,1,0.08,0.59,0,9,9,0,42,28,14,,,0,Ligue-2,60,2021-2022
Zakaria Naidji,dz ALG,FW,Pau FC,26,1995,4,3,259,2.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,4,80.0,1.74,1.39,0.0,0.0,,65,20.6,71.0,0,1,45.0,0,1.5,2,1,1,0.35,0.26,0,3,4,5,2,2,0,,,0,Ligue-2,60,2021-2022
Zargo Touré,sn SEN,DF,Dijon,31,1989,2,2,148,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.61,0.0,0.0,,,74,11.7,74.0,1,0,,2,0.0,0,3,-3,-1.82,-1.58,0,0,2,0,0,2,2,,,0,Ligue-2,60,2021-2022
Zeidane Inoussa,bj BEN,MF,Caen,19,2002,4,1,102,1.1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,26,8.1,69.0,0,3,11.0,5,0.25,4,2,2,1.76,1.92,0,4,0,0,2,1,0,,,0,Ligue-2,60,2021-2022
Zinedine Ferhat,dz ALG,"FW,MF",Nîmes,28,1993,7,4,391,4.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,1.15,0.0,0.0,,,56,31.0,86.0,3,3,16.0,0,0.57,1,12,-11,-2.53,-3.36,0,2,8,1,19,4,0,,,0,Ligue-2,60,2021-2022
Zinédine Labyad,fr FRA,MF,Grenoble,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,45,3.6,45.0,0,0,,1,0.0,0,1,-1,-2.0,-1.78,0,0,0,1,0,0,1,,,0,Ligue-2,60,2021-2022
Émeric Dudouit,fr FRA,MF,Dunkerque,30,1991,10,8,761,8.5,0,1,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12,2,1,50.0,0.24,0.12,0.0,0.0,,76,60.4,87.0,5,2,32.0,1,0.8,7,13,-6,-0.71,-1.25,0,14,16,0,43,6,6,,,0,Ligue-2,60,2021-2022
