Round,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
First qualifying round,Wed,2021-07-14,21:00,Neftçi az,,2–1,,ge Dinamo Tbilisi,3218,Bakcell Arena,Dumitru Muntean,Champions-League,8,2021-2022
First qualifying round,Wed,2021-07-14,20:00,Legia Warsaw pl,,2–0,,no Bodø/Glimt,17473,Stadion Miejski Legii Warszawa im. Marsz...,Aristotelis Diamantopoulos,Champions-League,8,2021-2022
Second qualifying round,Tue,2021-07-20,19:00,Alashkert am,,0–1,,md Sheriff Tiraspol,5800,Vazgen Sargsyan anvan Hanrapetakan Marza...,Rade Obrenović,Champions-League,8,2021-2022
Second qualifying round,Tue,2021-07-20,18:00,Red Imps gi,,1–2,,ro CFR Cluj,1039,Victoria Stadium,Willy Delajod,Champions-League,8,2021-2022
Second qualifying round,Tue,2021-07-20,20:00,Ferencváros hu,,2–0,,lt Žalgiris,10107,Groupama Arena,Giorgi Kruashvili,Champions-League,8,2021-2022
Second qualifying round,Tue,2021-07-20,20:00,Dinamo Zagreb hr,,2–0,,cy AC Omonia,2234,Stadion Maksimir,Paweł Gil,Champions-League,8,2021-2022
Second qualifying round,Tue,2021-07-20,20:30,Rapid Wien at,1.1,2–1,1.4,cz Sparta Prague,19500,Nachwuchszentrum First Vienna,Serdar Gözübüyük,Champions-League,8,2021-2022
Second qualifying round,Tue,2021-07-20,19:45,Celtic sct,2.0,1–1,0.2,dk Midtjylland,9000,Celtic Park,Sandro Schärer,Champions-League,8,2021-2022
Second qualifying round,Wed,2021-07-21,20:00,Qaırat Almaty kz,,2–1,,rs Red Star,7000,Ortalıq Stadion,Halil Umut Meler,Champions-League,8,2021-2022
Second qualifying round,Wed,2021-07-21,19:00,Malmö se,,2–1,,fi HJK,5324,Malmö IP,Mykola Balakin,Champions-League,8,2021-2022
Second qualifying round,Wed,2021-07-21,20:00,N Mura si,,0–0,,bg Ludogorets,3450,Mestni Štadion Fazanerija,Harm Osmers,Champions-League,8,2021-2022
Second qualifying round,Wed,2021-07-21,20:30,Slovan Bratislava sk,0.8,0–0,0.4,ch Young Boys,1000,Mestni Štadion Fazanerija,Chris Kavanagh,Champions-League,8,2021-2022
Second qualifying round,Wed,2021-07-21,21:00,Legia Warsaw pl,,2–1,,ee Flora,16721,Stadion Miejski Legii Warszawa im. Marsz...,Vitaly Meshkov,Champions-League,8,2021-2022
Second qualifying round,Wed,2021-07-21,21:00,PSV Eindhoven nl,,5–1,,tr Galatasaray,23500,Philips Stadion,Alejandro Hernández,Champions-League,8,2021-2022
Second qualifying round,Wed,2021-07-21,22:00,Olympiacos gr,,1–0,,az Neftçi,7305,Stadio Georgios Karaiskáki,João Pinheiro,Champions-League,8,2021-2022
Second qualifying round,Tue,2021-07-27,19:00,HJK fi,,2–2,,se Malmö,6465,Telia 5G -areena,Stuart Attwell,Champions-League,8,2021-2022
Second qualifying round,Tue,2021-07-27,19:00,Flora ee,,0–1,,pl Legia Warsaw,3691,A. Le Coq Arena,Anastasios Papapetrou,Champions-League,8,2021-2022
Second qualifying round,Tue,2021-07-27,19:00,AC Omonia cy,,0–1,,hr Dinamo Zagreb,7256,Neo GSP,Glenn Nyberg,Champions-League,8,2021-2022
Second qualifying round,Tue,2021-07-27,20:00,Žalgiris lt,,1–3,,hu Ferencváros,2032,Vilniaus LFF stadionas,Erik Lambrechts,Champions-League,8,2021-2022
Second qualifying round,Wed,2021-07-28,20:00,Sheriff Tiraspol md,,3–1,,am Alashkert,2046,Bolshaya Sportivnaya Arena,Bojan Pandzic,Champions-League,8,2021-2022
Second qualifying round,Wed,2021-07-28,21:00,Neftçi az,,0–1,,gr Olympiacos,5500,Bakcell Arena,Ricardo de Burgos,Champions-League,8,2021-2022
Second qualifying round,Wed,2021-07-28,20:30,CFR Cluj ro,,2–0,,gi Red Imps,5230,Stadionul Dr. Constantin Rădulescu,Igal Frid,Champions-League,8,2021-2022
Second qualifying round,Wed,2021-07-28,19:45,Midtjylland dk,1.7,2–1,0.6,sct Celtic,4890,MCH Arena,Bartosz Frankowski,Champions-League,8,2021-2022
Second qualifying round,Wed,2021-07-28,21:00,Galatasaray tr,,1–2,,nl PSV Eindhoven,5775,Başakşehir Fatih Terim Stadium,Massimiliano Irrati,Champions-League,8,2021-2022
Second qualifying round,Wed,2021-07-28,21:00,Ludogorets bg,,3–1,,si N Mura,5008,Ludogorets Arena,Marco Di Bello,Champions-League,8,2021-2022
Second qualifying round,Wed,2021-07-28,20:15,Young Boys ch,2.5,3–2,1.6,sk Slovan Bratislava,19564,Wankdorfstadion,Irfan Peljto,Champions-League,8,2021-2022
Second qualifying round,Wed,2021-07-28,20:30,Red Star rs,,5–0,,kz Qaırat Almaty,,Stadion Rajko Mitić,Andris Treimanis,Champions-League,8,2021-2022
Second qualifying round,Wed,2021-07-28,20:30,Sparta Prague cz,2.0,2–0,0.4,at Rapid Wien,9105,Generali Arena,Bobby Madden,Champions-League,8,2021-2022
Third qualifying round,Tue,2021-08-03,19:00,Malmö se,0.7,2–1,0.5,sct Rangers,5820,Swedbank Stadion,Szymon Marciniak,Champions-League,8,2021-2022
Third qualifying round,Tue,2021-08-03,19:00,Sparta Prague cz,0.5,0–2,1.4,fr Monaco,10533,Generali Arena,Michael Oliver,Champions-League,8,2021-2022
Third qualifying round,Tue,2021-08-03,20:00,PSV Eindhoven nl,,3–0,,dk Midtjylland,22700,Philips Stadion,Sergey Karasev,Champions-League,8,2021-2022
Third qualifying round,Tue,2021-08-03,20:00,Genk be,,1–2,,ua Shakhtar,5096,Luminus Arena,Anastasios Sidiropoulos,Champions-League,8,2021-2022
Third qualifying round,Tue,2021-08-03,21:00,CFR Cluj ro,,1–1,,ch Young Boys,9500,Stadionul Dr. Constantin Rădulescu,Danny Makkelie,Champions-League,8,2021-2022
Third qualifying round,Tue,2021-08-03,21:00,Red Star rs,,1–1,,md Sheriff Tiraspol,24433,Stadion Rajko Mitić,Ovidiu Hațegan,Champions-League,8,2021-2022
Third qualifying round,Tue,2021-08-03,22:00,Olympiacos gr,,1–1,,bg Ludogorets,9212,Stadio Georgios Karaiskáki,Bobby Madden,Champions-League,8,2021-2022
Third qualifying round,Wed,2021-08-04,20:00,Spartak Moscow ru,,0–2,,pt Benfica,2933,Otkrytie Arena,Srđan Jovanović,Champions-League,8,2021-2022
Third qualifying round,Wed,2021-08-04,20:00,Ferencváros hu,,2–0,,cz Slavia Prague,17127,Groupama Arena,Jesús Gil,Champions-League,8,2021-2022
Third qualifying round,Wed,2021-08-04,20:00,Dinamo Zagreb hr,,1–1,,pl Legia Warsaw,4597,Stadion Maksimir,Antonio Matéu Lahoz,Champions-League,8,2021-2022
Third qualifying round,Tue,2021-08-10,19:00,Slavia Prague cz,,1–0,,hu Ferencváros,15238,Sinobo Stadium,Tobias Stieler,Champions-League,8,2021-2022
Third qualifying round,Tue,2021-08-10,20:00,Sheriff Tiraspol md,,1–0,,rs Red Star,4950,Bolshaya Sportivnaya Arena,Felix Zwayer,Champions-League,8,2021-2022
Third qualifying round,Tue,2021-08-10,20:30,Shakhtar ua,,2–1,,be Genk,20594,NSK Olimpijs'kyj,István Kovács,Champions-League,8,2021-2022
Third qualifying round,Tue,2021-08-10,20:00,Monaco fr,2.0,3–1,1.0,cz Sparta Prague,5476,Stade Louis II.,Daniele Orsato,Champions-League,8,2021-2022
Third qualifying round,Tue,2021-08-10,20:00,Midtjylland dk,,0–1,,nl PSV Eindhoven,6288,MCH Arena,Clément Turpin,Champions-League,8,2021-2022
Third qualifying round,Tue,2021-08-10,21:00,Ludogorets bg,,(4) 2–2 (1),,gr Olympiacos,5118,Ludogorets Arena,Orel Grinfeeld,Champions-League,8,2021-2022
Third qualifying round,Tue,2021-08-10,20:30,Young Boys ch,,3–1,,ro CFR Cluj,21145,Wankdorfstadion,Cüneyt Çakιr,Champions-League,8,2021-2022
Third qualifying round,Tue,2021-08-10,20:00,Rangers sct,1.6,1–2,0.6,se Malmö,47021,Ibrox Stadium,Slavko Vinčič,Champions-League,8,2021-2022
Third qualifying round,Tue,2021-08-10,20:00,Benfica pt,,2–0,,ru Spartak Moscow,16312,Estádio do Sport Lisboa e Benfica,Anthony Taylor,Champions-League,8,2021-2022
Third qualifying round,Tue,2021-08-10,21:00,Legia Warsaw pl,,0–1,,hr Dinamo Zagreb,26769,Stadion Miejski Legii Warszawa im. Marsz...,Benoît Bastien,Champions-League,8,2021-2022
Play-off round,Tue,2021-08-17,21:00,Monaco fr,1.0,0–1,0.8,ua Shakhtar,5700,Stade Louis II.,Danny Makkelie,Champions-League,8,2021-2022
Play-off round,Tue,2021-08-17,21:00,RB Salzburg at,,2–1,,dk Brøndby,17538,Red Bull Arena,Szymon Marciniak,Champions-League,8,2021-2022
Play-off round,Tue,2021-08-17,22:00,Sheriff Tiraspol md,,3–0,,hr Dinamo Zagreb,5281,Bolshaya Sportivnaya Arena,Can Çakır,Champions-League,8,2021-2022
Play-off round,Wed,2021-08-18,20:00,Benfica pt,,2–1,,nl PSV Eindhoven,18199,Estádio do Sport Lisboa e Benfica,Felix Brych,Champions-League,8,2021-2022
Play-off round,Wed,2021-08-18,21:00,Malmö se,,2–0,,bg Ludogorets,5463,Swedbank Stadion,Antonio Matéu Lahoz,Champions-League,8,2021-2022
Play-off round,Wed,2021-08-18,21:00,Young Boys ch,,3–2,,hu Ferencváros,15652,Wankdorfstadion,William Collum,Champions-League,8,2021-2022
Play-off round,Tue,2021-08-24,21:00,PSV Eindhoven nl,,0–0,,pt Benfica,21855,Philips Stadion,Slavko Vinčič,Champions-League,8,2021-2022
Play-off round,Tue,2021-08-24,21:00,Ferencváros hu,,2–3,,ch Young Boys,20667,Puskás Ferenc Stadion,Sergey Karasev,Champions-League,8,2021-2022
Play-off round,Tue,2021-08-24,22:00,Ludogorets bg,,2–1,,se Malmö,5130,Ludogorets Arena,Clément Turpin,Champions-League,8,2021-2022
Play-off round,Wed,2021-08-25,21:00,Brøndby dk,,1–2,,at RB Salzburg,22397,Brøndby Stadion,Carlos del Cerro,Champions-League,8,2021-2022
Play-off round,Wed,2021-08-25,21:00,Dinamo Zagreb hr,,0–0,,md Sheriff Tiraspol,8015,Stadion Maksimir,Daniele Orsato,Champions-League,8,2021-2022
Play-off round,Wed,2021-08-25,22:00,Shakhtar ua,1.0,2–2,3.4,fr Monaco,26697,Oblasny SportKomplex Metalist,Anthony Taylor,Champions-League,8,2021-2022
