Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Christopher Dilo,fr FRA,GK,Paris FC,23,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,2.6,,1,0,,4,3.00,2,1,+1,+1.00,+0.76,0,0,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Patrice Dimitriou,fr FRA,MF,Bourg-Péronnas,34,1983,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,29,0.8,,0,1,,6,3.00,1,0,+1,+3.10,+4.11,0,4,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Axel Disasi,fr FRA,DF,Reims,19,1998,13,11,1080,12.0,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0,1,,0.00,0.08,,1.00,,83,31.6,,11,2,,22,1.85,19,10,+9,+0.75,-0.83,0,21,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Brice Dja Djédjé,ci CIV,DF,Lens,26,1990,11,10,826,9.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,2,,0.00,0.22,,0.00,,75,24.2,,6,1,,0,1.09,8,12,-4,-0.44,-0.54,0,10,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Karim Djellabi,dz ALG,DF,Clermont Foot,34,1983,2,1,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,31,1.8,,0,1,,6,3.00,1,0,+1,+1.45,+1.00,0,1,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
David Djigla,bj BEN,"FW,MF",Niort,21,1995,22,12,1087,12.1,4,1,4,0,0,4,0,0.33,0.08,0.41,0.33,0.41,0,12,,0.00,0.99,,0.33,,49,31.8,,4,10,,4,1.09,15,23,-8,-0.66,-0.47,0,13,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Andé Dona Ndoh,cm CMR,FW,Niort,31,1986,38,33,2915,32.4,15,2,14,1,1,1,0,0.46,0.06,0.52,0.43,0.49,0,41,,0.00,1.27,,0.34,,77,85.2,,24,5,,0,1.11,40,47,-7,-0.22,+0.85,0,44,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Férébory Doré,cg CGO,FW,Clermont Foot,28,1989,15,1,286,3.2,2,0,2,0,0,0,0,0.63,0.00,0.63,0.63,0.63,0,4,,0.00,1.26,,0.50,,19,8.4,,0,14,,5,1.47,4,4,0,0.00,-0.52,0,5,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Laurent Dos Santos,fr FRA,DF,Valenciennes,23,1993,30,28,2511,27.9,1,4,1,0,0,4,0,0.04,0.14,0.18,0.04,0.18,0,6,,0.00,0.22,,0.17,,84,73.4,,27,2,,7,1.27,37,51,-14,-0.50,-0.50,0,26,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Nicolas Douchez,fr FRA,GK,Lens,37,1980,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,21.1,,8,0,,0,1.13,12,8,+4,+0.50,+0.67,0,0,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
David Douline,fr FRA,MF,Clermont Foot,24,1993,16,9,790,8.8,2,1,2,0,0,4,0,0.23,0.11,0.34,0.23,0.34,0,3,,0.00,0.34,,0.67,,49,23.1,,5,7,,15,1.50,14,10,+4,+0.46,-0.02,0,28,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Rémy Dugimont,fr FRA,"MF,FW",Clermont Foot,31,1986,35,35,3041,33.8,11,4,7,4,5,3,0,0.33,0.12,0.44,0.21,0.33,0,39,,0.00,1.15,,0.18,,87,88.9,,29,0,,0,1.69,52,31,+21,+0.62,+1.33,0,17,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Mathieu Duhamel,fr FRA,FW,Quevilly-Rouen,33,1984,19,19,1708,19.0,8,5,6,2,2,4,0,0.42,0.26,0.69,0.32,0.58,0,22,,0.00,1.16,,0.27,,90,49.9,,18,0,,0,0.63,18,34,-16,-0.84,-0.58,0,31,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Frédéric Duplus,fr FRA,DF,Lens,27,1990,25,23,2074,23.0,1,1,1,0,0,4,0,0.04,0.04,0.09,0.04,0.09,0,4,,0.00,0.17,,0.25,,83,60.6,,22,2,,5,1.28,29,28,+1,+0.04,+0.18,0,43,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Jean-Kevin Duverne,fr FRA,DF,Lens,20,1997,36,35,3153,35.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,2,,0.00,0.06,,0.00,,88,92.2,,35,1,,2,1.14,45,47,-2,-0.06,-0.39,0,21,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Alan Dzabana,fr FRA,FW,Le Havre,20,1997,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,11,0.3,,0,1,,5,0.00,0,0,0,0.00,-0.50,0,1,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Enzo Ebosse,cm CMR,DF,Lens,18,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,2.6,,1,0,,3,0.00,0,2,-2,-2.00,-2.03,0,1,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Idriss Ech-Chergui,dz ALG,"MF,FW",Paris FC,32,1985,27,6,763,8.5,4,0,4,0,0,3,0,0.47,0.00,0.47,0.47,0.47,0,9,,0.00,1.06,,0.44,,28,22.3,,1,21,,10,1.89,16,13,+3,+0.35,+0.12,0,15,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Steeve Elana,gn GUI,GK,Gazélec Ajaccio,37,1980,36,36,3240,36.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,94.7,,36,0,,2,1.14,32,52,-20,-0.56,+1.94,0,0,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Patrik Eler,si SVN,"FW,MF",Nancy,26,1991,8,4,289,3.2,1,0,1,0,0,1,0,0.31,0.00,0.31,0.31,0.31,0,2,,0.00,0.62,,0.50,,36,8.5,,0,4,,6,1.00,3,5,-2,-0.62,-0.25,0,10,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Thomas Ephestion,mq MTQ,MF,Lens,22,1995,9,4,479,5.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,1,,0.00,0.19,,0.00,,53,14.0,,2,5,,3,0.89,6,12,-6,-1.13,-1.28,0,6,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Michel Espinosa,cm CMR,MF,Clermont Foot,23,1993,5,0,47,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,9,1.4,,0,5,,4,2.00,0,1,-1,-1.91,-2.42,0,2,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Baptiste Etcheverria,fr FRA,DF,Tours,20,1997,10,7,835,9.3,1,1,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,0,2,,0.00,0.22,,0.50,,84,24.4,,7,3,,4,0.50,10,21,-11,-1.19,-0.38,0,12,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Patrick Etshimi,cd COD,FW,Paris FC,28,1989,4,2,227,2.5,1,0,1,0,0,1,0,0.40,0.00,0.40,0.40,0.40,0,2,,0.00,0.79,,0.50,,57,6.6,,0,2,,0,1.00,2,2,0,0.00,-0.28,0,2,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Maxime Etuin,fr FRA,MF,Lorient,21,1995,6,3,307,3.4,0,1,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,0,0,,0.00,0.00,,,,51,9.0,,0,3,,11,1.67,6,4,+2,+0.59,+0.21,0,3,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Julien Fabri,fr FRA,GK,Brest,23,1994,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,5.3,,2,0,,15,0.00,3,5,-2,-1.00,-1.47,0,0,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Aurélien Faivre,fr FRA,DF,Bourg-Péronnas,39,1978,17,15,1336,14.8,1,2,1,0,0,3,0,0.07,0.13,0.20,0.07,0.20,0,1,,0.00,0.07,,1.00,,79,39.1,,13,2,,18,1.35,24,30,-6,-0.40,+0.93,0,17,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Cheick Fantamady Diarra,ml MLI,FW,Tours,25,1992,18,12,1053,11.7,5,1,5,0,0,2,0,0.43,0.09,0.51,0.43,0.51,0,9,,0.00,0.77,,0.56,,59,30.8,,7,6,,3,0.61,13,15,-2,-0.17,+1.05,0,23,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Julien Faussurier,fr FRA,"MF,FW",Brest,30,1987,37,37,3227,35.9,8,12,8,0,0,5,0,0.22,0.33,0.56,0.22,0.56,0,20,,0.00,0.56,,0.40,,87,94.4,,33,0,,0,1.63,55,40,+15,+0.42,+0.42,0,37,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
