Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Arsenal,28,26,58.0,38,418,3420,38.0,69,52,65,4,5,73,2,1.82,1.37,3.18,1.71,3.08,58.0,54.1,45.5,99.6,1.53,1.2,2.72,1.42,2.62,466,159,34.1,12.26,4.18,0.14,0.41,16.2,11,0.12,11.0,10.9,18313,22178,82.6,350914,109818,7357,8257,89.1,8113,9175,88.4,2530,3943,64.2,6.5,361,1242,430,75,1543,20240,1938,76,3235,580,473,210,32,56,7,16124,2800,3254,6548,13411,779,821,304,77,330,537,541,769,20.24,607,49,44,23,16,116,3.05,92,6,4,5,7,2,626,404,300,250,76,197,34.1,380,1674,28.9,1839,2713,1233,2,421,1011,955,11,26635,2699,1118,599,60.9,393,24,18531,208,466,460,21153,18313,86.6,1686,90,100,83,,113,26,153,1.84,73,51,22,0.58,58.0,54.1,3.9,0.1,1,414,4,6,2,3309,494,594,45.4,Premier-League,9,2018-2019
Bournemouth,28,26,46.8,38,418,3420,38.0,55,43,48,7,9,60,1,1.45,1.13,2.58,1.26,2.39,54.4,47.6,37.9,85.5,1.43,1.0,2.43,1.25,2.25,432,153,35.4,11.37,4.03,0.11,0.31,16.5,14,0.11,0.6,0.4,13478,17430,77.3,264047,97401,5366,6308,85.1,5968,7077,84.3,1942,3393,57.2,5.1,318,983,348,77,1281,15484,1946,35,2856,418,450,189,28,35,7,11482,2364,3584,5099,9979,849,823,281,51,388,452,490,661,17.39,477,65,39,43,9,96,2.53,63,7,8,6,10,2,522,328,278,191,53,162,32.8,332,1543,23.9,2401,2827,1239,4,437,904,1104,7,22061,2570,961,570,58.4,365,22,13670,152,496,472,16250,13478,82.9,1462,90,100,86,,104,17,162,1.18,56,70,-14,-0.37,54.4,55.6,-1.2,-0.03,0,342,8,5,3,3447,592,619,48.9,Premier-League,9,2018-2019
Brighton,21,27,42.6,38,418,3420,38.0,35,24,30,5,6,61,4,0.92,0.63,1.55,0.79,1.42,34.1,29.6,22.7,52.3,0.9,0.6,1.5,0.78,1.38,366,100,27.3,9.63,2.63,0.08,0.3,16.9,12,0.08,0.9,0.4,11586,15704,73.8,246203,90785,4343,5178,83.9,4761,5856,81.3,2233,4021,55.5,1.3,281,894,218,81,918,13887,1817,22,2433,700,408,154,51,35,6,8881,2492,4331,3678,9471,928,871,207,87,395,369,415,582,15.32,392,75,33,38,11,54,1.42,28,8,2,8,7,1,709,437,397,225,87,197,33.7,387,1607,25.2,2544,2672,1149,2,455,1117,1069,9,20219,2574,671,519,57.6,346,15,11852,101,483,403,14607,11586,79.3,1136,90,100,84,,99,22,167,0.95,35,60,-25,-0.66,34.1,56.0,-21.9,-0.58,1,468,5,9,0,3377,683,677,50.2,Premier-League,9,2018-2019
Burnley,23,28,41.2,38,418,3420,38.0,43,32,41,2,2,75,1,1.13,0.84,1.97,1.08,1.92,40.7,39.2,25.7,64.9,1.07,0.68,1.75,1.03,1.71,356,114,32.0,9.37,3.0,0.12,0.36,15.1,14,0.11,2.3,1.8,10157,14606,69.5,216649,89112,4070,4922,82.7,3903,5002,78.0,2005,4135,48.5,6.3,246,898,251,82,957,12726,1880,30,2617,495,453,138,63,13,9,7258,2319,5029,4348,7415,1075,890,182,96,437,281,393,520,13.68,343,77,14,37,10,62,1.63,40,8,1,10,2,1,618,355,303,252,63,211,36.8,363,1479,24.2,2116,2640,1351,10,495,1030,1219,17,19177,2612,708,400,56.0,241,6,10217,66,490,365,13213,10157,76.9,1116,90,100,86,,86,18,180,1.05,45,68,-23,-0.61,40.7,63.0,-22.3,-0.59,0,365,1,3,4,3575,885,885,50.0,Premier-League,9,2018-2019
Cardiff City,25,27,35.6,38,418,3420,38.0,33,20,30,3,4,66,1,0.87,0.53,1.39,0.79,1.32,39.5,36.5,22.4,58.9,1.04,0.59,1.63,0.96,1.55,408,112,27.5,10.74,2.95,0.07,0.27,16.9,13,0.09,-6.5,-6.5,7220,11620,62.1,154563,71373,2988,3863,77.3,2661,3735,71.2,1452,3545,41.0,-2.4,265,752,188,61,791,9803,1817,18,2166,355,381,167,56,27,8,5328,1713,4579,2691,6332,930,794,107,70,407,306,370,570,15.0,374,78,32,38,8,51,1.34,35,4,3,7,2,0,692,416,374,244,74,193,32.3,405,1817,26.0,2623,3195,1169,5,514,1199,1011,9,16206,2325,749,488,60.0,321,13,8140,103,438,428,10395,7220,69.5,1092,90,100,85,,109,18,157,0.89,34,69,-35,-0.92,39.5,61.4,-21.9,-0.58,0,380,2,6,0,3677,857,829,50.8,Premier-League,9,2018-2019
Chelsea,24,27,62.8,38,418,3420,38.0,61,52,56,5,5,49,0,1.61,1.37,2.97,1.47,2.84,58.3,54.5,45.2,99.7,1.53,1.19,2.72,1.43,2.62,596,190,31.9,15.68,5.0,0.09,0.29,17.3,30,0.09,2.7,1.5,22850,26496,86.2,413409,125769,10432,11460,91.0,9321,10402,89.6,2722,3841,70.9,6.8,468,1770,453,78,1821,24705,1791,62,3783,689,494,215,53,50,11,20189,2969,3338,4975,19522,687,759,297,75,320,547,500,1002,26.37,792,58,52,50,13,111,2.92,79,7,11,6,7,1,646,429,307,247,92,185,34.6,349,1719,29.4,1813,2520,1522,5,420,1007,667,5,30780,2310,1180,684,67.5,492,16,22481,258,431,565,25685,22850,89.0,2022,90,100,85,,113,20,153,1.89,63,39,24,0.63,58.3,34.8,23.5,0.62,0,341,5,2,0,3505,449,427,51.3,Premier-League,9,2018-2019
Crystal Palace,26,27,45.0,38,418,3420,38.0,48,33,38,10,11,58,2,1.26,0.87,2.13,1.0,1.87,50.8,42.8,31.1,73.9,1.34,0.82,2.15,1.13,1.94,487,136,27.9,12.82,3.58,0.08,0.28,17.0,16,0.09,-2.8,-4.8,12738,16638,76.6,237886,92963,5748,6625,86.8,4996,5968,83.7,1736,3354,51.8,1.9,349,993,295,68,1220,14746,1892,45,2727,406,407,205,47,36,16,10829,2184,3625,5203,9308,629,808,241,69,322,398,474,761,20.03,531,65,66,42,11,83,2.18,48,6,7,8,12,2,774,460,422,263,89,236,37.2,399,1682,25.9,2798,2609,1076,1,532,1245,1112,14,21798,2432,1043,779,62.4,518,20,13811,209,478,533,15533,12738,82.0,1388,90,100,87,,92,14,174,1.29,51,53,-2,-0.05,50.8,48.1,2.7,0.07,1,390,9,5,1,3483,599,674,47.1,Premier-League,9,2018-2019
Everton,23,25,51.5,38,418,3420,38.0,53,34,51,2,5,56,4,1.39,0.89,2.29,1.34,2.24,47.3,43.3,30.3,73.6,1.24,0.8,2.04,1.14,1.94,490,159,32.4,12.89,4.18,0.1,0.32,16.2,20,0.09,5.7,7.7,13829,18084,76.5,277186,100510,5559,6521,85.2,5827,6980,83.5,2243,3933,57.0,3.7,335,1168,296,89,1333,16051,2033,31,3240,600,514,215,39,84,17,11450,2483,4151,4651,10777,931,943,228,67,448,471,495,732,19.26,478,80,54,51,17,81,2.13,53,4,11,10,2,1,756,459,384,276,96,199,36.3,349,1830,28.8,2158,2810,1377,0,458,1280,1083,15,23167,2319,932,615,55.3,376,21,14262,148,582,518,16909,13829,81.8,1510,90,100,85,,111,16,155,1.42,54,46,8,0.21,47.3,46.4,0.9,0.02,1,436,4,5,2,3785,793,772,50.7,Premier-League,9,2018-2019
Fulham,28,26,48.6,38,418,3420,38.0,33,24,31,2,3,70,2,0.87,0.63,1.5,0.82,1.45,39.0,36.7,28.2,64.9,1.03,0.74,1.77,0.97,1.71,441,136,30.8,11.61,3.58,0.07,0.23,18.3,10,0.08,-6.0,-5.7,15178,19215,79.0,289665,104302,6545,7387,88.6,6400,7489,85.5,1988,3702,53.7,-4.2,333,1050,245,57,1190,17402,1813,28,3240,456,378,160,34,34,11,12743,2340,4132,5952,10889,881,765,253,84,377,439,416,712,18.74,537,57,49,21,10,58,1.53,40,3,7,5,3,0,626,405,344,229,53,214,37.0,365,1669,26.6,2443,2685,1135,3,440,1140,1071,9,23963,2764,689,675,62.4,454,34,15445,112,463,511,18146,15178,83.6,1363,90,100,84,,108,22,158,0.68,34,81,-47,-1.24,39.0,65.4,-26.4,-0.7,2,428,2,7,2,3566,634,618,50.6,Premier-League,9,2018-2019
Huddersfield,31,26,47.0,38,418,3420,38.0,20,13,19,1,1,56,4,0.53,0.34,0.87,0.5,0.84,29.3,28.5,20.9,49.4,0.77,0.55,1.32,0.75,1.3,398,115,28.9,10.47,3.03,0.05,0.17,18.2,15,0.07,-9.3,-9.5,13041,17508,74.5,261953,98346,5355,6333,84.6,5329,6550,81.4,2176,3980,54.7,-7.9,281,1021,239,94,1094,15582,1926,26,3319,461,506,162,43,37,9,10514,2373,4621,4580,10206,964,931,164,56,401,435,508,586,15.42,416,68,20,33,20,31,0.82,21,5,0,2,2,1,759,436,359,313,87,226,32.0,481,1957,27.3,2546,3235,1383,4,497,1321,855,8,22112,2207,681,531,53.5,311,17,13293,94,431,446,16227,13041,80.4,1294,90,100,84,,107,22,159,0.42,22,76,-54,-1.42,29.3,63.9,-34.7,-0.91,1,427,1,8,1,3716,733,700,51.2,Premier-League,9,2018-2019
