Round,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,League Name,League ID,Season
Third qualifying round,Tue,2021-08-03,21:00,Neftçi az,,2–2,,fi HJK,3500.0,Bakcell Arena,William Collum,Match Report,Leg 1 of 2,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-05,20:00,Qaırat Almaty kz,,0–0,,am Alashkert,,OrtalÄ±q Stadion,Aliaksei Kulbakou,Match Report,Leg 1 of 2,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-05,17:45,Jablonec cz,1.2,2–4,3.2,sct Celtic,4805.0,Stadion StÅelnice,Halil Umut Meler,Match Report,Leg 1 of 2,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-05,18:00,Red Imps gi,2.2,1–3,0.8,sk Slovan Bratislava,637.0,Victoria Stadium,Athanasios Tzilos,Match Report,Leg 1 of 2,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-05,19:00,AC Omonia cy,,1–0,,ee Flora,8033.0,Neo GSP,Radu Petrescu,Match Report,Leg 1 of 2,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-05,20:00,N Mura si,,0–0,,lt Žalgiris,2500.0,Mestni Å tadion Fazanerija,Andreas Ekberg,Match Report,Leg 1 of 2,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-05,21:00,Galatasaray tr,,1–1,,sct St Johnstone,6216.0,TÃ¼rk Telekom Arena,Sandro SchÃ¤rer,Match Report,Leg 1 of 2,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-05,20:30,Rapid Wien at,,3–0,,cy Anorthosis,11400.0,Allianz Stadion,Maurizio Mariani,Match Report,Leg 1 of 2,Europa-League,19,2021-2022
Third qualifying round,Tue,2021-08-10,19:00,Flora ee,,(4) 2–1 (5),,cy AC Omonia,1560.0,A. Le Coq Arena,Ivan KruÅ¾liak,Match Report,Leg 2 of 2; AC Omonia won; AC Omonia won on penalty kicks following extra time,Europa-League,19,2021-2022
Third qualifying round,Tue,2021-08-10,20:30,Slovan Bratislava sk,1.9,1–1,0.6,gi Red Imps,4688.0,Å tadiÃ³n TehelnÃ© pole,Mykola Balakin,Match Report,Leg 2 of 2; Slovan Bratislava won,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-12,19:00,Alashkert am,,3–2,,kz Qaırat Almaty,7000.0,Nairi,Lawrence Visser,Match Report,Leg 2 of 2; Alashkert won; Required Extra Time,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-12,19:00,HJK fi,,3–0,,az Neftçi,4068.0,Telia 5G -areena,Deniz Aytekin,Match Report,Leg 2 of 2; HJK won,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-12,20:00,Žalgiris lt,,0–1,,si N Mura,2921.0,Vilniaus LFF stadionas,Bartosz Frankowski,Match Report,Leg 2 of 2; NÅ Mura won,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-12,20:00,Anorthosis cy,,2–1,,at Rapid Wien,3574.0,Stadio Antonis Papadopoulos,Aleksandar Stavrev,Match Report,Leg 2 of 2; Rapid Wien won,Europa-League,19,2021-2022
Third qualifying round,Thu,2021-08-12,19:00,St Johnstone sct,,2–4,,tr Galatasaray,9106.0,McDiarmid Park,Andris Treimanis,Match Report,Leg 2 of 2; Galatasaray won,Europa-League,19,2021-2022
