Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
12.0,Fri,2019-11-01,20:45,Dijon,0.7,2–1,2.6,Paris S-G,14859.0,Stade Gaston Gérard,Ruddy Buquet,Ligue-1,13,2019-2020
12.0,Sat,2019-11-02,17:30,Marseille,0.9,2–1,0.5,Lille,53321.0,Orange Vélodrome,Hakim Ben El Hadj Salem,Ligue-1,13,2019-2020
12.0,Sat,2019-11-02,20:00,Angers,1.2,1–0,1.3,Strasbourg,9681.0,Stade Raymond Kopa,Florent Batta,Ligue-1,13,2019-2020
12.0,Sat,2019-11-02,20:00,Metz,1.7,2–2,0.9,Montpellier,14644.0,Stade Saint-Symphorien,Stéphanie Frappart,Ligue-1,13,2019-2020
12.0,Sat,2019-11-02,20:00,Amiens,1.4,1–0,1.2,Brest,12246.0,Stade de la Licorne,Franck Schneider,Ligue-1,13,2019-2020
12.0,Sat,2019-11-02,20:00,Toulouse,1.2,2–3,2.6,Lyon,16225.0,Stadium Municipal,Karim Abed,Ligue-1,13,2019-2020
12.0,Sun,2019-11-03,15:00,Bordeaux,1.2,2–0,0.7,Nantes,19545.0,Stade Matmut-Atlantique,François Letexier,Ligue-1,13,2019-2020
12.0,Sun,2019-11-03,17:00,Nice,1.1,2–0,0.7,Reims,15468.0,Stade de Nice,Jeremy Stinat,Ligue-1,13,2019-2020
12.0,Sun,2019-11-03,21:00,Saint-Étienne,1.5,1–0,1.1,Monaco,15685.0,Stade Geoffroy-Guichard,Jérôme Brisard,Ligue-1,13,2019-2020
13.0,Fri,2019-11-08,20:45,Nice,1.1,1–1,1.7,Bordeaux,16173.0,Stade de Nice,Johan Hamel,Ligue-1,13,2019-2020
13.0,Sat,2019-11-09,17:30,Brest,1.0,1–2,2.0,Paris S-G,15144.0,Stade Francis-Le Blé,Mikael Lesage,Ligue-1,13,2019-2020
13.0,Sat,2019-11-09,20:00,Strasbourg,3.8,4–1,0.7,Nîmes,24745.0,Stade de la Meinau,Ruddy Buquet,Ligue-1,13,2019-2020
13.0,Sat,2019-11-09,20:00,Monaco,2.4,1–0,1.4,Dijon,5223.0,Stade Louis II.,Eric Wattellier,Ligue-1,13,2019-2020
13.0,Sat,2019-11-09,20:00,Lille,1.5,0–0,0.1,Metz,33425.0,Stade Pierre-Mauroy,Florent Batta,Ligue-1,13,2019-2020
13.0,Sat,2019-11-09,20:00,Reims,0.4,0–0,0.8,Angers,10876.0,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Ligue-1,13,2019-2020
13.0,Sun,2019-11-10,15:00,Rennes,2.7,3–1,1.1,Amiens,20677.0,Roazhon Park,Benoît Bastien,Ligue-1,13,2019-2020
13.0,Sun,2019-11-10,17:00,Nantes,0.7,2–3,0.6,Saint-Étienne,34191.0,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Ligue-1,13,2019-2020
13.0,Sun,2019-11-10,17:00,Montpellier,1.2,3–0,0.4,Toulouse,12734.0,Stade de la Mosson,Thomas Léonard,Ligue-1,13,2019-2020
13.0,Sun,2019-11-10,21:00,Marseille,1.2,2–1,1.2,Lyon,65421.0,Orange Vélodrome,Antony Gautier,Ligue-1,13,2019-2020
14.0,Fri,2019-11-22,20:45,Paris S-G,2.4,2–0,0.8,Lille,47476.0,Parc des Princes,Willy Delajod,Ligue-1,13,2019-2020
14.0,Sat,2019-11-23,17:30,Lyon,1.3,2–1,1.4,Nice,49401.0,Groupama Stadium,Amaury Delerue,Ligue-1,13,2019-2020
14.0,Sat,2019-11-23,20:00,Angers,1.8,1–0,0.9,Nîmes,8714.0,Stade Raymond Kopa,Thomas Léonard,Ligue-1,13,2019-2020
14.0,Sat,2019-11-23,20:00,Dijon,1.0,2–1,1.2,Rennes,12084.0,Stade Gaston Gérard,Jérôme Brisard,Ligue-1,13,2019-2020
14.0,Sat,2019-11-23,20:00,Brest,1.4,1–1,0.9,Nantes,14232.0,Stade Francis-Le Blé,Ruddy Buquet,Ligue-1,13,2019-2020
14.0,Sat,2019-11-23,20:00,Amiens,0.3,0–4,1.9,Strasbourg,10358.0,Stade de la Licorne,Alain Bieri,Ligue-1,13,2019-2020
14.0,Sat,2019-11-23,20:00,Metz,1.0,1–1,1.5,Reims,14445.0,Stade Saint-Symphorien,Antony Gautier,Ligue-1,13,2019-2020
14.0,Sun,2019-11-24,15:00,Bordeaux,2.2,2–1,0.9,Monaco,34554.0,Stade Matmut-Atlantique,Benoît Millot,Ligue-1,13,2019-2020
14.0,Sun,2019-11-24,17:00,Saint-Étienne,0.9,0–0,1.0,Montpellier,24336.0,Stade Geoffroy-Guichard,Franck Schneider,Ligue-1,13,2019-2020
14.0,Sun,2019-11-24,21:00,Toulouse,0.7,0–2,2.1,Marseille,23002.0,Stadium Municipal,François Letexier,Ligue-1,13,2019-2020
15.0,Fri,2019-11-29,20:45,Marseille,4.0,2–1,0.8,Brest,50014.0,Orange Vélodrome,Johan Hamel,Ligue-1,13,2019-2020
15.0,Sat,2019-11-30,17:30,Strasbourg,0.5,1–2,0.7,Lyon,25455.0,Stade de la Meinau,Mikael Lesage,Ligue-1,13,2019-2020
15.0,Sat,2019-11-30,20:00,Lille,2.0,1–0,0.9,Dijon,40074.0,Stade Pierre-Mauroy,Jeremy Stinat,Ligue-1,13,2019-2020
15.0,Sat,2019-11-30,20:00,Montpellier,1.1,4–2,0.9,Amiens,11744.0,Stade de la Mosson,Jérémie Pignard,Ligue-1,13,2019-2020
15.0,Sat,2019-11-30,20:00,Nice,1.5,3–1,0.6,Angers,15814.0,Stade de Nice,Antony Gautier,Ligue-1,13,2019-2020
15.0,Sat,2019-11-30,20:00,Nîmes,0.9,1–1,0.7,Metz,12180.0,Stade des Costières,Hakim Ben El Hadj Salem,Ligue-1,13,2019-2020
15.0,Sat,2019-11-30,20:00,Reims,1.0,1–1,0.3,Bordeaux,12949.0,Stade Auguste-Delaune II,Jérôme Brisard,Ligue-1,13,2019-2020
15.0,Sun,2019-12-01,15:00,Nantes,2.5,2–1,1.0,Toulouse,13751.0,Stade de la Beaujoire - Louis Fonteneau,Florent Batta,Ligue-1,13,2019-2020
15.0,Sun,2019-12-01,17:00,Rennes,1.3,2–1,0.4,Saint-Étienne,26738.0,Roazhon Park,Eric Wattellier,Ligue-1,13,2019-2020
16.0,Tue,2019-12-03,19:00,Angers,0.5,0–2,2.1,Marseille,12455.0,Stade Raymond Kopa,Franck Schneider,Ligue-1,13,2019-2020
16.0,Tue,2019-12-03,19:00,Brest,2.0,5–0,0.7,Strasbourg,12437.0,Stade Francis-Le Blé,Jérôme Brisard,Ligue-1,13,2019-2020
16.0,Tue,2019-12-03,19:00,Bordeaux,2.5,6–0,0.2,Nîmes,12419.0,Stade Matmut-Atlantique,Clément Turpin,Ligue-1,13,2019-2020
16.0,Tue,2019-12-03,21:05,Lyon,0.8,0–1,0.7,Lille,42535.0,Groupama Stadium,Ruddy Buquet,Ligue-1,13,2019-2020
