Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Rayane Aabid,fr FRA,MF,Béziers,26,1992,29,26,2318,25.8,2,3,2,0,0,2,0,0.08,0.12,0.19,0.08,0.19,,,,,,,,,80,67.8,87,20,3,15,0,1.03,25,40,-15,-0.58,-0.42,0,,,,,,,,,0,Ligue-2,60,2018-2019
Oussama Abdeldjelil,dz ALG,FW,Red Star,25,1993,18,18,1441,16.0,5,1,4,1,1,1,0,0.31,0.06,0.37,0.25,0.31,,,,,,,,,80,42.1,80,9,0,,0,0.89,11,23,-12,-0.75,+0.07,0,,,,,,,,,0,Ligue-2,60,2018-2019
Himad Abdelli,fr FRA,"MF,FW",Le Havre,18,1999,16,4,555,6.2,0,2,0,0,0,1,0,0.00,0.32,0.32,0.00,0.32,,,,,,,,,35,16.2,76,0,12,21,2,1.56,10,4,+6,+0.97,+1.00,0,,,,,,,,,0,Ligue-2,60,2018-2019
Laurent Abergel,fr FRA,"MF,DF",Nancy,25,1993,29,28,2350,26.1,1,2,1,0,0,3,0,0.04,0.08,0.11,0.04,0.11,,,,,,,,,81,68.7,83,23,1,28,0,1.21,29,37,-8,-0.31,+0.20,0,,,,,,,,,0,Ligue-2,60,2018-2019
Jordan Adéoti,bj BEN,MF,Auxerre,29,1989,25,19,1641,18.2,3,0,3,0,0,7,0,0.16,0.00,0.16,0.16,0.16,,,,,,,,,66,48.0,83,12,6,11,9,1.20,20,17,+3,+0.16,+0.42,0,,,,,,,,,0,Ligue-2,60,2018-2019
Bryan Adinany,km COM,FW,Châteauroux,18,2000,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,7,0.2,,0,1,6,0,0.00,0,0,0,0.00,+0.13,0,,,,,,,,,0,Ligue-2,60,2018-2019
Lucien Agoume,fr FRA,MF,Sochaux,16,2002,15,9,912,10.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,61,26.7,84,5,6,26,2,0.87,5,13,-8,-0.79,-0.50,0,,,,,,,,,0,Ligue-2,60,2018-2019
Ogou Akichi,ci CIV,MF,Paris FC,28,1990,29,27,2376,26.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,82,69.5,88,22,2,6,5,1.79,27,18,+9,+0.34,-0.09,0,,,,,,,,,0,Ligue-2,60,2018-2019
Josué Albert,gf GUF,DF,Clermont Foot,26,1992,17,14,1279,14.2,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,,,,,,,,,75,37.4,87,13,3,20,18,1.12,18,14,+4,+0.28,+0.16,1,,,,,,,,,0,Ligue-2,60,2018-2019
Chaker Alhadhur,km COM,"DF,MF",Châteauroux,26,1991,19,19,1710,19.0,1,1,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,,,,,,,,,90,50.0,90,19,0,,0,1.37,23,21,+2,+0.11,+0.47,0,,,,,,,,,0,Ligue-2,60,2018-2019
Saturnin Allagbé,bj BEN,GK,Niort,24,1993,38,38,3420,38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,90,100.0,90,38,0,,0,1.24,34,41,-7,-0.18,,0,,,,,,,,,1,Ligue-2,60,2018-2019
Baptiste Aloé,fr FRA,DF,Valenciennes,24,1994,23,20,1722,19.1,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,,,,,,,,,75,50.4,83,17,3,18,10,0.87,22,30,-8,-0.42,-0.37,0,,,,,,,,,1,Ligue-2,60,2018-2019
Steve Ambri,gw GNB,MF,Valenciennes,20,1997,11,2,270,3.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,,,,,,,,,25,7.9,77,0,9,13,7,1.18,2,6,-4,-1.33,-1.19,0,,,,,,,,,0,Ligue-2,60,2018-2019
Thierry Ambrose,fr FRA,"MF,FW",Lens,21,1997,33,23,2010,22.3,4,6,4,0,0,2,0,0.18,0.27,0.45,0.18,0.45,,,,,,,,,61,58.8,79,11,10,19,4,1.69,28,17,+11,+0.49,-0.15,0,,,,,,,,,0,Ligue-2,60,2018-2019
Victorien Angban,ci CIV,MF,Metz,21,1996,27,20,1805,20.1,1,2,1,0,0,6,0,0.05,0.10,0.15,0.05,0.15,,,,,,,,,67,52.8,84,13,7,19,7,2.19,28,14,+14,+0.70,-0.58,0,,,,,,,,,0,Ligue-2,60,2018-2019
Aldo Angoula,fr FRA,DF,Châteauroux,37,1981,4,4,234,2.6,1,0,0,1,1,2,0,0.38,0.00,0.38,0.00,0.00,,,,,,,,,59,6.8,59,2,0,,12,2.00,4,2,+2,+0.77,+0.97,0,,,,,,,,,0,Ligue-2,60,2018-2019
Julien Anziani,fr FRA,MF,Gazélec Ajaccio,19,1999,11,2,237,2.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,22,6.9,79,1,9,9,23,1.64,0,8,-8,-3.04,-2.59,0,,,,,,,,,0,Ligue-2,60,2018-2019
Said Arab,fr FRA,FW,Red Star,18,2000,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,19,0.6,,0,1,18,1,0.00,0,0,0,0.00,+0.79,0,,,,,,,,,0,Ligue-2,60,2018-2019
Alexis Araujo,pt POR,"MF,FW",Gazélec Ajaccio,21,1996,11,2,270,3.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,25,7.9,59,0,9,17,3,0.64,1,8,-7,-2.33,-1.85,0,,,,,,,,,0,Ligue-2,60,2018-2019
Carlens Arcus,ht HAI,DF,Auxerre,22,1996,28,28,2509,27.9,2,0,2,0,0,10,0,0.07,0.00,0.07,0.07,0.07,,,,,,,,,90,73.4,90,27,0,,5,1.04,26,29,-3,-0.11,-0.21,0,,,,,,,,,0,Ligue-2,60,2018-2019
Gaëtan Arib,fr FRA,MF,Valenciennes,18,1999,12,9,766,8.5,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,,,,,,,,,64,22.4,84,6,3,3,8,1.25,11,12,-1,-0.12,+0.15,0,,,,,,,,,0,Ligue-2,60,2018-2019
Romain Armand,fr FRA,"FW,MF",Gazélec Ajaccio,31,1987,36,34,2949,32.8,13,1,11,2,4,8,0,0.40,0.03,0.43,0.34,0.37,,,,,,,,,82,86.2,86,26,2,17,0,1.06,26,44,-18,-0.55,+0.60,0,,,,,,,,,0,Ligue-2,60,2018-2019
Ebenezer Assifuah,gh GHA,"MF,FW",Le Havre,25,1993,19,8,653,7.3,0,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,,,,,,,,,34,19.1,68,0,11,10,17,1.16,5,5,0,0.00,-0.16,0,,,,,,,,,0,Ligue-2,60,2018-2019
Redah Atassi,ma MAR,"DF,MF",Béziers,27,1991,27,26,2325,25.8,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,,,,,,,,,86,68.0,88,22,1,32,0,1.00,25,36,-11,-0.43,+0.07,0,,,,,,,,,0,Ligue-2,60,2018-2019
Lawrence Ati-Zigi,gh GHA,GK,Sochaux,21,1996,9,9,810,9.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,90,23.7,90,9,0,,27,0.89,3,10,-7,-0.78,-0.47,0,,,,,,,,,1,Ligue-2,60,2018-2019
Louis Autchanga,ga GAB,"MF,FW",Niort,21,1996,22,10,841,9.3,2,1,2,0,0,1,0,0.21,0.11,0.32,0.21,0.32,,,,,,,,,38,24.6,67,3,12,14,10,1.18,10,11,-1,-0.11,+0.10,0,,,,,,,,,0,Ligue-2,60,2018-2019
Mathias Autret,fr FRA,MF,Brest,27,1991,36,30,2523,28.0,9,8,9,0,0,4,0,0.32,0.29,0.61,0.32,0.61,,,,,,,,,70,73.8,80,11,6,23,1,2.00,46,25,+21,+0.75,-0.05,0,,,,,,,,,0,Ligue-2,60,2018-2019
Cédric Avinel,gp GLP,DF,Ajaccio,31,1986,34,34,3060,34.0,3,0,3,0,0,4,0,0.09,0.00,0.09,0.09,0.09,,,,,,,,,90,89.5,90,34,0,,1,0.97,25,39,-14,-0.41,+0.09,0,,,,,,,,,0,Ligue-2,60,2018-2019
Durel Avounou,cg CGO,MF,Orléans,20,1997,35,30,2569,28.5,5,3,5,0,0,4,0,0.18,0.11,0.28,0.18,0.28,,,,,,,,,73,75.1,82,18,5,20,3,1.43,38,35,+3,+0.11,+0.63,0,,,,,,,,,1,Ligue-2,60,2018-2019
Thomas Ayasse,fr FRA,MF,Brest,31,1987,26,15,1532,17.0,1,1,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,,,,,,,,,59,44.8,89,14,11,18,5,1.88,23,13,+10,+0.59,-0.32,0,,,,,,,,,0,Ligue-2,60,2018-2019
Florian Ayé,fr FRA,FW,Clermont Foot,21,1997,38,34,2870,31.9,17,4,14,3,3,3,0,0.53,0.13,0.66,0.44,0.56,,,,,,,,,76,83.9,81,13,4,25,0,1.26,41,31,+10,+0.31,+0.80,0,,,,,,,,,0,Ligue-2,60,2018-2019
Abdoul Ba,mr MTN,DF,Auxerre,24,1994,6,6,527,5.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,88,15.4,88,5,0,,3,1.17,4,4,0,0.00,+0.06,0,,,,,,,,,0,Ligue-2,60,2018-2019
Abou-Malal Ba,fr FRA,MF,Nancy,20,1998,17,13,1166,13.0,0,2,0,0,0,9,0,0.00,0.15,0.15,0.00,0.15,,,,,,,,,69,34.1,82,9,4,27,4,1.00,11,14,-3,-0.23,+0.21,0,,,,,,,,,0,Ligue-2,60,2018-2019
El-Hadji Ba,fr FRA,MF,Lens,25,1993,28,24,2078,23.1,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,,,,,,,,,74,60.8,82,17,4,27,6,1.59,28,19,+9,+0.39,-0.41,1,,,,,,,,,0,Ligue-2,60,2018-2019
Ousseynou Ba,sn SEN,DF,Gazélec Ajaccio,22,1995,29,29,2446,27.2,1,0,1,0,0,8,2,0.04,0.00,0.04,0.04,0.04,,,,,,,,,84,71.5,84,24,0,,2,1.00,21,38,-17,-0.63,+0.02,0,,,,,,,,,0,Ligue-2,60,2018-2019
Tobias Badila,cg CGO,DF,Nancy,25,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,90,2.6,90,1,0,,1,3.00,1,0,+1,+1.00,+1.41,0,,,,,,,,,0,Ligue-2,60,2018-2019
Mamadou Bagayoko,ci CIV,DF,Red Star,28,1989,13,13,1170,13.0,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,,,,,,,,,90,34.2,90,13,0,,0,0.92,11,20,-9,-0.69,+0.15,0,,,,,,,,,0,Ligue-2,60,2018-2019
Dénys Bain,fr FRA,DF,Le Havre,25,1993,34,34,3060,34.0,5,1,5,0,0,5,0,0.15,0.03,0.18,0.15,0.18,,,,,,,,,90,89.5,90,34,0,,0,1.35,40,38,+2,+0.06,-0.69,0,,,,,,,,,0,Ligue-2,60,2018-2019
Arnaud Balijon,fr FRA,GK,Le Havre,35,1983,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,90,21.1,90,8,0,,30,1.00,9,11,-2,-0.25,-0.48,0,,,,,,,,,0,Ligue-2,60,2018-2019
Iván Balliu,al ALB,DF,Metz,26,1992,28,21,2111,23.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,75,61.7,90,20,7,32,5,2.00,35,12,+23,+0.98,+0.02,0,,,,,,,,,0,Ligue-2,60,2018-2019
