Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,7,6,583,6.5,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.2,0.2,1.6,1.8,0.03,0.24,0.27,0.03,0.27,6,1,16.7,0.93,0.15,0.00,0.00,22.9,1,0.03,-0.2,-0.2,549,736,74.6,12142,4309,172,191,90.1,274,320,85.6,98,199,49.2,-0.6,14,59,15,7,66,595,141,1,88,52,39,35,5,20,0,361,147,228,82,548,10,90,4,3,13,11,25,22,3.40,12,8,0,0,0,1,0.15,1,0,0,0,0,0,16,5,8,7,1,7,58.3,5,16,21.3,38,24,13,0,3,20,14,0,792,18,7,12,50.0,6,1,497,2,5,2,564,538,95.4,20,83,77.7,95,6,1,13,0,1.43,10,10,0,0.00,-1.62,11.7,6.8,+4.9,+0.76,-0.13,0,5,0,0,0,70,3,14,17.6,Champions-League,8,2019-2020
Alisson,br BRA,GK,eng Liverpool,26,1992,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,158,174,90.8,4322,2205,21,21,100.0,84,84,100.0,53,69,76.8,0.0,0,1,0,0,0,141,33,1,12,11,0,0,0,0,0,126,17,31,17,125,2,0,25,0,3,0,0,3,0.60,2,1,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,1,0,0,0,0,0,0,0,184,140,0,0,,0,0,102,0,0,0,91,91,100.0,0,90,60.0,90,5,0,,0,2.00,9,4,+5,+1.00,+1.60,8.5,3.3,+5.2,+1.04,+0.65,0,0,0,0,0,34,0,0,,Champions-League,8,2019-2020
Allan,br BRA,MF,it Napoli,28,1991,6,5,445,4.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,2,0,0.0,0.40,0.00,0.00,,23.9,0,0.03,-0.1,-0.1,234,274,85.4,4752,1323,87,94,92.6,104,119,87.4,39,53,73.6,0.0,0,28,4,0,25,265,9,2,51,10,0,0,0,0,0,180,42,52,26,237,9,0,0,0,6,5,3,7,1.42,7,0,0,0,0,4,0.81,4,0,0,0,0,0,24,16,16,6,2,10,38.5,16,60,33.7,77,93,8,0,12,31,8,0,349,17,0,10,70.0,8,1,251,0,4,13,242,229,94.6,1,74,61.8,87,4,1,11,1,2.00,8,3,+5,+1.01,+1.01,6.7,5.8,+0.9,+0.18,-0.65,0,7,0,0,0,55,2,3,40.0,Champions-League,8,2019-2020
Dele Alli,eng ENG,"MF,FW",eng Tottenham,23,1996,7,7,516,5.7,1,1,1,0,0,1,0,0.17,0.17,0.35,0.17,0.35,1.1,1.1,1.2,2.3,0.19,0.21,0.40,0.19,0.40,7,4,57.1,1.22,0.70,0.14,0.25,12.7,0,0.15,-0.1,-0.1,182,223,81.6,2631,470,110,122,90.2,56,68,82.4,9,22,40.9,-0.2,7,7,9,1,18,204,19,3,74,3,6,1,0,0,0,177,25,21,17,194,7,2,0,0,4,12,3,18,3.14,12,1,2,2,0,6,1.05,4,0,1,0,1,0,8,6,3,4,1,1,11.1,8,45,28.3,29,61,69,0,5,11,1,0,299,6,22,27,37.0,12,2,236,1,10,14,314,222,70.7,46,74,71.7,74,1,0,,0,1.43,16,12,+4,+0.70,+2.46,10.7,7.7,+3.0,+0.52,+1.19,0,11,0,0,0,38,5,9,35.7,Champions-League,8,2019-2020
André Almeida,pt POR,DF,pt Benfica,28,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,0,0,,0.00,0.00,,,,0,,0.0,0.0,34,45,75.6,506,256,19,20,95.0,13,16,81.3,1,7,14.3,0.0,1,1,1,0,2,37,8,0,6,0,0,0,0,0,0,21,8,16,2,32,3,8,0,0,0,2,1,3,3.00,2,0,0,1,0,0,0.00,0,0,0,0,0,0,2,0,2,0,0,0,,0,2,13.3,10,1,4,0,5,2,4,0,65,8,1,4,0.0,0,0,30,0,0,1,36,30,83.3,4,90,16.7,90,1,0,,2,1.00,2,2,0,0.00,+0.20,0.7,3.2,-2.5,-2.48,-2.72,0,3,0,0,0,10,2,3,40.0,Champions-League,8,2019-2020
Marcos Alonso,es ESP,DF,eng Chelsea,28,1990,5,5,397,4.4,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.9,0.16,0.05,0.21,0.16,0.21,12,5,41.7,2.72,1.13,0.00,0.00,15.5,3,0.06,-0.7,-0.7,227,284,79.9,3900,1242,106,118,89.8,102,124,82.3,17,29,58.6,-0.2,3,9,4,3,14,239,45,0,65,6,12,0,0,0,0,180,50,54,208,21,9,40,0,0,6,6,11,9,2.04,7,0,0,0,0,0,0.00,0,0,0,0,0,0,10,8,7,0,3,4,66.7,2,33,39.3,35,33,16,0,5,11,22,0,347,13,18,10,50.0,6,1,217,2,3,4,224,209,93.3,31,79,55.1,79,3,0,,0,1.40,4,8,-4,-0.91,-0.91,6.5,5.2,+1.3,+0.30,-0.42,0,9,0,0,0,52,18,2,90.0,Champions-League,8,2019-2020
Éder Álvarez Balanta,co COL,MF,be Club Brugge,26,1993,5,3,286,3.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.03,0.12,0.15,0.03,0.15,2,0,0.0,0.63,0.00,0.00,,22.0,0,0.04,-0.1,-0.1,129,151,85.4,2576,636,47,51,92.2,56,59,94.9,22,34,64.7,-0.4,4,23,2,0,18,150,1,2,29,5,0,0,0,0,0,103,23,25,118,23,6,0,2,0,5,2,3,8,2.52,8,0,0,0,0,0,0.00,0,0,0,0,0,0,10,9,1,9,0,1,8.3,11,29,24.6,38,66,14,0,9,15,4,0,187,2,2,3,66.7,2,0,126,0,3,3,132,121,91.7,9,57,53.0,90,3,2,8,0,0.40,2,6,-4,-1.26,+0.16,4.2,3.8,+0.4,+0.12,+0.78,0,10,0,0,0,32,3,4,42.9,Champions-League,8,2019-2020
Edson Álvarez,mx MEX,MF,nl Ajax,21,1997,6,4,377,4.2,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,0.5,0.5,0.3,0.8,0.11,0.07,0.19,0.11,0.19,6,2,33.3,1.43,0.48,0.17,0.50,11.9,0,0.08,+0.5,+0.5,216,238,90.8,3903,1019,95,104,91.3,90,97,92.8,25,29,86.2,-0.3,2,20,2,0,14,233,5,1,61,2,1,0,0,0,0,191,24,23,14,208,9,0,1,0,1,3,3,3,0.72,3,0,0,0,0,0,0.00,0,0,0,0,0,0,11,7,5,3,3,7,50.0,7,11,19.6,18,30,8,0,6,13,7,0,289,17,13,1,0.0,1,0,206,1,5,3,240,216,90.0,10,63,69.8,78,2,2,32,0,1.86,7,3,+4,+0.95,-0.15,4.8,7.4,-2.6,-0.62,+0.41,0,7,0,1,0,32,10,5,66.7,Champions-League,8,2019-2020
Nadiem Amiri,de GER,"FW,MF",de Leverkusen,22,1996,4,2,238,2.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.9,0.15,0.19,0.34,0.15,0.34,7,2,28.6,2.65,0.76,0.00,0.00,23.1,1,0.06,-0.4,-0.4,116,147,78.9,1931,453,62,69,89.9,41,49,83.7,11,19,57.9,-0.5,5,12,2,0,16,133,14,0,46,5,2,8,3,5,0,97,32,18,13,127,0,4,2,0,1,3,9,15,5.67,10,2,2,0,0,0,0.00,0,0,0,0,0,0,11,8,3,5,3,2,28.6,5,14,32.6,13,18,12,0,4,12,0,0,189,2,5,10,60.0,7,0,135,1,6,5,169,131,77.5,18,60,44.1,87,1,2,33,0,0.75,2,3,-1,-0.38,+0.52,2.2,2.8,-0.6,-0.23,+0.22,0,1,0,0,0,24,1,2,33.3,Champions-League,8,2019-2020
Ethan Ampadu,wls WAL,DF,de RB Leipzig,18,2000,3,2,181,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,176,190,92.6,3767,775,40,41,97.6,114,119,95.8,22,30,73.3,0.0,0,7,0,0,8,187,3,0,17,4,0,0,0,0,0,165,9,16,30,157,2,0,0,0,2,2,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,0,2,1,0,0,0.0,5,4,18.2,8,12,2,0,2,5,19,0,219,16,0,0,,0,0,160,0,0,0,174,174,100.0,0,60,20.1,73,1,1,36,1,1.67,1,2,-1,-0.50,-1.12,4.5,1.6,+2.9,+1.45,+1.20,0,0,0,0,0,12,5,0,100.0,Champions-League,8,2019-2020
