Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Marko Dmitrović,rs SRB,GK,Eibar,26,1992,24,24,2160,24.0,30,1.25,81,54,66.7,9,6,9,5,20.8,4,3,1,0,25.0,2,3,0,27.7,0.31,-2.3,-0.10,206,577,35.7,593,67,73.2,55.4,155,92.3,74.2,183,15,8.2,39,1.63,17.0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,63.2,90,24,0,,5,1.38,29,30,-1,-0.04,+0.17,27.1,27.0,+0.1,0.00,-0.39,0,3,0,0,0,0,0,0,1,156,0,0,,La-Liga,12,2018-2019
Jaume Doménech,es ESP,GK,Valencia,27,1990,4,4,360,4.0,1,0.25,12,10,91.7,2,2,0,3,75.0,0,0,0,0,,0,1,0,2.0,0.17,+1.0,+0.25,27,59,45.8,64,19,50.0,38.9,30,90.0,58.1,42,2,4.8,1,0.25,11.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,10.5,90,4,0,,31,2.00,5,1,+4,+1.00,+0.65,5.0,3.1,+1.9,+0.48,+0.04,0,0,1,0,0,0,0,0,0,26,0,0,,La-Liga,12,2018-2019
Aitor Fernández,es ESP,GK,Levante,27,1991,16,16,1440,16.0,24,1.50,74,56,73.0,4,5,7,2,12.5,4,4,0,0,0.0,0,4,2,23.1,0.27,+1.1,+0.07,104,282,36.9,292,74,56.5,44.3,163,71.8,53.1,142,8,5.6,9,0.56,13.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,42.1,90,16,0,,21,1.06,25,24,+1,+0.06,+0.43,18.9,23.2,-4.3,-0.27,+0.36,0,0,4,0,0,0,0,0,0,91,0,0,,La-Liga,12,2018-2019
Andrés Fernández,es ESP,GK,Villarreal,31,1986,6,6,540,6.0,7,1.17,22,16,72.7,3,2,1,2,33.3,1,1,0,0,0.0,0,1,0,8.6,0.34,+1.6,+0.26,52,105,49.5,138,18,51.4,42.2,49,69.4,50.3,70,5,7.1,6,1.00,14.9,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,15.8,90,6,0,,32,1.83,9,7,+2,+0.33,+0.49,6.0,8.0,-2.0,-0.33,-0.30,0,0,0,0,0,0,0,0,0,27,0,0,,La-Liga,12,2018-2019
Alberto García,es ESP,GK,Rayo Vallecano,33,1985,17,17,1530,17.0,35,2.06,83,51,59.0,3,4,10,4,23.5,4,1,3,0,75.0,0,5,2,29.6,0.32,-3.4,-0.20,137,279,49.1,408,82,47.8,40.8,124,67.7,50.9,187,11,5.9,9,0.53,14.4,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,44.7,90,17,0,,21,0.76,18,35,-17,-1.00,-0.43,19.9,25.7,-5.8,-0.34,+0.03,0,0,2,0,0,0,0,0,0,99,0,0,,La-Liga,12,2018-2019
Iago Herrerín,es ESP,GK,Athletic Club,30,1988,31,31,2790,31.0,32,1.03,85,56,65.9,12,10,9,10,32.3,3,3,0,0,0.0,0,4,0,27.5,0.30,-4.5,-0.15,352,767,45.9,777,85,73.1,52.6,213,93.4,69.1,299,22,7.4,26,0.84,16.0,0,1,0,0,1,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,90,81.6,90,31,0,,1,1.48,32,32,0,0.00,+0.57,32.1,30.7,+1.4,+0.04,+0.75,0,1,3,0,0,0,0,0,0,142,0,0,,La-Liga,12,2018-2019
Gorka Iraizoz,es ESP,GK,Girona,37,1981,7,6,558,6.2,10,1.61,36,29,77.8,1,0,5,1,16.7,2,2,0,0,0.0,0,1,1,14.2,0.36,+5.2,+0.83,51,126,40.5,164,45,52.4,42.4,65,61.5,46.5,75,7,9.3,2,0.32,11.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,80,16.3,90,6,1,18,27,0.57,4,10,-6,-0.97,-0.65,4.0,10.7,-6.7,-1.08,-0.92,0,1,0,0,0,0,0,0,0,35,0,0,,La-Liga,12,2018-2019
Aleksandar Jovanović,rs SRB,GK,Huesca,25,1992,12,12,1080,12.0,19,1.58,43,27,60.5,1,4,7,0,0.0,2,2,0,0,0.0,1,1,1,15.8,0.33,-2.2,-0.19,79,248,31.9,255,22,68.6,50.0,80,91.3,64.9,91,5,5.5,5,0.42,13.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,31.6,90,12,0,,20,0.58,11,19,-8,-0.67,-0.13,15.6,16.2,-0.6,-0.05,+0.35,0,1,2,0,0,0,0,0,1,41,0,0,,La-Liga,12,2018-2019
Diego López,es ESP,GK,Espanyol,36,1981,38,38,3420,38.0,50,1.32,156,114,71.8,14,11,13,10,26.3,8,6,2,0,25.0,5,8,2,50.0,0.28,+2.0,+0.05,255,602,42.4,874,129,43.2,38.4,329,68.1,50.3,452,30,6.6,6,0.16,12.5,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,38,0,,0,1.39,48,50,-2,-0.05,,48.8,50.8,-2.0,-0.05,,0,0,3,0,0,0,0,0,0,159,0,0,,La-Liga,12,2018-2019
Pau López,es ESP,GK,Betis,23,1994,33,33,2970,33.0,47,1.42,135,91,67.4,12,7,14,10,30.3,4,3,1,0,25.0,2,9,0,44.5,0.30,-2.5,-0.08,145,347,41.8,976,173,24.9,28.9,245,42.4,39.5,258,24,9.3,33,1.00,16.0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,86.8,90,33,0,,5,1.30,40,47,-7,-0.21,-0.01,40.3,40.6,-0.3,-0.01,-0.40,0,1,6,0,0,0,0,0,0,158,0,0,,La-Liga,12,2018-2019
