Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
10.0,Tue,2019-10-29,21:00,Brescia,2.0,1–2,1.0,Inter,16500.0,Stadio Mario Rigamonti,Michael Fabbri,Serie-A,11,2019-2020
10.0,Wed,2019-10-30,19:00,Napoli,2.7,2–2,1.3,Atalanta,30061.0,Stadio San Paolo,Piero Giacomelli,Serie-A,11,2019-2020
10.0,Wed,2019-10-30,21:00,Cagliari,1.4,3–2,1.0,Bologna,16076.0,Sardegna Arena,Juan Sacchi,Serie-A,11,2019-2020
10.0,Wed,2019-10-30,21:00,Udinese,0.8,0–4,3.1,Roma,23854.0,Dacia Arena,Massimiliano Irrati,Serie-A,11,2019-2020
10.0,Wed,2019-10-30,21:00,Lazio,2.5,4–0,0.7,Torino,25000.0,Stadio Olimpico,Daniele Orsato,Serie-A,11,2019-2020
10.0,Wed,2019-10-30,21:00,Sassuolo,1.1,1–2,1.5,Fiorentina,11863.0,Stadio Citt del Tricolore,Maurizio Mariani,Serie-A,11,2019-2020
10.0,Wed,2019-10-30,21:00,Sampdoria,1.9,1–1,1.2,Lecce,18685.0,Stadio Comunale Luigi Ferraris,Davide Massa,Serie-A,11,2019-2020
10.0,Wed,2019-10-30,21:00,Juventus,2.4,2–1,0.4,Genoa,38732.0,Allianz Stadium,Antonio Giua,Serie-A,11,2019-2020
10.0,Thu,2019-10-31,21:00,Milan,1.4,1–0,0.5,SPAL,46475.0,Stadio Giuseppe Meazza,Marco Piccinini,Serie-A,11,2019-2020
11.0,Sat,2019-11-02,15:00,Roma,2.2,2–1,1.7,Napoli,34502.0,Stadio Olimpico,Gianluca Rocchi,Serie-A,11,2019-2020
11.0,Sat,2019-11-02,18:00,Bologna,0.6,1–2,3.0,Inter,28498.0,Stadio Renato Dall'Ara,Federico La Penna,Serie-A,11,2019-2020
11.0,Sat,2019-11-02,20:45,Torino,0.4,0–1,2.1,Juventus,26664.0,Stadio Olimpico di Torino,Daniele Doveri,Serie-A,11,2019-2020
11.0,Sun,2019-11-03,12:30,Atalanta,0.9,0–2,1.1,Cagliari,18617.0,Stadio Atleti Azzurri d'Italia,Rosario Abisso,Serie-A,11,2019-2020
11.0,Sun,2019-11-03,15:00,Lecce,0.6,2–2,1.8,Sassuolo,22087.0,Stadio Comunale Via Del Mare,Riccardo Ros,Serie-A,11,2019-2020
11.0,Sun,2019-11-03,15:00,Genoa,1.2,1–3,1.5,Udinese,20030.0,Stadio Comunale Luigi Ferraris,Fabrizio Pasqua,Serie-A,11,2019-2020
11.0,Sun,2019-11-03,15:00,Hellas Verona,1.2,2–1,1.4,Brescia,16525.0,Stadio Marc'Antonio Bentegodi,Maurizio Mariani,Serie-A,11,2019-2020
11.0,Sun,2019-11-03,18:00,Fiorentina,1.6,1–1,0.6,Parma,32479.0,Stadio Artemio Franchi,Luca Pairetto,Serie-A,11,2019-2020
11.0,Sun,2019-11-03,20:45,Milan,0.9,1–2,1.2,Lazio,41000.0,Stadio Giuseppe Meazza,Giampaolo Calvarese,Serie-A,11,2019-2020
11.0,Mon,2019-11-04,20:45,SPAL,0.7,0–1,0.9,Sampdoria,11617.0,Stadio Paolo Mazza,Daniele Chiffi,Serie-A,11,2019-2020
12.0,Fri,2019-11-08,20:45,Sassuolo,2.3,3–1,0.9,Bologna,13184.0,Stadio Citt del Tricolore,Marco Piccinini,Serie-A,11,2019-2020
