Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Wesley Saïd,fr FRA,"FW,MF",Lens,26,1995,9,4,347,3.9,4,0,4,0,0,2,0,1.04,0.00,1.04,1.04,1.04,3.1,3.1,0.6,3.6,0.79,0.15,0.95,0.79,0.95,17,8,47.1,4.41,2.07,0.24,0.50,13.2,0,0.18,+0.9,+0.9,101,139,72.7,1836,431,47,56,83.9,39,54,72.2,13,20,65.0,-0.6,9,8,4,0,16,136,3,0,23,3,7,0,0,0,0,99,17,23,40,94,3,1,1,1,3,8,6,19,4.93,15,0,2,0,0,3,0.78,1,0,0,2,0,0,3,2,0,3,0,1,33.3,2,18,22.2,5,50,26,0,2,5,0,0,173,0,21,5,100.0,5,0,116,4,5,4,179,144,80.4,25,39,29.7,58,0,5,23,1,2.00,9,4,+5,+1.30,+0.64,9.1,3.6,+5.4,+1.41,+0.86,0,11,0,0,0,17,1,5,16.7,Ligue-1,13,2021-2022
Mamadou Sakho,fr FRA,DF,Montpellier,31,1990,9,9,802,8.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,0,0,,0.00,0.00,,,,0,,0.0,0.0,349,392,89.0,7089,2726,113,121,93.4,167,180,92.8,60,77,77.9,-0.1,1,21,1,0,24,379,13,1,26,3,0,0,0,0,0,293,41,58,289,68,28,2,1,0,8,7,5,2,0.22,2,0,0,0,0,0,0.00,0,0,0,0,0,0,14,8,11,2,1,6,75.0,2,25,46.3,34,17,3,0,1,31,44,0,477,76,0,3,66.7,2,0,261,0,1,3,281,277,98.6,0,89,68.5,89,8,0,,0,1.89,15,10,+5,+0.56,+1.29,12.2,11.0,+1.1,+0.13,+1.14,0,5,0,0,0,93,16,11,59.3,Ligue-1,13,2021-2022
William Saliba,fr FRA,DF,Marseille,20,2001,12,12,1080,12.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.6,1.6,0.08,0.05,0.13,0.08,0.13,9,1,11.1,0.75,0.08,0.00,0.00,10.1,0,0.11,-1.0,-1.0,909,959,94.8,17132,5370,331,341,97.1,488,505,96.6,85,104,81.7,-0.6,4,66,4,1,63,916,43,0,76,21,3,0,0,0,0,856,57,46,48,878,10,16,1,2,5,12,7,12,1.00,11,0,0,0,0,2,0.17,2,0,0,0,0,0,20,14,14,5,1,4,44.4,5,45,48.4,63,27,3,0,12,42,35,0,1076,126,15,18,66.7,12,3,804,3,6,9,855,840,98.2,8,90,92.3,90,12,0,,1,1.83,20,12,+8,+0.67,+0.67,18.2,16.4,+1.8,+0.15,-0.14,0,7,0,0,0,84,15,11,57.7,Ligue-1,13,2021-2022
Romain Salin,fr FRA,GK,Rennes,37,1984,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,29,32,90.6,849,494,7,7,100.0,12,12,100.0,10,13,76.9,0.0,0,1,0,0,0,28,4,0,1,2,0,0,0,0,0,20,4,8,19,5,0,0,8,0,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,34,25,0,1,100.0,1,0,27,0,0,0,20,20,100.0,0,90,7.7,90,1,0,,12,0.00,0,2,-2,-2.00,-3.00,1.0,0.5,+0.5,+0.54,+0.21,0,0,0,0,0,8,0,0,,Ligue-1,13,2021-2022
Yoann Salmier,gf GUF,DF,Troyes,28,1992,10,10,885,9.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,3,0,0.0,0.31,0.00,0.00,,16.9,0,0.03,-0.1,-0.1,316,356,88.8,6782,2360,107,112,95.5,148,160,92.5,54,72,75.0,-0.1,1,16,1,0,21,325,31,2,38,11,0,0,0,0,0,274,26,56,81,247,14,8,1,0,5,9,6,5,0.51,4,0,0,0,1,0,0.00,0,0,0,0,0,0,17,9,11,5,1,7,70.0,3,31,34.4,56,32,2,0,7,42,39,0,456,54,3,4,50.0,2,1,267,0,4,2,261,258,98.9,1,89,75.6,89,7,0,,0,1.20,10,15,-5,-0.51,+0.44,10.1,15.6,-5.5,-0.56,-0.20,0,10,0,1,0,62,16,12,57.1,Ligue-1,13,2021-2022
Mama Samba Baldé,gw GNB,"FW,MF",Troyes,26,1995,12,9,722,8.0,3,1,3,0,0,0,0,0.37,0.12,0.50,0.37,0.50,3.1,3.1,1.0,4.0,0.38,0.12,0.50,0.38,0.50,19,11,57.9,2.37,1.37,0.16,0.27,13.7,0,0.16,-0.1,-0.1,125,170,73.5,1991,471,70,85,82.4,37,53,69.8,13,16,81.3,0.0,9,9,6,0,18,166,4,1,51,5,4,0,0,0,0,126,27,17,37,114,6,2,2,0,6,8,13,21,2.62,15,0,3,0,1,2,0.25,1,0,0,1,0,0,22,10,9,7,6,2,20.0,8,42,23.2,37,103,41,0,12,31,2,0,319,4,39,42,40.5,22,2,228,3,29,21,317,208,65.6,54,60,61.7,70,1,3,29,0,1.00,10,15,-5,-0.62,-0.02,9.2,13.9,-4.7,-0.58,-0.19,0,14,0,0,0,50,10,23,30.3,Ligue-1,13,2021-2022
Junior Sambia,fr FRA,DF,Montpellier,25,1996,11,8,691,7.7,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.4,0.02,0.03,0.06,0.02,0.06,8,4,50.0,1.04,0.52,0.00,0.00,25.8,1,0.02,-0.2,-0.2,281,358,78.5,4888,2190,153,168,91.1,94,118,79.7,28,56,50.0,-0.3,5,22,8,5,28,264,94,0,39,12,20,0,0,0,0,183,92,83,48,208,8,91,0,1,6,18,7,14,1.82,7,0,3,2,0,2,0.26,1,0,0,1,0,0,11,4,7,3,1,2,25.0,6,21,25.3,34,28,21,0,17,28,12,0,467,35,8,38,55.3,22,2,274,3,12,9,281,256,91.1,14,63,59.1,79,3,3,19,1,1.36,12,14,-2,-0.26,-1.01,8.4,12.2,-3.8,-0.49,-0.63,1,7,0,0,0,52,6,4,60.0,Ligue-1,13,2021-2022
Renato Sanches,pt POR,MF,Lille,24,1997,6,4,342,3.8,0,1,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,0.1,0.1,0.8,0.9,0.03,0.20,0.23,0.03,0.23,4,1,25.0,1.05,0.26,0.00,0.00,25.6,1,0.03,-0.1,-0.1,191,239,79.9,4386,1524,72,77,93.5,67,87,77.0,50,65,76.9,+0.2,8,38,8,1,40,226,13,0,37,14,10,7,1,2,0,164,29,46,25,208,1,1,0,1,11,6,6,21,5.53,17,1,3,0,0,3,0.79,2,1,0,0,0,0,11,10,4,6,1,3,33.3,6,23,41.1,15,32,9,0,1,15,0,0,275,1,8,16,68.8,12,0,228,5,7,6,226,206,91.2,9,57,27.1,78,2,2,15,0,1.00,6,6,0,0.00,+0.29,6.4,4.7,+1.7,+0.44,+0.08,0,5,0,0,0,37,4,1,80.0,Ligue-1,13,2021-2022
Philippe Sandler,nl NED,DF,Troyes,24,1997,2,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,20,27,74.1,316,205,13,14,92.9,6,8,75.0,1,5,20.0,0.0,0,2,0,0,0,26,1,0,3,0,0,0,0,0,0,17,4,6,1,23,2,1,0,0,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,0,0.0,1,3,42.9,5,2,0,0,2,2,5,0,37,11,0,0,,0,0,19,0,0,0,22,22,100.0,0,35,6.0,57,0,1,13,0,0.50,1,2,-1,-1.29,-0.71,0.5,1.8,-1.3,-1.68,-1.25,0,0,0,0,0,3,3,0,100.0,Ligue-1,13,2021-2022
Baptiste Santamaria,fr FRA,MF,Rennes,26,1995,10,6,566,6.3,0,1,0,0,0,3,0,0.00,0.16,0.16,0.00,0.16,0.2,0.2,0.3,0.4,0.03,0.04,0.07,0.03,0.07,5,1,20.0,0.80,0.16,0.00,0.00,17.9,0,0.04,-0.2,-0.2,256,304,84.2,5200,1121,98,116,84.5,112,120,93.3,42,56,75.0,+0.7,7,19,5,1,22,301,3,0,50,9,4,0,0,0,0,225,31,48,24,254,14,1,2,0,7,7,8,14,2.23,14,0,0,0,0,1,0.16,1,0,0,0,0,0,11,4,5,5,1,4,57.1,3,25,22.7,37,58,15,0,4,21,12,0,357,16,5,5,60.0,3,0,233,0,4,3,264,248,93.9,5,57,48.4,83,4,4,18,1,1.70,7,10,-3,-0.48,-2.41,9.9,8.1,+1.8,+0.29,-0.09,0,12,0,0,0,59,14,8,63.6,Ligue-1,13,2021-2022
