Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
de Leverkusen,21,27,46.4,5,55,450,5.0,4,2,2,2,2,5,1,0.8,0.4,1.2,0.4,0.8,6.7,5.2,3.5,8.7,1.34,0.71,2.05,1.04,1.74,61,22,36.1,12.2,4.4,0.03,0.09,19.4,3,0.09,-2.7,-3.2,2066,2510,82.3,38381,12603,850,945,89.9,934,1077,86.7,246,398,61.8,-1.5,41,123,24,6,132,2246,264,1,407,39,53,22,3,11,0,1856,298,356,706,1556,67,106,36,6,35,88,51,92,18.4,68,9,2,6,2,7,1.4,5,1,0,0,1,0,79,49,35,33,11,33,39.3,51,201,27.1,238,331,173,1,52,157,93,2,3130,396,89,71,57.7,46,8,2048,15,74,65,2436,2066,84.8,132,90,100,81,33,21,23,32,2.6,4,14,-10,-2.0,6.7,10.6,-3.9,-0.79,0,36,1,1,0,375,53,61,46.5,Europa-League,19,2021-2022
ru Loko Moscow,25,27,58.8,5,55,450,5.0,8,4,5,3,3,16,0,1.6,0.8,2.4,1.0,1.8,10.5,8.2,7.4,15.5,2.09,1.47,3.56,1.64,3.11,76,22,28.9,15.2,4.4,0.07,0.23,15.9,0,0.11,-2.5,-3.2,2447,2913,84.0,43980,14222,1109,1223,90.7,969,1100,88.1,308,458,67.2,-3.4,63,160,45,11,164,2644,269,6,422,68,75,33,11,18,0,2120,358,435,896,1740,96,104,24,7,34,92,75,129,25.8,81,23,8,8,3,14,2.8,8,1,2,0,3,0,112,69,50,49,13,39,39.8,59,238,37.5,190,292,152,0,46,178,67,0,3476,312,157,101,64.4,68,3,2238,34,58,70,2805,2447,87.2,164,90,100,82,32,23,20,37,0.4,8,2,6,1.2,10.5,3.9,6.6,1.31,0,60,3,0,0,413,75,55,57.7,Europa-League,19,2021-2022
bg Ludogorets,22,27,49.4,5,55,450,5.0,8,5,8,0,0,13,0,1.6,1.0,2.6,1.6,2.6,8.5,8.5,6.8,15.3,1.7,1.37,3.07,1.7,3.07,89,27,30.3,17.8,5.4,0.09,0.3,17.3,2,0.1,-0.5,-0.5,1881,2386,78.8,39364,13538,655,756,86.6,875,1025,85.4,321,522,61.5,-1.8,69,169,52,14,198,2141,245,2,280,84,63,37,19,12,1,1529,320,537,627,1439,119,107,29,4,48,62,49,138,27.6,111,12,6,5,2,13,2.6,12,0,0,0,0,1,104,65,49,43,12,29,50.9,28,212,32.5,182,292,178,0,39,191,81,1,2968,244,153,79,59.5,51,6,1896,25,69,63,2245,1881,83.8,198,90,100,83,34,22,18,30,0.2,8,3,5,1.0,8.5,2.9,5.6,1.13,0,66,0,0,0,447,78,75,51.0,Europa-League,19,2021-2022
fr Lyon,24,26,39.0,5,55,450,5.0,4,2,4,0,0,9,0,0.8,0.4,1.2,0.8,1.2,4.0,4.0,2.0,6.0,0.8,0.39,1.19,0.8,1.19,49,12,24.5,9.8,2.4,0.08,0.33,17.5,3,0.09,0.0,0.0,1599,2088,76.6,31114,11619,669,772,86.7,650,784,82.9,241,430,56.0,0.0,30,102,31,12,114,1859,229,4,365,62,62,15,6,6,0,1295,331,462,494,1311,89,108,44,8,34,80,55,70,14.0,50,5,3,7,2,6,1.2,3,1,1,1,0,0,96,63,41,48,7,40,37.0,68,250,25.5,286,509,187,1,50,183,50,1,2637,316,92,71,62.0,47,3,1578,19,78,58,1909,1599,83.8,114,90,100,81,34,21,23,37,3.0,4,15,-11,-2.2,4.0,11.3,-7.3,-1.46,0,51,0,0,1,418,50,70,41.7,Europa-League,19,2021-2022
fr Marseille,19,27,35.6,5,55,450,5.0,6,3,6,0,0,12,1,1.2,0.6,1.8,1.2,1.8,4.8,4.8,2.6,7.4,0.96,0.52,1.48,0.96,1.48,34,14,41.2,6.8,2.8,0.18,0.43,16.7,0,0.15,1.2,1.2,1590,1995,79.7,30723,11253,653,744,87.8,667,792,84.2,232,368,63.0,0.4,21,108,18,1,120,1778,217,7,229,43,28,10,4,3,1,1397,249,349,542,1220,80,86,32,18,34,71,40,44,8.8,29,4,6,2,0,8,1.6,3,1,2,1,1,0,101,57,65,27,9,34,40.0,51,215,24.1,307,409,176,2,79,154,90,2,2601,401,72,79,50.6,48,5,1429,18,75,41,1933,1590,82.3,120,90,100,79,29,25,23,35,0.8,7,5,2,0.4,4.8,8.3,-3.5,-0.7,1,65,0,2,0,346,36,49,42.4,Europa-League,19,2021-2022
dk Midtjylland,20,28,50.0,5,55,450,5.0,7,5,6,1,2,16,2,1.4,1.0,2.4,1.2,2.2,5.3,3.7,2.6,6.3,1.05,0.52,1.57,0.75,1.27,53,14,26.4,10.6,2.8,0.11,0.43,21.2,0,0.07,1.7,2.3,1701,2232,76.2,36236,12104,569,664,85.7,786,940,83.6,317,548,57.8,2.4,44,102,27,6,120,1969,263,6,263,53,34,13,5,6,2,1416,294,522,594,1313,100,102,50,11,46,62,52,86,17.2,63,9,4,5,0,10,2.0,6,0,0,3,1,0,107,59,57,41,9,39,39.4,60,239,34.2,278,293,127,1,40,175,106,2,2814,429,73,53,54.7,32,2,1575,12,76,41,2108,1701,80.7,120,90,100,79,31,22,24,33,1.6,7,7,0,0.0,5.3,8.4,-3.1,-0.63,1,55,2,2,1,405,99,96,50.8,Europa-League,19,2021-2022
fr Monaco,23,25,50.0,5,55,450,5.0,3,3,3,0,0,9,0,0.6,0.6,1.2,0.6,1.2,4.0,4.0,3.5,7.5,0.8,0.69,1.49,0.8,1.49,58,11,19.0,11.6,2.2,0.05,0.27,18.6,4,0.07,-1.0,-1.0,1998,2538,78.7,38873,12464,768,897,85.6,901,1053,85.6,286,479,59.7,-0.5,43,134,34,8,170,2290,248,3,295,71,47,23,5,12,2,1681,375,482,844,1347,138,124,34,9,49,92,61,91,18.2,57,14,10,7,2,5,1.0,4,1,0,0,0,0,83,52,33,38,12,23,31.1,51,234,32.5,199,361,160,2,56,158,86,0,3141,278,99,100,52.0,60,3,2072,16,80,83,2346,1998,85.2,170,90,100,81,35,20,24,34,2.2,3,6,-3,-0.6,4.0,6.2,-2.2,-0.43,0,59,0,0,0,488,69,94,42.3,Europa-League,19,2021-2022
it Napoli,23,26,37.6,5,55,450,5.0,8,4,7,1,1,20,2,1.6,0.8,2.4,1.4,2.2,5.6,4.8,4.1,8.9,1.11,0.81,1.92,0.96,1.77,48,11,22.9,9.6,2.2,0.15,0.64,17.2,1,0.1,2.4,2.2,1490,1890,78.8,28626,9936,630,712,88.5,631,725,87.0,201,374,53.7,-0.1,38,90,29,10,118,1650,240,2,328,54,41,16,3,10,1,1265,256,369,541,1141,55,89,26,11,55,60,46,85,17.0,57,11,6,4,4,16,3.2,12,1,1,0,1,1,86,46,46,32,8,27,34.2,52,187,22.7,310,380,135,0,63,156,110,1,2479,408,89,73,50.7,40,5,1421,13,59,52,1736,1490,85.8,118,90,100,83,35,18,20,34,1.4,8,12,-4,-0.8,5.6,13.2,-7.7,-1.53,2,65,1,2,0,296,60,64,48.4,Europa-League,19,2021-2022
gr Olympiacos,20,27,51.2,5,55,450,5.0,6,5,5,1,1,11,1,1.2,1.0,2.2,1.0,2.0,7.7,7.0,5.0,12.0,1.55,1.0,2.54,1.4,2.39,62,12,19.4,12.4,2.4,0.08,0.42,17.0,2,0.11,-1.7,-2.0,1959,2443,80.2,39734,12919,694,796,87.2,961,1108,86.7,283,481,58.8,0.0,47,145,40,14,183,2201,242,1,259,76,59,27,9,10,2,1651,317,475,631,1523,96,108,31,4,47,73,46,95,19.0,71,8,4,4,5,9,1.8,6,0,1,1,1,0,75,43,29,34,12,25,34.7,47,225,30.0,210,357,183,0,55,159,99,0,2978,291,112,64,54.7,39,1,1907,11,55,61,2309,1959,84.8,183,90,100,83,32,22,17,26,1.8,6,8,-2,-0.4,7.7,6.5,1.3,0.26,1,72,1,1,0,378,80,89,47.3,Europa-League,19,2021-2022
nl PSV Eindhoven,23,25,42.6,5,55,450,5.0,5,5,5,0,0,11,0,1.0,1.0,2.0,1.0,2.0,4.3,4.3,3.2,7.5,0.86,0.64,1.5,0.86,1.5,40,15,37.5,8.0,3.0,0.13,0.33,18.1,0,0.11,0.7,0.7,1672,2198,76.1,32660,11703,656,793,82.7,748,894,83.7,232,416,55.8,1.8,30,96,25,6,116,1952,246,6,319,51,32,12,4,4,2,1388,301,509,654,1210,123,100,50,6,47,84,58,58,11.6,44,7,2,3,2,10,2.0,9,1,0,0,0,0,107,61,56,38,13,40,37.4,67,279,28.6,388,440,147,0,57,209,125,2,2818,423,68,75,61.3,55,2,1534,9,75,48,2114,1672,79.1,116,90,100,79,31,24,25,34,1.6,5,9,-4,-0.8,4.3,8.1,-3.8,-0.76,0,66,0,1,0,402,86,67,56.2,Europa-League,19,2021-2022
sct Rangers,19,26,49.4,5,55,450,5.0,2,2,2,0,0,7,0,0.4,0.4,0.8,0.4,0.8,4.6,4.6,3.5,8.1,0.92,0.71,1.63,0.92,1.63,38,11,28.9,7.6,2.2,0.05,0.18,14.9,2,0.13,-2.6,-2.6,2123,2654,80.0,43397,13350,772,885,87.2,938,1090,86.1,367,571,64.3,-1.5,24,125,34,12,137,2408,246,5,451,104,53,22,8,9,0,1794,359,501,708,1628,100,117,48,9,65,72,73,59,11.8,37,4,3,3,6,4,0.8,1,1,1,0,0,1,81,56,38,38,5,26,32.9,53,244,31.1,263,366,155,0,55,157,104,1,3231,379,89,89,51.7,53,6,2037,15,74,56,2477,2123,85.7,137,90,100,83,37,18,22,39,1.4,4,5,-1,-0.2,4.6,6.6,-2.0,-0.4,0,45,0,0,0,427,83,80,50.9,Europa-League,19,2021-2022
at Rapid Wien,23,26,57.4,5,55,450,5.0,9,8,8,1,1,8,0,1.8,1.6,3.4,1.6,3.2,9.5,8.8,7.0,15.8,1.91,1.4,3.31,1.75,3.15,55,15,27.3,11.0,3.0,0.15,0.53,13.7,1,0.17,-0.5,-0.8,2379,2897,82.1,46466,14907,949,1037,91.5,1053,1199,87.8,343,546,62.8,1.0,45,154,35,8,161,2633,264,5,464,85,55,26,8,8,3,2004,384,509,697,1905,88,115,34,14,46,61,74,95,19.0,62,12,8,5,2,17,3.4,13,1,1,0,2,0,78,50,35,32,11,20,33.9,39,187,32.2,148,298,134,0,55,160,76,0,3498,298,126,120,65.0,83,7,2333,17,77,75,2762,2379,86.1,161,90,100,82,35,20,23,40,0.6,9,3,6,1.2,9.5,3.6,5.9,1.18,0,53,1,0,0,455,78,58,57.4,Europa-League,19,2021-2022
es Real Sociedad,24,25,40.0,5,55,450,5.0,6,5,6,0,0,14,2,1.2,1.0,2.2,1.2,2.2,5.7,5.7,3.8,9.5,1.13,0.76,1.89,1.13,1.89,46,17,37.0,9.2,3.4,0.13,0.35,17.6,1,0.12,0.3,0.3,1396,1955,71.4,27117,9670,564,664,84.9,572,726,78.8,217,483,44.9,1.2,30,95,30,5,127,1702,253,4,365,46,55,19,5,11,0,1117,305,533,616,1022,95,119,32,14,47,60,35,66,13.2,45,7,7,3,2,8,1.6,4,2,2,0,0,0,112,70,62,42,8,38,31.7,82,257,31.8,313,331,164,3,85,185,97,3,2569,377,91,68,55.9,40,1,1467,15,78,45,1698,1396,82.2,127,90,100,82,31,22,20,35,1.2,6,6,0,0.0,5.7,7.8,-2.1,-0.42,1,65,0,0,0,437,95,118,44.6,Europa-League,19,2021-2022
rs Red Star,23,26,56.8,5,55,450,5.0,2,1,2,0,0,9,1,0.4,0.2,0.6,0.4,0.6,5.3,5.3,3.6,8.9,1.06,0.72,1.79,1.06,1.79,74,15,20.3,14.8,3.0,0.03,0.13,19.3,4,0.07,-3.3,-3.3,2018,2506,80.5,41857,13427,691,777,88.9,949,1097,86.5,355,571,62.2,-2.6,52,134,32,4,147,2229,277,2,248,96,49,24,9,11,1,1676,320,510,490,1697,104,113,46,4,49,83,34,111,22.2,84,10,2,7,2,3,0.6,1,0,0,1,1,0,61,40,23,28,10,16,30.2,37,183,29.1,199,296,134,0,47,117,106,0,3068,341,122,55,58.2,39,5,1837,25,81,62,2367,2018,85.3,147,90,100,84,33,21,14,36,2.0,3,5,-2,-0.4,5.3,5.1,0.2,0.04,1,73,0,1,0,420,82,99,45.3,Europa-League,19,2021-2022
cz Sparta Prague,22,27,53.8,5,55,450,5.0,9,6,9,0,0,15,2,1.8,1.2,3.0,1.8,3.0,8.3,8.3,6.9,15.2,1.66,1.38,3.04,1.66,3.04,52,24,46.2,10.4,4.8,0.17,0.38,15.0,0,0.16,0.7,0.7,2117,2674,79.2,41692,13879,814,939,86.7,957,1104,86.7,315,541,58.2,-0.9,44,142,28,8,160,2441,233,8,317,67,53,18,8,8,0,1818,323,533,700,1638,117,112,45,13,57,85,54,88,17.6,66,6,7,1,3,17,3.4,14,0,2,0,0,1,94,58,48,37,9,34,40.5,50,282,37.5,266,308,179,0,69,165,101,0,3250,401,91,94,55.3,59,14,2211,16,69,56,2514,2117,84.2,160,90,100,82,32,21,20,34,0.8,9,4,5,1.0,8.3,5.3,3.1,0.61,2,51,0,0,0,457,85,78,52.1,Europa-League,19,2021-2022
ru Spartak Moscow,20,27,60.0,5,55,450,5.0,9,7,9,0,1,12,1,1.8,1.4,3.2,1.8,3.2,11.3,10.5,7.9,18.4,2.26,1.57,3.83,2.11,3.68,69,21,30.4,13.8,4.2,0.13,0.43,15.1,1,0.15,-2.3,-1.5,2584,3061,84.4,48069,15059,1100,1213,90.7,1133,1284,88.2,310,468,66.2,-0.9,53,197,48,13,191,2794,267,10,332,62,69,31,17,10,0,2243,367,451,963,1802,99,111,31,11,32,71,67,118,23.6,90,9,7,5,0,18,3.6,16,1,1,0,0,0,98,54,56,30,12,23,37.1,39,241,32.9,311,277,145,0,50,166,81,0,3658,305,141,79,63.3,52,2,2421,20,69,53,2889,2584,89.4,191,90,100,82,36,18,22,39,1.4,9,9,0,0.0,11.3,6.6,4.7,0.94,0,48,1,1,0,414,70,75,48.3,Europa-League,19,2021-2022
at Sturm Graz,20,26,67.0,5,55,450,5.0,9,8,8,1,1,11,1,1.8,1.6,3.4,1.6,3.2,10.8,10.0,7.7,17.7,2.16,1.54,3.7,2.01,3.55,94,25,26.6,18.8,5.0,0.09,0.32,14.6,2,0.11,-1.8,-2.0,2829,3381,83.7,55957,16486,1124,1242,90.5,1157,1321,87.6,482,680,70.9,0.3,72,172,71,12,231,3074,307,2,474,119,73,40,14,20,0,2379,424,578,1200,1821,108,145,30,5,62,70,81,150,30.0,96,23,11,5,2,12,2.4,8,1,0,2,1,0,63,45,25,30,8,19,41.3,27,201,40.8,145,232,116,0,37,134,75,0,3952,344,199,106,64.2,72,6,2757,30,68,69,3206,2829,88.2,231,90,100,80,31,23,25,30,0.2,9,2,7,1.4,10.8,2.7,8.0,1.61,1,52,1,0,0,486,97,68,58.8,Europa-League,19,2021-2022
eng West Ham,23,25,45.6,5,55,450,5.0,1,1,1,0,0,7,0,0.2,0.2,0.4,0.2,0.4,4.1,4.1,3.3,7.4,0.81,0.66,1.47,0.81,1.47,55,11,20.0,11.0,2.2,0.02,0.09,20.3,2,0.07,-3.1,-3.1,2086,2502,83.4,39340,12278,870,960,90.6,916,1035,88.5,263,427,61.6,-2.3,40,100,26,8,120,2297,205,3,217,55,42,14,5,5,1,1819,303,380,669,1618,69,87,28,4,38,73,43,91,18.2,74,3,5,4,2,2,0.4,2,0,0,0,0,0,102,52,53,41,8,34,35.1,63,212,22.3,381,413,158,1,67,172,89,2,3063,405,71,92,66.3,65,6,2082,14,57,55,2400,2086,86.9,120,90,100,83,32,23,18,33,2.6,2,11,-9,-1.8,4.1,10.1,-6.0,-1.2,0,42,0,1,0,361,47,61,43.5,Europa-League,19,2021-2022
