Round,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,League Name,League ID,Season
Semi-finals,Tue,2019-06-25,15:00,Tre Penne sm,,0–1,,ad Santa Coloma,35,Stadiumi Fadil Vokrri (Neutral Site),Ian McNabb,Match Report,,Champions-League,8,2019-2020
Semi-finals,Tue,2019-06-25,20:45,Feronikeli al,,1–0,,gi Red Imps,3000,Stadiumi Fadil Vokrri (Neutral Site),Fedayi San,Match Report,,Champions-League,8,2019-2020
,,,,,,,,,,,,,,Champions-League,8,2019-2020
Final,Fri,2019-06-28,20:45,Feronikeli al,,2–1,,ad Santa Coloma,1900,Stadiumi Fadil Vokrri (Neutral Site),Emmanouil Skoulas,Match Report,,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-09,19:00,Astana FK kz,,1–0,,ro CFR Cluj,18587,Astana Arena,Lawrence Visser,Match Report,Leg 1 of 2,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-09,18:00,Ararat-Armenia am,,2–1,,se AIK Stockholm,1497,Armenia Football Academy,Duje Strukan,Match Report,Leg 1 of 2,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-09,19:00,HJK fi,,3–0,,fo HB,4719,Telia 5G -areena,Giorgi Kruashvili,Match Report,Leg 1 of 2,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-09,19:00,Nõmme Kalju ee,,0–1,,mk Shkëndija 79,1640,Kadrioru staadion,Donald Robertson,Match Report,Leg 1 of 2,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-09,19:45,Sarajevo ba,,1–3,,sct Celtic,24723,Olimpijski Stadion Asim FerhatoviÄ Hase,Glenn Nyberg,Match Report,Leg 1 of 2,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-09,19:00,The New Saints wls,,2–2,,al Feronikeli,1140,Park Hall Stadium,Trustin Farrugia Cann,Match Report,Leg 1 of 2,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-09,20:00,F91 Dudelange lu,,2–2,,mt Valletta,1152,Stade Josy Barthel,Arnold Hunter,Match Report,Leg 1 of 2,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-09,21:00,Sūduva lt,,0–0,,rs Red Star,3200,ARVI futbolo arena,JÃ¸rgen Burchardt,Match Report,Leg 1 of 2,Champions-League,8,2019-2020
First qualifying round,Wed,2019-07-10,17:30,Partizani Tirana al,,0–0,,az Qarabağ Ağdam,2120,Stadiumi Selman StÃ«rmasi,Ãorvaldur Ãrnason,Match Report,Leg 1 of 2,Champions-League,8,2019-2020
First qualifying round,Wed,2019-07-10,20:00,Sheriff Tiraspol md,,0–3,,ge Saburtalo,5706,Bolshaya Sportivnaya Arena,Iwan Griffiths,Match Report,Leg 1 of 2,Champions-League,8,2019-2020
