Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ajaccio,26,26,52.8,14,154,1260,14.0,7,5,5,2,3,27,4,0.5,0.36,0.86,0.36,0.71,109,35,32.1,7.79,2.5,0.05,0.14,,90,100,83,96,56,19,41,1.79,8,16,-8,-0.57,0,177,216,30,247,180,116,,,0,Ligue-2,60,2021-2022
Amiens,27,26,52.1,14,154,1260,14.0,16,12,15,1,1,32,3,1.14,0.86,2.0,1.07,1.93,180,57,31.7,12.86,4.07,0.08,0.26,,90,100,83,100,51,18,45,0.93,16,14,2,0.14,1,202,160,21,304,157,138,,,0,Ligue-2,60,2021-2022
Auxerre,20,26,43.5,14,154,1260,14.0,14,9,13,1,1,19,0,1.0,0.64,1.64,0.93,1.57,152,51,33.6,10.86,3.64,0.09,0.25,,90,100,82,95,59,20,38,1.86,14,21,-7,-0.5,0,157,167,48,218,185,131,,,1,Ligue-2,60,2021-2022
Bastia,21,26,49.2,14,154,1260,14.0,13,7,10,3,3,26,0,0.93,0.5,1.43,0.71,1.21,137,46,33.6,9.79,3.29,0.07,0.22,,90,100,83,105,49,21,47,0.86,14,9,5,0.36,0,162,168,18,188,174,135,,,0,Ligue-2,60,2021-2022
Caen,26,26,50.4,14,154,1260,14.0,15,12,14,1,1,27,1,1.07,0.86,1.93,1.0,1.86,155,59,38.1,11.07,4.21,0.09,0.24,,90,100,83,94,59,18,38,1.14,16,16,0,0.0,1,186,176,35,225,164,149,,,1,Ligue-2,60,2021-2022
Dijon,24,26,47.6,14,154,1260,14.0,19,10,16,3,3,29,1,1.36,0.71,2.07,1.14,1.86,157,54,34.4,11.21,3.86,0.1,0.3,,90,100,84,99,54,18,43,1.14,20,14,6,0.43,1,207,182,31,227,168,145,,,0,Ligue-2,60,2021-2022
Dunkerque,26,26,53.7,14,154,1260,14.0,16,12,15,1,1,22,2,1.14,0.86,2.0,1.07,1.93,161,61,37.9,11.5,4.36,0.09,0.25,,90,100,84,105,47,18,50,1.14,17,14,3,0.21,1,240,205,36,259,133,103,,,0,Ligue-2,60,2021-2022
Grenoble,28,26,52.9,14,154,1260,14.0,17,10,16,1,1,26,1,1.21,0.71,1.93,1.14,1.86,191,59,30.9,13.64,4.21,0.08,0.27,,90,100,83,101,52,19,45,1.29,18,14,4,0.29,1,180,140,24,271,160,147,,,0,Ligue-2,60,2021-2022
Guingamp,24,26,47.6,14,154,1260,14.0,17,12,14,3,3,27,1,1.21,0.86,2.07,1.0,1.86,146,50,34.2,10.43,3.57,0.1,0.28,,90,100,82,97,56,21,42,1.29,17,16,1,0.07,0,204,195,26,263,170,168,,,0,Ligue-2,60,2021-2022
Le Havre,25,26,56.1,14,154,1260,14.0,8,6,7,1,1,28,1,0.57,0.43,1.0,0.5,0.93,154,49,31.8,11.0,3.5,0.05,0.14,,90,100,84,102,51,18,46,1.71,8,14,-6,-0.43,1,207,157,40,309,151,157,,,1,Ligue-2,60,2021-2022
