Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ajaccio,26,26,52.4,16,176,1440,16.0,7,5,5,2,3,32,4,0.44,0.31,0.75,0.31,0.62,122,39,32.0,7.62,2.44,0.04,0.13,,90,100,83,112,62,20,49,1.94,8,18,-10,-0.62,0,212,247,33,281,201,135,,,0,Ligue-2,60,2021-2022
Amiens,28,26,51.1,16,176,1440,16.0,17,12,16,1,1,36,3,1.06,0.75,1.81,1.0,1.75,193,61,31.6,12.06,3.81,0.08,0.26,,90,100,84,117,56,17,54,0.94,17,15,2,0.12,1,240,187,24,332,188,153,,,0,Ligue-2,60,2021-2022
Auxerre,20,26,42.8,16,176,1440,16.0,18,11,17,1,1,21,1,1.13,0.69,1.81,1.06,1.75,179,63,35.2,11.19,3.94,0.09,0.27,,90,100,83,110,65,19,47,1.81,18,26,-8,-0.5,0,177,194,54,244,215,150,,,1,Ligue-2,60,2021-2022
Bastia,21,26,50.1,16,176,1440,16.0,14,8,11,3,4,30,0,0.87,0.5,1.37,0.69,1.19,162,52,32.1,10.13,3.25,0.07,0.21,,90,100,83,117,59,22,51,1.13,16,14,2,0.12,0,186,193,19,247,186,152,,,0,Ligue-2,60,2021-2022
Caen,27,26,51.2,16,176,1440,16.0,16,13,15,1,1,31,1,1.0,0.81,1.81,0.94,1.75,172,66,38.4,10.75,4.12,0.09,0.23,,90,100,83,108,67,17,44,1.06,17,16,1,0.06,1,219,213,37,242,199,167,,,1,Ligue-2,60,2021-2022
Dijon,25,27,48.9,16,176,1440,16.0,21,12,18,3,3,37,1,1.31,0.75,2.06,1.13,1.87,184,67,36.4,11.5,4.19,0.1,0.27,,90,100,84,115,60,17,51,1.19,22,17,5,0.31,1,236,210,34,265,195,162,,,0,Ligue-2,60,2021-2022
Dunkerque,26,26,54.1,16,176,1440,16.0,18,14,17,1,1,27,2,1.13,0.87,2.0,1.06,1.94,181,71,39.2,11.31,4.44,0.09,0.24,,90,100,84,119,55,17,56,1.0,19,14,5,0.31,1,282,230,44,298,153,121,,,0,Ligue-2,60,2021-2022
Grenoble,29,26,51.3,16,176,1440,16.0,18,11,17,1,1,30,2,1.13,0.69,1.81,1.06,1.75,206,64,31.1,12.87,4.0,0.08,0.27,,90,100,83,112,62,18,49,1.31,19,15,4,0.25,2,204,181,27,300,183,163,,,0,Ligue-2,60,2021-2022
Guingamp,25,26,45.8,16,176,1440,16.0,22,17,19,3,3,33,1,1.37,1.06,2.44,1.19,2.25,164,57,34.8,10.25,3.56,0.12,0.33,,90,100,83,113,62,20,50,1.13,22,18,4,0.25,0,236,218,32,282,185,189,,,1,Ligue-2,60,2021-2022
Le Havre,26,26,55.5,16,176,1440,16.0,9,6,7,2,2,32,1,0.56,0.37,0.94,0.44,0.81,170,56,32.9,10.62,3.5,0.04,0.13,,90,100,83,115,60,19,51,1.63,9,15,-6,-0.37,1,231,180,47,337,186,187,,,1,Ligue-2,60,2021-2022
Nancy,27,27,45.6,16,176,1440,16.0,25,21,24,1,2,31,3,1.56,1.31,2.87,1.5,2.81,185,77,41.6,11.56,4.81,0.13,0.31,,90,100,83,111,62,18,50,0.75,26,12,14,0.87,1,264,237,31,240,188,174,,,1,Ligue-2,60,2021-2022
Nîmes,21,27,46.9,16,176,1440,16.0,20,15,20,0,0,26,1,1.25,0.94,2.19,1.25,2.19,206,62,30.1,12.87,3.87,0.1,0.32,,90,100,83,113,63,19,48,1.25,20,19,1,0.06,0,215,204,16,269,200,181,,,0,Ligue-2,60,2021-2022
Niort,23,26,53.4,16,176,1440,16.0,17,13,16,1,2,32,1,1.06,0.81,1.87,1.0,1.81,174,56,32.2,10.87,3.5,0.09,0.29,,90,100,84,119,56,20,56,1.31,18,16,2,0.12,0,232,184,29,335,154,175,,,1,Ligue-2,60,2021-2022
