Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ajaccio,26,28,49.1,17,187,1530,17.0,18,14,18,0,0,46,1,1.06,0.82,1.88,1.06,1.88,177,58,32.8,10.41,3.41,0.1,0.31,,90,100,83,117,69,17,47,1.88,18,8,10,0.59,1,272,214,32,277,189,168,,,1,Ligue-2,60,2021-2022
Amiens,28,25,49.2,17,187,1530,17.0,18,11,15,3,3,33,3,1.06,0.65,1.71,0.88,1.53,161,49,30.4,9.47,2.88,0.09,0.31,,90,100,82,108,76,18,42,1.06,18,17,1,0.06,2,213,236,25,275,236,179,,,0,Ligue-2,60,2021-2022
Auxerre,21,28,57.2,17,187,1530,17.0,26,20,23,3,3,24,3,1.53,1.18,2.71,1.35,2.53,196,83,42.3,11.53,4.88,0.12,0.28,,90,100,86,137,47,15,72,1.76,28,20,8,0.47,0,209,175,32,318,192,177,,,0,Ligue-2,60,2021-2022
Bastia,21,28,49.5,17,187,1530,17.0,14,12,13,1,1,32,1,0.82,0.71,1.53,0.76,1.47,153,53,34.6,9.0,3.12,0.08,0.25,,90,100,83,125,62,21,55,1.06,14,17,-3,-0.18,0,210,186,45,294,209,171,,,2,Ligue-2,60,2021-2022
Caen,27,26,48.5,17,187,1530,17.0,17,12,15,2,2,22,3,1.0,0.71,1.71,0.88,1.59,189,57,30.2,11.12,3.35,0.08,0.26,,90,100,82,126,59,23,61,1.06,18,19,-1,-0.06,1,230,218,24,285,218,164,,,2,Ligue-2,60,2021-2022
Dijon,25,27,51.1,17,187,1530,17.0,19,12,18,1,1,37,2,1.12,0.71,1.82,1.06,1.76,218,68,31.2,12.82,4.0,0.08,0.26,,90,100,82,125,60,24,59,1.12,19,25,-6,-0.35,0,243,250,29,330,179,175,,,1,Ligue-2,60,2021-2022
Dunkerque,26,28,46.0,17,187,1530,17.0,14,9,13,1,1,37,2,0.82,0.53,1.35,0.76,1.29,148,50,33.8,8.71,2.94,0.09,0.26,,90,100,83,121,64,19,54,0.94,14,22,-8,-0.47,1,258,281,26,294,191,163,,,1,Ligue-2,60,2021-2022
Grenoble,29,28,49.5,17,187,1530,17.0,16,13,14,2,4,27,3,0.94,0.76,1.71,0.82,1.59,151,51,33.8,8.88,3.0,0.09,0.27,,90,100,81,110,74,21,45,1.24,16,21,-5,-0.29,0,206,204,36,265,208,141,,,1,Ligue-2,60,2021-2022
Guingamp,25,26,53.9,17,187,1530,17.0,20,15,20,0,1,41,1,1.18,0.88,2.06,1.18,2.06,201,65,32.3,11.82,3.82,0.1,0.31,,90,100,83,120,66,20,53,1.24,21,24,-3,-0.18,1,255,240,42,352,184,160,,,0,Ligue-2,60,2021-2022
Le Havre,27,25,44.1,17,187,1530,17.0,16,7,14,2,2,23,2,0.94,0.41,1.35,0.82,1.24,165,54,32.7,9.71,3.18,0.08,0.26,,90,100,84,118,68,16,51,1.71,17,10,7,0.41,0,206,237,19,227,204,150,,,0,Ligue-2,60,2021-2022
Nancy,27,24,54.9,17,187,1530,17.0,12,7,9,3,3,29,6,0.71,0.41,1.12,0.53,0.94,216,57,26.4,12.71,3.35,0.04,0.16,,90,100,83,116,65,19,53,0.71,13,28,-15,-0.88,3,263,262,30,317,168,199,,,1,Ligue-2,60,2021-2022
Nîmes,21,24,53.6,17,187,1530,17.0,19,13,17,2,2,37,0,1.12,0.76,1.88,1.0,1.76,149,52,34.9,8.76,3.06,0.11,0.33,,90,100,84,122,65,17,53,1.18,19,21,-2,-0.12,0,226,215,26,290,177,176,,,0,Ligue-2,60,2021-2022
Niort,23,23,46.6,16,176,1440,16.0,15,13,14,1,2,28,1,0.94,0.81,1.75,0.87,1.69,149,57,38.3,9.31,3.56,0.09,0.25,,90,100,83,112,63,18,47,1.31,16,18,-2,-0.12,1,196,224,25,215,179,175,,,1,Ligue-2,60,2021-2022
Paris FC,26,26,52.2,17,187,1530,17.0,18,12,16,2,4,21,1,1.06,0.71,1.76,0.94,1.65,215,84,39.1,12.65,4.94,0.07,0.19,,90,100,83,119,68,20,50,1.76,20,15,5,0.29,0,216,184,25,322,161,158,,,1,Ligue-2,60,2021-2022
Pau FC,18,27,46.1,17,187,1530,17.0,18,11,17,1,1,32,4,1.06,0.65,1.71,1.0,1.65,180,70,38.9,10.59,4.12,0.09,0.24,,90,100,82,115,68,20,51,1.41,18,18,0,0.0,2,233,215,46,318,192,193,,,1,Ligue-2,60,2021-2022
Quevilly-Rouen,25,26,39.4,17,187,1530,17.0,16,9,14,2,3,34,3,0.94,0.53,1.47,0.82,1.35,172,51,29.7,10.12,3.0,0.08,0.27,,90,100,83,127,59,21,54,1.18,16,22,-6,-0.35,0,284,245,30,226,219,195,,,0,Ligue-2,60,2021-2022
Rodez Aveyron,22,26,46.1,17,187,1530,17.0,19,14,17,2,2,29,2,1.12,0.82,1.94,1.0,1.82,194,76,39.2,11.41,4.47,0.09,0.22,,90,100,82,109,76,19,43,1.47,19,16,3,0.18,1,212,217,27,371,210,132,,,0,Ligue-2,60,2021-2022
Sochaux,23,26,55.5,17,187,1530,17.0,15,10,14,1,1,35,1,0.88,0.59,1.47,0.82,1.41,197,63,32.0,11.59,3.71,0.07,0.22,,90,100,84,113,73,16,47,1.82,17,13,4,0.24,1,215,206,35,339,187,183,,,0,Ligue-2,60,2021-2022
Toulouse,25,25,61.1,16,176,1440,16.0,35,28,32,3,3,30,1,2.19,1.75,3.94,2.0,3.75,217,79,36.4,13.56,4.94,0.15,0.41,,90,100,83,121,54,22,58,2.06,36,14,22,1.37,0,249,167,41,324,174,151,,,1,Ligue-2,60,2021-2022
Valenciennes,26,26,47.5,17,187,1530,17.0,12,10,11,1,1,34,1,0.71,0.59,1.29,0.65,1.24,178,56,31.5,10.47,3.29,0.06,0.2,,90,100,82,125,61,22,57,1.18,13,22,-9,-0.53,0,264,248,35,302,222,177,,,0,Ligue-2,60,2021-2022
