Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,League Name,League ID,Season
36.0,Fri,2019-05-10,20:45,Saint-Étienne,1.0,0–1,1.4,Montpellier,35644.0,Stade Geoffroy-Guichard,BenoÃ®t Bastien,Match Report,,Ligue-1,13,2018-2019
36.0,Sat,2019-05-11,17:00,Angers,2.4,1–2,1.3,Paris S-G,14728.0,Stade Raymond Kopa,Florent Batta,Match Report,,Ligue-1,13,2018-2019
36.0,Sat,2019-05-11,20:00,Nice,1.8,1–1,2.3,Nantes,16372.0,Stade de Nice,StÃ©phanie Frappart,Match Report,,Ligue-1,13,2018-2019
36.0,Sat,2019-05-11,20:00,Caen,1.5,3–2,1.6,Reims,18339.0,Stade Michel d'Ornano,Johan Hamel,Match Report,,Ligue-1,13,2018-2019
36.0,Sat,2019-05-11,20:00,Nîmes,1.2,1–0,0.8,Monaco,14811.0,Stade des CostiÃ¨res,Jeremy Stinat,Match Report,,Ligue-1,13,2018-2019
36.0,Sat,2019-05-11,20:00,Amiens,0.6,0–0,0.4,Toulouse,11684.0,Stade de la Licorne,FranÃ§ois Letexier,Match Report,,Ligue-1,13,2018-2019
36.0,Sat,2019-05-11,20:00,Dijon,1.9,2–1,2.0,Strasbourg,13105.0,Stade Gaston GÃ©rard,Hakim Ben El Hadj Salem,Match Report,,Ligue-1,13,2018-2019
36.0,Sun,2019-05-12,15:00,Rennes,1.2,1–1,2.9,Guingamp,26119.0,Roazhon Park,Karim Abed,Match Report,,Ligue-1,13,2018-2019
36.0,Sun,2019-05-12,17:00,Lille,1.1,1–0,0.8,Bordeaux,41413.0,Stade Pierre-Mauroy,Mikael Lesage,Match Report,,Ligue-1,13,2018-2019
36.0,Sun,2019-05-12,21:00,Marseille,1.7,0–3,1.5,Lyon,61707.0,Orange VÃ©lodrome,Ruddy Buquet,Match Report,,Ligue-1,13,2018-2019
37.0,Sat,2019-05-18,21:00,Paris S-G,3.2,4–0,1.0,Dijon,47532.0,Parc des Princes,JÃ©rÃ´me Brisard,Match Report,,Ligue-1,13,2018-2019
37.0,Sat,2019-05-18,21:00,Guingamp,2.5,2–2,1.8,Nîmes,12096.0,Stade du Roudourou,JÃ©rÃ´me Miguelgorry,Match Report,,Ligue-1,13,2018-2019
