Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ismael Aaneba,fr FRA,DF,Sochaux,22,1999,22,22,1979,22.0,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,3,0,0.0,0.14,0.00,0.00,,,90,99.9,90,21,0,,0,1.82,24,18,+6,+0.27,+0.27,0,12,11,0,3,45,25,,,0,Ligue-2,60,2021-2022
Abdel Abdallah,km COM,"MF,DF",Grenoble,24,1997,17,10,981,10.9,1,2,1,0,0,1,0,0.09,0.18,0.28,0.09,0.28,9,1,11.1,0.83,0.09,0.11,1.00,,58,51.9,88,7,7,15,3,0.88,9,15,-6,-0.55,-0.15,0,18,14,1,40,19,8,,,0,Ligue-2,60,2021-2022
Himad Abdelli,fr FRA,MF,Le Havre,22,1999,8,1,234,2.6,0,1,0,0,0,1,0,0.00,0.38,0.38,0.00,0.38,3,0,0.0,1.15,0.00,0.00,,,29,11.8,90,1,7,21,4,1.25,3,3,0,0.00,-0.31,0,11,7,0,1,4,1,,,0,Ligue-2,60,2021-2022
Ali Abdi,tn TUN,"DF,MF",Caen,28,1993,15,15,1283,14.3,0,3,0,0,0,4,1,0.00,0.21,0.21,0.00,0.21,16,6,37.5,1.12,0.42,0.00,0.00,,86,67.9,86,11,0,,1,1.07,15,18,-3,-0.21,-0.95,1,21,13,2,39,30,19,,,1,Ligue-2,60,2021-2022
Aly Abeid,mr MTN,"DF,MF",Valenciennes,24,1997,9,7,555,6.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,2,0,0.0,0.32,0.00,0.00,,,62,30.8,76,4,2,11,4,1.44,6,8,-2,-0.32,+0.40,0,5,3,0,4,10,5,,,0,Ligue-2,60,2021-2022
Charles Abi,fr FRA,"FW,MF",Guingamp,21,2000,10,5,442,4.9,1,0,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,10,1,10.0,2.04,0.20,0.10,1.00,,44,22.3,71,1,5,17,2,0.90,5,7,-2,-0.41,-0.11,0,13,6,4,0,0,2,,,0,Ligue-2,60,2021-2022
Matthis Abline,fr FRA,FW,Le Havre,18,2003,1,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,32,1.6,,0,1,32,0,1.00,0,0,0,0.00,-0.28,0,4,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Amine Adli,fr FRA,MF,Toulouse,21,2000,1,1,89,1.0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,2,0,0.0,2.02,0.00,0.00,,,89,4.5,89,0,0,,0,1.00,2,2,0,0.00,-1.24,0,2,4,0,4,0,0,,,0,Ligue-2,60,2021-2022
Matteo Ahlinvi,bj BEN,MF,Dijon,22,1999,16,7,657,7.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,8,2,25.0,1.10,0.27,0.00,0.00,,41,33.2,74,3,9,15,3,1.44,8,13,-5,-0.68,-0.96,0,17,11,1,9,4,8,,,0,Ligue-2,60,2021-2022
Anis Ajroud,fr FRA,FW,Ajaccio,19,2002,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,6,0.3,,0,1,6,1,0.00,0,1,-1,-15.00,-15.57,0,0,1,0,0,0,0,,,0,Ligue-2,60,2021-2022
