Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,League Name,League ID,Season
Patrick Cutrone,it ITA,FW,it Milan,19,1998,9,9,662,7.4,4,1,4,0,0,0,0,0.54,0.14,0.68,0.54,0.68,33,10,30.3,4.49,1.36,0.12,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,73.6,,4,0,,1,2.00,12,8,+4,+0.54,-0.59,0,8,1,0,0,Europa-League,19,2017-2018
Wylan Cyprien,fr FRA,MF,fr Nice,22,1995,3,3,262,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3,0,0.0,1.03,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,36.4,,2,0,,0,0.00,2,5,-3,-1.03,-2.21,0,1,0,0,0,Europa-League,19,2017-2018
David Da Costa,ch SUI,GK,ch Lugano,31,1986,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,83.3,,5,0,,1,1.20,8,11,-3,-0.60,-1.60,0,0,0,0,0,Europa-League,19,2017-2018
Moanes Dabbur,il ISR,FW,at RB Salzburg,25,1992,14,14,1286,14.3,5,2,5,0,0,3,0,0.35,0.14,0.49,0.35,0.49,44,12,27.3,3.08,0.84,0.11,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,99.7,,13,0,,0,2.00,21,13,+8,+0.56,-21.94,0,26,1,0,0,Europa-League,19,2017-2018
Fankaty Dabo,eng ENG,DF,nl Vitesse,21,1995,5,4,362,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,67.0,,3,1,,1,0.40,3,9,-6,-1.49,-2.00,0,4,0,0,0,Europa-League,19,2017-2018
Mahmoud Dahoud,de GER,MF,de Dortmund,21,1996,4,3,271,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3,1,33.3,1.00,0.33,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,75.3,,2,1,,0,1.25,2,3,-1,-0.33,-1.34,0,3,0,0,0,Europa-League,19,2017-2018
Patson Daka,zm ZAM,FW,at RB Salzburg,18,1998,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3,0,0.0,10.80,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1.9,,0,1,,0,2.00,0,0,0,0.00,-0.64,0,1,0,0,0,Europa-League,19,2017-2018
Vitalie Damașcan,md MDA,FW,md Sheriff Tiraspol,18,1999,5,0,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2,0,0.0,3.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11.1,,0,5,,1,1.17,0,0,0,0.00,0.00,0,2,1,0,0,Europa-League,19,2017-2018
Danny,pt POR,MF,cz Slavia Prague,33,1983,4,3,245,2.7,1,0,1,0,0,0,0,0.37,0.00,0.37,0.37,0.37,6,2,33.3,2.20,0.73,0.17,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,45.4,,2,1,,0,1.00,2,4,-2,-0.73,-1.34,0,1,0,0,0,Europa-League,19,2017-2018
Dante,br BRA,DF,fr Nice,33,1983,8,8,720,8.0,1,1,1,0,0,0,0,0.12,0.12,0.25,0.12,0.25,4,1,25.0,0.50,0.12,0.25,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,100.0,,8,0,,0,1.13,14,11,+3,+0.37,,0,5,0,0,0,Europa-League,19,2017-2018
