Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Luis Abram,pe PER,DF,Granada,25,1996,6,5,424,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,171,191,89.5,3855,944,36,39,92.3,100,106,94.3,34,44,77.3,0.0,0,7,0,0,6,182,9,0,7,5,0,0,0,0,0,155,12,24,160,18,7,2,1,1,0,1,1,1,0.21,1,0,0,0,0,0,0.00,0,0,0,0,0,0,4,3,3,0,1,1,50.0,1,9,42.9,5,15,1,1,6,13,29,1,243,45,3,0,,0,0,136,0,2,0,163,160,98.2,1,71,39.3,78,3,1,32,6,1.17,6,3,+3,+0.64,+1.73,3.8,4.8,-1.0,-0.21,+0.69,0,4,0,0,0,18,8,11,42.1,La-Liga,12,2021-2022
Marcos Acuña,ar ARG,DF,Sevilla,30,1991,11,9,775,8.6,1,1,1,0,0,2,0,0.12,0.12,0.23,0.12,0.23,0.9,0.9,1.6,2.5,0.10,0.18,0.29,0.10,0.29,6,4,66.7,0.70,0.46,0.17,0.25,21.6,0,0.15,+0.1,+0.1,571,713,80.1,11740,4414,202,216,93.5,263,309,85.1,101,171,59.1,-0.6,19,39,18,7,51,582,131,2,55,32,42,13,0,12,0,435,100,178,532,62,15,94,0,1,11,25,13,34,3.95,24,8,0,1,0,1,0.12,0,1,0,0,0,0,14,7,8,4,2,6,54.5,5,22,24.2,45,36,10,0,9,25,10,0,796,16,8,19,68.4,14,2,520,2,12,11,578,551,95.3,32,70,71.8,83,6,2,16,1,2.18,10,3,+7,+0.81,-1.25,13.4,5.3,+8.1,+0.94,+0.97,0,15,0,0,0,63,10,17,37.0,La-Liga,12,2021-2022
Martin Agirregabiria,es ESP,DF,Alavés,25,1996,7,5,530,5.9,0,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,0.1,0.1,0.2,0.3,0.01,0.04,0.05,0.01,0.05,2,0,0.0,0.34,0.00,0.00,,17.6,0,0.04,-0.1,-0.1,189,254,74.4,3613,1741,82,95,86.3,87,111,78.4,20,43,46.5,+0.8,5,20,9,6,18,194,60,0,23,9,17,1,0,0,0,123,65,66,13,167,15,55,0,1,6,12,6,10,1.70,7,0,1,2,0,2,0.34,1,0,1,0,0,0,16,9,9,3,4,7,43.8,9,16,20.5,36,29,13,0,12,24,21,0,322,19,6,3,66.7,2,1,150,0,4,2,186,162,87.1,12,76,49.1,86,3,2,51,5,1.43,5,8,-3,-0.51,+0.15,5.8,8.0,-2.2,-0.38,-0.12,0,7,0,0,0,33,9,11,45.0,La-Liga,12,2021-2022
Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,34,46,73.9,857,445,8,8,100.0,19,19,100.0,6,18,33.3,0.0,0,1,0,0,0,23,23,0,0,1,0,0,0,0,0,28,1,17,16,18,0,0,8,0,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,1,0,52,44,0,0,,0,0,20,0,0,0,10,9,90.0,0,90,15.4,90,2,0,,3,1.00,1,1,0,0.00,-0.27,2.2,1.9,+0.3,+0.15,-0.63,0,0,0,0,0,11,0,0,,La-Liga,12,2021-2022
Sergio Agüero,ar ARG,FW,Barcelona,33,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,1.1,1.1,0.3,1.3,0.64,0.16,0.80,0.64,0.80,6,1,16.7,3.58,0.60,0.17,1.00,11.9,0,0.18,-0.1,-0.1,31,43,72.1,469,43,18,25,72.0,10,15,66.7,2,2,100.0,-0.3,1,2,0,0,2,41,2,1,15,0,4,0,0,0,0,24,9,10,5,31,3,0,1,0,0,0,0,3,1.79,3,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,0,0,1,0,0.0,1,3,16.7,0,8,10,0,0,1,0,0,59,0,15,1,100.0,1,0,38,2,5,2,78,53,67.9,16,38,14.0,65,1,2,11,0,1.00,1,2,-1,-0.60,-1.08,3.6,1.7,+1.9,+1.14,+0.59,0,1,0,0,0,3,4,2,66.7,La-Liga,12,2021-2022
Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,7,5,426,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,2,0,0.0,0.42,0.00,0.00,,8.3,0,0.05,-0.1,-0.1,230,266,86.5,5416,1480,57,63,90.5,110,117,94.0,60,81,74.1,0.0,1,20,0,0,16,260,6,0,19,6,0,0,0,0,0,196,23,47,43,200,15,1,1,0,9,4,3,4,0.85,3,0,0,0,0,0,0.00,0,0,0,0,0,0,8,7,7,1,0,1,16.7,5,20,36.4,39,16,0,0,4,15,22,1,312,26,3,0,,0,0,212,0,1,3,209,207,99.0,0,61,36.4,82,2,2,7,3,0.71,5,7,-2,-0.42,-0.18,6.2,5.7,+0.4,+0.09,+0.39,0,1,0,0,0,46,18,10,64.3,La-Liga,12,2021-2022
Carlos Akapo,gq EQG,DF,Cádiz,28,1993,7,4,416,4.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,0,0,,0.00,0.00,,,,0,,0.0,0.0,114,172,66.3,2342,915,42,54,77.8,52,71,73.2,17,36,47.2,-0.1,1,8,3,1,7,125,47,0,21,8,6,0,0,0,0,75,45,52,7,104,12,43,0,0,9,3,11,2,0.43,1,1,0,0,0,0,0.00,0,0,0,0,0,0,12,6,11,1,0,3,42.9,4,21,28.4,46,21,7,0,7,22,15,0,224,21,0,1,100.0,1,0,97,0,5,2,106,86,81.1,8,59,35.6,87,3,3,23,3,1.00,5,9,-4,-0.87,-0.51,5.6,7.6,-2.0,-0.43,-0.02,0,8,0,1,0,36,10,9,52.6,La-Liga,12,2021-2022
Paul Akouokou,ci CIV,MF,Betis,23,1997,1,1,81,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,1,0,0.0,1.11,0.00,0.00,,26.0,0,0.02,0.0,0.0,54,61,88.5,1042,310,19,23,82.6,31,32,96.9,4,6,66.7,0.0,0,7,1,0,5,61,0,0,9,2,0,0,0,0,0,48,5,8,8,48,2,0,0,0,2,1,1,1,1.11,1,0,0,0,0,0,0.00,0,0,0,0,0,0,4,2,1,2,1,1,50.0,1,6,31.6,7,9,3,0,2,6,1,0,70,2,0,1,100.0,1,0,50,0,0,0,52,52,100.0,0,81,6.9,81,0,0,,7,1.00,1,1,0,0.00,-0.17,0.4,0.4,0.0,+0.02,-0.11,0,5,0,0,0,8,3,0,100.0,La-Liga,12,2021-2022
David Alaba,at AUT,DF,Real Madrid,29,1992,11,11,990,11.0,1,3,1,0,0,0,0,0.09,0.27,0.36,0.09,0.36,0.3,0.3,1.7,2.0,0.03,0.15,0.18,0.03,0.18,7,1,14.3,0.64,0.09,0.14,1.00,23.0,3,0.05,+0.7,+0.7,634,703,90.2,11860,3934,269,281,95.7,268,285,94.0,87,116,75.0,+1.3,12,50,11,2,33,656,47,1,63,7,22,3,3,0,0,573,59,71,571,89,15,24,0,2,7,4,9,21,1.91,18,1,0,0,2,7,0.64,7,0,0,0,0,0,14,10,9,3,2,5,55.6,4,34,34.7,52,37,9,0,8,34,32,2,793,102,18,3,66.7,2,0,572,4,5,4,626,593,94.7,29,90,91.7,90,11,0,,0,2.18,23,11,+12,+1.09,-1.91,15.8,13.6,+2.3,+0.21,-1.34,0,6,0,0,0,62,7,5,58.3,La-Liga,12,2021-2022
Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,12,9,822,9.1,0,1,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,0.9,0.9,0.7,1.6,0.10,0.08,0.18,0.10,0.18,10,1,10.0,1.09,0.11,0.00,0.00,22.5,0,0.09,-0.9,-0.9,225,322,69.9,5150,1416,73,85,85.9,93,123,75.6,53,98,54.1,+0.3,9,22,4,2,16,280,42,0,58,25,17,20,8,8,0,163,39,120,21,273,18,1,0,2,11,5,8,20,2.19,10,9,1,0,0,3,0.33,1,2,0,0,0,0,23,13,10,9,4,5,35.7,9,46,28.2,83,62,18,0,17,37,34,0,447,37,8,5,60.0,4,0,231,0,7,10,228,207,90.8,15,69,70.3,82,6,3,27,0,0.75,8,16,-8,-0.88,-1.13,9.0,14.1,-5.1,-0.56,-0.50,0,21,0,1,0,91,16,15,51.6,La-Liga,12,2021-2022
