Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ajaccio,24,26,54.6,28,308,2520,28.0,36,30,34,2,2,53,1,1.29,1.07,2.36,1.21,2.29,311,110,35.4,11.11,3.93,0.11,0.31,,90,100,86,,77,16,117,1.86,38,22,16,0.57,1,375,340,63,397,281,336,,,1,Ligue-2,60,2019-2020
Auxerre,24,27,55.9,28,308,2520,28.0,31,21,29,2,2,52,7,1.11,0.75,1.86,1.04,1.79,355,105,29.6,12.68,3.75,0.08,0.28,,90,100,85,,78,18,118,1.21,31,30,1,0.04,0,356,338,70,532,289,313,,,2,Ligue-2,60,2019-2020
Caen,33,26,49.6,28,308,2520,28.0,30,14,22,8,9,56,4,1.07,0.5,1.57,0.79,1.29,270,99,36.7,9.64,3.54,0.08,0.22,,90,100,84,,77,20,119,1.21,33,34,-1,-0.04,1,433,361,46,525,308,303,,,1,Ligue-2,60,2019-2020
Chambly Oise,30,28,43.8,28,308,2520,28.0,26,12,22,4,4,62,3,0.93,0.43,1.36,0.79,1.21,263,84,31.9,9.39,3.0,0.08,0.26,,90,100,84,,79,21,117,1.25,26,32,-6,-0.21,2,386,382,72,465,289,327,,,1,Ligue-2,60,2019-2020
Châteauroux,31,25,48.0,28,308,2520,28.0,22,18,21,1,1,59,7,0.79,0.64,1.43,0.75,1.39,348,123,35.3,12.43,4.39,0.06,0.17,,90,100,83,,79,24,109,1.21,22,38,-16,-0.57,3,383,315,40,590,279,248,,,0,Ligue-2,60,2019-2020
Clermont Foot,24,26,56.6,28,308,2520,28.0,34,24,30,4,4,51,4,1.21,0.86,2.07,1.07,1.93,336,115,34.2,12.0,4.11,0.09,0.26,,90,100,86,,77,16,119,1.79,35,25,10,0.36,1,348,393,62,495,293,228,,,1,Ligue-2,60,2019-2020
Grenoble,24,27,49.6,28,308,2520,28.0,25,18,22,3,4,45,2,0.89,0.64,1.54,0.79,1.43,308,105,34.1,11.0,3.75,0.07,0.21,,90,100,85,,80,17,116,1.25,27,29,-2,-0.07,1,398,369,58,543,288,284,,,1,Ligue-2,60,2019-2020
Guingamp,30,26,49.9,28,308,2520,28.0,38,27,37,1,2,46,3,1.36,0.96,2.32,1.32,2.29,411,128,31.1,14.68,4.57,0.09,0.29,,90,100,84,,77,22,118,1.39,40,33,7,0.25,1,345,357,61,654,317,285,,,0,Ligue-2,60,2019-2020
Le Havre,23,24,48.6,28,308,2520,28.0,38,21,30,8,10,47,6,1.36,0.75,2.11,1.07,1.82,336,112,33.3,12.0,4.0,0.09,0.27,,90,100,86,,72,18,123,1.57,38,25,13,0.46,3,364,336,66,517,321,272,,,0,Ligue-2,60,2019-2020
Le Mans,29,25,51.5,28,308,2520,28.0,29,18,25,4,4,54,4,1.04,0.64,1.68,0.89,1.54,327,97,29.7,11.68,3.46,0.08,0.26,,90,100,85,,81,20,115,0.93,30,45,-15,-0.54,2,432,387,42,511,293,246,,,1,Ligue-2,60,2019-2020
Lens,28,27,54.7,28,308,2520,28.0,38,24,31,7,9,55,4,1.36,0.86,2.21,1.11,1.96,310,113,36.5,11.07,4.04,0.1,0.27,,90,100,84,,81,22,115,1.89,39,24,15,0.54,2,422,437,60,545,300,271,,,0,Ligue-2,60,2019-2020
Lorient,24,26,52.2,28,308,2520,28.0,43,31,38,5,6,43,4,1.54,1.11,2.64,1.36,2.46,349,130,37.2,12.46,4.64,0.11,0.29,,90,100,84,,83,21,113,1.93,45,25,20,0.71,1,366,332,65,536,332,267,,,3,Ligue-2,60,2019-2020
Nancy,28,27,50.5,28,308,2520,28.0,25,12,21,4,5,60,4,0.89,0.43,1.32,0.75,1.18,296,92,31.1,10.57,3.29,0.07,0.23,,90,100,84,,83,21,113,1.21,27,26,1,0.04,2,431,394,55,561,276,261,,,0,Ligue-2,60,2019-2020
Niort,26,24,47.0,28,308,2520,28.0,29,22,26,3,4,55,6,1.04,0.79,1.82,0.93,1.71,273,93,34.1,9.75,3.32,0.1,0.28,,90,100,85,,74,17,120,0.93,30,41,-11,-0.39,3,427,344,67,391,363,288,,,2,Ligue-2,60,2019-2020
Orléans,33,25,50.4,28,308,2520,28.0,21,17,19,2,2,54,4,0.75,0.61,1.36,0.68,1.29,327,103,31.5,11.68,3.68,0.06,0.18,,90,100,85,,80,19,116,0.68,21,43,-22,-0.79,0,403,338,55,543,314,319,,,1,Ligue-2,60,2019-2020
Paris FC,33,28,48.6,28,308,2520,28.0,21,16,17,4,8,69,7,0.75,0.57,1.32,0.61,1.18,254,83,32.7,9.07,2.96,0.07,0.2,,90,100,85,,84,18,107,1.0,22,40,-18,-0.64,4,409,404,46,378,353,250,,,0,Ligue-2,60,2019-2020
Rodez Aveyron,27,26,43.2,28,308,2520,28.0,31,21,31,0,1,57,3,1.11,0.75,1.86,1.11,1.86,280,85,30.4,10.0,3.04,0.11,0.36,,90,100,85,,79,18,117,1.14,31,34,-3,-0.11,2,384,350,55,549,266,267,,,2,Ligue-2,60,2019-2020
Sochaux,26,24,45.9,28,308,2520,28.0,28,18,26,2,6,49,3,1.0,0.64,1.64,0.93,1.57,286,87,30.4,10.21,3.11,0.09,0.3,,90,100,84,,84,20,111,1.21,28,30,-2,-0.07,1,372,391,50,501,335,269,,,0,Ligue-2,60,2019-2020
Troyes,27,25,50.8,28,308,2520,28.0,34,22,32,2,3,63,3,1.21,0.79,2.0,1.14,1.93,345,128,37.1,12.32,4.57,0.09,0.25,,90,100,85,,84,17,112,1.82,34,25,9,0.32,1,377,381,57,538,355,283,,,1,Ligue-2,60,2019-2020
Valenciennes,23,24,50.0,28,308,2520,28.0,24,11,19,5,6,63,5,0.86,0.39,1.25,0.68,1.07,299,95,31.8,10.68,3.39,0.06,0.2,,90,100,83,,83,25,110,1.5,24,20,4,0.14,1,381,377,68,486,279,276,,,1,Ligue-2,60,2019-2020
