Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Bryan Cristante,it ITA,MF,Roma,26,1995,12,11,1017,11.3,1,0,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,1.5,1.5,0.6,2.1,0.13,0.06,0.19,0.13,0.19,19,1,5.3,1.68,0.09,0.05,1.00,12.0,0,0.08,-0.5,-0.5,599,703,85.2,13302,3705,168,194,86.6,302,327,92.4,124,170,72.9,-0.6,6,91,8,1,72,674,29,0,93,26,8,0,0,0,0,496,64,143,67,590,23,2,1,2,11,9,9,15,1.33,9,0,0,1,2,0,0.00,0,0,0,0,0,0,27,21,10,15,2,6,85.7,1,58,30.7,67,98,24,0,13,43,18,0,803,28,22,7,85.7,6,0,516,0,5,10,595,575,96.6,7,85,94.2,90,11,1,27,0,1.58,19,15,+4,+0.35,-2.50,21.8,14.9,+6.9,+0.61,-0.25,0,19,0,1,0,108,31,23,57.4,Serie-A,11,2021-2022
Domen Črnigoj,si SVN,MF,Venezia,26,1995,11,7,594,6.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,1.1,0.07,0.11,0.17,0.07,0.17,5,1,20.0,0.76,0.15,0.00,0.00,19.4,0,0.09,-0.4,-0.4,155,209,74.2,3103,806,65,76,85.5,56,73,76.7,26,38,68.4,-0.7,6,12,2,2,13,207,2,0,50,6,6,0,0,0,0,141,28,40,36,155,8,0,0,1,4,5,17,10,1.52,8,0,1,0,1,0,0.00,0,0,0,0,0,0,12,8,5,6,1,3,50.0,3,22,24.4,28,39,23,0,8,29,15,0,285,20,9,7,42.9,3,1,162,3,8,7,222,175,78.8,11,54,55.0,64,1,4,37,0,1.09,5,13,-8,-1.21,-1.21,5.7,10.2,-4.5,-0.69,-0.46,0,12,0,0,0,47,13,13,50.0,Serie-A,11,2021-2022
Giovanni Crociata,it ITA,FW,Empoli,24,1997,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.31,0.00,0.31,0.31,0.31,1,0,0.0,6.00,0.00,0.00,,10.0,0,0.05,-0.1,-0.1,7,9,77.8,92,18,5,6,83.3,2,3,66.7,0,0,,0.0,0,1,1,0,1,9,0,0,1,0,0,0,0,0,0,8,1,0,0,9,0,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,20.0,0,5,5,0,0,0,0,0,11,0,1,1,0.0,0,0,9,0,0,0,10,9,90.0,0,15,1.4,,0,1,15,0,0.00,0,0,0,0.00,+0.42,0.2,0.1,+0.1,+0.64,+1.16,0,1,0,0,0,2,0,0,,Serie-A,11,2021-2022
Juan Cuadrado,co COL,"MF,DF",Juventus,33,1988,10,7,639,7.1,2,0,2,0,0,2,0,0.28,0.00,0.28,0.28,0.28,0.3,0.3,1.5,1.8,0.04,0.21,0.25,0.04,0.25,7,4,57.1,0.99,0.56,0.29,0.50,17.9,0,0.04,+1.7,+1.7,380,443,85.8,7835,2318,142,153,92.8,167,185,90.3,67,98,68.4,-1.5,18,23,14,7,37,393,50,0,41,31,24,13,4,6,0,309,55,79,51,352,8,24,4,1,3,11,6,28,3.94,20,4,1,2,1,3,0.42,1,0,1,0,1,0,18,11,12,5,1,6,46.2,7,32,40.5,32,33,14,0,5,25,7,0,523,13,17,18,44.4,9,0,377,8,12,9,420,374,89.0,32,64,59.2,77,2,3,34,1,1.50,10,8,+2,+0.28,+0.49,9.0,7.1,+1.9,+0.26,+0.25,0,6,0,0,0,61,4,1,80.0,Serie-A,11,2021-2022
Patrick Cutrone,it ITA,FW,Empoli,23,1998,11,6,586,6.5,1,0,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,1.9,1.9,0.5,2.4,0.29,0.07,0.36,0.29,0.36,21,5,23.8,3.23,0.77,0.05,0.20,14.2,0,0.09,-0.9,-0.9,63,105,60.0,944,162,34,47,72.3,22,35,62.9,5,12,41.7,-0.5,3,0,3,1,5,98,7,0,26,1,14,0,0,0,0,69,17,19,24,76,1,0,3,0,2,6,10,9,1.38,6,0,1,1,1,3,0.46,2,0,0,0,1,0,3,2,1,1,1,0,0.0,2,19,24.7,4,34,39,0,2,5,1,0,164,3,46,7,28.6,3,0,117,5,9,7,256,123,48.0,59,53,54.3,75,1,5,27,1,1.18,12,13,-1,-0.15,+0.58,10.1,11.7,-1.7,-0.26,+0.56,0,7,1,0,0,18,3,20,13.0,Serie-A,11,2021-2022
Danilo D'Ambrosio,it ITA,DF,Inter,33,1988,3,1,131,1.5,1,0,1,0,0,0,0,0.69,0.00,0.69,0.69,0.69,0.1,0.1,0.0,0.1,0.09,0.00,0.09,0.09,0.09,2,2,100.0,1.37,1.37,0.50,0.50,7.2,0,0.06,+0.9,+0.9,59,67,88.1,1320,345,20,20,100.0,29,33,87.9,10,13,76.9,0.0,0,2,0,0,1,65,2,0,11,6,0,0,0,0,0,49,7,11,20,42,4,0,0,0,3,0,0,1,0.69,1,0,0,0,0,1,0.69,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,4,33.3,7,4,1,1,3,1,5,0,82,14,2,0,,0,0,54,0,0,0,57,57,100.0,1,44,12.1,90,1,2,21,9,2.33,2,0,+2,+1.37,+0.05,2.2,1.1,+1.1,+0.76,-0.04,0,2,0,0,0,10,5,3,62.5,Serie-A,11,2021-2022
Mikkel Damsgaard,dk DEN,"MF,FW",Sampdoria,21,2000,7,6,512,5.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.5,1.2,0.13,0.08,0.21,0.13,0.21,11,2,18.2,1.93,0.35,0.00,0.00,20.1,1,0.07,-0.7,-0.7,178,230,77.4,2909,753,89,104,85.6,68,88,77.3,17,29,58.6,-0.5,9,16,7,1,24,226,4,1,55,1,9,0,0,0,0,161,39,30,29,187,5,3,2,4,3,9,5,21,3.69,17,1,0,2,0,1,0.18,1,0,0,0,0,0,18,8,10,5,3,8,32.0,17,37,24.5,47,67,37,0,11,27,7,0,315,10,19,19,73.7,14,0,231,3,6,14,256,208,81.3,42,73,47.4,80,2,1,32,0,0.86,8,9,-1,-0.18,+1.25,7.0,8.4,-1.4,-0.25,+0.57,0,9,0,0,0,47,4,4,50.0,Serie-A,11,2021-2022
Danilo,br BRA,"DF,MF",Juventus,30,1991,10,10,889,9.9,0,1,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,0.1,0.1,0.3,0.4,0.01,0.03,0.04,0.01,0.04,5,1,20.0,0.51,0.10,0.00,0.00,27.5,0,0.02,-0.1,-0.1,590,666,88.6,12039,4124,192,199,96.5,308,331,93.1,85,124,68.5,+0.7,5,53,3,2,40,586,80,0,50,16,4,0,0,0,0,461,112,93,53,521,17,60,4,6,9,14,9,13,1.32,11,1,0,1,0,1,0.10,1,0,0,0,0,0,16,9,9,6,1,7,53.8,6,23,31.1,38,26,10,0,6,29,34,0,748,49,2,4,25.0,1,0,462,2,2,4,500,488,97.6,4,89,82.3,89,9,0,,1,1.50,12,10,+2,+0.20,+0.67,12.0,10.5,+1.5,+0.15,-0.03,0,13,0,0,0,97,23,8,74.2,Serie-A,11,2021-2022
Ebrima Darboe,gm GAM,MF,Roma,20,2001,1,1,63,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,1,0,0.0,1.43,0.00,0.00,,17.0,0,0.03,0.0,0.0,39,41,95.1,929,155,7,7,100.0,20,22,90.9,11,11,100.0,0.0,0,5,0,0,1,38,3,0,8,3,0,0,0,0,0,38,2,1,3,37,1,0,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,0,1,0,0,,0,3,30.0,3,5,2,0,0,3,0,1,47,1,1,0,,0,0,35,1,2,0,34,34,100.0,3,63,5.8,63,0,0,,9,3.00,2,0,+2,+2.86,+2.50,1.0,0.4,+0.6,+0.86,+0.25,0,1,0,0,0,6,0,0,,Serie-A,11,2021-2022
Matteo Darmian,it ITA,DF,Inter,31,1989,10,9,770,8.6,1,1,1,0,0,2,0,0.12,0.12,0.23,0.12,0.23,0.7,0.7,0.5,1.2,0.08,0.06,0.14,0.08,0.14,5,3,60.0,0.58,0.35,0.20,0.33,16.2,0,0.14,+0.3,+0.3,289,357,81.0,5130,1971,125,136,91.9,134,161,83.2,25,41,61.0,+0.5,7,12,9,6,26,291,66,1,45,6,18,0,0,0,0,227,78,52,52,233,5,59,4,1,1,16,17,21,2.45,18,0,0,1,1,4,0.47,4,0,0,0,0,0,19,13,12,3,4,7,53.8,6,34,31.2,37,39,33,0,13,27,11,0,423,23,13,2,0.0,0,0,233,3,7,5,294,261,88.8,30,77,71.3,82,6,1,34,2,1.90,19,11,+8,+0.94,-1.39,14.2,11.3,+2.9,+0.34,-1.60,0,15,1,0,0,46,9,3,75.0,Serie-A,11,2021-2022
