Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Haris Belkebla,dz ALG,MF,Brest,27,1994,17,15,1260,14.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,0,0,,0.00,0.00,,,,0,,0.0,0.0,394,486,81.1,7277,1744,166,191,86.9,166,197,84.3,51,71,71.8,-0.1,4,27,3,3,26,473,13,0,93,11,6,0,0,0,0,355,56,75,88,364,14,3,5,2,9,18,10,18,1.29,18,0,0,0,0,0,0.00,0,0,0,0,0,0,29,17,17,9,3,6,27.3,16,95,32.8,117,141,32,0,15,57,17,1,602,41,5,16,81.3,14,1,404,0,6,12,395,364,92.2,18,74,63.6,80,8,2,30,1,1.41,20,19,+1,+0.07,+0.82,16.5,19.3,-2.8,-0.20,+0.03,0,14,0,0,0,112,15,5,75.0,Ligue-1,13,2021-2022
Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,23,1998,20,14,1289,14.3,1,2,1,0,0,3,0,0.07,0.14,0.21,0.07,0.21,1.0,1.0,0.7,1.6,0.07,0.05,0.11,0.07,0.11,14,3,21.4,0.98,0.21,0.07,0.33,21.4,2,0.07,0.0,0.0,486,597,81.4,8845,1607,212,235,90.2,212,250,84.8,56,90,62.2,+1.3,10,35,11,3,36,563,34,1,73,17,17,19,8,7,2,449,56,92,109,448,23,1,7,2,12,16,13,17,1.19,11,2,0,2,1,2,0.14,1,0,0,1,0,0,36,28,11,17,8,8,38.1,13,85,35.9,82,107,48,0,24,56,17,0,794,33,22,30,66.7,21,0,558,7,25,28,601,518,86.2,36,64,65.1,85,8,6,17,0,1.60,22,18,+4,+0.28,-1.15,20.7,18.2,+2.4,+0.17,-0.74,0,20,0,0,0,131,12,15,44.4,Ligue-1,13,2021-2022
Hatem Ben Arfa,fr FRA,FW,Lille,34,1987,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,1.32,0.32,1.64,1.32,1.64,1,1,100.0,6.00,6.00,0.00,0.00,12.0,0,0.22,-0.2,-0.2,9,10,90.0,239,47,1,1,100.0,5,5,100.0,3,3,100.0,-0.1,1,1,1,0,2,9,1,0,0,2,1,1,1,0,0,7,2,1,8,2,0,0,0,0,0,0,1,1,6.00,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,1,0,0,0,0,0,0,12,0,2,0,,0,0,10,1,0,1,15,11,73.3,2,15,0.8,,0,1,15,0,0.00,0,1,-1,-6.00,-6.05,0.4,0.8,-0.4,-2.59,-3.03,0,1,0,0,0,0,0,0,,Ligue-1,13,2021-2022
Wissam Ben Yedder,fr FRA,FW,Monaco,31,1990,21,14,1282,14.2,13,3,7,6,6,1,0,0.91,0.21,1.12,0.49,0.70,8.7,4.2,2.2,6.3,0.61,0.15,0.77,0.29,0.44,25,12,48.0,1.76,0.84,0.28,0.58,15.6,1,0.17,+4.3,+2.8,288,389,74.0,4261,627,157,194,80.9,101,134,75.4,20,35,57.1,+0.8,16,15,17,0,25,358,31,2,98,3,8,0,0,0,0,257,80,52,173,183,20,1,6,3,8,17,16,37,2.60,27,0,4,4,0,6,0.42,4,0,1,0,1,0,14,7,1,8,5,6,37.5,10,72,34.6,14,77,117,0,7,19,2,0,528,3,96,36,44.4,20,1,354,19,21,19,688,398,57.8,144,61,64.7,77,3,7,29,0,1.52,25,18,+7,+0.49,+0.23,20.0,16.4,+3.6,+0.25,-0.32,0,13,1,0,0,53,11,42,20.8,Ligue-1,13,2021-2022
Darío Benedetto,ar ARG,"FW,MF",Marseille,31,1990,2,0,54,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.6,0.86,0.06,0.92,0.86,0.92,3,0,0.0,5.00,0.00,0.00,,12.2,0,0.17,-0.5,-0.5,10,11,90.9,160,35,6,7,85.7,3,3,100.0,1,1,100.0,0.0,1,0,0,0,1,11,0,0,3,0,0,0,0,0,0,8,2,1,4,5,0,0,1,0,0,0,0,1,1.67,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,33.3,0,4,2,0,1,0,0,0,19,0,4,1,0.0,0,0,12,0,3,1,24,15,62.5,2,27,2.9,,0,2,27,0,2.00,3,0,+3,+5.00,+4.46,1.5,0.1,+1.4,+2.30,+2.03,0,0,0,0,0,4,2,1,66.7,Ligue-1,13,2021-2022
Walter Benítez,ar ARG,GK,Nice,28,1993,22,22,1980,22.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,425,586,72.5,12253,8321,100,100,100.0,176,178,98.9,147,306,48.0,0.0,0,1,0,0,0,404,182,0,34,7,0,0,0,0,0,297,33,256,69,394,1,0,91,1,9,4,0,1,0.05,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,1,0,0,0,1,0,1,0,627,561,0,0,,0,0,296,0,0,0,237,235,99.2,0,90,100.0,90,22,0,,0,1.95,36,18,+18,+0.82,,37.9,24.4,+13.6,+0.62,,0,0,0,0,0,105,0,0,,Ligue-1,13,2021-2022
Loris Benito,ch SUI,DF,Bordeaux,30,1992,1,1,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,42,53,79.2,836,259,14,18,77.8,20,21,95.2,7,12,58.3,0.0,0,0,0,0,4,46,7,0,6,0,0,0,0,0,0,32,12,9,39,3,5,6,0,0,4,2,1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,1,0,0,0,,0,2,22.2,6,2,1,0,2,3,1,0,63,4,0,0,,0,0,38,0,0,2,40,39,97.5,0,61,3.1,61,0,0,,1,0.00,0,0,0,0.00,+0.89,0.7,1.6,-0.9,-1.31,-0.49,0,1,0,0,0,7,0,0,,Ligue-1,13,2021-2022
Nabil Bentaleb,dz ALG,MF,Angers,27,1994,3,3,217,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,88,110,80.0,1585,382,38,45,84.4,38,46,82.6,9,13,69.2,0.0,0,5,0,0,11,109,1,0,24,2,0,0,0,0,0,73,19,18,81,17,6,0,2,0,4,2,3,3,1.24,3,0,0,0,0,1,0.41,1,0,0,0,0,0,10,7,4,3,3,4,80.0,1,18,36.7,13,25,11,0,3,14,0,0,142,1,0,6,50.0,3,0,92,0,4,6,104,93,89.4,4,72,11.0,72,0,0,,0,1.33,2,2,0,0.00,+0.05,2.9,2.5,+0.4,+0.15,+0.21,0,9,0,0,0,22,4,4,50.0,Ligue-1,13,2021-2022
Patrick Berg,no NOR,"MF,DF",Lens,24,1997,3,0,47,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,42,45,93.3,756,156,22,23,95.7,15,16,93.8,5,6,83.3,0.0,0,4,0,0,4,45,0,0,4,1,0,0,0,0,0,38,2,5,2,41,1,0,0,0,1,1,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,0,1,0,0,,0,6,40.0,4,10,1,0,2,2,1,0,50,3,1,0,,0,0,36,0,0,0,41,39,95.1,0,16,2.4,,0,3,16,0,2.00,3,0,+3,+5.74,+5.65,0.6,0.2,+0.4,+0.86,+0.46,0,0,0,0,0,6,1,1,50.0,Ligue-1,13,2021-2022
Mitchell van Bergen,nl NED,FW,Reims,22,1999,9,5,458,5.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.08,0.04,0.12,0.08,0.12,4,2,50.0,0.79,0.39,0.00,0.00,16.3,0,0.10,-0.4,-0.4,90,127,70.9,1380,350,50,60,83.3,24,30,80.0,13,27,48.1,-0.2,6,0,6,1,7,112,15,0,15,3,9,8,4,3,0,87,18,22,10,115,2,0,0,1,0,6,9,10,1.97,6,2,2,0,0,0,0.00,0,0,0,0,0,0,3,2,2,0,1,2,40.0,3,25,28.4,20,36,32,0,10,5,2,0,174,7,18,10,60.0,8,1,120,4,15,6,189,102,54.0,26,51,23.1,67,0,4,31,2,1.00,3,6,-3,-0.59,-0.47,3.5,5.2,-1.7,-0.34,-0.06,0,4,0,0,0,33,1,6,14.3,Ligue-1,13,2021-2022
