Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Kristijan Kahlina,hr CRO,GK,bg Ludogorets,29,1992,4,4,360,4.0,7,1.75,23,15,69.6,0,1,3,0,0.0,0,0,0,0,,0,0,0,5.8,0.25,-1.2,-0.29,27,81,33.3,185,26,36.8,34.8,38,34.2,34.0,42,4,9.5,2,0.50,12.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,80.0,90,4,0,,1,0.25,3,7,-4,-1.00,0.00,2.4,7.5,-5.1,-1.28,-0.73,0,0,1,0,0,0,0,0,0,29,0,0,,Europa-League,19,2021-2022
Daniil Khudyakov,ru RUS,GK,ru Loko Moscow,17,2004,1,1,90,1.0,3,3.00,6,5,83.3,0,0,1,0,0.0,2,2,0,0,0.0,0,0,0,3.5,0.27,+0.5,+0.50,7,23,30.4,27,4,66.7,46.4,6,83.3,58.0,14,1,7.1,1,1.00,14.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,20.0,90,1,0,,4,0.00,0,3,-3,-3.00,-2.25,0.3,3.0,-2.7,-2.67,-1.70,0,0,0,0,0,0,0,0,0,7,0,0,,Europa-League,19,2021-2022
Dominik Livaković,hr CRO,GK,hr Dinamo Zagreb,26,1995,5,5,450,5.0,6,1.20,18,12,66.7,2,1,2,1,20.0,0,0,0,0,,0,1,0,6.4,0.35,+0.4,+0.07,26,63,41.3,100,19,44.0,38.0,35,54.3,42.8,42,2,4.8,3,0.60,14.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,90,100.0,90,5,0,,0,1.40,8,6,+2,+0.40,,6.3,6.3,-0.1,-0.01,,0,0,1,0,0,0,0,0,0,27,0,0,,Europa-League,19,2021-2022
Anthony Lopes,pt POR,GK,fr Lyon,31,1990,5,5,450,5.0,4,0.80,12,8,66.7,5,0,0,3,60.0,0,0,0,0,,0,0,0,2.6,0.27,-1.4,-0.29,30,54,55.6,153,24,26.8,30.9,34,38.2,35.8,51,4,7.8,4,0.80,16.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,5,0,,0,3.00,15,4,+11,+2.20,,11.3,4.0,+7.3,+1.46,,0,0,0,0,0,0,0,0,0,23,0,0,,Europa-League,19,2021-2022
Pau López,es ESP,GK,fr Marseille,26,1994,5,5,450,5.0,7,1.40,14,8,50.0,0,4,1,2,40.0,0,0,0,0,,0,1,1,5.3,0.38,-0.7,-0.14,16,40,40.0,169,24,21.3,26.8,19,21.1,24.2,17,2,11.8,7,1.40,16.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,5,0,,0,0.80,5,7,-2,-0.40,,8.3,4.8,+3.5,+0.70,,0,0,0,0,0,0,0,0,0,27,0,0,,Europa-League,19,2021-2022
Jonas Lössl,dk DEN,GK,dk Midtjylland,32,1989,2,2,180,2.0,2,1.00,4,2,50.0,2,0,0,1,50.0,0,0,0,0,,0,0,0,1.1,0.28,-0.9,-0.43,23,48,47.9,45,5,57.8,44.5,28,78.6,57.9,10,0,0.0,2,1.00,14.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,40.0,90,2,0,,2,3.00,4,2,+2,+1.00,+1.67,4.2,1.6,+2.5,+1.27,+1.07,0,1,0,0,0,0,0,0,0,9,0,0,,Europa-League,19,2021-2022
Aleksandr Maksimenko,ru RUS,GK,ru Spartak Moscow,23,1998,3,3,270,3.0,7,2.33,11,4,36.4,1,0,2,0,0.0,0,0,0,0,,0,0,0,6.0,0.54,-1.0,-0.34,16,41,39.0,62,9,40.3,40.0,25,64.0,48.1,21,0,0.0,7,2.33,20.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,60.0,90,3,0,,2,1.00,6,7,-1,-0.33,-0.83,4.9,7.4,-2.5,-0.83,+0.26,0,0,1,0,0,0,0,0,0,14,0,0,,Europa-League,19,2021-2022
Guilherme Marinato,ru RUS,GK,ru Loko Moscow,35,1985,4,4,360,4.0,5,1.25,16,12,75.0,0,2,2,0,0.0,1,1,0,0,0.0,0,1,0,7.0,0.39,+2.0,+0.51,18,35,51.4,104,16,21.2,30.3,34,38.2,33.4,43,3,7.0,4,1.00,16.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,80.0,90,4,0,,0,0.50,2,5,-3,-0.75,+2.25,3.6,7.5,-3.9,-0.97,+1.70,0,0,1,0,0,0,0,0,0,11,0,0,,Europa-League,19,2021-2022
Matheus,br BRA,GK,pt Braga,29,1992,4,4,360,4.0,5,1.25,10,7,60.0,3,0,1,1,25.0,1,1,0,0,0.0,0,2,0,4.8,0.30,-0.2,-0.06,29,59,49.2,121,19,41.3,36.9,25,36.0,33.7,20,2,10.0,4,1.00,13.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,80.0,90,4,0,,0,2.25,9,5,+4,+1.00,+2.00,8.4,3.8,+4.6,+1.15,+3.05,0,0,5,0,0,0,0,0,0,22,0,0,,Europa-League,19,2021-2022
Allan McGregor,sct SCO,GK,sct Rangers,39,1982,5,5,450,5.0,4,0.80,11,9,63.6,2,1,2,2,40.0,0,0,0,0,,0,1,2,2.9,0.28,+0.9,+0.18,21,68,30.9,135,22,39.3,34.5,37,40.5,35.8,39,1,2.6,6,1.20,17.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,5,0,,0,1.67,5,4,+1,+0.20,,6.6,4.6,+2.0,+0.40,,0,0,0,0,0,0,0,0,0,26,0,0,,Europa-League,19,2021-2022
