Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
1.0,Sat,2021-08-21,18:30,Inter,1.6,4–0,1.0,Genoa,27402.0,Stadio Giuseppe Meazza,Valerio Marini,Serie-A,11,2021-2022
1.0,Sat,2021-08-21,18:30,Hellas Verona,2.1,2–3,1.5,Sassuolo,5448.0,Stadio Marc'Antonio Bentegodi,Manuel Volpi,Serie-A,11,2021-2022
1.0,Sat,2021-08-21,20:45,Empoli,1.3,1–3,1.3,Lazio,3655.0,Stadio Carlo Castellani,Simone Sozza,Serie-A,11,2021-2022
1.0,Sat,2021-08-21,20:45,Torino,1.3,1–2,1.0,Atalanta,3475.0,Stadio Olimpico di Torino,Daniele Chiffi,Serie-A,11,2021-2022
1.0,Sun,2021-08-22,18:30,Udinese,2.2,2–2,0.8,Juventus,9660.0,Dacia Arena,Ivan Pezzuto,Serie-A,11,2021-2022
1.0,Sun,2021-08-22,18:30,Bologna,1.5,3–2,1.6,Salernitana,8375.0,Stadio Renato Dall'Ara,Antonio Rapuano,Serie-A,11,2021-2022
1.0,Sun,2021-08-22,20:45,Napoli,2.3,2–0,0.5,Venezia,20000.0,Stadio San Paolo,Gianluca Aureliano,Serie-A,11,2021-2022
1.0,Sun,2021-08-22,20:45,Roma,2.7,3–1,1.3,Fiorentina,26997.0,Stadio Olimpico,Luca Pairetto,Serie-A,11,2021-2022
1.0,Mon,2021-08-23,18:30,Cagliari,2.7,2–2,0.8,Spezia,5387.0,Sardegna Arena,Francesco Fourneau,Serie-A,11,2021-2022
1.0,Mon,2021-08-23,20:45,Sampdoria,1.1,0–1,1.1,Milan,5000.0,Stadio Comunale Luigi Ferraris,Marco Guida,Serie-A,11,2021-2022
,,,,,,,,,,,,Serie-A,11,2021-2022
2.0,Fri,2021-08-27,18:30,Udinese,2.6,3–0,1.0,Venezia,8274.0,Dacia Arena,Livio Marinelli,Serie-A,11,2021-2022
2.0,Fri,2021-08-27,20:45,Hellas Verona,0.8,1–3,1.7,Inter,11214.0,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Serie-A,11,2021-2022
2.0,Sat,2021-08-28,18:30,Atalanta,1.0,0–0,0.3,Bologna,7912.0,Stadio Atleti Azzurri d'Italia,Daniele Orsato,Serie-A,11,2021-2022
2.0,Sat,2021-08-28,18:30,Lazio,3.1,6–1,0.7,Spezia,20000.0,Stadio Olimpico,Federico Dionisi,Serie-A,11,2021-2022
2.0,Sat,2021-08-28,20:45,Fiorentina,0.8,2–1,0.5,Torino,12592.0,Stadio Artemio Franchi,Maurizio Mariani,Serie-A,11,2021-2022
2.0,Sat,2021-08-28,20:45,Juventus,1.5,0–1,0.8,Empoli,17584.0,Allianz Stadium,Davide Ghersini,Serie-A,11,2021-2022
2.0,Sun,2021-08-29,18:30,Sassuolo,1.4,0–0,0.6,Sampdoria,3309.0,Stadio Citt del Tricolore,Juan Sacchi,Serie-A,11,2021-2022
2.0,Sun,2021-08-29,18:30,Genoa,0.6,1–2,1.1,Napoli,20000.0,Stadio Comunale Luigi Ferraris,Marco Di Bello,Serie-A,11,2021-2022
2.0,Sun,2021-08-29,20:45,Salernitana,0.3,0–4,1.9,Roma,12500.0,Stadio Arechi,Rosario Abisso,Serie-A,11,2021-2022
2.0,Sun,2021-08-29,20:45,Milan,2.8,4–1,0.4,Cagliari,31946.0,Stadio Giuseppe Meazza,Marco Serra,Serie-A,11,2021-2022
3.0,Sat,2021-09-11,15:00,Empoli,1.9,1–2,1.6,Venezia,2511.0,Stadio Carlo Castellani,Antonio Rapuano,Serie-A,11,2021-2022
3.0,Sat,2021-09-11,18:00,Napoli,2.0,2–1,0.9,Juventus,23500.0,Stadio San Paolo,Massimiliano Irrati,Serie-A,11,2021-2022
3.0,Sat,2021-09-11,20:45,Atalanta,2.5,1–2,1.7,Fiorentina,9162.0,Stadio Atleti Azzurri d'Italia,Valerio Marini,Serie-A,11,2021-2022
3.0,Sun,2021-09-12,12:30,Sampdoria,1.3,2–2,0.6,Inter,7441.0,Stadio Comunale Luigi Ferraris,Daniele Orsato,Serie-A,11,2021-2022
3.0,Sun,2021-09-12,15:00,Torino,1.8,4–0,0.3,Salernitana,9082.0,Stadio Olimpico di Torino,Gianluca Aureliano,Serie-A,11,2021-2022
3.0,Sun,2021-09-12,15:00,Spezia,1.3,0–1,0.6,Udinese,5162.0,Stadio Alberto Picco,Marco Guida,Serie-A,11,2021-2022
3.0,Sun,2021-09-12,15:00,Cagliari,1.5,2–3,1.1,Genoa,6423.0,Sardegna Arena,Luca Pairetto,Serie-A,11,2021-2022
3.0,Sun,2021-09-12,18:00,Milan,3.0,2–0,0.3,Lazio,36207.0,Stadio Giuseppe Meazza,Daniele Chiffi,Serie-A,11,2021-2022
3.0,Sun,2021-09-12,20:45,Roma,2.8,2–1,1.5,Sassuolo,29604.0,Stadio Olimpico,Simone Sozza,Serie-A,11,2021-2022
3.0,Mon,2021-09-13,20:45,Bologna,1.4,1–0,0.4,Hellas Verona,10218.0,Stadio Renato Dall'Ara,Ivan Pezzuto,Serie-A,11,2021-2022
4.0,Fri,2021-09-17,20:45,Sassuolo,0.8,0–1,2.0,Torino,20000.0,Stadio Citt del Tricolore,Marco Piccinini,Serie-A,11,2021-2022
4.0,Sat,2021-09-18,15:00,Genoa,1.0,1–2,1.0,Fiorentina,6269.0,Stadio Comunale Luigi Ferraris,Livio Marinelli,Serie-A,11,2021-2022
4.0,Sat,2021-09-18,18:00,Inter,3.1,6–1,0.5,Bologna,35278.0,Stadio Giuseppe Meazza,Giovanni Ayroldi,Serie-A,11,2021-2022
