Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_diff_tit_remp,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Luis Abram,pe PER,DF,Granada,25,1996,6,5,424,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,171,191,89.5,3855,944,36,39,92.3,100,106,94.3,34,44,77.3,0.0,0,7,0,0,6,182,9,0,7,5,0,0,0,0,0,155,12,24,160,18,7,2,1,1,0,1,1,1,0.21,1,0,0,0,0,0,0.00,0,0,0,0,0,0,4,3,3,0,1,1,50.0,1,9,42.9,5,15,1,1,6,13,29,1,243,45,3,0,,0,0,136,0,2,0,163,160,98.2,1,71,42.8,78,3,1,32,5,1.17,6,3,+3,+0.64,+1.59,3.8,4.8,-1.0,-0.21,+0.83,0,4,0,0,0,18,8,11,42.1,La-Liga,12,2021-2022
Marcos Acuña,ar ARG,DF,Sevilla,30,1991,10,8,689,7.7,0,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,0.8,0.8,1.5,2.2,0.10,0.19,0.29,0.10,0.29,4,2,50.0,0.52,0.26,0.00,0.00,22.5,0,0.20,-0.8,-0.8,485,603,80.4,9984,3833,175,186,94.1,220,255,86.3,85,147,57.8,-0.5,17,33,16,5,45,488,115,2,44,29,32,12,0,11,0,365,85,153,446,55,12,82,0,0,11,23,9,30,3.92,21,8,0,1,0,1,0.13,0,1,0,0,0,0,13,7,8,3,2,5,55.6,4,22,26.5,39,36,8,0,9,23,9,0,679,14,6,17,70.6,13,2,442,2,12,10,488,463,94.9,27,69,69.6,82,6,2,16,1,2.10,8,3,+5,+0.65,-1.44,11.8,5.1,+6.7,+0.88,+0.90,0,13,0,0,0,53,8,15,34.8,La-Liga,12,2021-2022
Martin Agirregabiria,es ESP,DF,Alavés,25,1996,6,4,440,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.02,0.03,0.05,0.02,0.05,2,0,0.0,0.41,0.00,0.00,,17.6,0,0.04,-0.1,-0.1,139,184,75.5,2641,1321,63,74,85.1,60,74,81.1,16,32,50.0,-0.2,4,14,9,6,12,145,39,0,19,7,13,1,0,0,0,95,44,45,11,124,12,35,0,0,5,10,6,7,1.43,5,0,0,2,0,0,0.00,0,0,0,0,0,0,15,8,9,2,4,6,40.0,9,13,18.8,33,26,10,0,11,22,17,0,247,15,5,2,50.0,1,1,117,0,4,2,142,123,86.6,11,73,44.4,85,2,2,51,5,1.17,3,7,-4,-0.82,-0.16,4.3,7.5,-3.1,-0.64,-0.39,0,3,0,0,0,25,7,10,41.2,La-Liga,12,2021-2022
Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,34,46,73.9,857,445,8,8,100.0,19,19,100.0,6,18,33.3,0.0,0,1,0,0,0,23,23,0,0,1,0,0,0,0,0,28,1,17,16,18,0,0,8,0,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,1,0,52,44,0,0,,0,0,20,0,0,0,10,9,90.0,0,90,18.2,90,2,0,,3,1.00,1,1,0,0.00,-0.44,2.2,1.9,+0.3,+0.15,-0.70,0,0,0,0,0,11,0,0,,La-Liga,12,2021-2022
Sergio Agüero,ar ARG,FW,Barcelona,33,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,1.1,1.1,0.3,1.3,0.64,0.16,0.80,0.64,0.80,6,1,16.7,3.58,0.60,0.17,1.00,11.9,0,0.18,-0.1,-0.1,31,43,72.1,469,43,18,25,72.0,10,15,66.7,2,2,100.0,-0.3,1,2,0,0,2,41,2,1,15,0,4,0,0,0,0,24,9,10,5,31,3,0,1,0,0,0,0,3,1.79,3,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,0,0,1,0,0.0,1,3,16.7,0,8,10,0,0,1,0,0,59,0,15,1,100.0,1,0,38,2,5,2,78,53,67.9,16,38,15.3,65,1,2,11,0,1.00,1,2,-1,-0.60,-1.13,3.6,1.7,+1.9,+1.14,+0.44,0,1,0,0,0,3,4,2,66.7,La-Liga,12,2021-2022
Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,6,4,336,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.27,0.00,0.00,,9.4,0,0.02,0.0,0.0,182,209,87.1,4341,1111,43,48,89.6,88,93,94.6,48,63,76.2,0.0,0,13,0,0,10,204,5,0,16,6,0,0,0,0,0,153,18,38,32,158,12,1,1,0,8,1,2,1,0.27,1,0,0,0,0,0,0.00,0,0,0,0,0,0,6,5,6,0,0,1,25.0,3,16,34.8,34,12,0,0,4,10,20,1,247,20,2,0,,0,0,163,0,1,2,159,157,98.7,0,56,31.1,81,1,2,7,3,0.67,2,4,-2,-0.54,-0.29,4.5,4.9,-0.4,-0.12,+0.19,0,1,0,0,0,45,15,8,65.2,La-Liga,12,2021-2022
Carlos Akapo,gq EQG,DF,Cádiz,28,1993,6,4,396,4.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,0,0,,0.00,0.00,,,,0,,0.0,0.0,111,164,67.7,2264,839,42,53,79.2,50,68,73.5,16,32,50.0,-0.1,1,7,3,1,7,120,44,0,20,7,6,0,0,0,0,74,45,45,7,100,12,40,0,0,8,3,11,2,0.45,1,1,0,0,0,0,0.00,0,0,0,0,0,0,11,5,10,1,0,3,42.9,4,20,27.8,44,21,7,0,7,20,12,0,209,18,0,0,,0,0,91,0,4,1,102,82,80.4,8,66,36.7,87,3,2,25,3,0.67,5,9,-4,-0.91,-0.38,5.6,7.4,-1.8,-0.40,+0.03,0,7,0,1,0,34,8,9,47.1,La-Liga,12,2021-2022
Paul Akouokou,ci CIV,MF,Betis,23,1997,1,1,81,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,1,0,0.0,1.11,0.00,0.00,,26.0,0,0.02,0.0,0.0,54,61,88.5,1042,310,19,23,82.6,31,32,96.9,4,6,66.7,0.0,0,7,1,0,5,61,0,0,9,2,0,0,0,0,0,48,5,8,8,48,2,0,0,0,2,1,1,1,1.11,1,0,0,0,0,0,0.00,0,0,0,0,0,0,4,2,1,2,1,1,50.0,1,6,31.6,7,9,3,0,2,6,1,0,70,2,0,1,100.0,1,0,50,0,0,0,52,52,100.0,0,81,7.5,81,0,0,,7,1.00,1,1,0,0.00,-0.36,0.4,0.4,0.0,+0.02,-0.24,0,4,0,0,0,8,3,0,100.0,La-Liga,12,2021-2022
David Alaba,at AUT,DF,Real Madrid,29,1992,10,10,900,10.0,1,2,1,0,0,0,0,0.10,0.20,0.30,0.10,0.30,0.3,0.3,1.3,1.6,0.03,0.13,0.16,0.03,0.16,7,1,14.3,0.70,0.10,0.14,1.00,23.0,3,0.05,+0.7,+0.7,580,647,89.6,10869,3654,251,263,95.4,240,256,93.8,81,109,74.3,+0.7,11,47,10,1,32,600,47,1,57,6,20,3,3,0,0,524,55,68,520,86,15,24,0,2,7,4,9,20,2.00,17,1,0,0,2,6,0.60,6,0,0,0,0,0,13,9,9,2,2,5,55.6,4,30,34.5,47,31,9,0,8,33,29,2,732,91,18,3,66.7,2,0,525,4,5,4,573,541,94.4,28,90,90.9,90,10,0,,0,2.10,21,10,+11,+1.10,-1.90,13.7,12.2,+1.5,+0.15,-1.40,0,5,0,0,0,58,5,4,55.6,La-Liga,12,2021-2022
Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,12,9,822,9.1,0,1,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,0.9,0.9,0.7,1.6,0.10,0.08,0.18,0.10,0.18,10,1,10.0,1.09,0.11,0.00,0.00,22.5,0,0.09,-0.9,-0.9,225,322,69.9,5150,1416,73,85,85.9,93,123,75.6,53,98,54.1,+0.3,9,22,4,2,16,280,42,0,58,25,17,20,8,8,0,163,39,120,21,273,18,1,0,2,11,5,8,20,2.19,10,9,1,0,0,3,0.33,1,2,0,0,0,0,23,13,10,9,4,5,35.7,9,46,28.2,83,62,18,0,17,37,34,0,447,37,8,5,60.0,4,0,231,0,7,10,228,207,90.8,15,69,76.1,82,6,3,27,0,0.75,8,16,-8,-0.88,-0.88,9.0,14.1,-5.1,-0.56,-0.56,0,15,0,1,0,91,16,15,51.6,La-Liga,12,2021-2022
